’’	''	ἀεί	a)ei/	d--------
βοηθοῦντι	bohqou=nti	βοηθέω	bohqe/w	v-sppand-
βοηθοῦντι	bohqou=nti	βοηθέω	bohqe/w	v3ppia---
βοσκήματα	boskh/mata	βόσκημα	bo/skhma	n-p---nn-
βοσκήματα	boskh/mata	βόσκημα	bo/skhma	n-p---nv-
βοσκήματα	boskh/mata	βόσκημα	bo/skhma	n-p---na-
βουλευμάτων	bouleuma/twn	βούλευμα	bou/leuma	n-p---ng-
βουλευσομένους	bouleusome/nous	βουλεύω	bouleu/w	v-pfpmma-
βουλευτήριον	bouleuth/rion	βουλευτήριον	bouleuth/rion	n-s---nn-
βουλευτήριον	bouleuth/rion	βουλευτήριον	bouleuth/rion	n-s---nv-
βουλευτήριον	bouleuth/rion	βουλευτήριον	bouleuth/rion	n-s---na-
βουλευτήριον	bouleuth/rion	βουλευτήριος	bouleuth/rios	n-s---ma-
βουλευτήριον	bouleuth/rion	βουλευτήριος	bouleuth/rios	n-s---fa-
βουλευτήριον	bouleuth/rion	βουλευτήριος	bouleuth/rios	n-s---nn-
βουλευτήριον	bouleuth/rion	βουλευτήριος	bouleuth/rios	n-s---nv-
βουλευτήριον	bouleuth/rion	βουλευτήριος	bouleuth/rios	n-s---na-
βουλομένην	boulome/nhn	βούλομαι	bou/lomai	v-sppefa-
βουλομένους	boulome/nous	βούλομαι	bou/lomai	v-pppema-
βουλομένων	boulome/nwn	βούλομαι	bou/lomai	v-pppefg-
βουλομένων	boulome/nwn	βούλομαι	bou/lomai	v-pppemg-
βουλομένων	boulome/nwn	βούλομαι	bou/lomai	v-pppeng-
βουλήν	boulh/n	βουλή	boulh/	n-s---fa-
βουλόμεθα	boulo/meqa	βούλομαι	bou/lomai	v1ppie---
βουλόμεθα	boulo/meqa	βούλομαι	bou/lomai	v1piie---
βουλόμενοι	boulo/menoi	βούλομαι	bou/lomai	v-pppemn-
βουλόμενοι	boulo/menoi	βούλομαι	bou/lomai	v-pppemv-
βουλόμενον	boulo/menon	βούλομαι	bou/lomai	v-sppema-
βουλόμενον	boulo/menon	βούλομαι	bou/lomai	v-sppenn-
βουλόμενον	boulo/menon	βούλομαι	bou/lomai	v-sppenv-
βουλόμενον	boulo/menon	βούλομαι	bou/lomai	v-sppena-
βουλόμενος	boulo/menos	βούλομαι	bou/lomai	v-sppemn-
βουλῆς	boulh=s	βουλεύς	bouleu/s	n-p---mn-
βουλῆς	boulh=s	βουλεύς	bouleu/s	n-p---mn-
βουλῆς	boulh=s	βουλεύς	bouleu/s	n-p---mv-
βουλῆς	boulh=s	βουλή	boulh/	n-s---fg-
βοήθειαν	boh/qeian	βοήθεια	boh/qeia	n-s---fa-
βούλεται	bou/letai	βούλομαι	bou/lomai	v3spie---
βούλοιντο	bou/lointo	βούλομαι	bou/lomai	v3ppoe---
βούλοιτο	bou/loito	βούλομαι	bou/lomai	v3spoe---
βούλοιτό	bou/loito/	βούλομαι	bou/lomai	v3spoe---
βοῶντες	bow=ntes	βοάω	boa/w	v-pppamn-
βοῶντες	bow=ntes	βοάω	boa/w	v-pppamv-
βοῶντες	bow=ntes	βοόω	boo/w	v-pppamn-
βοῶντες	bow=ntes	βοόω	boo/w	v-pppamv-
βραδέως	brade/ws	βραδύς	bradu/s	d--------
βραδέως	brade/ws	βραδύς	bradu/s	x--------
βραχέα	braxe/a	βραχύς	braxu/s	a-p---nn-
βραχέα	braxe/a	βραχύς	braxu/s	a-p---nv-
βραχέα	braxe/a	βραχύς	braxu/s	a-p---na-
βραχέα	braxe/a	βραχύς	braxu/s	a-d---fn-
βραχέα	braxe/a	βραχύς	braxu/s	a-d---fv-
βραχέα	braxe/a	βραχύς	braxu/s	a-d---fa-
βραχέα	braxe/a	βραχύς	braxu/s	a-s---fn-
βραχέα	braxe/a	βραχύς	braxu/s	a-s---fv-
βραχύνοντας	braxu/nontas	βραχύνω	braxu/nw	v-pppama-
βροντᾶν	bronta=n	βρόντης	bro/nths	n-p---mg-
βροντᾶν	bronta=n	βροντάω	bronta/w	v-sppamv-
βροντᾶν	bronta=n	βροντάω	bronta/w	v-sppann-
βροντᾶν	bronta=n	βροντάω	bronta/w	v-sppanv-
βροντᾶν	bronta=n	βροντάω	bronta/w	v-sppana-
βροντᾶν	bronta=n	βροντάω	bronta/w	v-sppamn-
βροντᾶν	bronta=n	βροντάω	bronta/w	v--pna---
βροντᾶν	bronta=n	βροντάω	bronta/w	v--pna---
βροντᾶν	bronta=n	βροντάζω	bronta/zw	v-sfpamv-
βροντᾶν	bronta=n	βροντάζω	bronta/zw	v-sfpann-
βροντᾶν	bronta=n	βροντάζω	bronta/zw	v-sfpanv-
βροντᾶν	bronta=n	βροντάζω	bronta/zw	v-sfpana-
βροντᾶν	bronta=n	βροντάζω	bronta/zw	v-sfpamn-
βροντᾶν	bronta=n	βροντάζω	bronta/zw	v--fna---
βροντᾶν	bronta=n	βροντή	bronth/	n-p---fg-
βρύχεις	bru/xeis	βρύκω	bru/kw	v2spia---
βωμολοχίας	bwmoloxi/as	βωμολοχία	bwmoloxi/a	n-p---fa-
βωμολοχίας	bwmoloxi/as	βωμολοχία	bwmoloxi/a	n-s---fg-
βωμοῦ	bwmou=	βωμός	bwmo/s	n-s---mg-
βωμόν	bwmo/n	βωμός	bwmo/s	n-s---ma-
βάναυσον	ba/nauson	βάναυσος	ba/nausos	n-s---ma-
βάναυσον	ba/nauson	βάναυσος	ba/nausos	n-s---fa-
βάναυσον	ba/nauson	βάναυσος	ba/nausos	n-s---nn-
βάναυσον	ba/nauson	βάναυσος	ba/nausos	n-s---nv-
βάναυσον	ba/nauson	βάναυσος	ba/nausos	n-s---na-
βάρβαροι	ba/rbaroi	βάρβαρος	ba/rbaros	n-p---mn-
βάρβαροι	ba/rbaroi	βάρβαρος	ba/rbaros	n-p---mv-
βάρβαροι	ba/rbaroi	βάρβαρος	ba/rbaros	n-p---fn-
βάρβαροι	ba/rbaroi	βάρβαρος	ba/rbaros	n-p---fv-
βάρβαρον	ba/rbaron	βάρβαρος	ba/rbaros	n-s---ma-
βάρβαρον	ba/rbaron	βάρβαρος	ba/rbaros	n-s---fa-
βάρβαρον	ba/rbaron	βάρβαρος	ba/rbaros	n-s---nn-
βάρβαρον	ba/rbaron	βάρβαρος	ba/rbaros	n-s---nv-
βάρβαρον	ba/rbaron	βάρβαρος	ba/rbaros	n-s---na-
βάρος	ba/ros	βάρος	ba/ros	n-s---nn-
βάρος	ba/ros	βάρος	ba/ros	n-s---nv-
βάρος	ba/ros	βάρος	ba/ros	n-s---na-
βάσιν	ba/sin	βάσις	ba/sis	n-s---fa-
βέλτιον	be/ltion	βελτίων	belti/wn	a-s---mv-
βέλτιον	be/ltion	βελτίων	belti/wn	a-s---fv-
βέλτιον	be/ltion	βελτίων	belti/wn	a-s---nn-
βέλτιον	be/ltion	βελτίων	belti/wn	a-s---nv-
βέλτιον	be/ltion	βελτίων	belti/wn	a-s---na-
βέλτιστοι	be/ltistoi	βέλτιστος	be/ltistos	a-p---mn-
βέλτιστοι	be/ltistoi	βέλτιστος	be/ltistos	a-p---mv-
βέλτιστον	be/ltiston	βέλτιστος	be/ltistos	a-s---ma-
βέλτιστον	be/ltiston	βέλτιστος	be/ltistos	a-s---nn-
βέλτιστον	be/ltiston	βέλτιστος	be/ltistos	a-s---nv-
βέλτιστον	be/ltiston	βέλτιστος	be/ltistos	a-s---na-
βήματος	bh/matos	βῆμα	bh=ma	n-s---ng-
βίαια	bi/aia	βίαιος	bi/aios	a-p---nn-
βίαια	bi/aia	βίαιος	bi/aios	a-p---nv-
βίαια	bi/aia	βίαιος	bi/aios	a-p---na-
βίαια	bi/aia	βίαιος	bi/aios	n-p---nn-
βίαια	bi/aia	βίαιος	bi/aios	n-p---nv-
βίαια	bi/aia	βίαιος	bi/aios	n-p---na-
βίοις	bi/ois	βίος	bi/os	n-p---md-
βίον	bi/on	βίος	bi/os	n-s---ma-
βίον	bi/on	βιόω	bio/w	v3paia---
βίος	bi/os	βίος	bi/os	n-s---mn-
βίους	bi/ous	βίος	bi/os	n-p---ma-
βίους	bi/ous	βιόω	bio/w	v2siia---
βίων	bi/wn	βίος	bi/os	n-p---mg-
βίων	bi/wn	βιάω	bia/w	v3piia---
βίων	bi/wn	βιάω	bia/w	v1siia---
βίων	bi/wn	βιόω	bio/w	v3paia---
βίων	bi/wn	βιόω	bio/w	v1saia---
βίῳ	bi/w|	βίος	bi/os	n-s---md-
βῆμα	bh=ma	βῆμα	bh=ma	n-s---nn-
βῆμα	bh=ma	βῆμα	bh=ma	n-s---nv-
βῆμα	bh=ma	βῆμα	bh=ma	n-s---na-
γαμοῦντος	gamou=ntos	γαμέω	game/w	v-sfpamg-
γαμοῦντος	gamou=ntos	γαμέω	game/w	v-sfpang-
γαμοῦντος	gamou=ntos	γαμέω	game/w	v-sppamg-
γαμοῦντος	gamou=ntos	γαμέω	game/w	v-sppang-
γαστροειδής	gastroeidh/s	γαστροειδής	gastroeidh/s	n-s---mn-
γαστροειδής	gastroeidh/s	γαστροειδής	gastroeidh/s	n-s---fn-
γε	ge	γε	ge	g--------
γεγενημένους	gegenhme/nous	γίγνομαι	gi/gnomai	v-prpema-
γεγονέναι	gegone/nai	γίγνομαι	gi/gnomai	v--rna---
γεγονότα	gegono/ta	γίγνομαι	gi/gnomai	v-prpann-
γεγονότα	gegono/ta	γίγνομαι	gi/gnomai	v-prpanv-
γεγονότα	gegono/ta	γίγνομαι	gi/gnomai	v-prpana-
γεγονότα	gegono/ta	γίγνομαι	gi/gnomai	v-srpama-
γεγονότας	gegono/tas	γίγνομαι	gi/gnomai	v-prpama-
γεγονότες	gegono/tes	γίγνομαι	gi/gnomai	v-prpamn-
γεγονότες	gegono/tes	γίγνομαι	gi/gnomai	v-prpamv-
γεγονότων	gegono/twn	γίγνομαι	gi/gnomai	v-prpamg-
γεγονότων	gegono/twn	γίγνομαι	gi/gnomai	v-prpang-
γεγραμμένον	gegramme/non	γράφω	gra/fw	v-srpema-
γεγραμμένον	gegramme/non	γράφω	gra/fw	v-srpenn-
γεγραμμένον	gegramme/non	γράφω	gra/fw	v-srpenv-
γεγραμμένον	gegramme/non	γράφω	gra/fw	v-srpena-
γειτνιάσεσι	geitnia/sesi	γειτνίασις	geitni/asis	n-p---fd-
γενναίως	gennai/ws	γενναῖος	gennai=os	x--------
γενναίως	gennai/ws	γενναῖος	gennai=os	a-p---ma-
γενναίως	gennai/ws	γενναῖος	gennai=os	x--------
γενναίως	gennai/ws	γενναῖος	gennai=os	n-p---ma-
γενναίως	gennai/ws	γενναῖος	gennai=os	n-p---fa-
γενομένη	genome/nh	γίγνομαι	gi/gnomai	v-sapmfn-
γενομένη	genome/nh	γίγνομαι	gi/gnomai	v-sapmfv-
γενομένην	genome/nhn	γίγνομαι	gi/gnomai	v-sapmfa-
γενομένης	genome/nhs	γίγνομαι	gi/gnomai	v-sapmfg-
γενομένοις	genome/nois	γίγνομαι	gi/gnomai	v-papmmd-
γενομένοις	genome/nois	γίγνομαι	gi/gnomai	v-papmnd-
γενομένου	genome/nou	γίγνομαι	gi/gnomai	v-sapmmg-
γενομένου	genome/nou	γίγνομαι	gi/gnomai	v-sapmng-
γενομένους	genome/nous	γίγνομαι	gi/gnomai	v-papmma-
γενομένων	genome/nwn	γίγνομαι	gi/gnomai	v-papmfg-
γενομένων	genome/nwn	γίγνομαι	gi/gnomai	v-papmmg-
γενομένων	genome/nwn	γίγνομαι	gi/gnomai	v-papmng-
γενέσθαι	gene/sqai	γίγνομαι	gi/gnomai	v--anm---
γενόμενα	geno/mena	γίγνομαι	gi/gnomai	v-papmnn-
γενόμενα	geno/mena	γίγνομαι	gi/gnomai	v-papmnv-
γενόμενα	geno/mena	γίγνομαι	gi/gnomai	v-papmna-
γενόμενον	geno/menon	γίγνομαι	gi/gnomai	v-sapmma-
γενόμενον	geno/menon	γίγνομαι	gi/gnomai	v-sapmnn-
γενόμενον	geno/menon	γίγνομαι	gi/gnomai	v-sapmnv-
γενόμενον	geno/menon	γίγνομαι	gi/gnomai	v-sapmna-
γενόμενος	geno/menos	γίγνομαι	gi/gnomai	v-sapmmn-
γηραιόν	ghraio/n	γηραιός	ghraio/s	a-s---ma-
γηραιόν	ghraio/n	γηραιός	ghraio/s	a-s---nn-
γηραιόν	ghraio/n	γηραιός	ghraio/s	a-s---nv-
γηραιόν	ghraio/n	γηραιός	ghraio/s	a-s---na-
γιγνόμενα	gigno/mena	γίγνομαι	gi/gnomai	v-pppenn-
γιγνόμενα	gigno/mena	γίγνομαι	gi/gnomai	v-pppenv-
γιγνόμενα	gigno/mena	γίγνομαι	gi/gnomai	v-pppena-
γιγνόμενος	gigno/menos	γίγνομαι	gi/gnomai	v-sppemn-
γινομένων	ginome/nwn	γίγνομαι	gi/gnomai	v-pppefg-
γινομένων	ginome/nwn	γίγνομαι	gi/gnomai	v-pppemg-
γινομένων	ginome/nwn	γίγνομαι	gi/gnomai	v-pppeng-
γινόμενον	gino/menon	γίγνομαι	gi/gnomai	v-sppema-
γινόμενον	gino/menon	γίγνομαι	gi/gnomai	v-sppenn-
γινόμενον	gino/menon	γίγνομαι	gi/gnomai	v-sppenv-
γινόμενον	gino/menon	γίγνομαι	gi/gnomai	v-sppena-
γινώσκοντες	ginw/skontes	γιγνώσκω	gignw/skw	v-pppamn-
γινώσκοντες	ginw/skontes	γιγνώσκω	gignw/skw	v-pppamv-
γλαῦκας	glau=kas	γλαύξ	glau/c	n-p---fa-
γλίσχρα	gli/sxra	γλίσχρος	gli/sxros	a-p---nn-
γλίσχρα	gli/sxra	γλίσχρος	gli/sxros	a-p---nv-
γλίσχρα	gli/sxra	γλίσχρος	gli/sxros	a-p---na-
γλίσχρα	gli/sxra	γλίσχρος	gli/sxros	a-d---fn-
γλίσχρα	gli/sxra	γλίσχρος	gli/sxros	a-d---fv-
γλίσχρα	gli/sxra	γλίσχρος	gli/sxros	a-d---fa-
γλίσχρα	gli/sxra	γλίσχρος	gli/sxros	a-s---fn-
γλίσχρα	gli/sxra	γλίσχρος	gli/sxros	a-s---fv-
γλώσσῃ	glw/ssh|	γλῶσσα	glw=ssa	n-s---fd-
γλώσσῃ	glw/ssh|	γλῶσσα	glw=ssa	n-s---fd-
γλῶτταν	glw=ttan	γλῶσσα	glw=ssa	n-s---fa-
γνησίους	gnhsi/ous	γνήσιος	gnh/sios	a-p---ma-
γνησίους	gnhsi/ous	γνησιόω	gnhsio/w	v2siia---
γνησίων	gnhsi/wn	γνήσιος	gnh/sios	a-p---fg-
γνησίων	gnhsi/wn	γνήσιος	gnh/sios	a-p---mg-
γνησίων	gnhsi/wn	γνήσιος	gnh/sios	a-p---ng-
γνησίων	gnhsi/wn	γνησιόω	gnhsio/w	v3piia---
γνησίων	gnhsi/wn	γνησιόω	gnhsio/w	v1siia---
γνωμόνων	gnwmo/nwn	γνώμων	gnw/mwn	n-p---mg-
γνωρίμων	gnwri/mwn	γνώριμος	gnw/rimos	a-p---fg-
γνωρίμων	gnwri/mwn	γνώριμος	gnw/rimos	a-p---mg-
γνωρίμων	gnwri/mwn	γνώριμος	gnw/rimos	a-p---ng-
γνωρίμων	gnwri/mwn	γνώριμος	gnw/rimos	n-p---mg-
γνωρίμων	gnwri/mwn	γνώριμος	gnw/rimos	n-p---fg-
γνωρίμων	gnwri/mwn	γνώριμος	gnw/rimos	n-p---ng-
γνώμην	gnw/mhn	γνώμη	gnw/mh	n-s---fa-
γνώμης	gnw/mhs	γνώμη	gnw/mh	n-s---fg-
γνώμῃ	gnw/mh|	γνώμη	gnw/mh	n-s---fd-
γνώσει	gnw/sei	γιγνώσκω	gignw/skw	v2sfim---
γνώσει	gnw/sei	γνῶσις	gnw=sis	n-d---fn-
γνώσει	gnw/sei	γνῶσις	gnw=sis	n-d---fv-
γνώσει	gnw/sei	γνῶσις	gnw=sis	n-d---fa-
γνώσει	gnw/sei	γνῶσις	gnw=sis	n-s---fd-
γνώσει	gnw/sei	γνῶσις	gnw=sis	n-s---fd-
γνῶναι	gnw=nai	γιγνώσκω	gignw/skw	v--ana---
γοῦν	gou=n	γοῦν	gou=n	g--------
γραφομένων	grafome/nwn	γράφω	gra/fw	v-pppefg-
γραφομένων	grafome/nwn	γράφω	gra/fw	v-pppemg-
γραφομένων	grafome/nwn	γράφω	gra/fw	v-pppeng-
γραφήν	grafh/n	γραφή	grafh/	n-s---fa-
γραφήν	grafh/n	γραφής	grafh/s	n-s---ma-
γραφῆναι	grafh=nai	γράφω	gra/fw	v--anp---
γραῦς	grau=s	γραῦς	grau=s	n-p---fa-
γραῦς	grau=s	γραῦς	grau=s	n-s---fn-
γράμματος	gra/mmatos	γράμμα	gra/mma	n-s---ng-
γράφει	gra/fei	γράφος	gra/fos	n-d---nn-
γράφει	gra/fei	γράφος	gra/fos	n-d---nv-
γράφει	gra/fei	γράφος	gra/fos	n-d---na-
γράφει	gra/fei	γράφος	gra/fos	n-s---nd-
γράφει	gra/fei	γράφος	gra/fos	n-s---nd-
γράφει	gra/fei	γράφω	gra/fw	v2spie---
γράφει	gra/fei	γράφω	gra/fw	v3spia---
γράφουσιν	gra/fousin	γράφω	gra/fw	v-pppamd-
γράφουσιν	gra/fousin	γράφω	gra/fw	v-pppand-
γράφουσιν	gra/fousin	γράφω	gra/fw	v3ppia---
γράψαντος	gra/yantos	γράφω	gra/fw	v-sapamg-
γράψαντος	gra/yantos	γράφω	gra/fw	v-sapang-
γράψας	gra/yas	γράφω	gra/fw	v-sapamn-
γράψας	gra/yas	γράφω	gra/fw	v-sapamv-
γράψας	gra/yas	γράφω	gra/fw	v2saia---
γυναικί	gunaiki/	γυνή	gunh/	n-s---fd-
γυναικός	gunaiko/s	γυνή	gunh/	n-s---fg-
γυναικῶν	gunaikw=n	γυναικόω	gunaiko/w	v-sppamv-
γυναικῶν	gunaikw=n	γυναικόω	gunaiko/w	v-sppann-
γυναικῶν	gunaikw=n	γυναικόω	gunaiko/w	v-sppanv-
γυναικῶν	gunaikw=n	γυναικόω	gunaiko/w	v-sppana-
γυναικῶν	gunaikw=n	γυναικόω	gunaiko/w	v-sppamn-
γυναικῶν	gunaikw=n	γυναικόω	gunaiko/w	v--pna---
γυναικῶν	gunaikw=n	γυνή	gunh/	n-p---fg-
γυναιξί	gunaici/	γυνή	gunh/	n-p---fd-
γυναιξίν	gunaici/n	γυνή	gunh/	n-p---fd-
γυναῖκα	gunai=ka	γυνή	gunh/	n-s---fa-
γυναῖκας	gunai=kas	γυνή	gunh/	n-p---fa-
γυναῖκες	gunai=kes	γυνή	gunh/	n-p---fn-
γυναῖκες	gunai=kes	γυνή	gunh/	n-p---fv-
γυνή	gunh/	γυνή	gunh/	n-s---fn-
γάρ	ga/r	γάρ	ga/r	g--------
γέ	ge/	γε	ge	g--------
γέγονε	ge/gone	γίγνομαι	gi/gnomai	v2srma---
γέγονε	ge/gone	γίγνομαι	gi/gnomai	v3sria---
γέγονεν	ge/gonen	γίγνομαι	gi/gnomai	v3sria---
γέγονεν	ge/gonen	γίγνομαι	gi/gnomai	v3plia---
γέγραπται	ge/graptai	γράφω	gra/fw	v3srie---
γέλωτα	ge/lwta	γέλως	ge/lws	n-s---ma-
γέλωτι	ge/lwti	γέλως	ge/lws	n-s---md-
γέλωτος	ge/lwtos	γέλως	ge/lws	n-s---mg-
γέμουσα	ge/mousa	γέμω	ge/mw	v-sppafn-
γέμουσα	ge/mousa	γέμω	ge/mw	v-sppafv-
γένει	ge/nei	γένος	ge/nos	n-d---nn-
γένει	ge/nei	γένος	ge/nos	n-d---nv-
γένει	ge/nei	γένος	ge/nos	n-d---na-
γένει	ge/nei	γένος	ge/nos	n-s---nd-
γένει	ge/nei	γένος	ge/nos	n-s---nd-
γένεσιν	ge/nesin	γένεσις	ge/nesis	n-s---fa-
γένεσιν	ge/nesin	γένος	ge/nos	n-p---nd-
γένοιτο	ge/noito	γίγνομαι	gi/gnomai	v3saom---
γένοιτ’	ge/noit'	γίγνομαι	gi/gnomai	v3saom---
γένος	ge/nos	γένος	ge/nos	n-s---nn-
γένος	ge/nos	γένος	ge/nos	n-s---nv-
γένος	ge/nos	γένος	ge/nos	n-s---na-
γένους	ge/nous	γένος	ge/nos	n-s---ng-
γέροντες	ge/rontes	γέρων	ge/rwn	n-p---mn-
γέροντες	ge/rontes	γέρων	ge/rwn	n-p---mv-
γίνεται	gi/netai	γίγνομαι	gi/gnomai	v3spie---
γύναιον	gu/naion	γύναιον	gu/naion	n-s---nn-
γύναιον	gu/naion	γύναιον	gu/naion	n-s---nv-
γύναιον	gu/naion	γύναιον	gu/naion	n-s---na-
γύναιον	gu/naion	γύναιος	gu/naios	a-s---ma-
γύναιον	gu/naion	γύναιος	gu/naios	a-s---nn-
γύναιον	gu/naion	γύναιος	gu/naios	a-s---nv-
γύναιον	gu/naion	γύναιος	gu/naios	a-s---na-
γύναιον	gu/naion	γύναιος	gu/naios	n-s---nn-
γύναιον	gu/naion	γύναιος	gu/naios	n-s---nv-
γύναιον	gu/naion	γύναιος	gu/naios	n-s---na-
γῆν	gh=n	Γαῖα	*gai=a	n-s---fa-
γῆν	gh=n	γῆ	gh=	n-s---fa-
δαιμονῶσι	daimonw=si	δαιμονάω	daimona/w	v-pppamd-
δαιμονῶσι	daimonw=si	δαιμονάω	daimona/w	v-pppand-
δαιμονῶσι	daimonw=si	δαιμονάω	daimona/w	v3ppsa---
δαιμονῶσι	daimonw=si	δαιμονάω	daimona/w	v3ppia---
δαιμονῶσι	daimonw=si	δαιμονάω	daimona/w	v3ppsa---
δαιμόνιον	daimo/nion	δαιμόνιον	daimo/nion	n-s---nn-
δαιμόνιον	daimo/nion	δαιμόνιον	daimo/nion	n-s---nv-
δαιμόνιον	daimo/nion	δαιμόνιον	daimo/nion	n-s---na-
δαιμόνιον	daimo/nion	δαιμόνιος	daimo/nios	a-s---ma-
δαιμόνιον	daimo/nion	δαιμόνιος	daimo/nios	a-s---nn-
δαιμόνιον	daimo/nion	δαιμόνιος	daimo/nios	a-s---nv-
δαιμόνιον	daimo/nion	δαιμόνιος	daimo/nios	a-s---na-
δαιμόνιον	daimo/nion	δαιμόνιος	daimo/nios	n-s---ma-
δαιμόνιον	daimo/nion	δαιμόνιος	daimo/nios	n-s---fa-
δαιμόνιον	daimo/nion	δαιμόνιος	daimo/nios	n-s---nn-
δαιμόνιον	daimo/nion	δαιμόνιος	daimo/nios	n-s---nv-
δαιμόνιον	daimo/nion	δαιμόνιος	daimo/nios	n-s---na-
δαιμόνιον	daimo/nion	δαιμονάω	daimona/w	v3piia---
δαιμόνιον	daimo/nion	δαιμονάω	daimona/w	v1siia---
δακρύων	dakru/wn	δάκρυον	da/kruon	n-p---ng-
δακρύων	dakru/wn	δάκρυον	da/kruon	n-p---ng-
δακρύων	dakru/wn	δακρύω	dakru/w	v-sppamn-
δαπανηρός	dapanhro/s	δαπανηρός	dapanhro/s	a-s---mn-
δαπάνην	dapa/nhn	δαπάνη	dapa/nh	n-s---fa-
δαπάνην	dapa/nhn	δαπανάω	dapana/w	v3piia---
δαπάνην	dapa/nhn	δαπανάω	dapana/w	v1siia---
δαπάνῃ	dapa/nh|	δαπάνη	dapa/nh	n-s---fd-
δαψιλής	dayilh/s	δαψιλής	dayilh/s	n-s---mn-
δαψιλής	dayilh/s	δαψιλής	dayilh/s	n-s---fn-
δαίμονι	dai/moni	δαίμων	dai/mwn	n-s---md-
δαίμονι	dai/moni	δαίμων	dai/mwn	n-s---fd-
δεδαπανήσθω	dedapanh/sqw	δαπανάω	dapana/w	v3srme---
δεδαπανῆσθαι	dedapanh=sqai	δαπανάω	dapana/w	v--rne---
δεδηλώκαμεν	dedhlw/kamen	δηλόω	dhlo/w	v1pria---
δεδιώς	dediw/s	δείδω	dei/dw	v-srpamn-
δεδιώς	dediw/s	δείδω	dei/dw	v-srpamv-
δεδωκότι	dedwko/ti	δίδωμι	di/dwmi	v-srpamd-
δεδωκότι	dedwko/ti	δίδωμι	di/dwmi	v-srpand-
δεηθείς	dehqei/s	δέω2	de/w2	v-sappmn-
δεηθείς	dehqei/s	δέω2	de/w2	v-sappmv-
δεηθείσης	dehqei/shs	δέω2	de/w2	v-sappfg-
δεηθεῖσι	dehqei=si	δέω2	de/w2	v-pappmd-
δεηθεῖσι	dehqei=si	δέω2	de/w2	v-pappnd-
δειναί	deinai/	δεινός	deino/s	a-p---fn-
δειναί	deinai/	δεινός	deino/s	a-p---fv-
δεινούς	deinou/s	δεινός	deino/s	a-p---ma-
δεινοῦ	deinou=	δεινός	deino/s	a-s---mg-
δεινοῦ	deinou=	δεινός	deino/s	a-s---ng-
δεινοῦ	deinou=	δεινόω	deino/w	v2spme---
δεινοῦ	deinou=	δεινόω	deino/w	v2siie---
δεινή	deinh/	δεινός	deino/s	a-s---fn-
δεινή	deinh/	δεινός	deino/s	a-s---fv-
δεινήν	deinh/n	δεινός	deino/s	a-s---fa-
δεινόν	deino/n	δεινός	deino/s	a-s---ma-
δεινόν	deino/n	δεινός	deino/s	a-s---nn-
δεινόν	deino/n	δεινός	deino/s	a-s---nv-
δεινόν	deino/n	δεινός	deino/s	a-s---na-
δεινότητα	deino/thta	δεινότης	deino/ths	n-s---fa-
δεινότητος	deino/thtos	δεινότης	deino/ths	n-s---fg-
δεινῶσαι	deinw=sai	δεινάζω	deina/zw	v-pfpafn-
δεινῶσαι	deinw=sai	δεινάζω	deina/zw	v-pfpafv-
δεινῶσαι	deinw=sai	δεινόω	deino/w	v--ana---
δεισιδαιμονίας	deisidaimoni/as	δεισιδαιμονία	deisidaimoni/a	n-p---fa-
δεισιδαιμονίας	deisidaimoni/as	δεισιδαιμονία	deisidaimoni/a	n-s---fg-
δεκαετίαν	dekaeti/an	δεκαετία	dekaeti/a	n-s---fa-
δεξιάν	decia/n	δεξιά	decia/	n-s---fa-
δεξιάν	decia/n	δεξιός	decio/s	a-s---fa-
δεξάμενοι	deca/menoi	δέχομαι	de/xomai	v-papmmn-
δεξάμενοι	deca/menoi	δέχομαι	de/xomai	v-papmmv-
δεξάμενοι	deca/menoi	δείκνυμι	dei/knumi	v-papmmn-
δεξάμενοι	deca/menoi	δείκνυμι	dei/knumi	v-papmmv-
δεομένης	deome/nhs	δέομαι	de/omai	v-sppefg-
δεομένης	deome/nhs	δέω1	de/w1	v-sppefg-
δεομένης	deome/nhs	δέω2	de/w2	v-sppefg-
δεομένης	deome/nhs	δέω2	de/w2	v-sppmfg-
δεομένους	deome/nous	δέομαι	de/omai	v-pppema-
δεομένους	deome/nous	δέω1	de/w1	v-pppema-
δεομένους	deome/nous	δέω2	de/w2	v-pppema-
δεομένους	deome/nous	δέω2	de/w2	v-pppmma-
δεομένῳ	deome/nw|	δέομαι	de/omai	v-sppemd-
δεομένῳ	deome/nw|	δέομαι	de/omai	v-sppend-
δεομένῳ	deome/nw|	δέω1	de/w1	v-sppemd-
δεομένῳ	deome/nw|	δέω1	de/w1	v-sppend-
δεομένῳ	deome/nw|	δέω2	de/w2	v-sppemd-
δεομένῳ	deome/nw|	δέω2	de/w2	v-sppend-
δεομένῳ	deome/nw|	δέω2	de/w2	v-sppmmd-
δεομένῳ	deome/nw|	δέω2	de/w2	v-sppmnd-
δεσμωτήριον	desmwth/rion	δεσμωτήριον	desmwth/rion	n-s---nn-
δεσμωτήριον	desmwth/rion	δεσμωτήριον	desmwth/rion	n-s---nv-
δεσμωτήριον	desmwth/rion	δεσμωτήριον	desmwth/rion	n-s---na-
δεχομένου	dexome/nou	δέχομαι	de/xomai	v-sppemg-
δεχομένου	dexome/nou	δέχομαι	de/xomai	v-sppeng-
δεήσεις	deh/seis	δέησις	de/hsis	n-p---fn-
