Αἰσχύνης	*ai)sxu/nhs	αἰσχύνη	ai)sxu/nh	urn:cite2:hmt:lsj.chicago_md:n2739	n-s---fg-
κινύρονται	kinu/rontai	κινύρομαι	kinu/romai	urn:cite2:hmt:lsj.chicago_md:n57496	v3ppie---
κλαγγαῖσιν	klaggai=sin	κλαγγή	klaggh/	urn:cite2:hmt:lsj.chicago_md:n57648	n-p---fd-
κλαιομένας	klaiome/nas	κλαίω	klai/w	urn:cite2:hmt:lsj.chicago_md:n57683	v-pppefa-
κλαιομένας	klaiome/nas	κλαίω	klai/w	urn:cite2:hmt:lsj.chicago_md:n57683	v-sppefg-
κλαυτόν	klauto/n	κλαυστός	klausto/s	urn:cite2:hmt:lsj.chicago_md:n57740	a-s---ma-
κλαυτόν	klauto/n	κλαυστός	klausto/s	urn:cite2:hmt:lsj.chicago_md:n57740	a-s---nn-
κλαυτόν	klauto/n	κλαυστός	klausto/s	urn:cite2:hmt:lsj.chicago_md:n57740	a-s---nv-
κλαυτόν	klauto/n	κλαυστός	klausto/s	urn:cite2:hmt:lsj.chicago_md:n57740	a-s---na-
κλαίειν	klai/ein	κλαίω	klai/w	urn:cite2:hmt:lsj.chicago_md:n57683	v--pna---
κλαίοντας	klai/ontas	κλαίω	klai/w	urn:cite2:hmt:lsj.chicago_md:n57683	v-pppama-
κλαίω	klai/w	κλαίω	klai/w	urn:cite2:hmt:lsj.chicago_md:n57683	v1spsa---
κλαίω	klai/w	κλαίω	klai/w	urn:cite2:hmt:lsj.chicago_md:n57683	v1spia---
κλαύσω	klau/sw	κλαίω	klai/w	urn:cite2:hmt:lsj.chicago_md:n57683	v1sasa---
κλαύσω	klau/sw	κλαίω	klai/w	urn:cite2:hmt:lsj.chicago_md:n57683	v2saim---
κληρουμένους	klhroume/nous	κληρόω	klhro/w	urn:cite2:hmt:lsj.chicago_md:n57890	v-pppema-
κλητῆρα	klhth=ra	κλητήρ	klhth/r	urn:cite2:hmt:lsj.chicago_md:n57904	n-s---ma-
κλυδωνίου	kludwni/ou	κλυδώνιον	kludw/nion	urn:cite2:hmt:lsj.chicago_md:n58021	n-s---ng-
κλυούσᾳ	kluou/sa|	κλύω	klu/w	urn:cite2:hmt:lsj.chicago_md:n58057	v-sapafd-
κλυούσᾳ	kluou/sa|	κλύω	klu/w	urn:cite2:hmt:lsj.chicago_md:n58057	v-sppafd-
κλάζουσι	kla/zousi	κλάζω	kla/zw	urn:cite2:hmt:lsj.chicago_md:n57681	v-pppamd-
κλάζουσι	kla/zousi	κλάζω	kla/zw	urn:cite2:hmt:lsj.chicago_md:n57681	v-pppand-
κλάζουσι	kla/zousi	κλάζω	kla/zw	urn:cite2:hmt:lsj.chicago_md:n57681	v3ppia---
κλήρους	klh/rous	κλῆρος	klh=ros	urn:cite2:hmt:lsj.chicago_md:n57881	n-p---ma-
κλήρους	klh/rous	κλῆρος	klh=ros	urn:cite2:hmt:lsj.chicago_md:n57882	n-p---ma-
κλήρους	klh/rous	κληρόω	klhro/w	urn:cite2:hmt:lsj.chicago_md:n57890	v2siia---
κλίμακος	kli/makos	κλῖμαξ	kli=mac	urn:cite2:hmt:lsj.chicago_md:n57929	n-s---fg-
κλίνεται	kli/netai	κλίνω	kli/nw	urn:cite2:hmt:lsj.chicago_md:n57964	v3sasm---
κλίνεται	kli/netai	κλίνω	kli/nw	urn:cite2:hmt:lsj.chicago_md:n57964	v3spie---
κλύετε	klu/ete	κλύω	klu/w	urn:cite2:hmt:lsj.chicago_md:n58057	v2pama---
κλύετε	klu/ete	κλύω	klu/w	urn:cite2:hmt:lsj.chicago_md:n58057	v2ppma---
κλύετε	klu/ete	κλύω	klu/w	urn:cite2:hmt:lsj.chicago_md:n58057	v2ppia---
κλύετε	klu/ete	κλύω	klu/w	urn:cite2:hmt:lsj.chicago_md:n58057	v2paia---
κλύετε	klu/ete	κλύω	klu/w	urn:cite2:hmt:lsj.chicago_md:n58057	v2piia---
κλύοντες	klu/ontes	κλύω	klu/w	urn:cite2:hmt:lsj.chicago_md:n58057	v-pppamn-
κλύοντες	klu/ontes	κλύω	klu/w	urn:cite2:hmt:lsj.chicago_md:n58057	v-pppamv-
κλύουσα	klu/ousa	κλύω	klu/w	urn:cite2:hmt:lsj.chicago_md:n58057	v-sppafn-
κλύουσα	klu/ousa	κλύω	klu/w	urn:cite2:hmt:lsj.chicago_md:n58057	v-sppafv-
κλύω	klu/w	κλύω	klu/w	urn:cite2:hmt:lsj.chicago_md:n58057	v1sasa---
κλύω	klu/w	κλύω	klu/w	urn:cite2:hmt:lsj.chicago_md:n58057	v1spsa---
κλύω	klu/w	κλύω	klu/w	urn:cite2:hmt:lsj.chicago_md:n58057	v1spia---
κλῄθρων	klh/|qrwn	κλεῖθρον	klei=qron	urn:cite2:hmt:lsj.chicago_md:n57764	n-p---ng-
κλῄθρων	klh/|qrwn	κλήιθρον	klh/iqron	urn:cite2:hmt:lsj.chicago_md:n57856	n-p---ng-
κνημῖδας	knhmi=das	κνημίς	knhmi/s	urn:cite2:hmt:lsj.chicago_md:n58149	n-p---fa-
κοιλογάστορες	koiloga/stores	κοιλογάστωρ	koiloga/stwr	urn:cite2:hmt:lsj.chicago_md:n58335	n-p---mn-
κοιλογάστορες	koiloga/stores	κοιλογάστωρ	koiloga/stwr	urn:cite2:hmt:lsj.chicago_md:n58335	n-p---mv-
κοιλογάστορες	koiloga/stores	κοιλογάστωρ	koiloga/stwr	urn:cite2:hmt:lsj.chicago_md:n58335	n-p---fn-
κοιλογάστορες	koiloga/stores	κοιλογάστωρ	koiloga/stwr	urn:cite2:hmt:lsj.chicago_md:n58335	n-p---fv-
κοιλογάστορος	koiloga/storos	κοιλογάστωρ	koiloga/stwr	urn:cite2:hmt:lsj.chicago_md:n58335	n-s---mg-
κοιλογάστορος	koiloga/storos	κοιλογάστωρ	koiloga/stwr	urn:cite2:hmt:lsj.chicago_md:n58335	n-s---fg-
κοιμῶν	koimw=n	κοιμάω	koima/w	urn:cite2:hmt:lsj.chicago_md:n58367	v-sppamv-
κοιμῶν	koimw=n	κοιμάω	koima/w	urn:cite2:hmt:lsj.chicago_md:n58367	v-sppann-
κοιμῶν	koimw=n	κοιμάω	koima/w	urn:cite2:hmt:lsj.chicago_md:n58367	v-sppanv-
κοιμῶν	koimw=n	κοιμάω	koima/w	urn:cite2:hmt:lsj.chicago_md:n58367	v-sppana-
κοιμῶν	koimw=n	κοιμάω	koima/w	urn:cite2:hmt:lsj.chicago_md:n58367	v-sppamn-
κοιμῶν	koimw=n	κοιμάω	koima/w	urn:cite2:hmt:lsj.chicago_md:n58367	v-sppamn-
κοινόν	koino/n	κοινός	koino/s	urn:cite2:hmt:lsj.chicago_md:n58429	a-s---ma-
κοινόν	koino/n	κοινός	koino/s	urn:cite2:hmt:lsj.chicago_md:n58429	a-s---nn-
κοινόν	koino/n	κοινός	koino/s	urn:cite2:hmt:lsj.chicago_md:n58429	a-s---nv-
κοινόν	koino/n	κοινός	koino/s	urn:cite2:hmt:lsj.chicago_md:n58429	a-s---na-
κοινόν	koino/n	κοινός	koino/s	urn:cite2:hmt:lsj.chicago_md:n58429	n-s---ma-
κοινόν	koino/n	κοινός	koino/s	urn:cite2:hmt:lsj.chicago_md:n58429	n-s---fa-
κοινόν	koino/n	κοινός	koino/s	urn:cite2:hmt:lsj.chicago_md:n58429	n-s---nn-
κοινόν	koino/n	κοινός	koino/s	urn:cite2:hmt:lsj.chicago_md:n58429	n-s---nv-
κοινόν	koino/n	κοινός	koino/s	urn:cite2:hmt:lsj.chicago_md:n58429	n-s---na-
κοινός	koino/s	κοινός	koino/s	urn:cite2:hmt:lsj.chicago_md:n58429	a-s---mn-
κοινός	koino/s	κοινός	koino/s	urn:cite2:hmt:lsj.chicago_md:n58429	n-s---mn-
κοινός	koino/s	κοινός	koino/s	urn:cite2:hmt:lsj.chicago_md:n58429	n-s---fn-
κοινώνει	koinw/nei	κοινωνέω	koinwne/w	urn:cite2:hmt:lsj.chicago_md:n58444	v2spma---
κοινώνει	koinw/nei	κοινωνέω	koinwne/w	urn:cite2:hmt:lsj.chicago_md:n58444	v3siia---
κομιστέος	komiste/os	κομιστέος	komiste/os	urn:cite2:hmt:lsj.chicago_md:n58793	n-s---mn-
κομπάζεται	kompa/zetai	κομπάζω	kompa/zw	urn:cite2:hmt:lsj.chicago_md:n58824	v3spie---
κομπάζοντα	kompa/zonta	κομπάζω	kompa/zw	urn:cite2:hmt:lsj.chicago_md:n58824	v-pppann-
κομπάζοντα	kompa/zonta	κομπάζω	kompa/zw	urn:cite2:hmt:lsj.chicago_md:n58824	v-pppanv-
κομπάζοντα	kompa/zonta	κομπάζω	kompa/zw	urn:cite2:hmt:lsj.chicago_md:n58824	v-pppana-
κομπάζοντα	kompa/zonta	κομπάζω	kompa/zw	urn:cite2:hmt:lsj.chicago_md:n58824	v-sppama-
κομπάσμασιν	kompa/smasin	κόμπασμα	ko/mpasma	urn:cite2:hmt:lsj.chicago_md:n58828	n-p---nd-
κομπάσματα	kompa/smata	κόμπασμα	ko/mpasma	urn:cite2:hmt:lsj.chicago_md:n58828	n-p---nn-
κομπάσματα	kompa/smata	κόμπασμα	ko/mpasma	urn:cite2:hmt:lsj.chicago_md:n58828	n-p---nv-
κομπάσματα	kompa/smata	κόμπασμα	ko/mpasma	urn:cite2:hmt:lsj.chicago_md:n58828	n-p---na-
κονίει	koni/ei	κονίω	koni/w	urn:cite2:hmt:lsj.chicago_md:n58911	v2spie---
κονίει	koni/ei	κονίω	koni/w	urn:cite2:hmt:lsj.chicago_md:n58911	v3spia---
κορκορυγαί	korkorugai/	κορκορυγή	korkorugh/	urn:cite2:hmt:lsj.chicago_md:n59129	n-p---fn-
κορκορυγαί	korkorugai/	κορκορυγή	korkorugh/	urn:cite2:hmt:lsj.chicago_md:n59129	n-p---fv-
κοσμήσει	kosmh/sei	κόσμησις	ko/smhsis	urn:cite2:hmt:lsj.chicago_md:n59297	n-d---fn-
κοσμήσει	kosmh/sei	κόσμησις	ko/smhsis	urn:cite2:hmt:lsj.chicago_md:n59297	n-d---fv-
κοσμήσει	kosmh/sei	κόσμησις	ko/smhsis	urn:cite2:hmt:lsj.chicago_md:n59297	n-d---fa-
κοσμήσει	kosmh/sei	κόσμησις	ko/smhsis	urn:cite2:hmt:lsj.chicago_md:n59297	n-s---fd-
κοσμήσει	kosmh/sei	κόσμησις	ko/smhsis	urn:cite2:hmt:lsj.chicago_md:n59297	n-s---fd-
κοσμήσει	kosmh/sei	κοσμέω	kosme/w	urn:cite2:hmt:lsj.chicago_md:n59295	v3sasa---
κοσμήσει	kosmh/sei	κοσμέω	kosme/w	urn:cite2:hmt:lsj.chicago_md:n59295	v2sfim---
κοσμήσει	kosmh/sei	κοσμέω	kosme/w	urn:cite2:hmt:lsj.chicago_md:n59295	v3sfia---
κοταίνων	kotai/nwn	κοταίνω	kotai/nw	urn:cite2:hmt:lsj.chicago_md:n59365	v-sppamn-
κοὔπω	kou)/pw	οὔπω	ou)/pw	urn:cite2:hmt:lsj.chicago_md:n75907	d--------
κούρα	kou/ra	κόρη	ko/rh	urn:cite2:hmt:lsj.chicago_md:n59098	n-d---fn-
κούρα	kou/ra	κόρη	ko/rh	urn:cite2:hmt:lsj.chicago_md:n59098	n-d---fv-
κούρα	kou/ra	κόρη	ko/rh	urn:cite2:hmt:lsj.chicago_md:n59098	n-d---fa-
κούρα	kou/ra	κόρη	ko/rh	urn:cite2:hmt:lsj.chicago_md:n59098	n-s---fn-
κούρα	kou/ra	κόρη	ko/rh	urn:cite2:hmt:lsj.chicago_md:n59098	n-s---fv-
κοῦφον	kou=fon	κοῦφος	kou=fos	urn:cite2:hmt:lsj.chicago_md:n59516	a-s---ma-
κοῦφον	kou=fon	κοῦφος	kou=fos	urn:cite2:hmt:lsj.chicago_md:n59516	a-s---nn-
κοῦφον	kou=fon	κοῦφος	kou=fos	urn:cite2:hmt:lsj.chicago_md:n59516	a-s---nv-
κοῦφον	kou=fon	κοῦφος	kou=fos	urn:cite2:hmt:lsj.chicago_md:n59516	a-s---na-
κραδίᾳ	kradi/a|	καρδία	kardi/a	urn:cite2:hmt:lsj.chicago_md:n53290	n-p---fn-
κραδίᾳ	kradi/a|	καρδία	kardi/a	urn:cite2:hmt:lsj.chicago_md:n53290	n-p---fv-
κραδίᾳ	kradi/a|	καρδία	kardi/a	urn:cite2:hmt:lsj.chicago_md:n53290	n-s---fd-
κραδίᾳ	kradi/a|	κραδίας	kradi/as	urn:cite2:hmt:lsj.chicago_md:n59583	n-p---mn-
κραδίᾳ	kradi/a|	κραδίας	kradi/as	urn:cite2:hmt:lsj.chicago_md:n59583	n-p---mv-
κραδίᾳ	kradi/a|	κραδίας	kradi/as	urn:cite2:hmt:lsj.chicago_md:n59583	n-s---md-
κρατηθείς	krathqei/s	κρατέω	krate/w	urn:cite2:hmt:lsj.chicago_md:n59708	v-sappmn-
κρατηθείς	krathqei/s	κρατέω	krate/w	urn:cite2:hmt:lsj.chicago_md:n59708	v-sappmv-
κρατούντων	kratou/ntwn	κρατέω	krate/w	urn:cite2:hmt:lsj.chicago_md:n59708	v-pppamg-
κρατούντων	kratou/ntwn	κρατέω	krate/w	urn:cite2:hmt:lsj.chicago_md:n59708	v-pppang-
κρατούντων	kratou/ntwn	κρατέω	krate/w	urn:cite2:hmt:lsj.chicago_md:n59708	v3ppma---
κρατοῦσα	kratou=sa	κρατέω	krate/w	urn:cite2:hmt:lsj.chicago_md:n59708	v-sppafn-
κρατοῦσα	kratou=sa	κρατέω	krate/w	urn:cite2:hmt:lsj.chicago_md:n59708	v-sppafv-
κρατί	krati/	κράς	kra/s	urn:cite2:hmt:lsj.chicago_md:n59655	n-s---fd-
κραίνοι	krai/noi	κραίνω	krai/nw	urn:cite2:hmt:lsj.chicago_md:n59589	v3spoa---
κραίνων	krai/nwn	κραίνω	krai/nw	urn:cite2:hmt:lsj.chicago_md:n59589	v-sppamn-
κρεισσοτέκνων	kreissote/knwn	κρεισσότεκνος	kreisso/teknos	urn:cite2:hmt:lsj.chicago_md:n59792	n-p---mg-
κρεισσοτέκνων	kreissote/knwn	κρεισσότεκνος	kreisso/teknos	urn:cite2:hmt:lsj.chicago_md:n59792	n-p---fg-
κρεισσοτέκνων	kreissote/knwn	κρεισσότεκνος	kreisso/teknos	urn:cite2:hmt:lsj.chicago_md:n59792	n-p---ng-
κρείσσω	krei/ssw	κρείσσων	krei/sswn	urn:cite2:hmt:lsj.chicago_md:n59794	a-p---na-
κρείσσω	krei/ssw	κρείσσων	krei/sswn	urn:cite2:hmt:lsj.chicago_md:n59794	a-p---nn-
κρείσσω	krei/ssw	κρείσσων	krei/sswn	urn:cite2:hmt:lsj.chicago_md:n59794	a-s---ma-
κρείσσω	krei/ssw	κρείσσων	krei/sswn	urn:cite2:hmt:lsj.chicago_md:n59794	a-s---fa-
κρείσσω	krei/ssw	κρεισσόω	kreisso/w	urn:cite2:hmt:lsj.chicago_md:n59793	v2spma---
κρείσσω	krei/ssw	κρεισσόω	kreisso/w	urn:cite2:hmt:lsj.chicago_md:n59793	v3siia---
κρημναμενᾶν	krhmnamena=n	κρήμνημι	krh/mnhmi	urn:cite2:hmt:lsj.chicago_md:n59869	v-pppemg-
κρημναμενᾶν	krhmnamena=n	κρήμνημι	krh/mnhmi	urn:cite2:hmt:lsj.chicago_md:n59869	v-pppefg-
κρημναμενᾶν	krhmnamena=n	κρήμνημι	krh/mnhmi	urn:cite2:hmt:lsj.chicago_md:n59869	v-ppppmg-
κρημναμενᾶν	krhmnamena=n	κρήμνημι	krh/mnhmi	urn:cite2:hmt:lsj.chicago_md:n59869	v-ppppfg-
κρημναμενᾶν	krhmnamena=n	κρημνάω	krhmna/w	urn:cite2:hmt:lsj.chicago_md:n59867	v-pppemg-
κρημναμενᾶν	krhmnamena=n	κρημνάω	krhmna/w	urn:cite2:hmt:lsj.chicago_md:n59867	v-pppefg-
κρινεῖ	krinei=	κρίνω	kri/nw	urn:cite2:hmt:lsj.chicago_md:n60003	v3sasp---
κρινεῖ	krinei=	κρίνω	kri/nw	urn:cite2:hmt:lsj.chicago_md:n60003	v2sfim---
κρινεῖ	krinei=	κρίνω	kri/nw	urn:cite2:hmt:lsj.chicago_md:n60003	v3sfia---
κροτησμοῦ	krothsmou=	κροτησμός	krothsmo/s	urn:cite2:hmt:lsj.chicago_md:n60161	n-s---mg-
κράνους	kra/nous	κράνος	kra/nos	urn:cite2:hmt:lsj.chicago_md:n59643	n-s---ng-
κράνους	kra/nous	κράνος	kra/nos	urn:cite2:hmt:lsj.chicago_md:n59644	n-s---ng-
κράτος	kra/tos	κράτος	kra/tos	urn:cite2:hmt:lsj.chicago_md:n59741	n-s---nn-
κράτος	kra/tos	κράτος	kra/tos	urn:cite2:hmt:lsj.chicago_md:n59741	n-s---nv-
κράτος	kra/tos	κράτος	kra/tos	urn:cite2:hmt:lsj.chicago_md:n59741	n-s---na-
κρύος	kru/os	κρύος	kru/os	urn:cite2:hmt:lsj.chicago_md:n60232	n-s---nn-
κρύος	kru/os	κρύος	kru/os	urn:cite2:hmt:lsj.chicago_md:n60232	n-s---nv-
κρύος	kru/os	κρύος	kru/os	urn:cite2:hmt:lsj.chicago_md:n60232	n-s---na-
κτανών	ktanw/n	κτείνω	ktei/nw	urn:cite2:hmt:lsj.chicago_md:n60316	v-sapamn-
κτεάνων	ktea/nwn	κτέανον	kte/anon	urn:cite2:hmt:lsj.chicago_md:n60312	n-p---ng-
κτημάτων	kthma/twn	κτῆμα	kth=ma	urn:cite2:hmt:lsj.chicago_md:n60340	n-p---ng-
κτέανα	kte/ana	κτέανον	kte/anon	urn:cite2:hmt:lsj.chicago_md:n60312	n-p---nn-
κτέανα	kte/ana	κτέανον	kte/anon	urn:cite2:hmt:lsj.chicago_md:n60312	n-p---nv-
κτέανα	kte/ana	κτέανον	kte/anon	urn:cite2:hmt:lsj.chicago_md:n60312	n-p---na-
κτήμαθ’	kth/maq'	κτῆμα	kth=ma	urn:cite2:hmt:lsj.chicago_md:n60340	n-p---nn-
κτήμαθ’	kth/maq'	κτῆμα	kth=ma	urn:cite2:hmt:lsj.chicago_md:n60340	n-p---nv-
κτήμαθ’	kth/maq'	κτῆμα	kth=ma	urn:cite2:hmt:lsj.chicago_md:n60340	n-p---na-
κτήμαθ’	kth/maq'	κτῆμα	kth=ma	urn:cite2:hmt:lsj.chicago_md:n60340	n-s---nd-
κτήμαθ’	kth/maq'	κτῆμα	kth=ma	urn:cite2:hmt:lsj.chicago_md:n60340	n-d---nn-
κτήμαθ’	kth/maq'	κτῆμα	kth=ma	urn:cite2:hmt:lsj.chicago_md:n60340	n-d---nv-
κτήμαθ’	kth/maq'	κτῆμα	kth=ma	urn:cite2:hmt:lsj.chicago_md:n60340	n-d---na-
κτήματα	kth/mata	κτῆμα	kth=ma	urn:cite2:hmt:lsj.chicago_md:n60340	n-p---nn-
κτήματα	kth/mata	κτῆμα	kth=ma	urn:cite2:hmt:lsj.chicago_md:n60340	n-p---nv-
κτήματα	kth/mata	κτῆμα	kth=ma	urn:cite2:hmt:lsj.chicago_md:n60340	n-p---na-
κτύπον	ktu/pon	κτύπος	ktu/pos	urn:cite2:hmt:lsj.chicago_md:n60402	n-s---ma-
κτύπον	ktu/pon	κτυπέω	ktupe/w	urn:cite2:hmt:lsj.chicago_md:n60398	v3paia---
κτύπον	ktu/pon	κτυπέω	ktupe/w	urn:cite2:hmt:lsj.chicago_md:n60398	v1saia---
κυκλουμένων	kukloume/nwn	κυκλέω	kukle/w	urn:cite2:hmt:lsj.chicago_md:n60614	v-pppefg-
κυκλουμένων	kukloume/nwn	κυκλέω	kukle/w	urn:cite2:hmt:lsj.chicago_md:n60614	v-pppemg-
κυκλουμένων	kukloume/nwn	κυκλέω	kukle/w	urn:cite2:hmt:lsj.chicago_md:n60614	v-pppeng-
κυκλουμένων	kukloume/nwn	κυκλόω	kuklo/w	urn:cite2:hmt:lsj.chicago_md:n60657	v-pppefg-
κυκλουμένων	kukloume/nwn	κυκλόω	kuklo/w	urn:cite2:hmt:lsj.chicago_md:n60657	v-pppemg-
κυκλουμένων	kukloume/nwn	κυκλόω	kuklo/w	urn:cite2:hmt:lsj.chicago_md:n60657	v-pppeng-
κυκλοῦνται	kuklou=ntai	κυκλέω	kukle/w	urn:cite2:hmt:lsj.chicago_md:n60614	v3ppie---
κυκλοῦνται	kuklou=ntai	κυκλόω	kuklo/w	urn:cite2:hmt:lsj.chicago_md:n60657	v3ppie---
κυκλωτῷ	kuklwtw=|	κυκλωτός	kuklwto/s	urn:cite2:hmt:lsj.chicago_md:n60667	a-s---md-
κυκλωτῷ	kuklwtw=|	κυκλωτός	kuklwto/s	urn:cite2:hmt:lsj.chicago_md:n60667	a-s---nd-
κυμαίνοντ’	kumai/nont'	κυμαίνω	kumai/nw	urn:cite2:hmt:lsj.chicago_md:n60737	v-pppann-
κυμαίνοντ’	kumai/nont'	κυμαίνω	kumai/nw	urn:cite2:hmt:lsj.chicago_md:n60737	v-pppanv-
κυμαίνοντ’	kumai/nont'	κυμαίνω	kumai/nw	urn:cite2:hmt:lsj.chicago_md:n60737	v-pppana-
κυμαίνοντ’	kumai/nont'	κυμαίνω	kumai/nw	urn:cite2:hmt:lsj.chicago_md:n60737	v-sppama-
κυμαίνοντ’	kumai/nont'	κυμαίνω	kumai/nw	urn:cite2:hmt:lsj.chicago_md:n60737	v-sppamd-
κυμαίνοντ’	kumai/nont'	κυμαίνω	kumai/nw	urn:cite2:hmt:lsj.chicago_md:n60737	v-sppand-
κυμαίνοντ’	kumai/nont'	κυμαίνω	kumai/nw	urn:cite2:hmt:lsj.chicago_md:n60737	v3ppia---
κυμαίνοντ’	kumai/nont'	κυμαίνω	kumai/nw	urn:cite2:hmt:lsj.chicago_md:n60737	v-dppamn-
κυμαίνοντ’	kumai/nont'	κυμαίνω	kumai/nw	urn:cite2:hmt:lsj.chicago_md:n60737	v-dppamv-
κυμαίνοντ’	kumai/nont'	κυμαίνω	kumai/nw	urn:cite2:hmt:lsj.chicago_md:n60737	v-dppama-
κυμαίνοντ’	kumai/nont'	κυμαίνω	kumai/nw	urn:cite2:hmt:lsj.chicago_md:n60737	v-dppann-
κυμαίνοντ’	kumai/nont'	κυμαίνω	kumai/nw	urn:cite2:hmt:lsj.chicago_md:n60737	v-dppanv-
κυμαίνοντ’	kumai/nont'	κυμαίνω	kumai/nw	urn:cite2:hmt:lsj.chicago_md:n60737	v-dppana-
κυμαίνοντ’	kumai/nont'	κυμαίνω	kumai/nw	urn:cite2:hmt:lsj.chicago_md:n60737	v3ppie---
κυμαίνοντ’	kumai/nont'	κυμαίνω	kumai/nw	urn:cite2:hmt:lsj.chicago_md:n60737	v3piie---
κυρεῖ	kurei=	κυρέω	kure/w	urn:cite2:hmt:lsj.chicago_md:n61030	v2spie---
κυρεῖ	kurei=	κυρέω	kure/w	urn:cite2:hmt:lsj.chicago_md:n61030	v3spia---
κυρεῖν	kurei=n	κυρέω	kure/w	urn:cite2:hmt:lsj.chicago_md:n61030	v--pna---
κυρήσας	kurh/sas	κυρέω	kure/w	urn:cite2:hmt:lsj.chicago_md:n61030	v-sapamn-
κυρήσας	kurh/sas	κυρέω	kure/w	urn:cite2:hmt:lsj.chicago_md:n61030	v-sapamv-
κυσίν	kusi/n	κύων	ku/wn	urn:cite2:hmt:lsj.chicago_md:n61177	n-p---md-
κυσίν	kusi/n	κύων	ku/wn	urn:cite2:hmt:lsj.chicago_md:n61177	n-p---fd-
κωκυτοῖσιν	kwkutoi=sin	Κωκυτός	*kwkuto/s	urn:cite2:hmt:lsj.chicago_md:n61223	n-p---md-
κωφῇ	kwfh=|	κωφάω	kwfa/w	urn:cite2:hmt:lsj.chicago_md:n61413	v2spse---
κωφῇ	kwfh=|	κωφάω	kwfa/w	urn:cite2:hmt:lsj.chicago_md:n61413	v2spie---
κωφῇ	kwfh=|	κωφάω	kwfa/w	urn:cite2:hmt:lsj.chicago_md:n61413	v3spsa---
κωφῇ	kwfh=|	κωφάω	kwfa/w	urn:cite2:hmt:lsj.chicago_md:n61413	v3spia---
κωφῇ	kwfh=|	κωφάω	kwfa/w	urn:cite2:hmt:lsj.chicago_md:n61413	v2spse---
κωφῇ	kwfh=|	κωφάω	kwfa/w	urn:cite2:hmt:lsj.chicago_md:n61413	v2spie---
κωφῇ	kwfh=|	κωφάω	kwfa/w	urn:cite2:hmt:lsj.chicago_md:n61413	v3spsa---
κωφῇ	kwfh=|	κωφός	kwfo/s	urn:cite2:hmt:lsj.chicago_md:n61420	a-s---fd-
κἀγαθούς	ka)gaqou/s	ἀγαθός	a)gaqo/s	urn:cite2:hmt:lsj.chicago_md:n260	a-p---ma-
κἀγορᾶς	ka)gora=s	ἀγορά	a)gora/	urn:cite2:hmt:lsj.chicago_md:n761	n-s---fg-
κἀγορᾶς	ka)gora=s	ἀγοράζω	a)gora/zw	urn:cite2:hmt:lsj.chicago_md:n762	v2sfia---
κἀγρίοις	ka)gri/ois	ἄγριος	a)/grios	urn:cite2:hmt:lsj.chicago_md:n892	a-p---md-
κἀγρίοις	ka)gri/ois	ἄγριος	a)/grios	urn:cite2:hmt:lsj.chicago_md:n892	a-p---nd-
κἀγρίοις	ka)gri/ois	ἄγριος	a)/grios	urn:cite2:hmt:lsj.chicago_md:n892	n-p---md-
κἀγρίοις	ka)gri/ois	ἄγριος	a)/grios	urn:cite2:hmt:lsj.chicago_md:n892	n-p---fd-
κἀγρίοις	ka)gri/ois	ἄγριος	a)/grios	urn:cite2:hmt:lsj.chicago_md:n892	n-p---nd-
κἀγρίοις	ka)gri/ois	ἀγρέω	a)gre/w	urn:cite2:hmt:lsj.chicago_md:n839	v2spoa---
κἀγώ	ka)gw/	ἀγός	a)go/s	urn:cite2:hmt:lsj.chicago_md:n796	n-d---mn-
κἀγώ	ka)gw/	ἀγός	a)go/s	urn:cite2:hmt:lsj.chicago_md:n796	n-d---mv-
κἀγώ	ka)gw/	ἀγός	a)go/s	urn:cite2:hmt:lsj.chicago_md:n796	n-d---ma-
κἀγώ	ka)gw/	ἐγώ	e)gw/	urn:cite2:hmt:lsj.chicago_md:n30657	p-s---mn-
κἀγώ	ka)gw/	ἐγώ	e)gw/	urn:cite2:hmt:lsj.chicago_md:n30657	p-s---mv-
κἀγώ	ka)gw/	ἐγώ	e)gw/	urn:cite2:hmt:lsj.chicago_md:n30657	p-s---fn-
κἀγώ	ka)gw/	ἐγώ	e)gw/	urn:cite2:hmt:lsj.chicago_md:n30657	p-s---fv-
κἀκ	ka)k	ἐκ	e)k	urn:cite2:hmt:lsj.chicago_md:n31575	r--------
κἀμέ	ka)me/	ἁμόσ1	a(mo/s	urn:cite2:hmt:lsj.chicago_md:n5446	a-s---mv-
κἀμέ	ka)me/	ἁμόσ1	a(mo/s	urn:cite2:hmt:lsj.chicago_md:n5447	a-s---mv-
κἀμέ	ka)me/	ἐγώ	e)gw/	urn:cite2:hmt:lsj.chicago_md:n30657	p-s---ma-
κἀμέ	ka)me/	ἐγώ	e)gw/	urn:cite2:hmt:lsj.chicago_md:n30657	p-s---fa-
κἀμέ	ka)me/	ἐμός	e)mo/s	urn:cite2:hmt:lsj.chicago_md:n34194	a-s---mv-
κἀμέ	ka)me/	ἡμός	h(mo/s	urn:cite2:hmt:lsj.chicago_md:n47379	a-s---mv-
κἀμῶν	ka)mw=n	ἁμόσ1	a(mo/s	urn:cite2:hmt:lsj.chicago_md:n5446	a-p---fg-
κἀμῶν	ka)mw=n	ἁμόσ1	a(mo/s	urn:cite2:hmt:lsj.chicago_md:n5447	a-p---fg-
