Αἰτωλίς	*ai)twli/s	Αἰτωλίς	*ai)twli/s	n-s---fn-
κηλητήριον	khlhth/rion	κηλητήριος	khlhth/rios	n-s---na-
κινήσῃς	kinh/sh|s	κινέω	kine/w	v2sasa---
κισσός	kisso/s	κισσός	kisso/s	n-s---mn-
κλαγγά	klagga/	κλαγγή	klaggh/	n-d---fn-
κλαγγά	klagga/	κλαγγή	klaggh/	n-d---fv-
κλαγγά	klagga/	κλαγγή	klaggh/	n-d---fa-
κλαγγά	klagga/	κλαγγή	klaggh/	n-s---fn-
κλαγγά	klagga/	κλαγγή	klaggh/	n-s---fv-
κλαίων	klai/wn	κλαίω	klai/w	v-sppamn-
κλεινήν	kleinh/n	κλεινός	kleino/s	a-s---fa-
κλεινός	kleino/s	κλεινός	kleino/s	a-s---mn-
κληθῇ	klhqh=|	καλέω	kale/w	v3sasp---
κληθῇς	klhqh=|s	καλέω	kale/w	v2sasp---
κλιθείς	kliqei/s	κλίνω	kli/nw	v-sappmn-
κλιθείς	kliqei/s	κλίνω	kli/nw	v-sappmv-
κλιθεῖσαν	kliqei=san	κλίνω	kli/nw	v-sappfa-
κλιτύν	klitu/n	κλιτύς	klitu/s	n-s---fa-
κλονεῖ	klonei=	κλονέω	klone/w	v2spie---
κλονεῖ	klonei=	κλονέω	klone/w	v3spia---
κλέονται	kle/ontai	κλέω	kle/w	v3ppie---
κλέπτουσί	kle/ptousi/	κλέπτω	kle/ptw	v-pppamd-
κλέπτουσί	kle/ptousi/	κλέπτω	kle/ptw	v-pppand-
κλέπτουσί	kle/ptousi/	κλέπτω	kle/ptw	v3ppia---
κλίμακες	kli/makes	κλῖμαξ	kli=mac	n-p---fn-
κλίμακες	kli/makes	κλῖμαξ	kli=mac	n-p---fv-
κλίνεις	kli/neis	κλίνω	kli/nw	v2sasa---
κλίνεις	kli/neis	κλίνω	kli/nw	v2spia---
κλύειν	klu/ein	κλύω	klu/w	v--pna---
κλύεις	klu/eis	κλύω	klu/w	v2spia---
κλύοι	klu/oi	κλύω	klu/w	v3saoa---
κλύοι	klu/oi	κλύω	klu/w	v3spoa---
κλύοιμι	klu/oimi	κλύω	klu/w	v1saoa---
κλύοιμι	klu/oimi	κλύω	klu/w	v1spoa---
κλύοντες	klu/ontes	κλύω	klu/w	v-pppamn-
κλύοντες	klu/ontes	κλύω	klu/w	v-pppamv-
κλύουσα	klu/ousa	κλύω	klu/w	v-sppafn-
κλύουσα	klu/ousa	κλύω	klu/w	v-sppafv-
κλύουσαν	klu/ousan	κλύω	klu/w	v-sppafa-
κλύουσ’	klu/ous'	κλύω	klu/w	v-sppafn-
κλύουσ’	klu/ous'	κλύω	klu/w	v-sppafv-
κλύουσ’	klu/ous'	κλύω	klu/w	v-pppamd-
κλύουσ’	klu/ous'	κλύω	klu/w	v-pppand-
κλύουσ’	klu/ous'	κλύω	klu/w	v3ppia---
κλύουσ’	klu/ous'	κλύω	klu/w	v-pppafn-
κλύουσ’	klu/ous'	κλύω	klu/w	v-pppafv-
κλύω	klu/w	κλύω	klu/w	v1sasa---
κλύω	klu/w	κλύω	klu/w	v1spsa---
κλύω	klu/w	κλύω	klu/w	v1spia---
κλύων	klu/wn	κλύω	klu/w	v-sppamn-
κλῃζόμενοι	klh|zo/menoi	κλῄζω1	klh/|zw1	v-pppemn-
κλῃζόμενοι	klh|zo/menoi	κλῄζω1	klh/|zw1	v-pppemv-
κλῃζόμενοι	klh|zo/menoi	κλῄζω1	klh/|zw1	v-pppemn-
κλῃζόμενοι	klh|zo/menoi	κλῄζω1	klh/|zw1	v-pppemv-
κλῃζόμενοι	klh|zo/menoi	κλῄζω2	klh/|zw2	v-pppemn-
κλῃζόμενοι	klh|zo/menoi	κλῄζω2	klh/|zw2	v-pppemv-
κλῄζεται	klh/|zetai	κλῄζω1	klh/|zw1	v3spie---
κλῄζεται	klh/|zetai	κλῄζω2	klh/|zw2	v3spie---
κλῦθί	klu=qi/	κλύω	klu/w	v2sama---
κνώδαλ’	knw/dal'	κνώδαλον	knw/dalon	n-p---nn-
κνώδαλ’	knw/dal'	κνώδαλον	knw/dalon	n-p---nv-
κνώδαλ’	knw/dal'	κνώδαλον	knw/dalon	n-p---na-
κοινωνοῦσα	koinwnou=sa	κοινωνέω	koinwne/w	v-sppafn-
κοινωνοῦσα	koinwnou=sa	κοινωνέω	koinwne/w	v-sppafv-
κοινωνός	koinwno/s	κοινωνός	koinwno/s	n-s---mn-
κοινωνός	koinwno/s	κοινωνός	koinwno/s	n-s---fn-
κοινά	koina/	κοινός	koino/s	a-p---nn-
κοινά	koina/	κοινός	koino/s	a-p---nv-
κοινά	koina/	κοινός	koino/s	a-p---na-
κοινά	koina/	κοινός	koino/s	a-d---fn-
κοινά	koina/	κοινός	koino/s	a-d---fv-
κοινά	koina/	κοινός	koino/s	a-d---fa-
κοινά	koina/	κοινός	koino/s	a-s---fn-
κοινά	koina/	κοινός	koino/s	a-s---fv-
κοινά	koina/	κοινός	koino/s	n-p---nn-
κοινά	koina/	κοινός	koino/s	n-p---nv-
κοινά	koina/	κοινός	koino/s	n-p---na-
κοινήν	koinh/n	κοινός	koino/s	a-s---fa-
κοινός	koino/s	κοινός	koino/s	a-s---mn-
κοινός	koino/s	κοινός	koino/s	n-s---mn-
κοινός	koino/s	κοινός	koino/s	n-s---fn-
κομήτην	komh/thn	κομάω	koma/w	v3diia---
κομήτην	komh/thn	κομήτης	komh/ths	n-s---ma-
κουφίσας	koufi/sas	κουφίζω	koufi/zw	v-sapamn-
κουφίσας	koufi/sas	κουφίζω	koufi/zw	v-sapamv-
κοὐ	kou)	οὐ	ou)	d--------
κοὐδείς	kou)dei/s	οὐδείς	ou)dei/s	n-s---mn-
κοὐδείς	kou)dei/s	οὐδείς	ou)dei/s	n-s---mv-
κοὐδέν	kou)de/n	οὐδείς	ou)dei/s	n-s---nn-
κοὐδέν	kou)de/n	οὐδείς	ou)dei/s	n-s---nv-
κοὐδέν	kou)de/n	οὐδείς	ou)dei/s	n-s---na-
κοὐκ	kou)k	οὐ	ou)	d--------
κοὐχ	kou)x	οὐ	ou)	d--------
κοὔπω	kou)/pw	οὔπω	ou)/pw	d--------
κοὔτοι	kou)/toi	οὔτοι	ou)/toi	d--------
κοίλῳ	koi/lw|	κόιλος	ko/ilos	a-s---md-
κοίλῳ	koi/lw|	κόιλος	ko/ilos	a-s---nd-
κοίλῳ	koi/lw|	κοῖλος	koi=los	a-s---md-
κοίλῳ	koi/lw|	κοῖλος	koi=los	a-s---nd-
κοίταισι	koi/taisi	κοίτη	koi/th	n-p---fd-
κοίτης	koi/ths	κοίτη	koi/th	n-s---fg-
κοῖλα	koi=la	κόιλος	ko/ilos	a-p---nn-
κοῖλα	koi=la	κόιλος	ko/ilos	a-p---nv-
κοῖλα	koi=la	κόιλος	ko/ilos	a-p---na-
κοῖλα	koi=la	κοῖλος	koi=los	a-p---nn-
κοῖλα	koi=la	κοῖλος	koi=los	a-p---nv-
κοῖλα	koi=la	κοῖλος	koi=los	a-p---na-
κρατιστεύων	kratisteu/wn	κρατιστεύω	kratisteu/w	v-sppamn-
κρατοῦντα	kratou=nta	κρατέω	krate/w	v-pppann-
κρατοῦντα	kratou=nta	κρατέω	krate/w	v-pppanv-
κρατοῦντα	kratou=nta	κρατέω	krate/w	v-pppana-
κρατοῦντα	kratou=nta	κρατέω	krate/w	v-sppama-
κρατοῦσαν	kratou=san	κρατέω	krate/w	v-sppafa-
κρατός	krato/s	κράς	kra/s	n-s---fg-
κραίνων	krai/nwn	κραίνω	krai/nw	v-sppamn-
κρεῖσσον	krei=sson	κρείσσων	krei/sswn	a-s---mv-
κρεῖσσον	krei=sson	κρείσσων	krei/sswn	a-s---fv-
κρεῖσσον	krei=sson	κρείσσων	krei/sswn	a-s---nn-
κρεῖσσον	krei=sson	κρείσσων	krei/sswn	a-s---nv-
κρεῖσσον	krei=sson	κρείσσων	krei/sswn	a-s---na-
κρηναίου	krhnai/ou	κρηναῖος	krhnai=os	a-s---mg-
κρηναίου	krhnai/ou	κρηναῖος	krhnai=os	a-s---ng-
κρηπίς	krhpi/s	κρηπίς	krhpi/s	n-s---fn-
κριτόν	krito/n	κριτός	krito/s	a-s---ma-
κριτόν	krito/n	κριτός	krito/s	a-s---nn-
κριτόν	krito/n	κριτός	krito/s	a-s---nv-
κριτόν	krito/n	κριτός	krito/s	a-s---na-
κρουνοί	krounoi/	κρουνός	krouno/s	n-p---mn-
κρουνοί	krounoi/	κρουνός	krouno/s	n-p---mv-
κρυφῇ	krufh=|	κρύπτω	kru/ptw	v3sasp---
κρυφῇ	krufh=|	κρυφῇ	krufh=|	d--------
κράτει	kra/tei	κράτος	kra/tos	n-d---nn-
κράτει	kra/tei	κράτος	kra/tos	n-d---nv-
κράτει	kra/tei	κράτος	kra/tos	n-d---na-
κράτει	kra/tei	κράτος	kra/tos	n-s---nd-
κράτει	kra/tei	κράτος	kra/tos	n-s---nd-
κράτει	kra/tei	κρατέω	krate/w	v2spma---
κράτει	kra/tei	κρατέω	krate/w	v3siia---
κρίνει	kri/nei	κρίνον	kri/non	n-d---nn-
κρίνει	kri/nei	κρίνον	kri/non	n-d---nv-
κρίνει	kri/nei	κρίνον	kri/non	n-d---na-
κρίνει	kri/nei	κρίνον	kri/non	n-s---nd-
κρίνει	kri/nei	κρίνον	kri/non	n-s---nd-
κρίνει	kri/nei	κρίνω	kri/nw	v3sasa---
κρίνει	kri/nei	κρίνω	kri/nw	v2spie---
κρίνει	kri/nei	κρίνω	kri/nw	v3spia---
κρίνειν	kri/nein	κρίνω	kri/nw	v--pna---
κρίνοις	kri/nois	κρίνον	kri/non	n-p---nd-
κρίνοις	kri/nois	κρίνω	kri/nw	v2spoa---
κρίσιν	kri/sin	κρίσις	kri/sis	n-s---fa-
κρύπτειν	kru/ptein	κρύπτω	kru/ptw	v--pna---
κρύφιον	kru/fion	κρύφιος	kru/fios	a-s---ma-
κρύφιον	kru/fion	κρύφιος	kru/fios	a-s---nn-
κρύφιον	kru/fion	κρύφιος	kru/fios	a-s---nv-
κρύφιον	kru/fion	κρύφιος	kru/fios	a-s---na-
κρύφιον	kru/fion	κρύφιος	kru/fios	n-s---ma-
κρύφιον	kru/fion	κρύφιος	kru/fios	n-s---fa-
κρύφιον	kru/fion	κρύφιος	kru/fios	n-s---nn-
κρύφιον	kru/fion	κρύφιος	kru/fios	n-s---nv-
κρύφιον	kru/fion	κρύφιος	kru/fios	n-s---na-
κρύψασ’	kru/yas'	κρύπτω	kru/ptw	v-sapafn-
κρύψασ’	kru/yas'	κρύπτω	kru/ptw	v-sapafv-
κρύψασ’	kru/yas'	κρύπτω	kru/ptw	v-papamd-
κρύψασ’	kru/yas'	κρύπτω	kru/ptw	v-papand-
κρύψασ’	kru/yas'	κρύπτω	kru/ptw	v-papafn-
κρύψασ’	kru/yas'	κρύπτω	kru/ptw	v-papafv-
κρύψομαι	kru/yomai	κρύπτω	kru/ptw	v1sasm---
κρύψομαι	kru/yomai	κρύπτω	kru/ptw	v1sfim---
κρᾶτα	kra=ta	κράς	kra/s	n-s---fa-
κρᾶτα	kra=ta	κράς	kra/s	n-p---nn-
κρᾶτα	kra=ta	κράς	kra/s	n-p---nv-
κρᾶτα	kra=ta	κράς	kra/s	n-p---na-
κρῖναι	kri=nai	κρίνω	kri/nw	v2samm---
κρῖναι	kri=nai	κρίνω	kri/nw	v--ana---
κτείνασα	ktei/nasa	κτείνω	ktei/nw	v-sapafn-
κτείνασα	ktei/nasa	κτείνω	ktei/nw	v-sapafv-
κτείνασ’	ktei/nas'	κτείνω	ktei/nw	v-sapafn-
κτείνασ’	ktei/nas'	κτείνω	ktei/nw	v-sapafv-
κτείνασ’	ktei/nas'	κτείνω	ktei/nw	v-papamd-
κτείνασ’	ktei/nas'	κτείνω	ktei/nw	v-papand-
κτείνασ’	ktei/nas'	κτείνω	ktei/nw	v-papafn-
κτείνασ’	ktei/nas'	κτείνω	ktei/nw	v-papafv-
κτείνει	ktei/nei	κτείνω	ktei/nw	v3sasa---
κτείνει	ktei/nei	κτείνω	ktei/nw	v2spie---
κτείνει	ktei/nei	κτείνω	ktei/nw	v3spia---
κτησίου	kthsi/ou	κτήσιος	kth/sios	a-s---mg-
κτησίου	kthsi/ou	κτήσιος	kth/sios	a-s---ng-
κτήσει	kth/sei	κτάομαι	kta/omai	v2sfim---
κτήσει	kth/sei	κτέομαι	kte/omai	v2sfie---
κτήσει	kth/sei	κτῆσις	kth=sis	n-d---fn-
κτήσει	kth/sei	κτῆσις	kth=sis	n-d---fv-
κτήσει	kth/sei	κτῆσις	kth=sis	n-d---fa-
κτήσει	kth/sei	κτῆσις	kth=sis	n-s---fd-
κτήσει	kth/sei	κτῆσις	kth=sis	n-s---fd-
κτίσαι	kti/sai	κτίζω	kti/zw	v2samm---
κτίσαι	kti/sai	κτίζω	kti/zw	v--ana---
κτίσαι	kti/sai	κτίζω	kti/zw	v3saoa---
κτῆμα	kth=ma	κτῆμα	kth=ma	n-s---nn-
κτῆμα	kth=ma	κτῆμα	kth=ma	n-s---nv-
κτῆμα	kth=ma	κτῆμα	kth=ma	n-s---na-
κτῆσιν	kth=sin	κτάομαι	kta/omai	v2spse---
κτῆσιν	kth=sin	κτέομαι	kte/omai	v2spse---
κτῆσιν	kth=sin	κτείνω	ktei/nw	v2sasm---
κτῆσιν	kth=sin	κτῆσις	kth=sis	n-s---fa-
κτῴμην	ktw/|mhn	κτάομαι	kta/omai	v1spoe---
κυκλοῦσιν	kuklou=sin	κυκλέω	kukle/w	v-pppamd-
κυκλοῦσιν	kuklou=sin	κυκλέω	kukle/w	v-pppand-
κυκλοῦσιν	kuklou=sin	κυκλέω	kukle/w	v3ppia---
κυκλοῦσιν	kuklou=sin	κυκλόω	kuklo/w	v-pppamd-
κυκλοῦσιν	kuklou=sin	κυκλόω	kuklo/w	v-pppand-
κυκλοῦσιν	kuklou=sin	κυκλόω	kuklo/w	v3ppia---
κυρεῖ	kurei=	κυρέω	kure/w	v2spie---
κυρεῖ	kurei=	κυρέω	kure/w	v3spia---
κυρεῖς	kurei=s	κυρέω	kure/w	v2spia---
κυρῶ	kurw=	κυρέω	kure/w	v1spsa---
κυρῶ	kurw=	κυρέω	kure/w	v1spia---
κυρῶ	kurw=	κυρόω	kuro/w	v1spsa---
κυρῶ	kurw=	κυρόω	kuro/w	v1spia---
κωκυτόν	kwkuto/n	Κωκυτός	*kwkuto/s	n-s---ma-
κἀγαθός	ka)gaqo/s	ἀγαθός	a)gaqo/s	a-s---mn-
κἀγώ	ka)gw/	ἀγός	a)go/s	n-d---mn-
κἀγώ	ka)gw/	ἀγός	a)go/s	n-d---mv-
κἀγώ	ka)gw/	ἀγός	a)go/s	n-d---ma-
κἀγώ	ka)gw/	ἐγώ	e)gw/	p-s---mn-
κἀγώ	ka)gw/	ἐγώ	e)gw/	p-s---mv-
κἀγώ	ka)gw/	ἐγώ	e)gw/	p-s---fn-
κἀγώ	ka)gw/	ἐγώ	e)gw/	p-s---fv-
κἀδούλωσεν	ka)dou/lwsen	δουλόω	doulo/w	v3saia---
κἀδάκρυτος	ka)da/krutos	ἀδάκρυτος	a)da/krutos	n-s---mn-
κἀδάκρυτος	ka)da/krutos	ἀδάκρυτος	a)da/krutos	n-s---fn-
κἀδόκουν	ka)do/koun	δοκέω	doke/w	v3piia---
κἀδόκουν	ka)do/koun	δοκέω	doke/w	v1siia---
κἀδόκουν	ka)do/koun	δοκόω	doko/w	v3piia---
κἀδόκουν	ka)do/koun	δοκόω	doko/w	v1siia---
κἀκ	ka)k	ἐκ	e)k	r--------
κἀκεῖνος	ka)kei=nos	ἐκεῖνος	e)kei=nos	n-s---mn-
κἀκκινήσεις	ka)kkinh/seis	ἐκκινέω	e)kkine/w	v2sasa---
κἀκκινήσεις	ka)kkinh/seis	ἐκκινέω	e)kkine/w	v2sfia---
κἀκκινήσεις	ka)kkinh/seis	ἐκκινέω	e)kkine/w	v2sasa---
κἀκκινήσεις	ka)kkinh/seis	ἐκκινέω	e)kkine/w	v2sfia---
κἀκροθίνια	ka)kroqi/nia	ἀκροθίνιον	a)kroqi/nion	n-p---nn-
κἀκροθίνια	ka)kroqi/nia	ἀκροθίνιον	a)kroqi/nion	n-p---nv-
κἀκροθίνια	ka)kroqi/nia	ἀκροθίνιον	a)kroqi/nion	n-p---na-
κἀμοῦ	ka)mou=	ἁμόσ1	a(mo/s1	a-s---mg-
κἀμοῦ	ka)mou=	ἁμόσ1	a(mo/s1	a-s---ng-
κἀμοῦ	ka)mou=	ἁμοῦ	a(mou=	d--------
κἀμοῦ	ka)mou=	ἀμόω	a)mo/w	v2siie---
κἀμοῦ	ka)mou=	ἀμόω	a)mo/w	v2spme---
κἀμοῦ	ka)mou=	ἐγώ	e)gw/	p-s---mg-
κἀμοῦ	ka)mou=	ἐγώ	e)gw/	p-s---fg-
κἀμοῦ	ka)mou=	ἐμέω	e)me/w	v2spme---
κἀμοῦ	ka)mou=	ἐμός	e)mo/s	a-s---mg-
κἀμοῦ	ka)mou=	ἐμός	e)mo/s	a-s---ng-
κἀμοῦ	ka)mou=	ἡμός	h(mo/s	a-s---mg-
κἀμοῦ	ka)mou=	ἡμός	h(mo/s	a-s---ng-
κἀμέ	ka)me/	ἁμόσ1	a(mo/s1	a-s---mv-
κἀμέ	ka)me/	ἐγώ	e)gw/	p-s---ma-
κἀμέ	ka)me/	ἐγώ	e)gw/	p-s---fa-
κἀμέ	ka)me/	ἐμός	e)mo/s	a-s---mv-
κἀμέ	ka)me/	ἡμός	h(mo/s	a-s---mv-
κἀν	ka)n	ἐν	e)n	r--------
κἀν	ka)n	εἰς	ei)s	r--------
κἀναστήσεις	ka)nasth/seis	ἀνίστημι	a)ni/sthmi	v2sasa---
κἀναστήσεις	ka)nasth/seis	ἀνίστημι	a)ni/sthmi	v2sfia---
κἀνιαύσιον	ka)niau/sion	ἐνιαύσιος	e)niau/sios	a-s---ma-
κἀνιαύσιον	ka)niau/sion	ἐνιαύσιος	e)niau/sios	a-s---nn-
κἀνιαύσιον	ka)niau/sion	ἐνιαύσιος	e)niau/sios	a-s---nv-
κἀνιαύσιον	ka)niau/sion	ἐνιαύσιος	e)niau/sios	a-s---na-
κἀνιαύσιον	ka)niau/sion	ἐνιαύσιος	e)niau/sios	n-s---ma-
κἀνιαύσιον	ka)niau/sion	ἐνιαύσιος	e)niau/sios	n-s---fa-
κἀνιαύσιον	ka)niau/sion	ἐνιαύσιος	e)niau/sios	n-s---nn-
κἀνιαύσιον	ka)niau/sion	ἐνιαύσιος	e)niau/sios	n-s---nv-
κἀνιαύσιον	ka)niau/sion	ἐνιαύσιος	e)niau/sios	n-s---na-
κἀννεώσασθαι	ka)nnew/sasqai	ἀνανεόομαι	a)naneo/omai	v--anm---
κἀννεώσασθαι	ka)nnew/sasqai	ἐννεόω	e)nneo/w	v--anm---
κἀνταῦθ’	ka)ntau=q'	ἐνταῦθα	e)ntau=qa	d--------
κἀξ	ka)c	ἐκ	e)k	r--------
κἀξακριβῶσαι	ka)cakribw=sai	ἐξακριβάζω	e)cakriba/zw	v-pfpafn-
κἀξακριβῶσαι	ka)cakribw=sai	ἐξακριβάζω	e)cakriba/zw	v-pfpafv-
κἀξακριβῶσαι	ka)cakribw=sai	ἐξακριβόω	e)cakribo/w	v--ana---
κἀξακριβῶσαι	ka)cakribw=sai	ἐξακριβόω	e)cakribo/w	v--ana---
κἀξαμῶν	ka)camw=n	ἐξαμάω	e)cama/w	v-sppamv-
κἀξαμῶν	ka)camw=n	ἐξαμάω	e)cama/w	v-sppann-
κἀξαμῶν	ka)camw=n	ἐξαμάω	e)cama/w	v-sppanv-
κἀξαμῶν	ka)camw=n	ἐξαμάω	e)cama/w	v-sppana-
κἀξαμῶν	ka)camw=n	ἐξαμάω	e)cama/w	v-sppamn-
κἀξαμῶν	ka)camw=n	ἐξαμάω	e)cama/w	v-sppamn-
κἀξαμῶν	ka)camw=n	ἐξαμάω1	e)cama/w1	v-sppamv-
κἀξαμῶν	ka)camw=n	ἐξαμάω1	e)cama/w1	v-sppann-
κἀξαμῶν	ka)camw=n	ἐξαμάω1	e)cama/w1	v-sppanv-
κἀξαμῶν	ka)camw=n	ἐξαμάω1	e)cama/w1	v-sppana-
κἀξαμῶν	ka)camw=n	ἐξαμάω1	e)cama/w1	v-sppamn-
κἀξαναγκάζεις	ka)canagka/zeis	ἐξαναγκάζω	e)canagka/zw	v2spia---
κἀξαναγκάζεις	ka)canagka/zeis	ἐξαναγκάζω	e)canagka/zw	v2spia---
κἀπροσήγορον	ka)prosh/goron	ἀπροσήγορος	a)prosh/goros	n-s---ma-
κἀπροσήγορον	ka)prosh/goron	ἀπροσήγορος	a)prosh/goros	n-s---fa-
κἀπροσήγορον	ka)prosh/goron	ἀπροσήγορος	a)prosh/goros	n-s---nn-
κἀπροσήγορον	ka)prosh/goron	ἀπροσήγορος	a)prosh/goros	n-s---nv-
κἀπροσήγορον	ka)prosh/goron	ἀπροσήγορος	a)prosh/goros	n-s---na-
κἀπί	ka)pi/	ἐπί	e)pi/	r--------
κἀπό	ka)po/	ἀπό	a)po/	r--------
κἀπ’	ka)p'	Ἀπίς	*)api/s	n-s---fv-
κἀπ’	ka)p'	ἄπιοσ2	a)/pios2	n-s---fv-
κἀπ’	ka)p'	ἀπό	a)po/	r--------
κἀπ’	ka)p'	ἀπό	a)po/	r--------
κἀπ’	ka)p'	ἐπί	e)pi/	r--------
κἀστίν	ka)sti/n	εἰμί	ei)mi/	v3spia---
κἀφύσαμεν	ka)fu/samen	ἀφύσσω	a)fu/ssw	v1paia---
κἀφύσαμεν	ka)fu/samen	ἐφύω	e)fu/w	v1paia---
κἀφύσαμεν	ka)fu/samen	φύω	fu/w	v1paia---
κἀφύσαμεν	ka)fu/samen	φύζω	fu/zw	v1paia---
κἄδρων	ka)/drwn	δράω	dra/w	v3piia---
κἄδρων	ka)/drwn	δράω	dra/w	v1siia---
κἄθηκα	ka)/qhka	τίθημι	ti/qhmi	v1saia---
κἄλλῃ	ka)/llh|	ἄλλῃ	a)/llh|	d--------
κἄλλῃ	ka)/llh|	ἄλλος	a)/llos	n-s---fd-
κἄν	ka)/n	κἀν	ka)n	c--------
κάκιστε	ka/kiste	κακός	kako/s	a-s---mv-
κάλει	ka/lei	καλέω	kale/w	v2spma---
κάλει	ka/lei	καλέω	kale/w	v3siia---
κάλλιστον	ka/lliston	καλός	kalo/s	a-s---ma-
κάλλιστον	ka/lliston	καλός	kalo/s	a-s---nn-
κάλλιστον	ka/lliston	καλός	kalo/s	a-s---nv-
κάλλιστον	ka/lliston	καλός	kalo/s	a-s---na-
κάλλος	ka/llos	κάλλος	ka/llos	n-s---nn-
κάλλος	ka/llos	κάλλος	ka/llos	n-s---nv-
κάλλος	ka/llos	κάλλος	ka/llos	n-s---na-
κάρα	ka/ra	κάρ	ka/r	n-p---nn-
κάρα	ka/ra	κάρ	ka/r	n-p---nv-
κάρα	ka/ra	κάρ	ka/r	n-p---na-
κάρα	ka/ra	κάρα	ka/ra	n-p---nn-
κάρα	ka/ra	κάρα	ka/ra	n-p---nv-
κάρα	ka/ra	κάρα	ka/ra	n-p---na-
κάρα	ka/ra	κάρα	ka/ra	n-s---nn-
κάρα	ka/ra	κάρα	ka/ra	n-s---nv-
κάρα	ka/ra	κάρα	ka/ra	n-s---na-
κάρα	ka/ra	κάρα	ka/ra	n-d---fa-
κάρα	ka/ra	κάρα	ka/ra	n-d---fn-
κάρα	ka/ra	κάρα	ka/ra	n-d---fv-
κάρα	ka/ra	κάρα	ka/ra	n-d---fa-
κάρα	ka/ra	κάρα	ka/ra	n-s---fn-
κάρα	ka/ra	κάρα	ka/ra	n-s---fv-
κάρα	ka/ra	κάρον	ka/ron	n-p---nn-
κάρα	ka/ra	κάρον	ka/ron	n-p---nv-
κάρα	ka/ra	κάρον	ka/ron	n-p---na-
κάρτα	ka/rta	κάρτα	ka/rta	d--------
κάρτα	ka/rta	κάρτος	ka/rtos	n-p---nn-
κάρτα	ka/rta	κάρτος	ka/rtos	n-p---nv-
κάρτα	ka/rta	κάρτος	ka/rtos	n-p---na-
κάρτ’	ka/rt'	κάρτα	ka/rta	d--------
κάταγμα	ka/tagma	κάταγμα	ka/tagma	n-s---nn-
κάταγμα	ka/tagma	κάταγμα	ka/tagma	n-s---nv-
κάταγμα	ka/tagma	κάταγμα	ka/tagma	n-s---na-
κάτοιδε	ka/toide	κάτοιδα	ka/toida	v3sria---
κάτοισθα	ka/toisqa	κάτοιδα	ka/toida	v2sria---
κάτοισθ’	ka/toisq'	κάτοιδα	ka/toida	v2sria---
κάτοισθ’	ka/toisq'	καθίημι	kaqi/hmi	v2paom---
κάτοχον	ka/toxon	κάτοχος	ka/toxos	n-s---ma-
κάτοχον	ka/toxon	κάτοχος	ka/toxos	n-s---fa-
κάτοχον	ka/toxon	κάτοχος	ka/toxos	n-s---nn-
κάτοχον	ka/toxon	κάτοχος	ka/toxos	n-s---nv-
κάτοχον	ka/toxon	κάτοχος	ka/toxos	n-s---na-
κέαρ	ke/ar	κῆρ	kh=r	n-s---nv-
κέαρ	ke/ar	κῆρ	kh=r	n-s---na-
κέαρ	ke/ar	κῆρ	kh=r	n-s---nn-
κέλευθοι	ke/leuqoi	κέλευθος	ke/leuqos	n-p---fn-
κέλευθοι	ke/leuqoi	κέλευθος	ke/leuqos	n-p---fv-
κέντρ’	ke/ntr'	κέντρον	ke/ntron	n-p---nn-
κέντρ’	ke/ntr'	κέντρον	ke/ntron	n-p---nv-
κέντρ’	ke/ntr'	κέντρον	ke/ntron	n-p---na-
κέρδος	ke/rdos	κέρδος	ke/rdos	n-s---nn-
κέρδος	ke/rdos	κέρδος	ke/rdos	n-s---nv-
κέρδος	ke/rdos	κέρδος	ke/rdos	n-s---na-
κέχυται	ke/xutai	χέω	xe/w	v3srie---
κήδευσον	kh/deuson	κηδεύω	khdeu/w	v2sama---
κήρ	kh/r	κήρ	kh/r	n-s---fn-
κήρυκα	kh/ruka	κῆρυξ	kh=ruc	n-s---ma-
κόμης	ko/mhs	κόμη	ko/mh	n-s---fg-
κόμης	ko/mhs	κόμης	ko/mhs	n-s---fn-
κόμης	ko/mhs	κομάω	koma/w	v2spia---
κόμης	ko/mhs	κομάω	koma/w	v2siia---
κόρας	ko/ras	κόρη	ko/rh	n-p---fa-
κόρας	ko/ras	κόρη	ko/rh	n-s---fg-
κόρη	ko/rh	κόρη	ko/rh	n-s---fn-
κόρη	ko/rh	κόρη	ko/rh	n-s---fv-
κόρη	ko/rh	κόρις	ko/ris	n-d---mn-
κόρη	ko/rh	κόρις	ko/ris	n-d---mv-
κόρη	ko/rh	κόρις	ko/ris	n-d---ma-
κόρη	ko/rh	κορέω	kore/w	v2spma---
κόρη	ko/rh	κορέω	kore/w	v3siia---
κόρην	ko/rhn	κόρη	ko/rh	n-s---fa-
κόρης	ko/rhs	κόρη	ko/rh	n-s---fg-
κόρης	ko/rhs	κόρις	ko/ris	n-p---mn-
κόρης	ko/rhs	κόρις	ko/ris	n-p---mv-
κόρης	ko/rhs	κόρις	ko/ris	n-p---mn-
κόρης	ko/rhs	κορέω	kore/w	v2siia---
κόρος	ko/ros	κόροσ1	ko/ros1	n-s---mn-
κόρος	ko/ros	κόροσ2	ko/ros2	n-s---mn-
κόρος	ko/ros	κόροσ3	ko/ros3	n-s---mn-
κόσμῳ	ko/smw|	κόσμος	ko/smos	n-s---md-
κύκλῳ	ku/klw|	κύκλος	ku/klos	n-s---md-
κύματ’	ku/mat'	κῦμα	ku=ma	n-p---nn-
κύματ’	ku/mat'	κῦμα	ku=ma	n-p---nv-
κύματ’	ku/mat'	κῦμα	ku=ma	n-p---na-
