Αἰσχύλῳ	*ai)sxu/lw|	Αἰσχύλος	*ai)sxu/los	n-s---md-
Βακχεῖον	*bakxei=on	Βάκχειος	*ba/kxeios	a-s---ma-
Βακχεῖον	*bakxei=on	Βάκχειος	*ba/kxeios	a-s---nn-
Βακχεῖον	*bakxei=on	Βάκχειος	*ba/kxeios	a-s---nv-
Βακχεῖον	*bakxei=on	Βάκχειος	*ba/kxeios	a-s---na-
Βακχεῖον	*bakxei=on	Βακχεῖον	*bakxei=on	n-s---nn-
Βακχεῖον	*bakxei=on	Βακχεῖον	*bakxei=on	n-s---nv-
Βακχεῖον	*bakxei=on	Βακχεῖον	*bakxei=on	n-s---na-
Βακχεῖον	*bakxei=on	Βακχεῖον	*bakxei=on	n-s---nn-
Βακχεῖον	*bakxei=on	Βακχεῖον	*bakxei=on	n-s---nv-
Βακχεῖον	*bakxei=on	Βακχεῖον	*bakxei=on	n-s---na-
Βακχᾶν	*bakxa=n	Βακχάω	*bakxa/w	v-sppamv-
Βακχᾶν	*bakxa=n	Βακχάω	*bakxa/w	v-sppann-
Βακχᾶν	*bakxa=n	Βακχάω	*bakxa/w	v-sppanv-
Βακχᾶν	*bakxa=n	Βακχάω	*bakxa/w	v-sppana-
Βακχᾶν	*bakxa=n	Βακχάω	*bakxa/w	v-sppamn-
Βακχᾶν	*bakxa=n	Βακχάω	*bakxa/w	v--pna---
Βακχᾶν	*bakxa=n	Βακχάω	*bakxa/w	v--pna---
Βοιωτία	*boiwti/a	Βοιώτιος	*boiw/tios	a-d---fn-
Βοιωτία	*boiwti/a	Βοιώτιος	*boiw/tios	a-d---fv-
Βοιωτία	*boiwti/a	Βοιώτιος	*boiw/tios	a-d---fa-
Βοιωτία	*boiwti/a	Βοιώτιος	*boiw/tios	a-s---fn-
Βοιωτία	*boiwti/a	Βοιώτιος	*boiw/tios	a-s---fv-
Βοιωτία	*boiwti/a	Βοιωτία	*boiwti/a	n-d---fn-
Βοιωτία	*boiwti/a	Βοιωτία	*boiwti/a	n-d---fv-
Βοιωτία	*boiwti/a	Βοιωτία	*boiwti/a	n-d---fa-
Βοιωτία	*boiwti/a	Βοιωτία	*boiwti/a	n-s---fn-
Βοιωτία	*boiwti/a	Βοιωτία	*boiwti/a	n-s---fv-
Βοιωτίους	*boiwti/ous	Βοιώτιος	*boiw/tios	a-p---ma-
Βοιωτῶν	*boiwtw=n	Βοιωτός	*boiwto/s	n-p---mg-
Βουπάλου	*boupa/lou	Βούπαλος	*bou/palos	n-s---mg-
Βραυρωνίοις	*braurwni/ois	Βραυρώνιος	*braurw/nios	a-p---md-
Βραυρωνίοις	*braurwni/ois	Βραυρώνιος	*braurw/nios	a-p---nd-
Βάκχιος	*ba/kxios	Βάκχειος	*ba/kxeios	a-s---mn-
Βάκχιος	*ba/kxios	Βάκχειος	*ba/kxeios	a-s---mn-
Γενετυλλίδος	*genetulli/dos	Γενετυλλίς	*genetulli/s	n-s---fg-
Γοργόνα	*gorgo/na	Γοργόνη	*gorgo/nh	n-d---fn-
Γοργόνα	*gorgo/na	Γοργόνη	*gorgo/nh	n-d---fv-
Γοργόνα	*gorgo/na	Γοργόνη	*gorgo/nh	n-d---fa-
Γοργόνα	*gorgo/na	Γοργόνη	*gorgo/nh	n-s---fn-
Γοργόνα	*gorgo/na	Γοργόνη	*gorgo/nh	n-s---fv-
Γοργόνα	*gorgo/na	Γοργών	*gorgw/n	n-s---fa-
Δημόστρατος	*dhmo/stratos	Δημόστρατος	*dhmo/stratos	n-s---mn-
Διαλλαγή	*diallagh/	διαλλαγή	diallagh/	n-s---fn-
Διαλλαγή	*diallagh/	διαλλαγή	diallagh/	n-s---fv-
Δράκης	*dra/khs	Δράκης	*dra/khs	n-p---ma-
Δράκης	*dra/khs	Δράκης	*dra/khs	n-p---mn-
Δράκης	*dra/khs	Δράκης	*dra/khs	n-p---mv-
Δράκης	*dra/khs	Δράκης	*dra/khs	n-s---mn-
Δράκης	*dra/khs	δέρκομαι	de/rkomai	v2saip---
Δήμητρ’	*dh/mhtr'	Δημήτηρ	*dhmh/thr	n-s---fa-
Δήμητρ’	*dh/mhtr'	Δημήτηρ	*dhmh/thr	n-s---fn-
Δήμητρ’	*dh/mhtr'	Δημήτηρ	*dhmh/thr	n-s---fv-
Δήμητρ’	*dh/mhtr'	Δημήτηρ	*dhmh/thr	n-s---fd-
Δήμητρ’	*dh/mhtr'	Δημήτηρ	*dhmh/thr	n-p---fn-
Δήμητρ’	*dh/mhtr'	Δημήτηρ	*dhmh/thr	n-p---fv-
Δία	*di/a	Δίη	*di/h	n-s---fn-
Δία	*di/a	Δίη	*di/h	n-s---fv-
Δία	*di/a	Δίον	*di/on	n-p---nn-
Δία	*di/a	Δίον	*di/on	n-p---nv-
Δία	*di/a	Δίον	*di/on	n-p---na-
Δία	*di/a	Ζεύς	*zeu/s	n-s---ma-
Δία	*di/a	δῖος	di=os	a-d---fn-
Δία	*di/a	δῖος	di=os	a-d---fv-
Δία	*di/a	δῖος	di=os	a-d---fa-
Δία	*di/a	δῖος	di=os	a-s---fn-
Δία	*di/a	δῖος	di=os	a-s---fv-
Εἰλείθυι’	*ei)lei/qui'	Εἰλείθυια	*ei)lei/quia	n-s---fn-
Εἰλείθυι’	*ei)lei/qui'	Εἰλείθυια	*ei)lei/quia	n-s---fv-
Εἰλείθυι’	*ei)lei/qui'	Εἰλείθυια	*ei)lei/quia	n-p---fn-
Εἰλείθυι’	*ei)lei/qui'	Εἰλείθυια	*ei)lei/quia	n-p---fv-
Εἰλείθυι’	*ei)lei/qui'	Εἰλείθυιον	*ei)lei/quion	n-p---nn-
Εἰλείθυι’	*ei)lei/qui'	Εἰλείθυιον	*ei)lei/quion	n-p---nv-
Εἰλείθυι’	*ei)lei/qui'	Εἰλείθυιον	*ei)lei/quion	n-p---na-
Εὐκράτη	*eu)kra/th	Εὐκράτης	*eu)kra/ths	n-d---mn-
Εὐκράτη	*eu)kra/th	Εὐκράτης	*eu)kra/ths	n-d---mv-
Εὐκράτη	*eu)kra/th	Εὐκράτης	*eu)kra/ths	n-d---ma-
Εὐκράτη	*eu)kra/th	Εὐκράτης	*eu)kra/ths	n-s---ma-
Εὐριπίδου	*eu)ripi/dou	Εὐριπίδης	*eu)ripi/dhs	n-s---mg-
Εὐριπίδου	*eu)ripi/dou	εὐριπίδης	eu)ripi/dhs	n-s---mg-
Εὐριπίδῃ	*eu)ripi/dh|	Εὐριπίδης	*eu)ripi/dhs	n-s---md-
Εὐριπίδῃ	*eu)ripi/dh|	εὐριπίδης	eu)ripi/dhs	n-s---md-
Εὐρώταν	*eu)rw/tan	Εὐρώτας	*eu)rw/tas	n-s---ma-
Ζακυνθίων	*zakunqi/wn	Ζακύνθιος	*zaku/nqios	a-p---fg-
Ζακυνθίων	*zakunqi/wn	Ζακύνθιος	*zaku/nqios	a-p---mg-
Ζακυνθίων	*zakunqi/wn	Ζακύνθιος	*zaku/nqios	a-p---ng-
Ζεύς	*zeu/s	Ζεύς	*zeu/s	n-s---mn-
Ζεῦ	*zeu=	Ζεύς	*zeu/s	n-s---mv-
Ζεῦ	*zeu=	ζέω	ze/w	v2spme---
Ζεῦ	*zeu=	ζέω	ze/w	v2siie---
Ζῆν’	*zh=n'	Ζεύς	*zeu/s	n-s---ma-
Ζῆν’	*zh=n'	ζῆνος	zh=nos	a-p---nn-
Ζῆν’	*zh=n'	ζῆνος	zh=nos	a-p---nv-
Ζῆν’	*zh=n'	ζῆνος	zh=nos	a-p---na-
Ζῆν’	*zh=n'	ζῆνος	zh=nos	a-s---mv-
Ζῆν’	*zh=n'	ζῆνος	zh=nos	a-p---fn-
Ζῆν’	*zh=n'	ζῆνος	zh=nos	a-p---fv-
Θεογένους	*qeoge/nous	Θεογένης	*qeoge/nhs	n-s---mg-
Θετταλῶν	*qettalw=n	Θεσσαλός	*qessalo/s	n-p---mg-
Θηβαία	*qhbai/a	Θηβαῖος	*qhbai=os	a-d---fn-
Θηβαία	*qhbai/a	Θηβαῖος	*qhbai=os	a-d---fv-
Θηβαία	*qhbai/a	Θηβαῖος	*qhbai=os	a-d---fa-
Θηβαία	*qhbai/a	Θηβαῖος	*qhbai=os	a-s---fn-
Θηβαία	*qhbai/a	Θηβαῖος	*qhbai=os	a-s---fv-
Θρᾴκης	*qra/|khs	Θρᾳκία	*qra|ki/a	n-s---fg-
Θρᾷξ	*qra=|c	Θρᾷξ	*qra=|c	n-s---mn-
Θρᾷξ	*qra=|c	Θρᾷξ	*qra=|c	n-s---mv-
Θάσιον	*qa/sion	Θάσιος	*qa/sios	a-s---ma-
Θάσιον	*qa/sion	Θάσιος	*qa/sios	a-s---nn-
Θάσιον	*qa/sion	Θάσιος	*qa/sios	a-s---nv-
Θάσιον	*qa/sion	Θάσιος	*qa/sios	a-s---na-
Καλονίκη	*kaloni/kh	Καλονίκη	*kaloni/kh	n-s---fn-
Καλονίκη	*kaloni/kh	Καλονίκη	*kaloni/kh	n-s---fv-
Καλύκην	*kalu/khn	Καλύκη	*kalu/kh	n-s---fa-
Καλύκην	*kalu/khn	καλύκη	kalu/kh	n-s---fa-
Καρυστίοις	*karusti/ois	Καρύστιος	*karu/stios	a-p---md-
Καρυστίοις	*karusti/ois	Καρύστιος	*karu/stios	a-p---nd-
Καρυστίους	*karusti/ous	Καρύστιος	*karu/stios	a-p---ma-
Κιμμερικόν	*kimmeriko/n	Κιμμερικός	*kimmeriko/s	a-s---ma-
Κιμμερικόν	*kimmeriko/n	Κιμμερικός	*kimmeriko/s	a-s---nn-
Κιμμερικόν	*kimmeriko/n	Κιμμερικός	*kimmeriko/s	a-s---nv-
Κιμμερικόν	*kimmeriko/n	Κιμμερικός	*kimmeriko/s	a-s---na-
Κιμμερικόν	*kimmeriko/n	κιμμερικόν	kimmeriko/n	n-s---nn-
Κιμμερικόν	*kimmeriko/n	κιμμερικόν	kimmeriko/n	n-s---nv-
Κιμμερικόν	*kimmeriko/n	κιμμερικόν	kimmeriko/n	n-s---na-
Κιμμερίκ’	*kimmeri/k'	Κιμμερικός	*kimmeriko/s	a-p---nn-
Κιμμερίκ’	*kimmeri/k'	Κιμμερικός	*kimmeriko/s	a-p---nv-
Κιμμερίκ’	*kimmeri/k'	Κιμμερικός	*kimmeriko/s	a-p---na-
Κιμμερίκ’	*kimmeri/k'	Κιμμερικός	*kimmeriko/s	a-d---fn-
Κιμμερίκ’	*kimmeri/k'	Κιμμερικός	*kimmeriko/s	a-d---fv-
Κιμμερίκ’	*kimmeri/k'	Κιμμερικός	*kimmeriko/s	a-d---fa-
Κιμμερίκ’	*kimmeri/k'	Κιμμερικός	*kimmeriko/s	a-s---fn-
Κιμμερίκ’	*kimmeri/k'	Κιμμερικός	*kimmeriko/s	a-s---fv-
Κιμμερίκ’	*kimmeri/k'	Κιμμερικός	*kimmeriko/s	a-s---mv-
Κιμμερίκ’	*kimmeri/k'	Κιμμερικός	*kimmeriko/s	a-p---fn-
Κιμμερίκ’	*kimmeri/k'	Κιμμερικός	*kimmeriko/s	a-p---fv-
Κιμμερίκ’	*kimmeri/k'	κιμμερικόν	kimmeriko/n	n-p---nn-
Κιμμερίκ’	*kimmeri/k'	κιμμερικόν	kimmeriko/n	n-p---nv-
Κιμμερίκ’	*kimmeri/k'	κιμμερικόν	kimmeriko/n	n-p---na-
Κινησίαν	*kinhsi/an	Κινησίας	*kinhsi/as	n-s---ma-
Κινησίας	*kinhsi/as	Κινησίας	*kinhsi/as	n-p---ma-
Κινησίας	*kinhsi/as	Κινησίας	*kinhsi/as	n-s---mn-
Κινησίᾳ	*kinhsi/a|	Κινησίας	*kinhsi/as	n-s---md-
Κλεισθένη	*kleisqe/nh	Κλεισθένης	*kleisqe/nhs	n-d---mn-
Κλεισθένη	*kleisqe/nh	Κλεισθένης	*kleisqe/nhs	n-d---mv-
Κλεισθένη	*kleisqe/nh	Κλεισθένης	*kleisqe/nhs	n-d---ma-
Κλεισθένη	*kleisqe/nh	Κλεισθένης	*kleisqe/nhs	n-s---ma-
Κλεισθένους	*kleisqe/nous	Κλεισθένης	*kleisqe/nhs	n-s---mg-
Κλειταγόρας	*kleitago/ras	Κλειταγόρη	*kleitago/rh	n-p---fa-
Κλειταγόρας	*kleitago/ras	Κλειταγόρη	*kleitago/rh	n-s---fg-
Κλεομένης	*kleome/nhs	Κλεομένης	*kleome/nhs	n-p---ma-
Κλεομένης	*kleome/nhs	Κλεομένης	*kleome/nhs	n-p---mn-
Κλεομένης	*kleome/nhs	Κλεομένης	*kleome/nhs	n-p---mv-
Κλεομένης	*kleome/nhs	Κλεομένης	*kleome/nhs	n-s---mn-
Κλεομένης	*kleome/nhs	κλέω	kle/w	v-sppefg-
Κλεψύδρᾳ	*kleyu/dra|	Κλεψύδρη	*kleyu/drh	n-s---fd-
Κλεψύδρᾳ	*kleyu/dra|	κλεψύδρα	kleyu/dra	n-p---fn-
Κλεψύδρᾳ	*kleyu/dra|	κλεψύδρα	kleyu/dra	n-p---fv-
Κλεψύδρᾳ	*kleyu/dra|	κλεψύδρα	kleyu/dra	n-s---fd-
Κορινθία	*korinqi/a	Κορίνθιος	*kori/nqios	a-d---fn-
Κορινθία	*korinqi/a	Κορίνθιος	*kori/nqios	a-d---fv-
Κορινθία	*korinqi/a	Κορίνθιος	*kori/nqios	a-d---fa-
Κορινθία	*korinqi/a	Κορίνθιος	*kori/nqios	a-s---fn-
Κορινθία	*korinqi/a	Κορίνθιος	*kori/nqios	a-s---fv-
Κορύβαντες	*koru/bantes	Κορύβασ-πλ	*koru/bas-pl	n-p---mn-
Κορύβαντες	*koru/bantes	Κορύβασ-πλ	*koru/bas-pl	n-p---mv-
Κραναάν	*kranaa/n	Κραναή	*kranah/	n-s---fa-
Κραναάν	*kranaa/n	κραναός	kranao/s	a-s---fa-
Κυθήρων	*kuqh/rwn	Κύθηρα	*ku/qhra	n-p---ng-
Κυθήρων	*kuqh/rwn	Κύθηρος	*ku/qhros	n-p---mg-
Κυναλώπηξ	*kunalw/phc	κυναλώπηξ	kunalw/phc	n-s---fn-
Κυπρογένει’	*kuproge/nei'	Κυπρογένεια	*kuproge/neia	n-s---fn-
Κυπρογένει’	*kuproge/nei'	Κυπρογένεια	*kuproge/neia	n-s---fv-
Κυπρογένει’	*kuproge/nei'	Κυπρογενής	*kuprogenh/s	n-s---fn-
Κυπρογένει’	*kuproge/nei'	Κυπρογενής	*kuprogenh/s	n-s---fv-
Κωλιάδ’	*kwlia/d'	Κωλιάς	*kwlia/s	n-s---fa-
Κωλιάδ’	*kwlia/d'	Κωλιάς	*kwlia/s	n-s---fd-
Κωλιάδ’	*kwlia/d'	Κωλιάς	*kwlia/s	n-d---fn-
Κωλιάδ’	*kwlia/d'	Κωλιάς	*kwlia/s	n-d---fv-
Κωλιάδ’	*kwlia/d'	Κωλιάς	*kwlia/s	n-d---fa-
Κάστορα	*ka/stora	Κάστωρ	*ka/stwr	n-s---ma-
Κάστορα	*ka/stora	κάστωρ	ka/stwr	n-s---ma-
Κίμων	*ki/mwn	Κίμων	*ki/mwn	n-s---mn-
Κίμων	*ki/mwn	Κίμων	*ki/mwn	n-s---mv-
Κύπρις	*ku/pris	Κύπρις	*ku/pris	n-s---fn-
Κύπρου	*ku/prou	Κύπρος	*ku/pros	n-s---fg-
Κύπρου	*ku/prou	κύπρος	ku/pros	n-s---fg-
Λακεδαίμονα	*lakedai/mona	Λακεδαίμων	*lakedai/mwn	n-s---fa-
Λακεδαίμονι	*lakedai/moni	Λακεδαίμων	*lakedai/mwn	n-s---fd-
Λακεδαίμων	*lakedai/mwn	Λακεδαίμων	*lakedai/mwn	n-s---fn-
Λακεδαίμων	*lakedai/mwn	Λακεδαίμων	*lakedai/mwn	n-s---fv-
Λακωνικοί	*lakwnikoi/	Λακωνικός	*lakwniko/s	a-p---mn-
Λακωνικοί	*lakwnikoi/	Λακωνικός	*lakwniko/s	a-p---mv-
Λακωνικοί	*lakwnikoi/	Λακωνικός	*lakwniko/s	a-p---mn-
Λακωνικοί	*lakwnikoi/	Λακωνικός	*lakwniko/s	a-p---mv-
Λακωνικούς	*lakwnikou/s	Λακωνικός	*lakwniko/s	a-p---ma-
Λακωνικούς	*lakwnikou/s	Λακωνικός	*lakwniko/s	a-p---ma-
Λακωνικοῖς	*lakwnikoi=s	Λακωνικός	*lakwniko/s	a-p---md-
Λακωνικοῖς	*lakwnikoi=s	Λακωνικός	*lakwniko/s	a-p---nd-
Λακωνικοῖς	*lakwnikoi=s	Λακωνικός	*lakwniko/s	a-p---md-
Λακωνικοῖς	*lakwnikoi=s	Λακωνικός	*lakwniko/s	a-p---nd-
Λακωνικά	*lakwnika/	Λακωνικός	*lakwniko/s	a-p---nn-
Λακωνικά	*lakwnika/	Λακωνικός	*lakwniko/s	a-p---nv-
Λακωνικά	*lakwnika/	Λακωνικός	*lakwniko/s	a-p---na-
Λακωνικά	*lakwnika/	Λακωνικός	*lakwniko/s	a-d---fn-
Λακωνικά	*lakwnika/	Λακωνικός	*lakwniko/s	a-d---fv-
Λακωνικά	*lakwnika/	Λακωνικός	*lakwniko/s	a-d---fa-
Λακωνικά	*lakwnika/	Λακωνικός	*lakwniko/s	a-s---fn-
Λακωνικά	*lakwnika/	Λακωνικός	*lakwniko/s	a-s---fv-
Λακωνικά	*lakwnika/	Λακωνικός	*lakwniko/s	a-p---nn-
Λακωνικά	*lakwnika/	Λακωνικός	*lakwniko/s	a-p---nv-
Λακωνικά	*lakwnika/	Λακωνικός	*lakwniko/s	a-p---na-
Λακωνικά	*lakwnika/	Λακωνικός	*lakwniko/s	a-d---fn-
Λακωνικά	*lakwnika/	Λακωνικός	*lakwniko/s	a-d---fv-
Λακωνικά	*lakwnika/	Λακωνικός	*lakwniko/s	a-d---fa-
Λακωνικά	*lakwnika/	Λακωνικός	*lakwniko/s	a-s---fn-
Λακωνικά	*lakwnika/	Λακωνικός	*lakwniko/s	a-s---fv-
Λακωνική	*lakwnikh/	Λακωνικός	*lakwniko/s	a-s---fn-
Λακωνική	*lakwnikh/	Λακωνικός	*lakwniko/s	a-s---fv-
Λακωνική	*lakwnikh/	Λακωνικός	*lakwniko/s	a-s---fn-
Λακωνική	*lakwnikh/	Λακωνικός	*lakwniko/s	a-s---fv-
Λακωνικόν	*lakwniko/n	Λακωνικός	*lakwniko/s	a-s---ma-
Λακωνικόν	*lakwniko/n	Λακωνικός	*lakwniko/s	a-s---nn-
Λακωνικόν	*lakwniko/n	Λακωνικός	*lakwniko/s	a-s---nv-
Λακωνικόν	*lakwniko/n	Λακωνικός	*lakwniko/s	a-s---na-
Λακωνικόν	*lakwniko/n	Λακωνικός	*lakwniko/s	a-s---ma-
Λακωνικόν	*lakwniko/n	Λακωνικός	*lakwniko/s	a-s---nn-
Λακωνικόν	*lakwniko/n	Λακωνικός	*lakwniko/s	a-s---nv-
Λακωνικόν	*lakwniko/n	Λακωνικός	*lakwniko/s	a-s---na-
Λακώνων	*lakw/nwn	Λάκων	*la/kwn	n-p---mg-
Λαμπιτοῖ	*lampitoi=	Λαμπιτώ	*lampitw/	n-s---fd-
Λαμπιτώ	*lampitw/	Λαμπιτώ	*lampitw/	n-s---fn-
Λεωνίδας	*lewni/das	Λεωνίδας	*lewni/das	n-p---ma-
Λεωνίδας	*lewni/das	Λεωνίδας	*lewni/das	n-s---mn-
Λυσιμάχας	*lusima/xas	Λυσιμάχη	*lusima/xh	n-p---fa-
Λυσιμάχας	*lusima/xas	Λυσιμάχη	*lusima/xh	n-s---fg-
Λυσιμάχας	*lusima/xas	λυσίμαχος	lusi/maxos	a-p---fa-
Λυσιμάχας	*lusima/xas	λυσίμαχος	lusi/maxos	a-s---fg-
Λυσιστράτη	*lusistra/th	Λυσιστράτη	*lusistra/th	n-s---fn-
Λυσιστράτη	*lusistra/th	Λυσιστράτη	*lusistra/th	n-s---fv-
Λυσίστρατον	*lusi/straton	Λυσίστρατος	*lusi/stratos	n-s---ma-
Λάκαινα	*la/kaina	Λάκαινα	*la/kaina	n-s---fn-
Λάκαινα	*la/kaina	Λάκαινα	*la/kaina	n-s---fv-
Λάκων	*la/kwn	Λάκων	*la/kwn	n-s---mn-
Λάκων	*la/kwn	Λάκων	*la/kwn	n-s---mv-
Λάκων	*la/kwn	λακάω	laka/w	v3piia---
Λάκων	*la/kwn	λακάω	laka/w	v1siia---
Λάκωνες	*la/kwnes	Λάκων	*la/kwn	n-p---mn-
Λάκωνες	*la/kwnes	Λάκων	*la/kwn	n-p---mv-
Λάχης	*la/xhs	Λάχης	*la/xhs	n-s---mn-
Λάχης	*la/xhs	λάχη	la/xh	n-s---fg-
Λήδας	*lh/das	Λήδη	*lh/dh	n-s---fg-
Λήμνιον	*lh/mnion	Λήμνιος	*lh/mnios	a-s---ma-
Λήμνιον	*lh/mnion	Λήμνιος	*lh/mnios	a-s---nn-
Λήμνιον	*lh/mnion	Λήμνιος	*lh/mnios	a-s---nv-
Λήμνιον	*lh/mnion	Λήμνιος	*lh/mnios	a-s---na-
Λύκωνος	*lu/kwnos	Λύκων	*lu/kwn	n-s---mg-
Μανῆς	*manh=s	μανός	mano/s	a-s---fg-
Μεγαρικά	*megarika/	Μεγαρικός	*megariko/s	a-p---nn-
Μεγαρικά	*megarika/	Μεγαρικός	*megariko/s	a-p---nv-
Μεγαρικά	*megarika/	Μεγαρικός	*megariko/s	a-p---na-
Μεγαρικά	*megarika/	Μεγαρικός	*megariko/s	a-d---fn-
Μεγαρικά	*megarika/	Μεγαρικός	*megariko/s	a-d---fv-
Μεγαρικά	*megarika/	Μεγαρικός	*megariko/s	a-d---fa-
Μεγαρικά	*megarika/	Μεγαρικός	*megariko/s	a-s---fn-
Μεγαρικά	*megarika/	Μεγαρικός	*megariko/s	a-s---fv-
Μελανίων	*melani/wn	Μελανίων	*melani/wn	n-s---mn-
Μελανίων	*melani/wn	Μελανίων	*melani/wn	n-s---mv-
Μελανίων	*melani/wn	μελάνια	mela/nia	n-p---ng-
Μελανίων	*melani/wn	μελάνιον	mela/nion	n-p---ng-
Μελανίων	*melani/wn	μελαίνω	melai/nw	v-sfpamn-
Μελανίων	*melani/wn	μελανέω	melane/w	v-sppamn-
Μελανίωνι	*melani/wni	Μελανίων	*melani/wn	n-s---md-
Μελανίωνος	*melani/wnos	Μελανίων	*melani/wn	n-s---mg-
Μενέλαος	*mene/laos	Μενέλαος	*mene/laos	n-s---mn-
Μενέλαος	*mene/laos	Μενέλαος	*mene/laos	n-s---mn-
Μεσσήνη	*messh/nh	Μεσσήνη	*messh/nh	n-s---fn-
Μεσσήνη	*messh/nh	Μεσσήνη	*messh/nh	n-s---fv-
Μηδικῶν	*mhdikw=n	Μηδικός	*mhdiko/s	a-p---fg-
Μηδικῶν	*mhdikw=n	Μηδικός	*mhdiko/s	a-p---mg-
Μηδικῶν	*mhdikw=n	Μηδικός	*mhdiko/s	a-p---ng-
Μηδικῶν	*mhdikw=n	Μηδικός	*mhdiko/s	a-p---fg-
Μηδικῶν	*mhdikw=n	Μηδικός	*mhdiko/s	a-p---mg-
Μηδικῶν	*mhdikw=n	Μηδικός	*mhdiko/s	a-p---ng-
Μηλιᾶ	*mhlia=	Μηλιεύς	*mhlieu/s	n-s---ma-
Μιλήσια	*milh/sia	Μιλήσιος	*milh/sios	a-p---nn-
Μιλήσια	*milh/sia	Μιλήσιος	*milh/sios	a-p---nv-
Μιλήσια	*milh/sia	Μιλήσιος	*milh/sios	a-p---na-
Μιλήσιοι	*milh/sioi	Μιλήσιος	*milh/sios	a-p---mn-
Μιλήσιοι	*milh/sioi	Μιλήσιος	*milh/sios	a-p---mv-
Μοῦσαν	*mou=san	Μοῦσα	*mou=sa	n-s---fa-
Μοῦσαν	*mou=san	Μοῦσαι	*mou=sai	n-s---fa-
Μοῦσαν	*mou=san	Μοῦσαι	*mou=sai	n-s---fa-
Μυρρίνη	*murri/nh	Μυρρίνη	*murri/nh	n-s---fn-
Μυρρίνη	*murri/nh	Μυρρίνη	*murri/nh	n-s---fv-
Μυρρίνη	*murri/nh	μυρρινάω	murrina/w	v2spma---
Μυρρίνη	*murri/nh	μυρρινάω	murrina/w	v2spma---
Μυρρίνη	*murri/nh	μυρρινάω	murrina/w	v3siia---
Μυρρίνη	*murri/nh	μυρσίνη	mursi/nh	n-s---fn-
Μυρρίνη	*murri/nh	μυρσίνη	mursi/nh	n-s---fv-
Μυρρίνην	*murri/nhn	Μυρρίνη	*murri/nh	n-s---fa-
Μυρρίνην	*murri/nhn	μυρρινάω	murrina/w	v3piia---
Μυρρίνην	*murri/nhn	μυρρινάω	murrina/w	v1siia---
Μυρρίνην	*murri/nhn	μυρσίνη	mursi/nh	n-s---fa-
Μυρωνίδης	*murwni/dhs	Μυρωνίδης	*murwni/dhs	n-s---mn-
Μήδως	*mh/dws	Μῆδος	*mh=dos	n-p---ma-
Μήδως	*mh/dws	Μῆδος	*mh=dos	n-p---ma-
Μίκων	*mi/kwn	Μίκων	*mi/kwn	n-s---mn-
Μίκων	*mi/kwn	Μίκων	*mi/kwn	n-s---mv-
Νίκη	*ni/kh	Νίκη	*ni/kh	n-s---fn-
Νίκη	*ni/kh	Νίκη	*ni/kh	n-s---fv-
Νίκη	*ni/kh	νίκη	ni/kh	n-s---fn-
Νίκη	*ni/kh	νίκη	ni/kh	n-s---fv-
Νίκη	*ni/kh	νῖκος	ni=kos	n-p---nn-
Νίκη	*ni/kh	νῖκος	ni=kos	n-p---nv-
Νίκη	*ni/kh	νῖκος	ni=kos	n-p---na-
Νίκη	*ni/kh	νῖκος	ni=kos	n-d---nn-
Νίκη	*ni/kh	νῖκος	ni=kos	n-d---nv-
Νίκη	*ni/kh	νῖκος	ni=kos	n-d---na-
Νίκη	*ni/kh	νικάω	nika/w	v2spma---
Νίκη	*ni/kh	νικάω	nika/w	v2spma---
Νίκη	*ni/kh	νικάω	nika/w	v3siia---
Νύσιον	*nu/sion	Νύσιος	*nu/sios	a-s---ma-
Νύσιον	*nu/sion	Νύσιος	*nu/sios	a-s---nn-
Νύσιον	*nu/sion	Νύσιος	*nu/sios	a-s---nv-
Νύσιον	*nu/sion	Νύσιος	*nu/sios	a-s---na-
Νύσιον	*nu/sion	Νῦσα	*nu=sa	a-s---ma-
Νύσιον	*nu/sion	Νῦσα	*nu=sa	a-s---nn-
Νύσιον	*nu/sion	Νῦσα	*nu=sa	a-s---nv-
Νύσιον	*nu/sion	Νῦσα	*nu=sa	a-s---na-
Παιονίδης	*paioni/dhs	Παιονίδης	*paioni/dhs	n-s---mn-
Πανός	*pano/s	Πάν	*pa/n	n-s---mg-
Πανός	*pano/s	Πᾶν	*pa=n	n-s---mg-
Πανός	*pano/s	πανός	pano/s	n-s---mn-
Παράλων	*para/lwn	Πάραλος	*pa/ralos	n-p---mg-
Παράλων	*para/lwn	πάραλος	pa/ralos	n-p---mg-
Παράλων	*para/lwn	πάραλος	pa/ralos	n-p---fg-
Παράλων	*para/lwn	πάραλος	pa/ralos	n-p---ng-
Παφίαν	*pafi/an	Πάφιος	*pa/fios	a-s---fa-
Παφίαν	*pafi/an	Πάφος	*pa/fos	a-s---fa-
Πειθοῖ	*peiqoi=	Πειθώ	*peiqw/	n-s---fd-
Πειθοῖ	*peiqoi=	Πειθώ	*peiqw/	n-s---fd-
Πελλάνας	*pella/nas	Πέλλανα	*pe/llana	n-p---fa-
Πελλάνας	*pella/nas	Πέλλανα	*pe/llana	n-s---fg-
Πελλάνας	*pella/nas	Πελλάνη	*pella/nh	n-p---fa-
Πελλάνας	*pella/nas	Πελλάνη	*pella/nh	n-s---fg-
Πελοποννησίους	*peloponnhsi/ous	Πελοποννήσιοι	*peloponnh/sioi	n-p---ma-
