Γαιηόχου	*gaiho/xou	Γαιήοχος	*gaih/oxos	n-s---mg-
μείς	mei/s	μείς	mei/s	n-s---mn-
μεῖζον	mei=zon	μέγας	me/gas	a-s---mv-
μεῖζον	mei=zon	μέγας	me/gas	a-s---fv-
μεῖζον	mei=zon	μέγας	me/gas	a-s---nn-
μεῖζον	mei=zon	μέγας	me/gas	a-s---nv-
μεῖζον	mei=zon	μέγας	me/gas	a-s---na-
μηδέ	mhde/	μηδέ	mhde/	g--------
μηλοβοτῆρας	mhloboth=ras	μηλοβοτήρ	mhloboth/r	n-p---ma-
μηνύειν	mhnu/ein	μηνύω	mhnu/w	v--pna---
μηνύσαιμ’	mhnu/saim'	μηνύω	mhnu/w	v1saoa---
μητιέτα	mhtie/ta	μητίετα	mhti/eta	n-d---mn-
μητιέτα	mhtie/ta	μητίετα	mhti/eta	n-d---mv-
μητιέτα	mhtie/ta	μητίετα	mhti/eta	n-d---ma-
μητιέτα	mhtie/ta	μητίετα	mhti/eta	n-s---mg-
μητρί	mhtri/	μήτηρ	mh/thr	n-s---fd-
μητρί	mhtri/	μήτηρ	mh/thr	n-s---fd-
μητρί	mhtri/	μητρίς	mhtri/s	n-s---fv-
μητρός	mhtro/s	μήτηρ	mh/thr	n-s---fg-
μητρός	mhtro/s	μήτηρ	mh/thr	n-s---fg-
μητέρα	mhte/ra	μήτηρ	mh/thr	n-s---fa-
μητίετα	mhti/eta	μητίετα	mhti/eta	n-s---mv-
μητίετα	mhti/eta	μητίετα	mhti/eta	n-s---mn-
μηχανιῶτα	mhxaniw=ta	μηχανιώτης	mhxaniw/ths	n-s---mv-
μηχανιῶτα	mhxaniw=ta	μηχανιώτης	mhxaniw/ths	n-s---mn-
μιγεῖσα	migei=sa	μίγνυμι	mi/gnumi	v-sappfn-
μιγεῖσα	migei=sa	μίγνυμι	mi/gnumi	v-sappfv-
μιγεῖσα	migei=sa	μίγνυμι	mi/gnumi	v-sappfn-
μιγεῖσα	migei=sa	μίγνυμι	mi/gnumi	v-sappfv-
μιγεῖσαι	migei=sai	μίγνυμι	mi/gnumi	v-pappfn-
μιγεῖσαι	migei=sai	μίγνυμι	mi/gnumi	v-pappfv-
μιγεῖσαι	migei=sai	μίγνυμι	mi/gnumi	v-pappfn-
μιγεῖσαι	migei=sai	μίγνυμι	mi/gnumi	v-pappfv-
μιν	min	μιν	min	n-s---ma-
μιν	min	μιν	min	n-s---fa-
μιν	min	μιν	min	n-s---na-
μισγέσκετο	misge/sketo	μίγνυμι	mi/gnumi	v3siie---
μνήσομ’	mnh/som'	μιμνήσκω	mimnh/skw	v1sasm---
μνήσομ’	mnh/som'	μιμνήσκω	mimnh/skw	v1sfim---
μοι	moi	ἐγώ	e)gw/	p-s---md-
μοι	moi	ἐγώ	e)gw/	p-s---fd-
μολπή	molph/	μολπή	molph/	n-s---fn-
μολπή	molph/	μολπή	molph/	n-s---fv-
μοίρας	moi/ras	μοῖρα	moi=ra	n-p---fa-
μοίρας	moi/ras	μοῖρα	moi=ra	n-s---fg-
μοίρας	moi/ras	μοῖρα	moi=ra	n-p---fa-
μοίρας	moi/ras	μοῖρα	moi=ra	n-s---fg-
μοίρας	moi/ras	μοιράω	moira/w	v2spia---
μοίρας	moi/ras	μοιράω	moira/w	v2siia---
μοῖραν	moi=ran	μοῖρα	moi=ra	n-s---fa-
μοῦνον	mou=non	μόνος	mo/nos	a-s---ma-
μοῦνον	mou=non	μόνος	mo/nos	a-s---nn-
μοῦνον	mou=non	μόνος	mo/nos	a-s---nv-
μοῦνον	mou=non	μόνος	mo/nos	a-s---na-
μοῦνος	mou=nos	μόνος	mo/nos	a-s---mn-
μοῦσα	mou=sa	Μοῦσαι	*mou=sai	n-s---fn-
μοῦσα	mou=sa	Μοῦσαι	*mou=sai	n-s---fv-
μυρσινοειδέας	mursinoeide/as	μυρσινοειδής	mursinoeidh/s	n-p---ma-
μυρσινοειδέας	mursinoeide/as	μυρσινοειδής	mursinoeidh/s	n-p---fa-
μυρίκας	muri/kas	μυρίκη	muri/kh	n-p---fa-
μυρίκας	muri/kas	μυρίκη	muri/kh	n-s---fg-
μυρίον	muri/on	μύρω	mu/rw	v-sfpamv-
μυρίον	muri/on	μύρω	mu/rw	v-sfpann-
μυρίον	muri/on	μύρω	mu/rw	v-sfpanv-
μυρίον	muri/on	μύρω	mu/rw	v-sfpana-
μυρίον	muri/on	μυρίος	muri/os	a-s---ma-
μυρίον	muri/on	μυρίος	muri/os	a-s---nn-
μυρίον	muri/on	μυρίος	muri/os	a-s---nv-
μυρίον	muri/on	μυρίος	muri/os	a-s---na-
μυχούς	muxou/s	μυχός	muxo/s	n-p---ma-
μυχόν	muxo/n	μυχός	muxo/s	n-s---ma-
μά	ma/	μά	ma/	g--------
μά	ma/	μής	mh/s	n-d---mn-
μά	ma/	μής	mh/s	n-d---mv-
μά	ma/	μής	mh/s	n-d---ma-
μά	ma/	μής	mh/s	n-s---mv-
μά	ma/	μής	mh/s	n-s---mn-
μάκρ’	ma/kr'	μάκρα	ma/kra	n-p---fn-
μάκρ’	ma/kr'	μάκρα	ma/kra	n-p---fv-
μάκρ’	ma/kr'	μάκρα	ma/kra	n-s---fd-
μάλα	ma/la	μάλα	ma/la	d--------
μάλα	ma/la	μάλη	ma/lh	n-d---fn-
μάλα	ma/la	μάλη	ma/lh	n-d---fv-
μάλα	ma/la	μάλη	ma/lh	n-d---fa-
μάλα	ma/la	μάλη	ma/lh	n-s---fn-
μάλα	ma/la	μάλη	ma/lh	n-s---fv-
μάρτυρας	ma/rturas	μάρτυς	ma/rtus	n-p---ma-
μάρτυρας	ma/rturas	μάρτυς	ma/rtus	n-p---fa-
μάστιγα	ma/stiga	μάστιξ	ma/stic	n-s---fa-
μάψ	ma/y	μάψ	ma/y	d--------
μέγα	me/ga	μέγας	me/gas	n-s---nn-
μέγα	me/ga	μέγας	me/gas	n-s---nv-
μέγα	me/ga	μέγας	me/gas	n-s---na-
μέγαν	me/gan	μέγας	me/gas	n-s---ma-
μέγ’	me/g'	μέγας	me/gas	n-s---nn-
μέγ’	me/g'	μέγας	me/gas	n-s---nv-
μέγ’	me/g'	μέγας	me/gas	n-s---na-
μέλαινα	me/laina	μέλαινα	me/laina	n-s---fn-
μέλαινα	me/laina	μέλαινα	me/laina	n-s---fv-
μέλαινα	me/laina	μέλας	me/las	a-s---fn-
μέλαινα	me/laina	μέλας	me/las	a-s---fv-
μέλαιναν	me/lainan	μέλαινα	me/laina	n-s---fa-
μέλαιναν	me/lainan	μέλας	me/las	a-s---fa-
μέλαν	me/lan	μέλας	me/las	a-s---mv-
μέλαν	me/lan	μέλας	me/las	a-s---nn-
μέλαν	me/lan	μέλας	me/las	a-s---nv-
μέλαν	me/lan	μέλας	me/las	a-s---na-
μέλαν	me/lan	μέλη	me/lh	n-s---fa-
μέλησεν	me/lhsen	μέλω	me/lw	v3saia---
μέλι	me/li	μέλι	me/li	n-s---nn-
μέλι	me/li	μέλι	me/li	n-s---nv-
μέλι	me/li	μέλι	me/li	n-s---na-
μέλουσι	me/lousi	μέλω	me/lw	v-pppamd-
μέλουσι	me/lousi	μέλω	me/lw	v-pppand-
μέλουσι	me/lousi	μέλω	me/lw	v3ppia---
μέλπεο	me/lpeo	μέλπω	me/lpw	v2spme---
μέλπεο	me/lpeo	μέλπω	me/lpw	v2siie---
μέμηλας	me/mhlas	μέλω	me/lw	v2sria---
μέμηλε	me/mhle	μέλω	me/lw	v2srma---
μέμηλε	me/mhle	μέλω	me/lw	v3sria---
μέμηλεν	me/mhlen	μέλω	me/lw	v3sria---
μέμηλεν	me/mhlen	μέλω	me/lw	v3plia---
μέν	me/n	μέν	me/n	g--------
μένοντες	me/nontes	μένω	me/nw	v-pppamn-
μένοντες	me/nontes	μένω	me/nw	v-pppamv-
μένος	me/nos	μένος	me/nos	n-s---nn-
μένος	me/nos	μένος	me/nos	n-s---nv-
μένος	me/nos	μένος	me/nos	n-s---na-
μένων	me/nwn	μένω	me/nw	v-sppamn-
μέριμναι	me/rimnai	μέριμνα	me/rimna	n-p---fn-
μέριμναι	me/rimnai	μέριμνα	me/rimna	n-p---fv-
μέριμναν	me/rimnan	μέριμνα	me/rimna	n-s---fa-
μέρος	me/ros	μέρος	me/ros	n-s---nn-
μέρος	me/ros	μέρος	me/ros	n-s---nv-
μέρος	me/ros	μέρος	me/ros	n-s---na-
μέσῳ	me/sw|	μέσος	me/sos	a-s---md-
μέσῳ	me/sw|	μέσος	me/sos	a-s---nd-
μέτασσα	me/tassa	μέτασσα	me/tassa	n-p---nn-
μέτασσα	me/tassa	μέτασσα	me/tassa	n-p---nv-
μέτασσα	me/tassa	μέτασσα	me/tassa	n-p---na-
μέτροισι	me/troisi	μέτρον	me/tron	n-p---nd-
μή	mh/	μή	mh/	c--------
μήδεα	mh/dea	μῆδοσ1	mh=dos1	n-p---nn-
μήδεα	mh/dea	μῆδοσ1	mh=dos1	n-p---nv-
μήδεα	mh/dea	μῆδοσ1	mh=dos1	n-p---na-
μήδεα	mh/dea	μῆδοσ2	mh=dos2	n-p---nn-
μήδεα	mh/dea	μῆδοσ2	mh=dos2	n-p---nv-
μήδεα	mh/dea	μῆδοσ2	mh=dos2	n-p---na-
μήδεται	mh/detai	μήδομαι	mh/domai	v3spie---
μήλοισιν	mh/loisin	μῆλον1	mh=lon1	n-p---nd-
μήλοισιν	mh/loisin	μῆλον2	mh=lon2	n-p---nd-
μήνυτρον	mh/nutron	μήνυτρον	mh/nutron	n-s---nn-
μήνυτρον	mh/nutron	μήνυτρον	mh/nutron	n-s---nv-
μήνυτρον	mh/nutron	μήνυτρον	mh/nutron	n-s---na-
μήνυέ	mh/nue/	μηνύω	mhnu/w	v2spma---
μήνυέ	mh/nue/	μηνύω	mhnu/w	v3siia---
μήτε	mh/te	μήτε	mh/te	g--------
μήτηρ	mh/thr	μήτηρ	mh/thr	n-s---fn-
μίγδην	mi/gdhn	μίγδην	mi/gdhn	d--------
μύθοισι	mu/qoisi	μῦθος	mu=qos	n-p---md-
μύθοισιν	mu/qoisin	μῦθος	mu=qos	n-p---md-
μῆλα	mh=la	μῆλον1	mh=lon1	n-p---nn-
μῆλα	mh=la	μῆλον1	mh=lon1	n-p---nv-
μῆλα	mh=la	μῆλον1	mh=lon1	n-p---na-
μῆλα	mh=la	μῆλον2	mh=lon2	n-p---nn-
μῆλα	mh=la	μῆλον2	mh=lon2	n-p---nv-
μῆλα	mh=la	μῆλον2	mh=lon2	n-p---na-
μῆτερ	mh=ter	μήτηρ	mh/thr	n-s---fv-
μῆτιν	mh=tin	μῆτις	mh=tis	n-s---fa-
μῆτιν	mh=tin	μῆτις	mh=tis	n-s---fa-
μῦθον	mu=qon	μῦθος	mu=qos	n-s---ma-
ναιετάοντας	naieta/ontas	ναιετάω	naieta/w	v-pppama-
ναιετάουσιν	naieta/ousin	ναιετάω	naieta/w	v-pppamd-
ναιετάουσιν	naieta/ousin	ναιετάω	naieta/w	v-pppand-
ναιετάουσιν	naieta/ousin	ναιετάω	naieta/w	v3ppia---
ναιετάουσιν	naieta/ousin	ναιετάω	naieta/w	v-pppamd-
ναιετάουσιν	naieta/ousin	ναιετάω	naieta/w	v-pppand-
ναιετάουσιν	naieta/ousin	ναιετάω	naieta/w	v3ppia---
ναί	nai/	ναί	nai/	d--------
ναί	nai/	ναῦς	nau=s	n-s---fd-
ναί	nai/	ναῦς	nau=s	n-s---fd-
ναίουσα	nai/ousa	ναίω1	nai/w1	v-sppafn-
ναίουσα	nai/ousa	ναίω1	nai/w1	v-sppafv-
ναίουσα	nai/ousa	ναίω2	nai/w2	v-sppafn-
ναίουσα	nai/ousa	ναίω2	nai/w2	v-sppafv-
νεογνός	neogno/s	νεογνός	neogno/s	n-s---mn-
νεογνός	neogno/s	νεογνός	neogno/s	n-s---fn-
νεοθηλέος	neoqhle/os	νεοθηλής	neoqhlh/s	n-s---mg-
νεοθηλέος	neoqhle/os	νεοθηλής	neoqhlh/s	n-s---fg-
νεοθηλέος	neoqhle/os	νεοθηλής	neoqhlh/s	n-s---ng-
νεφέλῃ	nefe/lh|	νεφέλη	nefe/lh	n-s---fd-
νεήφατον	neh/faton	νεήφατος	neh/fatos	n-s---ma-
νεήφατον	neh/faton	νεήφατος	neh/fatos	n-s---fa-
νεήφατον	neh/faton	νεήφατος	neh/fatos	n-s---nn-
νεήφατον	neh/faton	νεήφατος	neh/fatos	n-s---nv-
νεήφατον	neh/faton	νεήφατος	neh/fatos	n-s---na-
νεόλλουτος	neo/lloutos	νεόλουτος	neo/loutos	n-s---mn-
νεόλλουτος	neo/lloutos	νεόλουτος	neo/loutos	n-s---fn-
νεύσας	neu/sas	νέω	ne/w	v-pppafa-
νεύσας	neu/sas	νέω	ne/w	v-sppafg-
νεύσας	neu/sas	νέω1	ne/w1	v-pppafa-
νεύσας	neu/sas	νέω1	ne/w1	v-sppafg-
νεύσας	neu/sas	νέω1	ne/w1	v-sapamn-
νεύσας	neu/sas	νέω1	ne/w1	v-sapamv-
νεύσας	neu/sas	νέω2	ne/w2	v-pppafa-
νεύσας	neu/sas	νέω2	ne/w2	v-sppafg-
νεύσας	neu/sas	νέω3	ne/w3	v-pppafa-
νεύσας	neu/sas	νέω3	ne/w3	v-sppafg-
νεύσας	neu/sas	νεύω	neu/w	v-sapamn-
νεύσας	neu/sas	νεύω	neu/w	v-sapamv-
νεῖκος	nei=kos	νει	nei	n-s---nn-
νεῖκος	nei=kos	νει	nei	n-s---nv-
νεῖκος	nei=kos	νει	nei	n-s---na-
νεῖκος	nei=kos	νεῖκος	nei=kos	n-s---nn-
νεῖκος	nei=kos	νεῖκος	nei=kos	n-s---nv-
νεῖκος	nei=kos	νεῖκος	nei=kos	n-s---na-
νεῦσεν	neu=sen	νέω1	ne/w1	v3saia---
νεῦσεν	neu=sen	νεύω	neu/w	v3saia---
νηλέα	nhle/a	νηλής	nhlh/s	n-p---nn-
νηλέα	nhle/a	νηλής	nhlh/s	n-p---nv-
νηλέα	nhle/a	νηλής	nhlh/s	n-p---na-
νηλέα	nhle/a	νηλής	nhlh/s	n-s---ma-
νηλέα	nhle/a	νηλής	nhlh/s	n-s---fa-
νημερτέα	nhmerte/a	νημερτής	nhmerth/s	n-p---nn-
νημερτέα	nhmerte/a	νημερτής	nhmerth/s	n-p---nv-
νημερτέα	nhmerte/a	νημερτής	nhmerth/s	n-p---na-
νημερτέα	nhmerte/a	νημερτής	nhmerth/s	n-s---ma-
νημερτέα	nhmerte/a	νημερτής	nhmerth/s	n-s---fa-
νημερτής	nhmerth/s	νημερτής	nhmerth/s	n-s---mn-
νημερτής	nhmerth/s	νημερτής	nhmerth/s	n-s---fn-
νηόν	nho/n	ναός	nao/s	n-s---ma-
νομεύσομεν	nomeu/somen	νομεύω	nomeu/w	v1pasa---
νομεύσομεν	nomeu/somen	νομεύω	nomeu/w	v1pfia---
νομούς	nomou/s	νομός	nomo/s	n-p---ma-
νομοῖο	nomoi=o	νομός	nomo/s	n-s---mg-
νοέειν	noe/ein	νοέω	noe/w	v--pna---
νοῆσαι	noh=sai	νοέω	noe/w	v--ana---
νυκτί	nukti/	νύξ	nu/c	n-s---fd-
νυκτός	nukto/s	νύξ	nu/c	n-s---fg-
νέης	ne/hs	νέα	ne/a	n-s---fg-
νέης	ne/hs	νέος	ne/os	a-s---fg-
νέης	ne/hs	νεάω	nea/w	v2spia---
νέης	ne/hs	νεάω	nea/w	v2siia---
νέκταρος	ne/ktaros	νέκταρ	ne/ktar	n-s---ng-
νέμοντα	ne/monta	νέμω	ne/mw	v-pppann-
νέμοντα	ne/monta	νέμω	ne/mw	v-pppanv-
νέμοντα	ne/monta	νέμω	ne/mw	v-pppana-
νέμοντα	ne/monta	νέμω	ne/mw	v-sppama-
νέον	ne/on	νέος	ne/os	a-s---ma-
νέον	ne/on	νέος	ne/os	a-s---nn-
νέον	ne/on	νέος	ne/os	a-s---nv-
νέον	ne/on	νέος	ne/os	a-s---na-
νέον	ne/on	νέος	ne/os	n-s---ma-
νέον	ne/on	νέος	ne/os	n-s---fa-
νέον	ne/on	νέος	ne/os	n-s---nn-
νέον	ne/on	νέος	ne/os	n-s---nv-
νέον	ne/on	νέος	ne/os	n-s---na-
νέον	ne/on	νέω	ne/w	v-sppamv-
νέον	ne/on	νέω	ne/w	v-sppann-
νέον	ne/on	νέω	ne/w	v-sppanv-
νέον	ne/on	νέω	ne/w	v-sppana-
νέον	ne/on	νέω	ne/w	v3piia---
νέον	ne/on	νέω	ne/w	v1siia---
νέον	ne/on	νέω1	ne/w1	v-sppamv-
νέον	ne/on	νέω1	ne/w1	v-sppann-
νέον	ne/on	νέω1	ne/w1	v-sppanv-
νέον	ne/on	νέω1	ne/w1	v-sppana-
νέον	ne/on	νέω1	ne/w1	v3piia---
νέον	ne/on	νέω1	ne/w1	v1siia---
νέον	ne/on	νέω2	ne/w2	v-sppamv-
νέον	ne/on	νέω2	ne/w2	v-sppann-
νέον	ne/on	νέω2	ne/w2	v-sppanv-
νέον	ne/on	νέω2	ne/w2	v-sppana-
νέον	ne/on	νέω2	ne/w2	v3piia---
νέον	ne/on	νέω2	ne/w2	v1siia---
νέον	ne/on	νέω3	ne/w3	v-sppamv-
νέον	ne/on	νέω3	ne/w3	v-sppann-
νέον	ne/on	νέω3	ne/w3	v-sppanv-
νέον	ne/on	νέω3	ne/w3	v-sppana-
νέον	ne/on	νέω3	ne/w3	v3piia---
νέον	ne/on	νέω3	ne/w3	v1siia---
νέων	ne/wn	νέος	ne/os	a-p---fg-
νέων	ne/wn	νέος	ne/os	a-p---mg-
νέων	ne/wn	νέος	ne/os	a-p---ng-
νέων	ne/wn	νέος	ne/os	n-p---mg-
νέων	ne/wn	νέος	ne/os	n-p---fg-
νέων	ne/wn	νέος	ne/os	n-p---ng-
νέων	ne/wn	νέω	ne/w	v-sppamn-
νέων	ne/wn	νέω1	ne/w1	v-sppamn-
νέων	ne/wn	νέω2	ne/w2	v-sppamn-
νέων	ne/wn	νέω3	ne/w3	v-sppamn-
νέων	ne/wn	νεάω	nea/w	v3piia---
νέων	ne/wn	νεάω	nea/w	v1siia---
νήπιον	nh/pion	νήπιος	nh/pios	a-s---ma-
νήπιον	nh/pion	νήπιος	nh/pios	a-s---nn-
νήπιον	nh/pion	νήπιος	nh/pios	a-s---nv-
νήπιον	nh/pion	νήπιος	nh/pios	a-s---na-
νήπιος	nh/pios	νήπιος	nh/pios	a-s---mn-
νόημα	no/hma	νόημα	no/hma	n-s---nn-
νόημα	no/hma	νόημα	no/hma	n-s---nv-
νόημα	no/hma	νόημα	no/hma	n-s---na-
νόοιο	no/oio	νόος	no/os	n-s---mg-
νόον	no/on	νόος	no/os	n-s---ma-
νόος	no/os	νόος	no/os	n-s---mn-
νόσφι	no/sfi	νόσφι	no/sfi	r--------
νόσφιν	no/sfin	νόσφι	no/sfi	r--------
νόῳ	no/w|	νάω	na/w	v3spoa---
νόῳ	no/w|	νόος	no/os	n-s---md-
νύκτα	nu/kta	νύξ	nu/c	n-s---fa-
νύμφη	nu/mfh	νύμφη	nu/mfh	n-s---fn-
νύμφη	nu/mfh	νύμφη	nu/mfh	n-s---fv-
νύμφην	nu/mfhn	νύμφη	nu/mfh	n-s---fa-
νύμφης	nu/mfhs	νύμφη	nu/mfh	n-s---fg-
νύμφῃ	nu/mfh|	νύμφη	nu/mfh	n-s---fd-
νύξ	nu/c	νύξ	nu/c	n-s---fn-
νύξ	nu/c	νύξ	nu/c	n-s---fv-
νῆις	nh=is	νάω	na/w	v2spsa---
νῆις	nh=is	νάω	na/w	v2spia---
νῆις	nh=is	νέω	ne/w	v2spsa---
νῆις	nh=is	νέω1	ne/w1	v2spsa---
νῆις	nh=is	νέω2	ne/w2	v2spsa---
νῆις	nh=is	νέω3	ne/w3	v2spsa---
νῆις	nh=is	νῆις	nh=is	n-s---mn-
νῆις	nh=is	νῆις	nh=is	n-s---fn-
νῦν	nu=n	νῦν	nu=n	d--------
νῶι	nw=i	ἐγώ	e)gw/	p-d---mn-
νῶι	nw=i	ἐγώ	e)gw/	p-d---mv-
νῶι	nw=i	ἐγώ	e)gw/	p-d---ma-
νῶι	nw=i	ἐγώ	e)gw/	p-d---fn-
νῶι	nw=i	ἐγώ	e)gw/	p-d---fv-
νῶι	nw=i	ἐγώ	e)gw/	p-d---fa-
νῶι	nw=i	νάω	na/w	v3spoa---
νῶι	nw=i	νόος	no/os	n-s---md-
νῶτα	nw=ta	νῶτον	nw=ton	n-p---nn-
νῶτα	nw=ta	νῶτον	nw=ton	n-p---nv-
νῶτα	nw=ta	νῶτον	nw=ton	n-p---na-
ξύλα	cu/la	ξύλον	cu/lon	n-p---nn-
ξύλα	cu/la	ξύλον	cu/lon	n-p---nv-
ξύλα	cu/la	ξύλον	cu/lon	n-p---na-
οἰκία	oi)ki/a	οἰκία	oi)ki/a	n-d---fn-
οἰκία	oi)ki/a	οἰκία	oi)ki/a	n-d---fv-
οἰκία	oi)ki/a	οἰκία	oi)ki/a	n-d---fa-
οἰκία	oi)ki/a	οἰκία	oi)ki/a	n-s---fn-
οἰκία	oi)ki/a	οἰκία	oi)ki/a	n-s---fv-
οἰκία	oi)ki/a	οἰκίον	oi)ki/on	n-p---nn-
οἰκία	oi)ki/a	οἰκίον	oi)ki/on	n-p---nv-
οἰκία	oi)ki/a	οἰκίον	oi)ki/on	n-p---na-
οἰνοπέδοιο	oi)nope/doio	οἰνόπεδον	oi)no/pedon	n-s---ng-
οἰνοπέδοιο	oi)nope/doio	οἰνόπεδος	oi)no/pedos	n-s---mg-
οἰνοπέδοιο	oi)nope/doio	οἰνόπεδος	oi)no/pedos	n-s---fg-
οἰνοπέδοιο	oi)nope/doio	οἰνόπεδος	oi)no/pedos	n-s---ng-
οἰνοπέδοιο	oi)nope/doio	οἰνόπεδος	oi)no/pedos	n-s---ng-
οἰοπόλος	oi)opo/los	οἰοπόλος	oi)opo/los	n-s---mn-
οἰοπόλος	oi)opo/los	οἰοπόλος	oi)opo/los	n-s---fn-
οἰωνοῖσι	oi)wnoi=si	οἰωνός	oi)wno/s	n-p---md-
οἰωνόν	oi)wno/n	οἰωνός	oi)wno/s	n-s---ma-
οἰωνῶν	oi)wnw=n	οἰωνός	oi)wno/s	n-p---mg-
οἱ	oi(	ἕ	e(/	n-s---md-
οἱ	oi(	ἕ	e(/	n-s---fd-
οἱ	oi(	ὁ	o(	l-p---mn-
οἱ	oi(	ὁ	o(	l-p---mv-
οἴκαδε	oi)/kade	οἴκαδε	oi)/kade	d--------
οἴκοι	oi)/koi	ἔοικα	e)/oika	v3sroa---
οἴκοι	oi)/koi	οἴκοι	oi)/koi	d--------
οἴσω	oi)/sw	φέρω	fe/rw	v1sfia---
οἴω	oi)/w	οἶος	oi)=os	a-d---mn-
οἴω	oi)/w	οἶος	oi)=os	a-d---mv-
οἴω	oi)/w	οἶος	oi)=os	a-d---ma-
οἴω	oi)/w	οἶος	oi)=os	a-d---nn-
οἴω	oi)/w	οἶος	oi)=os	a-d---nv-
οἴω	oi)/w	οἶος	oi)=os	a-d---na-
οἴω	oi)/w	οἶος	oi)=os	a-s---mg-
οἴω	oi)/w	οἶος	oi)=os	a-s---ng-
οἵ	oi(/	ἕ	e(/	n-s---md-
οἵ	oi(/	ἕ	e(/	n-s---fd-
οἵ	oi(/	ὁ	o(	l-p---mn-
οἵ	oi(/	ὁ	o(	l-p---mv-
οἵ	oi(/	ὅς	o(/s	p-p---mn-
οἶδα	oi)=da	οἶδα	oi)=da	v1sria---
οἶδας	oi)=das	οἶδα	oi)=da	v2sria---
οἶδε	oi)=de	οἶδα	oi)=da	v3sria---
οἶκον	oi)=kon	οἶκος	oi)=kos	n-s---ma-
οἶμος	oi)=mos	οἶμος	oi)=mos	n-s---mn-
οἶμος	oi)=mos	οἶμος	oi)=mos	n-s---fn-
οἶον	oi)=on	οἶος	oi)=os	a-s---ma-
οἶον	oi)=on	οἶος	oi)=os	a-s---nn-
οἶον	oi)=on	οἶος	oi)=os	a-s---nv-
οἶον	oi)=on	οἶος	oi)=os	a-s---na-
οἶος	oi)=os	οἶος	oi)=os	a-s---mn-
οἶσθα	oi)=sqa	οἶδα	oi)=da	v2sria---
οἶά	oi)=a/	ὄις	o)/is	n-s---ma-
οἶά	oi)=a/	ὄις	o)/is	n-s---fa-
οἶά	oi)=a/	οἶος	oi)=os	a-p---nn-
οἶά	oi)=a/	οἶος	oi)=os	a-p---nv-
οἶά	oi)=a/	οἶος	oi)=os	a-p---na-
οἷα	oi(=a	οἷος	oi(=os	a-p---nn-
οἷα	oi(=a	οἷος	oi(=os	a-p---nv-
οἷα	oi(=a	οἷος	oi(=os	a-p---na-
οἷον	oi(=on	οἷος	oi(=os	a-s---ma-
οἷον	oi(=on	οἷος	oi(=os	a-s---nn-
οἷον	oi(=on	οἷος	oi(=os	a-s---nv-
οἷον	oi(=on	οἷος	oi(=os	a-s---na-
οἷά	oi(=a/	οἷος	oi(=os	a-p---nn-
οἷά	oi(=a/	οἷος	oi(=os	a-p---nv-
οἷά	oi(=a/	οἷος	oi(=os	a-p---na-
οὐ	ou)	οὐ	ou)	d--------
οὐδέ	ou)de/	οὐδέ	ou)de/	g--------
οὐδέ	ou)de/	οὐδόσ1	ou)do/s1	n-s---mv-
οὐδέ	ou)de/	οὐδόσ2	ou)do/s2	n-s---fv-
οὐδόν	ou)do/n	οὐδόσ1	ou)do/s1	n-s---ma-
οὐδόν	ou)do/n	οὐδόσ2	ou)do/s2	n-s---fa-
οὐκ	ou)k	οὐ	ou)	d--------
οὐκέτι	ou)ke/ti	οὐκέτι	ou)ke/ti	d--------
οὐλοκάρηνα	ou)loka/rhna	οὐλοκάρηνος	ou)loka/rhnos	n-p---nn-
οὐλοκάρηνα	ou)loka/rhna	οὐλοκάρηνος	ou)loka/rhnos	n-p---nv-
οὐλοκάρηνα	ou)loka/rhna	οὐλοκάρηνος	ou)loka/rhnos	n-p---na-
οὐλόποδ’	ou)lo/pod'	οὐλόπους	ou)lo/pous	n-p---nn-
οὐλόποδ’	ou)lo/pod'	οὐλόπους	ou)lo/pous	n-p---nv-
οὐλόποδ’	ou)lo/pod'	οὐλόπους	ou)lo/pous	n-p---na-
οὐλόποδ’	ou)lo/pod'	οὐλόπους	ou)lo/pous	n-s---ma-
οὐλόποδ’	ou)lo/pod'	οὐλόπους	ou)lo/pous	n-s---fa-
οὐλόποδ’	ou)lo/pod'	οὐλόπους	ou)lo/pous	n-s---md-
οὐλόποδ’	ou)lo/pod'	οὐλόπους	ou)lo/pous	n-s---fd-
οὐλόποδ’	ou)lo/pod'	οὐλόπους	ou)lo/pous	n-s---nd-
οὐλόποδ’	ou)lo/pod'	οὐλόπους	ou)lo/pous	n-d---mn-
οὐλόποδ’	ou)lo/pod'	οὐλόπους	ou)lo/pous	n-d---mv-
οὐλόποδ’	ou)lo/pod'	οὐλόπους	ou)lo/pous	n-d---ma-
οὐλόποδ’	ou)lo/pod'	οὐλόπους	ou)lo/pous	n-d---fn-
οὐλόποδ’	ou)lo/pod'	οὐλόπους	ou)lo/pous	n-d---fv-
οὐλόποδ’	ou)lo/pod'	οὐλόπους	ou)lo/pous	n-d---fa-
οὐλόποδ’	ou)lo/pod'	οὐλόπους	ou)lo/pous	n-d---nn-
οὐλόποδ’	ou)lo/pod'	οὐλόπους	ou)lo/pous	n-d---nv-
οὐλόποδ’	ou)lo/pod'	οὐλόπους	ou)lo/pous	n-d---na-
οὐμιλίη	ou)mili/h	ὁμιλία	o(mili/a	n-s---fn-
οὐμιλίη	ou)mili/h	ὁμιλία	o(mili/a	n-s---fv-
οὐρανόθεν	ou)rano/qen	οὐρανόθεν	ou)rano/qen	d--------
