Αἰγεΐδη	*ai)gei+/dh	Αἰγεΐδης	*ai)gei/+dhs	n-s---mv-
δράσας	dra/sas	δράω	dra/w	v-sppafg-
δράσας	dra/sas	δράω	dra/w	v-sapamn-
δράσας	dra/sas	δράω	dra/w	v-sapamv-
δράσεις	dra/seis	δράω	dra/w	v2sasa---
δράσεις	dra/seis	δράω	dra/w	v2sfia---
δράσεις	dra/seis	δρᾶσις	dra=sis	n-p---fn-
δράσεις	dra/seis	δρᾶσις	dra=sis	n-p---fv-
δράσεις	dra/seis	δρᾶσις	dra=sis	n-p---fn-
δράσεις	dra/seis	δρᾶσις	dra=sis	n-p---fa-
δράσω	dra/sw	δράω	dra/w	v1sasa---
δράσω	dra/sw	δράω	dra/w	v1sfia---
δράσω	dra/sw	δράω	dra/w	v2saim---
δρόσον	dro/son	δρόσος	dro/sos	n-s---fa-
δρᾶν	dra=n	δράω	dra/w	v-sppamv-
δρᾶν	dra=n	δράω	dra/w	v-sppann-
δρᾶν	dra=n	δράω	dra/w	v-sppanv-
δρᾶν	dra=n	δράω	dra/w	v-sppana-
δρᾶν	dra=n	δράω	dra/w	v-sppamn-
δρᾶν	dra=n	δράω	dra/w	v--pna---
δρᾶν	dra=n	δράω	dra/w	v--pna---
δρᾶν	dra=n	δράω	dra/w	v3piia---
δρᾶν	dra=n	δράω	dra/w	v1siia---
δρᾶσον	dra=son	δράω	dra/w	v2sama---
δρᾶσον	dra=son	δράω	dra/w	v-sfpamv-
δρᾶσον	dra=son	δράω	dra/w	v-sfpann-
δρᾶσον	dra=son	δράω	dra/w	v-sfpanv-
δρᾶσον	dra=son	δράω	dra/w	v-sfpana-
δρᾷ	dra=|	δράω	dra/w	v2spse---
δρᾷ	dra=|	δράω	dra/w	v2spie---
δρᾷ	dra=|	δράω	dra/w	v3spsa---
δρᾷ	dra=|	δράω	dra/w	v3spia---
δρῦς	dru=s	δρῦς	dru=s	n-s---fn-
δρῦς	dru=s	δρῦς	dru=s	n-s---fv-
δρῦς	dru=s	δρῦς	dru=s	n-p---fn-
δρῦς	dru=s	δρῦς	dru=s	n-p---fa-
δρῶ	drw=	δράω	dra/w	v2spme---
δρῶ	drw=	δράω	dra/w	v1spsa---
δρῶ	drw=	δράω	dra/w	v1spia---
δρῶ	drw=	δράω	dra/w	v2siie---
δρῶμεν	drw=men	δράω	dra/w	v1ppsa---
δρῶμεν	drw=men	δράω	dra/w	v1ppia---
δρῶμεν	drw=men	δράω	dra/w	v1piia---
δρῶν	drw=n	δράω	dra/w	v-sppamv-
δρῶν	drw=n	δράω	dra/w	v-sppann-
δρῶν	drw=n	δράω	dra/w	v-sppanv-
δρῶν	drw=n	δράω	dra/w	v-sppana-
δρῶν	drw=n	δράω	dra/w	v-sppamn-
δρῶν	drw=n	δράω	dra/w	v3piia---
δρῶν	drw=n	δράω	dra/w	v1siia---
δρῶντα	drw=nta	δράω	dra/w	v-pppann-
δρῶντα	drw=nta	δράω	dra/w	v-pppanv-
δρῶντα	drw=nta	δράω	dra/w	v-pppana-
δρῶντα	drw=nta	δράω	dra/w	v-sppama-
δρῶντι	drw=nti	δράω	dra/w	v-sppamd-
δρῶντι	drw=nti	δράω	dra/w	v-sppand-
δρῶντι	drw=nti	δράω	dra/w	v3ppia---
δυνατός	dunato/s	δυνατός	dunato/s	a-s---mn-
δυνατός	dunato/s	δυνατός	dunato/s	n-s---mn-
δυνατός	dunato/s	δυνατός	dunato/s	n-s---fn-
δυνάμει	duna/mei	δύναμις	du/namis	n-d---fn-
δυνάμει	duna/mei	δύναμις	du/namis	n-d---fv-
δυνάμει	duna/mei	δύναμις	du/namis	n-d---fa-
δυνάμει	duna/mei	δύναμις	du/namis	n-s---fd-
δυνάμει	duna/mei	δύναμις	du/namis	n-s---fd-
δυνήσομαι	dunh/somai	δύναμαι	du/namai	v1sasm---
δυνήσομαι	dunh/somai	δύναμαι	du/namai	v1sfim---
δυοῖν	duoi=n	δύο	du/o	m-d---mg-
δυοῖν	duoi=n	δύο	du/o	m-d---md-
δυοῖν	duoi=n	δύο	du/o	m-d---fg-
δυοῖν	duoi=n	δύο	du/o	m-d---fd-
δυοῖν	duoi=n	δύο	du/o	m-d---ng-
δυοῖν	duoi=n	δύο	du/o	m-d---nd-
δυσδαίμονα	dusdai/mona	δυσδαίμων	dusdai/mwn	n-p---nn-
δυσδαίμονα	dusdai/mona	δυσδαίμων	dusdai/mwn	n-p---nv-
δυσδαίμονα	dusdai/mona	δυσδαίμων	dusdai/mwn	n-p---na-
δυσδαίμονα	dusdai/mona	δυσδαίμων	dusdai/mwn	n-s---ma-
δυσδαίμονα	dusdai/mona	δυσδαίμων	dusdai/mwn	n-s---fa-
δωδεκάπαλαι	dwdeka/palai	δωδεκάπαλαι	dwdeka/palai	d--------
δωροδοκεῖ	dwrodokei=	δωροδοκέω	dwrodoke/w	v2spie---
δωροδοκεῖ	dwrodokei=	δωροδοκέω	dwrodoke/w	v3spia---
δωροδοκήσαντ’	dwrodokh/sant'	δωροδοκέω	dwrodoke/w	v-papann-
δωροδοκήσαντ’	dwrodokh/sant'	δωροδοκέω	dwrodoke/w	v-papanv-
δωροδοκήσαντ’	dwrodokh/sant'	δωροδοκέω	dwrodoke/w	v-papana-
δωροδοκήσαντ’	dwrodokh/sant'	δωροδοκέω	dwrodoke/w	v-sapama-
δωροδοκήσαντ’	dwrodokh/sant'	δωροδοκέω	dwrodoke/w	v-sapamd-
δωροδοκήσαντ’	dwrodokh/sant'	δωροδοκέω	dwrodoke/w	v-sapand-
δωροδοκήσαντ’	dwrodokh/sant'	δωροδοκέω	dwrodoke/w	v-dapamn-
δωροδοκήσαντ’	dwrodokh/sant'	δωροδοκέω	dwrodoke/w	v-dapamv-
δωροδοκήσαντ’	dwrodokh/sant'	δωροδοκέω	dwrodoke/w	v-dapama-
δωροδοκήσαντ’	dwrodokh/sant'	δωροδοκέω	dwrodoke/w	v-dapann-
δωροδοκήσαντ’	dwrodokh/sant'	δωροδοκέω	dwrodoke/w	v-dapanv-
δωροδοκήσαντ’	dwrodokh/sant'	δωροδοκέω	dwrodoke/w	v-dapana-
δωροδοκήσαντ’	dwrodokh/sant'	δωροδοκέω	dwrodoke/w	v3paim---
δωροδοκῇς	dwrodokh=|s	δωροδοκέω	dwrodoke/w	v2spsa---
δωροδόκοισιν	dwrodo/koisin	δωροδόκος	dwrodo/kos	n-p---md-
δωροδόκοισιν	dwrodo/koisin	δωροδόκος	dwrodo/kos	n-p---fd-
δωροδόκοισιν	dwrodo/koisin	δωροδόκος	dwrodo/kos	n-p---nd-
δάκνειν	da/knein	δάκνω	da/knw	v--pna---
δάκτυλον	da/ktulon	δάκτυλος	da/ktulos	n-s---ma-
δάκῃ	da/kh|	δάκνω	da/knw	v2sase---
δάκῃ	da/kh|	δάκνω	da/knw	v3sasa---
δέ	de/	δέ	de/	g--------
δέδιθ’	de/diq'	δείδω	dei/dw	v2prma---
δέδιθ’	de/diq'	δείδω	dei/dw	v2srma---
δέδοικα	de/doika	δείδω	dei/dw	v1sria---
δέδοιχ’	de/doix'	δείδω	dei/dw	v1sria---
δέδοιχ’	de/doix'	δείδω	dei/dw	v2srma---
δέδοιχ’	de/doix'	δείδω	dei/dw	v3sria---
δέδρακας	de/drakas	δράω	dra/w	v2sria---
δέδωκεν	de/dwken	δίδωμι	di/dwmi	v3sria---
δέδωκεν	de/dwken	δίδωμι	di/dwmi	v3plia---
δέκα	de/ka	δέκα	de/ka	m--------
δέκα	de/ka	δεκάω	deka/w	v2spma---
δέκα	de/ka	δεκάω	deka/w	v3siia---
δέους	de/ous	δέος	de/os	n-s---ng-
δέρμα	de/rma	δέρμα	de/rma	n-s---nn-
δέρμα	de/rma	δέρμα	de/rma	n-s---nv-
δέρμα	de/rma	δέρμα	de/rma	n-s---na-
δέρματι	de/rmati	δέρμα	de/rma	n-s---nd-
δέσποτ’	de/spot'	δεσπότης	despo/ths	n-s---mv-
δέχου	de/xou	δέχομαι	de/xomai	v2spme---
δέχου	de/xou	δέχομαι	de/xomai	v2siie---
δή	dh/	δή	dh/	g--------
δήμου	dh/mou	δῆμος	dh=mos	n-s---mg-
δήμῳ	dh/mw|	δῆμος	dh=mos	n-s---md-
δήπου	dh/pou	δήπου	dh/pou	g--------
δήσας	dh/sas	δέω1	de/w1	v-sapamn-
δήσας	dh/sas	δέω1	de/w1	v-sapamv-
δήσας	dh/sas	δέω2	de/w2	v-sapamn-
δήσας	dh/sas	δέω2	de/w2	v-sapamv-
δήσεις	dh/seis	δέω1	de/w1	v2sasa---
δήσεις	dh/seis	δέω1	de/w1	v2sfia---
δήσεις	dh/seis	δέω2	de/w2	v2sasa---
δήσω	dh/sw	δέομαι	de/omai	v2saie---
δήσω	dh/sw	δέω1	de/w1	v1sasa---
δήσω	dh/sw	δέω1	de/w1	v1sfia---
δήσω	dh/sw	δέω1	de/w1	v2saim---
δήσω	dh/sw	δέω2	de/w2	v1sasa---
δήσω	dh/sw	δέω2	de/w2	v2saim---
δίδομεν	di/domen	δίδωμι	di/dwmi	v1ppia---
δίδομεν	di/domen	δίδωμι	di/dwmi	v1piia---
δίδωμι	di/dwmi	δίδωμι	di/dwmi	v1spia---
δίδως	di/dws	δίδωμι	di/dwmi	v2spia---
δίδως	di/dws	δίδωμι	di/dwmi	v2siia---
δίκαια	di/kaia	δίκαιος	di/kaios	a-p---nn-
δίκαια	di/kaia	δίκαιος	di/kaios	a-p---nv-
δίκαια	di/kaia	δίκαιος	di/kaios	a-p---na-
δίκαια	di/kaia	δίκαιος	di/kaios	n-p---nn-
δίκαια	di/kaia	δίκαιος	di/kaios	n-p---nv-
δίκαια	di/kaia	δίκαιος	di/kaios	n-p---na-
δίκαιον	di/kaion	δίκαιος	di/kaios	a-s---ma-
δίκαιον	di/kaion	δίκαιος	di/kaios	a-s---nn-
δίκαιον	di/kaion	δίκαιος	di/kaios	a-s---nv-
δίκαιον	di/kaion	δίκαιος	di/kaios	a-s---na-
δίκαιον	di/kaion	δίκαιος	di/kaios	n-s---ma-
δίκαιον	di/kaion	δίκαιος	di/kaios	n-s---fa-
δίκαιον	di/kaion	δίκαιος	di/kaios	n-s---nn-
δίκαιον	di/kaion	δίκαιος	di/kaios	n-s---nv-
δίκαιον	di/kaion	δίκαιος	di/kaios	n-s---na-
δίκας	di/kas	δίκη	di/kh	n-p---fa-
δίκας	di/kas	δίκη	di/kh	n-s---fg-
δίκην	di/khn	δίκη	di/kh	n-s---fa-
δίκῃ	di/kh|	δίκη	di/kh	n-s---fd-
δίκῃ	di/kh|	δικεῖν	dikei=n	v2sase---
δίκῃ	di/kh|	δικεῖν	dikei=n	v3sasa---
δίφρον	di/fron	δίφρος	di/fros	n-s---ma-
δίψῃ	di/yh|	δίψα	di/ya	n-s---fd-
δίωκε	di/wke	διώκω	diw/kw	v2spma---
δίωκε	di/wke	διώκω	diw/kw	v3siia---
δίᾳ	di/a|	δῖος	di=os	a-s---fd-
δόλοισι	do/loisi	δόλος	do/los	n-p---md-
δόξαι	do/cai	δόξα	do/ca	n-p---fn-
δόξαι	do/cai	δόξα	do/ca	n-p---fv-
δόξαι	do/cai	δόξα	do/ca	n-s---fd-
δόξαι	do/cai	δοκέω	doke/w	v2samm---
δόξαι	do/cai	δοκέω	doke/w	v--ana---
δόξαι	do/cai	δοκέω	doke/w	v3saoa---
δόξαιμι	do/caimi	δοκέω	doke/w	v1saoa---
δόξεις	do/ceis	δόξις	do/cis	n-p---fn-
δόξεις	do/ceis	δόξις	do/cis	n-p---fv-
δόξεις	do/ceis	δόξις	do/cis	n-p---fn-
δόξεις	do/ceis	δόξις	do/cis	n-p---fa-
δόξεις	do/ceis	δοκέω	doke/w	v2sasa---
δόξεις	do/ceis	δοκέω	doke/w	v2sfia---
δόρπον	do/rpon	δόρπον	do/rpon	n-s---ma-
δόρπον	do/rpon	δόρπον	do/rpon	n-s---nn-
δόρπον	do/rpon	δόρπον	do/rpon	n-s---nv-
δόρπον	do/rpon	δόρπον	do/rpon	n-s---na-
δόρπον	do/rpon	δόρπος	do/rpos	n-s---ma-
δός	do/s	δίδωμι	di/dwmi	v2sama---
δότε	do/te	δίδωμι	di/dwmi	v2pama---
δότε	do/te	δίδωμι	di/dwmi	v2paia---
δότε	do/te	δίδωμι	di/dwmi	v2paia---
δύναμαι	du/namai	δύναμαι	du/namai	v1spie---
δύνασθαι	du/nasqai	δύναμαι	du/namai	v--pne---
δύναται	du/natai	δύναμαι	du/namai	v3spie---
δύνῃ	du/nh|	δύναμαι	du/namai	v2spse---
δύνῃ	du/nh|	δύναμαι	du/namai	v2spie---
δύνῃ	du/nh|	δύω2	du/w2	v3sasa---
δύνῃ	du/nh|	δύω2	du/w2	v2spse---
δύνῃ	du/nh|	δύω2	du/w2	v2spie---
δύνῃ	du/nh|	δύω2	du/w2	v3spsa---
δύο	du/o	δύο	du/o	m--------
δύσκολον	du/skolon	δύσκολος	du/skolos	n-s---ma-
δύσκολον	du/skolon	δύσκολος	du/skolos	n-s---fa-
δύσκολον	du/skolon	δύσκολος	du/skolos	n-s---nn-
δύσκολον	du/skolon	δύσκολος	du/skolos	n-s---nv-
δύσκολον	du/skolon	δύσκολος	du/skolos	n-s---na-
δώδεκα	dw/deka	δώδεκα	dw/deka	m--------
δώσεις	dw/seis	δίδωμι	di/dwmi	v2sfia---
δᾳδίων	da|di/wn	δᾳδίον	da|di/on	n-p---ng-
δῆλος	dh=los	δῆλος	dh=los	a-s---mn-
δῆλος	dh=los	δῆλος	dh=los	n-s---mn-
δῆλος	dh=los	δῆλος	dh=los	n-s---fn-
δῆλόν	dh=lo/n	δῆλος	dh=los	a-s---ma-
δῆλόν	dh=lo/n	δῆλος	dh=los	a-s---nn-
δῆλόν	dh=lo/n	δῆλος	dh=los	a-s---nv-
δῆλόν	dh=lo/n	δῆλος	dh=los	a-s---na-
δῆλόν	dh=lo/n	δῆλος	dh=los	n-s---ma-
δῆλόν	dh=lo/n	δῆλος	dh=los	n-s---fa-
δῆλόν	dh=lo/n	δῆλος	dh=los	n-s---nn-
δῆλόν	dh=lo/n	δῆλος	dh=los	n-s---nv-
δῆλόν	dh=lo/n	δῆλος	dh=los	n-s---na-
δῆλός	dh=lo/s	δῆλος	dh=los	a-s---mn-
δῆλός	dh=lo/s	δῆλος	dh=los	n-s---mn-
δῆλός	dh=lo/s	δῆλος	dh=los	n-s---fn-
δῆμον	dh=mon	δῆμος	dh=mos	n-s---ma-
δῆμος	dh=mos	δῆμος	dh=mos	n-s---mn-
δῆμ’	dh=m'	δῆμα	dh=ma	n-s---nn-
δῆμ’	dh=m'	δῆμα	dh=ma	n-s---nv-
δῆμ’	dh=m'	δῆμα	dh=ma	n-s---na-
δῆμ’	dh=m'	δῆμος	dh=mos	n-s---mv-
δῆσαί	dh=sai/	δέομαι	de/omai	v2same---
δῆσαί	dh=sai/	δέω1	de/w1	v2samm---
δῆσαί	dh=sai/	δέω1	de/w1	v--ana---
δῆσαί	dh=sai/	δέω2	de/w2	v2samm---
δῆσαί	dh=sai/	δέω2	de/w2	v--ana---
δῆτα	dh=ta	δῆτα	dh=ta	d--------
δῆτά	dh=ta/	δῆτα	dh=ta	d--------
δῶ	dw=	δίδωμι	di/dwmi	v1sasa---
δῶ	dw=	δίδωμι	di/dwmi	v1sasa---
δῶ	dw=	δίδωμι	di/dwmi	v3saia---
δῶ	dw=	δῶμα	dw=ma	n-s---nn-
δῶ	dw=	δῶμα	dw=ma	n-s---nv-
δῶ	dw=	δῶμα	dw=ma	n-s---na-
δῷς	dw=|s	δίδωμι	di/dwmi	v2sasa---
δῷς	dw=|s	δίδωμι	di/dwmi	v2sasa---
εἰ	ei)	εἰ	ei)	c--------
εἰδώς	ei)dw/s	εἰδοί	ei)doi/	n-p---ma-
εἰδώς	ei)dw/s	οἶδα	oi)=da	v-srpamn-
εἰδώς	ei)dw/s	οἶδα	oi)=da	v-srpamv-
εἰδῇς	ei)dh=|s	οἶδα	oi)=da	v2srsa---
εἰκάσαι	ei)ka/sai	εἰκάζω	ei)ka/zw	v-sfpafd-
εἰκάσαι	ei)ka/sai	εἰκάζω	ei)ka/zw	v--ana---
εἰκάσαι	ei)ka/sai	εἰκάζω	ei)ka/zw	v3saoa---
εἰκότως	ei)ko/tws	ἐοικότως	e)oiko/tws	d--------
εἰκότως	ei)ko/tws	εἰκότως	ei)ko/tws	d--------
εἰκῇ	ei)kh=|	εἰκάζω	ei)ka/zw	v2sfim---
εἰκῇ	ei)kh=|	εἰκάζω	ei)ka/zw	v3sfia---
εἰκῇ	ei)kh=|	εἰκῇ	ei)kh=|	d--------
εἰμι	ei)mi	εἰμί	ei)mi/	v1spia---
εἰμί	ei)mi/	εἰμί	ei)mi/	v1spia---
εἰμ’	ei)m'	εἰμί	ei)mi/	v1spia---
εἰπεῖν	ei)pei=n	εἶπον	ei)=pon	v--ana---
εἰπέ	ei)pe/	εἶπον	ei)=pon	v2sama---
εἰργασμένον	ei)rgasme/non	ἐργάζομαι	e)rga/zomai	v-srpema-
εἰργασμένον	ei)rgasme/non	ἐργάζομαι	e)rga/zomai	v-srpenn-
εἰργασμένον	ei)rgasme/non	ἐργάζομαι	e)rga/zomai	v-srpenv-
εἰργασμένον	ei)rgasme/non	ἐργάζομαι	e)rga/zomai	v-srpena-
εἰρεσιώνην	ei)resiw/nhn	εἰρεσιώνη	ei)resiw/nh	n-s---fa-
εἰρηναῖος	ei)rhnai=os	εἰρηναῖος	ei)rhnai=os	a-s---mn-
εἰρήνη	ei)rh/nh	εἰρήνη	ei)rh/nh	n-s---fn-
εἰρήνη	ei)rh/nh	εἰρήνη	ei)rh/nh	n-s---fv-
εἰρήνη	ei)rh/nh	εἰρηνέω	ei)rhne/w	v2spma---
εἰρήνη	ei)rh/nh	εἰρηνέω	ei)rhne/w	v3siia---
εἰρήνην	ei)rh/nhn	εἰρήνη	ei)rh/nh	n-s---fa-
εἰς	ei)s	εἰς	ei)s	r--------
εἰσεπήδων	ei)seph/dwn	εἰσπηδάω	ei)sphda/w	v3piia---
εἰσεπήδων	ei)seph/dwn	εἰσπηδάω	ei)sphda/w	v1siia---
εἰσηγγελμέναις	ei)shggelme/nais	εἰσαγγέλλω	ei)sagge/llw	v-prpefd-
εἰσι	ei)si	εἰμί	ei)mi/	v3ppia---
εἰσιν	ei)sin	εἰμί	ei)mi/	v3ppia---
εἰσήρρησεν	ei)sh/rrhsen	εἰσέρρω	ei)se/rrw	v3saia---
εἰσίν	ei)si/n	εἰμί	ei)mi/	v3ppia---
εἴ	ei)/	εἰ	ei)	c--------
εἴθε	ei)/qe	εἴθε	ei)/qe	x--------
εἴκοσιν	ei)/kosin	εἴκοσι	ei)/kosi	m--------
εἴμι	ei)/mi	εἰμί	ei)mi/	v1spia---
εἴπερ	ei)/per	εἴπερ	ei)/per	c--------
εἴποι	ei)/poi	εἶπον	ei)=pon	v3saoa---
εἴποιμ’	ei)/poim'	εἶπον	ei)=pon	v1saoa---
εἴπω	ei)/pw	εἶπον	ei)=pon	v2saim---
εἴπω	ei)/pw	εἶπον	ei)=pon	v1sasa---
εἴπω	ei)/pw	εἶπον	ei)=pon	v1sasa---
εἴπω	ei)/pw	εἶπον	ei)=pon	v2saim---
εἴπω	ei)/pw	εἶπος	ei)=pos	n-d---mn-
εἴπω	ei)/pw	εἶπος	ei)=pos	n-d---mv-
εἴπω	ei)/pw	εἶπος	ei)=pos	n-d---ma-
εἴπω	ei)/pw	εἶπος	ei)=pos	n-s---mg-
εἴπῃ	ei)/ph|	εἶπον	ei)=pon	v2sasm---
εἴπῃ	ei)/ph|	εἶπον	ei)=pon	v3sasa---
εἴπῃ	ei)/ph|	εἶπον	ei)=pon	v2sase---
εἴπῃ	ei)/ph|	εἶπον	ei)=pon	v3sasa---
εἴπ’	ei)/p'	εἶπον	ei)=pon	v2sama---
εἴσω	ei)/sw	εἴδομαι	ei)/domai	v1sasa---
εἴσω	ei)/sw	εἴσω	ei)/sw	d--------
εἴσ’	ei)/s'	εἰμί	ei)mi/	v3ppia---
εἴτε	ei)/te	εἴτε	ei)/te	d--------
εἴφ’	ei)/f'	εἶπον	ei)=pon	v2sama---
εἶ	ei)=	εἰ	ei)	c--------
εἶ	ei)=	εἶμι	ei)=mi	v2spia---
εἶ	ei)=	εἰμί	ei)mi/	v2spia---
εἶδες	ei)=des	εἶδον	ei)=don	v2saia---
εἶδον	ei)=don	εἶδον	ei)=don	v3paia---
εἶδον	ei)=don	εἶδον	ei)=don	v1saia---
εἶεν	ei)=en	εἶεν	ei)=en	g--------
εἶεν	ei)=en	εἰμί	ei)mi/	v3ppoa---
εἶμι	ei)=mi	εἶμι	ei)=mi	v1spia---
εἶναι	ei)=nai	εἰμί	ei)mi/	v--pna---
εἶναί	ei)=nai/	εἰμί	ei)mi/	v--pna---
εἶπας	ei)=pas	εἶπον	ei)=pon	v2saia---
εἶπας	ei)=pas	εἶπον	ei)=pon	v2saia---
εἶπε	ei)=pe	εἶπον	ei)=pon	v3saia---
εἶπε	ei)=pe	εἶπον	ei)=pon	v2sama---
εἶπε	ei)=pe	εἶπον	ei)=pon	v3saia---
εἶπε	ei)=pe	εἶπον	ei)=pon	v3saia---
εἶπε	ei)=pe	εἶπον	ei)=pon	v3saia---
εἶπε	ei)=pe	εἶπος	ei)=pos	n-s---mv-
εἶπέ	ei)=pe/	εἶπον	ei)=pon	v3saia---
εἶπέ	ei)=pe/	εἶπον	ei)=pon	v2sama---
εἶπέ	ei)=pe/	εἶπον	ei)=pon	v3saia---
εἶπέ	ei)=pe/	εἶπον	ei)=pon	v3saia---
εἶπέ	ei)=pe/	εἶπον	ei)=pon	v3saia---
εἶπέ	ei)=pe/	εἶπος	ei)=pos	n-s---mv-
εἶς	ei)=s	εἶμι	ei)=mi	v2spia---
εἶς	ei)=s	εἰμί	ei)mi/	v2spia---
εἶς	ei)=s	εἰς	ei)s	r--------
εἶτα	ei)=ta	εἶτα	ei)=ta	d--------
εἶτε	ei)=te	εἰμί	ei)mi/	v2ppoa---
εἶχεν	ei)=xen	ἔχω	e)/xw	v3siia---
εἶχες	ei)=xes	ἔχω	e)/xw	v2siia---
εἷλες	ei(=les	αἱρέω	ai(re/w	v2saia---
εἷλκον	ei(=lkon	ἕλκω	e(/lkw	v3piia---
εἷλκον	ei(=lkon	ἕλκω	e(/lkw	v1siia---
εἷς	ei(=s	εἷς	ei(=s	n-s---mn-
εὐαγγελίσασθαι	eu)aggeli/sasqai	εὐαγγελίζομαι	eu)aggeli/zomai	v--ane---
εὐαγγέλια	eu)agge/lia	εὐαγγέλιον	eu)agge/lion	n-p---nn-
εὐαγγέλια	eu)agge/lia	εὐαγγέλιον	eu)agge/lion	n-p---nv-
εὐαγγέλια	eu)agge/lia	εὐαγγέλιον	eu)agge/lion	n-p---na-
εὐγλωττίας	eu)glwtti/as	εὐγλωσσία	eu)glwssi/a	n-p---fa-
εὐγλωττίας	eu)glwtti/as	εὐγλωσσία	eu)glwssi/a	n-s---fg-
εὐδαιμονεῖς	eu)daimonei=s	εὐδαιμονέω	eu)daimone/w	v2spia---
εὐδαιμονοῦσιν	eu)daimonou=sin	εὐδαιμονέω	eu)daimone/w	v-pppamd-
εὐδαιμονοῦσιν	eu)daimonou=sin	εὐδαιμονέω	eu)daimone/w	v-pppand-
εὐδαιμονοῦσιν	eu)daimonou=sin	εὐδαιμονέω	eu)daimone/w	v3ppia---
εὐδαιμονήσω	eu)daimonh/sw	εὐδαιμονέω	eu)daimone/w	v1sasa---
εὐδαιμονήσω	eu)daimonh/sw	εὐδαιμονέω	eu)daimone/w	v1sfia---
εὐδαιμονήσω	eu)daimonh/sw	εὐδαιμονέω	eu)daimone/w	v2saim---
εὐδαιμόνων	eu)daimo/nwn	εὐδαίμων	eu)dai/mwn	n-p----g-
εὐεργετεῖν	eu)ergetei=n	εὐεργετέω	eu)ergete/w	v--pna---
εὐθυνῶν	eu)qunw=n	εὔθυνα	eu)/quna	n-p---fg-
εὐθυνῶν	eu)qunw=n	εὐθύνω	eu)qu/nw	v-sfpamn-
εὐθέως	eu)qe/ws	εὐθέως	eu)qe/ws	d--------
εὐθέως	eu)qe/ws	εὐθής	eu)qh/s	x--------
εὐθέως	eu)qe/ws	εὐθύσ1	eu)qu/s1	x--------
εὐθέως	eu)qe/ws	εὐθύσ2	eu)qu/s2	d--------
εὐθύ	eu)qu/	εὐθύσ1	eu)qu/s1	a-s---mv-
εὐθύ	eu)qu/	εὐθύσ1	eu)qu/s1	a-s---nn-
εὐθύ	eu)qu/	εὐθύσ1	eu)qu/s1	a-s---nv-
εὐθύ	eu)qu/	εὐθύσ1	eu)qu/s1	a-s---na-
εὐθύ	eu)qu/	εὐθύσ2	eu)qu/s2	d--------
εὐθύς	eu)qu/s	εὐθύσ1	eu)qu/s1	a-s---mn-
εὐθύς	eu)qu/s	εὐθύσ2	eu)qu/s2	d--------
εὐλαβοῦ	eu)labou=	εὐλαβέομαι	eu)labe/omai	v2spme---
εὐλαβοῦ	eu)labou=	εὐλαβέομαι	eu)labe/omai	v2siie---
εὐλογεῖσθαι	eu)logei=sqai	εὐλογέω	eu)loge/w	v--pne---
εὐλογῆσαι	eu)logh=sai	εὐλογέω	eu)loge/w	v--ana---
εὐμήχανος	eu)mh/xanos	εὐμήχανος	eu)mh/xanos	n-s---mn-
εὐμήχανος	eu)mh/xanos	εὐμήχανος	eu)mh/xanos	n-s---fn-
εὐνούστατόν	eu)nou/stato/n	εὔνους	eu)/nous	a-s---ma-
εὐνούστατόν	eu)nou/stato/n	εὔνους	eu)/nous	a-s---nn-
εὐνούστατόν	eu)nou/stato/n	εὔνους	eu)/nous	a-s---nv-
εὐνούστατόν	eu)nou/stato/n	εὔνους	eu)/nous	a-s---na-
εὐνούστερος	eu)nou/steros	εὔνους	eu)/nous	a-s---mn-
εὐνάς	eu)na/s	εὐνή	eu)nh/	n-p---fa-
εὐπαλάμων	eu)pala/mwn	εὐπάλαμος	eu)pa/lamos	n-p---mg-
εὐπαλάμων	eu)pala/mwn	εὐπάλαμος	eu)pa/lamos	n-p---fg-
εὐπαλάμων	eu)pala/mwn	εὐπάλαμος	eu)pa/lamos	n-p---ng-
εὐπαράγωγος	eu)para/gwgos	εὐπαράγωγος	eu)para/gwgos	n-s---mn-
εὐπαράγωγος	eu)para/gwgos	εὐπαράγωγος	eu)para/gwgos	n-s---fn-
εὐρύν	eu)ru/n	εὐρύς	eu)ru/s	a-s---ma-
εὐτυχοῦντα	eu)tuxou=nta	εὐτυχέω	eu)tuxe/w	v-pppann-
εὐτυχοῦντα	eu)tuxou=nta	εὐτυχέω	eu)tuxe/w	v-pppanv-
εὐτυχοῦντα	eu)tuxou=nta	εὐτυχέω	eu)tuxe/w	v-pppana-
εὐτυχοῦντα	eu)tuxou=nta	εὐτυχέω	eu)tuxe/w	v-sppama-
εὐτυχής	eu)tuxh/s	εὐτυχής	eu)tuxh/s	n-s---mn-
εὐτυχής	eu)tuxh/s	εὐτυχής	eu)tuxh/s	n-s---fn-
εὐτυχίαισιν	eu)tuxi/aisin	εὐτυχία	eu)tuxi/a	n-p---fd-
εὐτυχῶς	eu)tuxw=s	εὐτυχής	eu)tuxh/s	x--------
εὐφημεῖν	eu)fhmei=n	εὐφημέω	eu)fhme/w	v--pna---
εὐχήν	eu)xh/n	εὐχή	eu)xh/	n-s---fa-
εὑρέ	eu(re/	εὑρίσκω	eu(ri/skw	v2sama---
εὑρήσειν	eu(rh/sein	εὑρίσκω	eu(ri/skw	v--fna---
εὑρήσεις	eu(rh/seis	εὕρησις	eu(/rhsis	n-p---fn-
εὑρήσεις	eu(rh/seis	εὕρησις	eu(/rhsis	n-p---fv-
