Αἰγαίαις	*ai)gai/ais	Αἰγαῖος	*ai)gai=os	urn:cite2:hmt:lsj.chicago_md:n2118	a-p---fd-
κομίζετ’	komi/zet'	κομίζω	komi/zw	urn:cite2:hmt:lsj.chicago_md:n58790	v3siie---
κομίζετ’	komi/zet'	κομίζω	komi/zw	urn:cite2:hmt:lsj.chicago_md:n58790	v2piia---
κομίζομαι	komi/zomai	κομίζω	komi/zw	urn:cite2:hmt:lsj.chicago_md:n58790	v1spie---
κορμούς	kormou/s	κορμός	kormo/s	urn:cite2:hmt:lsj.chicago_md:n59138	n-p---ma-
κοσμεῖ	kosmei=	κοσμέω	kosme/w	urn:cite2:hmt:lsj.chicago_md:n59295	v2spie---
κοσμεῖ	kosmei=	κοσμέω	kosme/w	urn:cite2:hmt:lsj.chicago_md:n59295	v3spia---
κουραῖσι	kourai=si	κουρά	koura/	urn:cite2:hmt:lsj.chicago_md:n59433	n-p---fd-
κουφίζοντα	koufi/zonta	κουφίζω	koufi/zw	urn:cite2:hmt:lsj.chicago_md:n59501	v-pppann-
κουφίζοντα	koufi/zonta	κουφίζω	koufi/zw	urn:cite2:hmt:lsj.chicago_md:n59501	v-pppanv-
κουφίζοντα	koufi/zonta	κουφίζω	koufi/zw	urn:cite2:hmt:lsj.chicago_md:n59501	v-pppana-
κουφίζοντα	koufi/zonta	κουφίζω	koufi/zw	urn:cite2:hmt:lsj.chicago_md:n59501	v-sppama-
κουφίσειε	koufi/seie	κουφίζω	koufi/zw	urn:cite2:hmt:lsj.chicago_md:n59501	v3saoa---
κοὐ	kou)	οὐ	ou)	urn:cite2:hmt:lsj.chicago_md:n75730	d--------
κοὐδείς	kou)dei/s	οὐδείς	ou)dei/s	urn:cite2:hmt:lsj.chicago_md:n75765	n-s---mn-
κοὐδείς	kou)dei/s	οὐδείς	ou)dei/s	urn:cite2:hmt:lsj.chicago_md:n75765	n-s---mv-
κοὐδέν	kou)de/n	οὐδείς	ou)dei/s	urn:cite2:hmt:lsj.chicago_md:n75765	n-s---nn-
κοὐδέν	kou)de/n	οὐδείς	ou)dei/s	urn:cite2:hmt:lsj.chicago_md:n75765	n-s---nv-
κοὐδέν	kou)de/n	οὐδείς	ou)dei/s	urn:cite2:hmt:lsj.chicago_md:n75765	n-s---na-
κοὐκ	kou)k	οὐ	ou)	urn:cite2:hmt:lsj.chicago_md:n75730	d--------
κοὔποτ’	kou)/pot'	οὔποτε	ou)/pote	urn:cite2:hmt:lsj.chicago_md:n75903	d--------
κούραν	kou/ran	κόρη	ko/rh	urn:cite2:hmt:lsj.chicago_md:n59098	n-s---fa-
κούρας	kou/ras	κόρη	ko/rh	urn:cite2:hmt:lsj.chicago_md:n59098	n-p---fa-
κούρας	kou/ras	κόρη	ko/rh	urn:cite2:hmt:lsj.chicago_md:n59098	n-s---fg-
κούφῃ	kou/fh|	κοῦφος	kou=fos	urn:cite2:hmt:lsj.chicago_md:n59516	a-s---fd-
κρατεῖν	kratei=n	κρατέω	krate/w	urn:cite2:hmt:lsj.chicago_md:n59708	v--pna---
κρατοῦμεν	kratou=men	κρατέω	krate/w	urn:cite2:hmt:lsj.chicago_md:n59708	v1ppia---
κρατοῦμεν	kratou=men	κρατέω	krate/w	urn:cite2:hmt:lsj.chicago_md:n59708	v1piia---
κρατήσεις	krath/seis	κράτησις	kra/thsis	urn:cite2:hmt:lsj.chicago_md:n59722	n-p---fn-
κρατήσεις	krath/seis	κράτησις	kra/thsis	urn:cite2:hmt:lsj.chicago_md:n59722	n-p---fv-
κρατήσεις	krath/seis	κράτησις	kra/thsis	urn:cite2:hmt:lsj.chicago_md:n59722	n-p---fn-
κρατήσεις	krath/seis	κράτησις	kra/thsis	urn:cite2:hmt:lsj.chicago_md:n59722	n-p---fa-
κρατήσεις	krath/seis	κρατέω	krate/w	urn:cite2:hmt:lsj.chicago_md:n59708	v2sasa---
κρατήσεις	krath/seis	κρατέω	krate/w	urn:cite2:hmt:lsj.chicago_md:n59708	v2sfia---
κρατί	krati/	κράς	kra/s	urn:cite2:hmt:lsj.chicago_md:n59655	n-s---fd-
κρατός	krato/s	κράς	kra/s	urn:cite2:hmt:lsj.chicago_md:n59655	n-s---fg-
κραίνουσι	krai/nousi	κραίνω	krai/nw	urn:cite2:hmt:lsj.chicago_md:n59589	v-pppamd-
κραίνουσι	krai/nousi	κραίνω	krai/nw	urn:cite2:hmt:lsj.chicago_md:n59589	v-pppand-
κραίνουσι	krai/nousi	κραίνω	krai/nw	urn:cite2:hmt:lsj.chicago_md:n59589	v3ppia---
κρείσσω	krei/ssw	κρείσσων	krei/sswn	urn:cite2:hmt:lsj.chicago_md:n59794	a-p---na-
κρείσσω	krei/ssw	κρείσσων	krei/sswn	urn:cite2:hmt:lsj.chicago_md:n59794	a-p---nn-
κρείσσω	krei/ssw	κρείσσων	krei/sswn	urn:cite2:hmt:lsj.chicago_md:n59794	a-s---ma-
κρείσσω	krei/ssw	κρείσσων	krei/sswn	urn:cite2:hmt:lsj.chicago_md:n59794	a-s---fa-
κρείσσω	krei/ssw	κρεισσόω	kreisso/w	urn:cite2:hmt:lsj.chicago_md:n59793	v2spma---
κρείσσω	krei/ssw	κρεισσόω	kreisso/w	urn:cite2:hmt:lsj.chicago_md:n59793	v3siia---
κρείσσων	krei/sswn	κρείσσων	krei/sswn	urn:cite2:hmt:lsj.chicago_md:n59794	a-s---mn-
κρείσσων	krei/sswn	κρείσσων	krei/sswn	urn:cite2:hmt:lsj.chicago_md:n59794	a-s---fn-
κρείσσων	krei/sswn	κρεισσόω	kreisso/w	urn:cite2:hmt:lsj.chicago_md:n59793	v3piia---
κρείσσων	krei/sswn	κρεισσόω	kreisso/w	urn:cite2:hmt:lsj.chicago_md:n59793	v1siia---
κρεῖσσον	krei=sson	κρείσσων	krei/sswn	urn:cite2:hmt:lsj.chicago_md:n59794	a-s---mv-
κρεῖσσον	krei=sson	κρείσσων	krei/sswn	urn:cite2:hmt:lsj.chicago_md:n59794	a-s---fv-
κρεῖσσον	krei=sson	κρείσσων	krei/sswn	urn:cite2:hmt:lsj.chicago_md:n59794	a-s---nn-
κρεῖσσον	krei=sson	κρείσσων	krei/sswn	urn:cite2:hmt:lsj.chicago_md:n59794	a-s---nv-
κρεῖσσον	krei=sson	κρείσσων	krei/sswn	urn:cite2:hmt:lsj.chicago_md:n59794	a-s---na-
κρηνῶν	krhnw=n	κρήνη	krh/nh	urn:cite2:hmt:lsj.chicago_md:n59885	n-p---fg-
κρηπῖδ’	krhpi=d'	κρηπίς	krhpi/s	urn:cite2:hmt:lsj.chicago_md:n59905	n-s---fa-
κρηπῖδ’	krhpi=d'	κρηπίς	krhpi/s	urn:cite2:hmt:lsj.chicago_md:n59905	n-s---fd-
κρηπῖδ’	krhpi=d'	κρηπίς	krhpi/s	urn:cite2:hmt:lsj.chicago_md:n59905	n-d---fn-
κρηπῖδ’	krhpi=d'	κρηπίς	krhpi/s	urn:cite2:hmt:lsj.chicago_md:n59905	n-d---fv-
κρηπῖδ’	krhpi=d'	κρηπίς	krhpi/s	urn:cite2:hmt:lsj.chicago_md:n59905	n-d---fa-
κρινεῖ	krinei=	κρίνω	kri/nw	urn:cite2:hmt:lsj.chicago_md:n60003	v3sasp---
κρινεῖ	krinei=	κρίνω	kri/nw	urn:cite2:hmt:lsj.chicago_md:n60003	v2sfim---
κρινεῖ	krinei=	κρίνω	kri/nw	urn:cite2:hmt:lsj.chicago_md:n60003	v3sfia---
κροῦσον	krou=son	κρούω	krou/w	urn:cite2:hmt:lsj.chicago_md:n60209	v2sama---
κροῦσον	krou=son	κρούω	krou/w	urn:cite2:hmt:lsj.chicago_md:n60209	v-sfpamv-
κροῦσον	krou=son	κρούω	krou/w	urn:cite2:hmt:lsj.chicago_md:n60209	v-sfpann-
κροῦσον	krou=son	κρούω	krou/w	urn:cite2:hmt:lsj.chicago_md:n60209	v-sfpanv-
κροῦσον	krou=son	κρούω	krou/w	urn:cite2:hmt:lsj.chicago_md:n60209	v-sfpana-
κρυπτεύομαι	krupteu/omai	κρυπτεύω	krupteu/w	urn:cite2:hmt:lsj.chicago_md:n60236	v1spie---
κρυφθείς	krufqei/s	κρύπτω	kru/ptw	urn:cite2:hmt:lsj.chicago_md:n60245	v-sappmn-
κρυφθείς	krufqei/s	κρύπτω	kru/ptw	urn:cite2:hmt:lsj.chicago_md:n60245	v-sappmv-
κράτιστον	kra/tiston	κράτιστος	kra/tistos	urn:cite2:hmt:lsj.chicago_md:n59735	a-s---ma-
κράτιστον	kra/tiston	κράτιστος	kra/tistos	urn:cite2:hmt:lsj.chicago_md:n59735	a-s---nn-
κράτιστον	kra/tiston	κράτιστος	kra/tistos	urn:cite2:hmt:lsj.chicago_md:n59735	a-s---nv-
κράτιστον	kra/tiston	κράτιστος	kra/tistos	urn:cite2:hmt:lsj.chicago_md:n59735	a-s---na-
κράτος	kra/tos	κράτος	kra/tos	urn:cite2:hmt:lsj.chicago_md:n59741	n-s---nn-
κράτος	kra/tos	κράτος	kra/tos	urn:cite2:hmt:lsj.chicago_md:n59741	n-s---nv-
κράτος	kra/tos	κράτος	kra/tos	urn:cite2:hmt:lsj.chicago_md:n59741	n-s---na-
κρίσιν	kri/sin	κρίσις	kri/sis	urn:cite2:hmt:lsj.chicago_md:n60034	n-s---fa-
κρίσις	kri/sis	κρίσις	kri/sis	urn:cite2:hmt:lsj.chicago_md:n60034	n-p---fa-
κρίσις	kri/sis	κρίσις	kri/sis	urn:cite2:hmt:lsj.chicago_md:n60034	n-s---fn-
κρόταλα	kro/tala	κρόταλον	kro/talon	urn:cite2:hmt:lsj.chicago_md:n60150	n-p---nn-
κρόταλα	kro/tala	κρόταλον	kro/talon	urn:cite2:hmt:lsj.chicago_md:n60150	n-p---nv-
κρόταλα	kro/tala	κρόταλον	kro/talon	urn:cite2:hmt:lsj.chicago_md:n60150	n-p---na-
κρύπτει	kru/ptei	κρύπτω	kru/ptw	urn:cite2:hmt:lsj.chicago_md:n60245	v2spie---
κρύπτει	kru/ptei	κρύπτω	kru/ptw	urn:cite2:hmt:lsj.chicago_md:n60245	v3spia---
κρύπτεται	kru/ptetai	κρύπτω	kru/ptw	urn:cite2:hmt:lsj.chicago_md:n60245	v3spie---
κρύπτων	kru/ptwn	κρύπτω	kru/ptw	urn:cite2:hmt:lsj.chicago_md:n60245	v-sppamn-
κρύψας	kru/yas	κρύπτω	kru/ptw	urn:cite2:hmt:lsj.chicago_md:n60245	v-sapamn-
κρύψας	kru/yas	κρύπτω	kru/ptw	urn:cite2:hmt:lsj.chicago_md:n60245	v-sapamv-
κρύψας	kru/yas	κρύπτω	kru/ptw	urn:cite2:hmt:lsj.chicago_md:n60245	v2saia---
κρύψασ’	kru/yas'	κρύπτω	kru/ptw	urn:cite2:hmt:lsj.chicago_md:n60245	v-sapafn-
κρύψασ’	kru/yas'	κρύπτω	kru/ptw	urn:cite2:hmt:lsj.chicago_md:n60245	v-sapafv-
κρύψασ’	kru/yas'	κρύπτω	kru/ptw	urn:cite2:hmt:lsj.chicago_md:n60245	v-papamd-
κρύψασ’	kru/yas'	κρύπτω	kru/ptw	urn:cite2:hmt:lsj.chicago_md:n60245	v-papand-
κρύψασ’	kru/yas'	κρύπτω	kru/ptw	urn:cite2:hmt:lsj.chicago_md:n60245	v-papafn-
κρύψασ’	kru/yas'	κρύπτω	kru/ptw	urn:cite2:hmt:lsj.chicago_md:n60245	v-papafv-
κρᾶτα	kra=ta	κράς	kra/s	urn:cite2:hmt:lsj.chicago_md:n59655	n-s---fa-
κρᾶτα	kra=ta	κράς	kra/s	urn:cite2:hmt:lsj.chicago_md:n59655	n-p---nn-
κρᾶτα	kra=ta	κράς	kra/s	urn:cite2:hmt:lsj.chicago_md:n59655	n-p---nv-
κρᾶτα	kra=ta	κράς	kra/s	urn:cite2:hmt:lsj.chicago_md:n59655	n-p---na-
κρῖνον	kri=non	κρίνω	kri/nw	urn:cite2:hmt:lsj.chicago_md:n60003	v2sama---
κρῖνον	kri=non	κρίνω	kri/nw	urn:cite2:hmt:lsj.chicago_md:n60003	v-sppamv-
κρῖνον	kri=non	κρίνω	kri/nw	urn:cite2:hmt:lsj.chicago_md:n60003	v-sppann-
κρῖνον	kri=non	κρίνω	kri/nw	urn:cite2:hmt:lsj.chicago_md:n60003	v-sppanv-
κρῖνον	kri=non	κρίνω	kri/nw	urn:cite2:hmt:lsj.chicago_md:n60003	v-sppana-
κρῖνον	kri=non	κρίνω	kri/nw	urn:cite2:hmt:lsj.chicago_md:n60003	v3piia---
κρῖνον	kri=non	κρίνω	kri/nw	urn:cite2:hmt:lsj.chicago_md:n60003	v1siia---
κτανεῖν	ktanei=n	κτείνω	ktei/nw	urn:cite2:hmt:lsj.chicago_md:n60316	v--ana---
κτανεῖν	ktanei=n	κτείνω	ktei/nw	urn:cite2:hmt:lsj.chicago_md:n60316	v--fna---
κτανών	ktanw/n	κτείνω	ktei/nw	urn:cite2:hmt:lsj.chicago_md:n60316	v-sapamn-
κτενεῖς	ktenei=s	κτείνω	ktei/nw	urn:cite2:hmt:lsj.chicago_md:n60316	v2sfia---
κτενῶ	ktenw=	κτείνω	ktei/nw	urn:cite2:hmt:lsj.chicago_md:n60316	v1sfia---
κτερίσματα	kteri/smata	κτερίσματα	kteri/smata	urn:cite2:hmt:lsj.chicago_md:n60336	n-p---nn-
κτερίσματα	kteri/smata	κτερίσματα	kteri/smata	urn:cite2:hmt:lsj.chicago_md:n60336	n-p---nv-
κτερίσματα	kteri/smata	κτερίσματα	kteri/smata	urn:cite2:hmt:lsj.chicago_md:n60336	n-p---na-
κτείνει	ktei/nei	κτείνω	ktei/nw	urn:cite2:hmt:lsj.chicago_md:n60316	v3sasa---
κτείνει	ktei/nei	κτείνω	ktei/nw	urn:cite2:hmt:lsj.chicago_md:n60316	v2spie---
κτείνει	ktei/nei	κτείνω	ktei/nw	urn:cite2:hmt:lsj.chicago_md:n60316	v3spia---
κτεῖνε	ktei=ne	κτείνω	ktei/nw	urn:cite2:hmt:lsj.chicago_md:n60316	v2spma---
κτεῖνε	ktei=ne	κτείνω	ktei/nw	urn:cite2:hmt:lsj.chicago_md:n60316	v3saia---
κτεῖνε	ktei=ne	κτείνω	ktei/nw	urn:cite2:hmt:lsj.chicago_md:n60316	v3siia---
κτεῖν’	ktei=n'	κτείνω	ktei/nw	urn:cite2:hmt:lsj.chicago_md:n60316	v2spma---
κτεῖν’	ktei=n'	κτείνω	ktei/nw	urn:cite2:hmt:lsj.chicago_md:n60316	v2samm---
κτεῖν’	ktei=n'	κτείνω	ktei/nw	urn:cite2:hmt:lsj.chicago_md:n60316	v--ana---
κτεῖν’	ktei=n'	κτείνω	ktei/nw	urn:cite2:hmt:lsj.chicago_md:n60316	v1saia---
κτεῖν’	ktei=n'	κτείνω	ktei/nw	urn:cite2:hmt:lsj.chicago_md:n60316	v3saia---
κτεῖν’	ktei=n'	κτείνω	ktei/nw	urn:cite2:hmt:lsj.chicago_md:n60316	v3siia---
κτητά	kthta/	κτητός	kthto/s	urn:cite2:hmt:lsj.chicago_md:n60372	a-p---nn-
κτητά	kthta/	κτητός	kthto/s	urn:cite2:hmt:lsj.chicago_md:n60372	a-p---nv-
κτητά	kthta/	κτητός	kthto/s	urn:cite2:hmt:lsj.chicago_md:n60372	a-p---na-
κτητά	kthta/	κτητός	kthto/s	urn:cite2:hmt:lsj.chicago_md:n60372	a-d---fn-
κτητά	kthta/	κτητός	kthto/s	urn:cite2:hmt:lsj.chicago_md:n60372	a-d---fv-
κτητά	kthta/	κτητός	kthto/s	urn:cite2:hmt:lsj.chicago_md:n60372	a-d---fa-
κτητά	kthta/	κτητός	kthto/s	urn:cite2:hmt:lsj.chicago_md:n60372	a-s---fn-
κτητά	kthta/	κτητός	kthto/s	urn:cite2:hmt:lsj.chicago_md:n60372	a-s---fv-
κτυπεῖ	ktupei=	κτυπέω	ktupe/w	urn:cite2:hmt:lsj.chicago_md:n60398	v2spie---
κτυπεῖ	ktupei=	κτυπέω	ktupe/w	urn:cite2:hmt:lsj.chicago_md:n60398	v3spia---
κτάνοιμ’	kta/noim'	κτείνω	ktei/nw	urn:cite2:hmt:lsj.chicago_md:n60316	v1saoa---
κτάνοις	kta/nois	κτείνω	ktei/nw	urn:cite2:hmt:lsj.chicago_md:n60316	v2saoa---
κτέριζ’	kte/riz'	κτερίζω	kteri/zw	urn:cite2:hmt:lsj.chicago_md:n60335	v2spma---
κτέριζ’	kte/riz'	κτερίζω	kteri/zw	urn:cite2:hmt:lsj.chicago_md:n60335	v3siia---
κτᾶσθαι	kta=sqai	κτάομαι	kta/omai	urn:cite2:hmt:lsj.chicago_md:n60308	v--pne---
κτᾶσθε	kta=sqe	κτάομαι	kta/omai	urn:cite2:hmt:lsj.chicago_md:n60308	v2ppme---
κτᾶσθε	kta=sqe	κτάομαι	kta/omai	urn:cite2:hmt:lsj.chicago_md:n60308	v2ppse---
κτᾶσθε	kta=sqe	κτάομαι	kta/omai	urn:cite2:hmt:lsj.chicago_md:n60308	v2ppie---
κτᾶσθε	kta=sqe	κτάομαι	kta/omai	urn:cite2:hmt:lsj.chicago_md:n60308	v2piie---
κυανοειδές	kuanoeide/s	κυανοειδής	kuanoeidh/s	urn:cite2:hmt:lsj.chicago_md:n60445	n-s---mv-
κυανοειδές	kuanoeide/s	κυανοειδής	kuanoeidh/s	urn:cite2:hmt:lsj.chicago_md:n60445	n-s---fv-
κυανοειδές	kuanoeide/s	κυανοειδής	kuanoeidh/s	urn:cite2:hmt:lsj.chicago_md:n60445	n-s---nn-
κυανοειδές	kuanoeide/s	κυανοειδής	kuanoeidh/s	urn:cite2:hmt:lsj.chicago_md:n60445	n-s---nv-
κυανοειδές	kuanoeide/s	κυανοειδής	kuanoeidh/s	urn:cite2:hmt:lsj.chicago_md:n60445	n-s---na-
κυανόχροά	kuano/xroa/	κυανόχροος	kuano/xroos	urn:cite2:hmt:lsj.chicago_md:n60462	n-p---nn-
κυανόχροά	kuano/xroa/	κυανόχροος	kuano/xroos	urn:cite2:hmt:lsj.chicago_md:n60462	n-p---nv-
κυανόχροά	kuano/xroa/	κυανόχροος	kuano/xroos	urn:cite2:hmt:lsj.chicago_md:n60462	n-p---na-
κυκλίων	kukli/wn	κύκλιος	ku/klios	urn:cite2:hmt:lsj.chicago_md:n60623	a-p---fg-
κυκλίων	kukli/wn	κύκλιος	ku/klios	urn:cite2:hmt:lsj.chicago_md:n60623	a-p---mg-
κυκλίων	kukli/wn	κύκλιος	ku/klios	urn:cite2:hmt:lsj.chicago_md:n60623	a-p---ng-
κυκλίων	kukli/wn	κύκλιος	ku/klios	urn:cite2:hmt:lsj.chicago_md:n60623	n-p---mg-
κυκλίων	kukli/wn	κύκλιος	ku/klios	urn:cite2:hmt:lsj.chicago_md:n60623	n-p---fg-
κυκλίων	kukli/wn	κύκλιος	ku/klios	urn:cite2:hmt:lsj.chicago_md:n60623	n-p---ng-
κυκλίων	kukli/wn	κυκλέω	kukle/w	urn:cite2:hmt:lsj.chicago_md:n60614	v-sppamn-
κυμάτων	kuma/twn	κῦμα	ku=ma	urn:cite2:hmt:lsj.chicago_md:n60736	n-p---ng-
κυμάτων	kuma/twn	κυματόω	kumato/w	urn:cite2:hmt:lsj.chicago_md:n60755	v3piia---
κυμάτων	kuma/twn	κυματόω	kumato/w	urn:cite2:hmt:lsj.chicago_md:n60755	v1siia---
κυριωτέροις	kuriwte/rois	κύριος	ku/rios	urn:cite2:hmt:lsj.chicago_md:n61056	a-p---md-
κυριωτέροις	kuriwte/rois	κύριος	ku/rios	urn:cite2:hmt:lsj.chicago_md:n61056	a-p---nd-
κυριωτέροις	kuriwte/rois	κύριος	ku/rios	urn:cite2:hmt:lsj.chicago_md:n61056	n-p---md-
κυριωτέροις	kuriwte/rois	κύριος	ku/rios	urn:cite2:hmt:lsj.chicago_md:n61056	n-p---nd-
κυρτῶν	kurtw=n	κύρτη	ku/rth	urn:cite2:hmt:lsj.chicago_md:n61082	n-p---fg-
κυρτῶν	kurtw=n	κυρτός	kurto/s	urn:cite2:hmt:lsj.chicago_md:n61093	a-p---fg-
κυρτῶν	kurtw=n	κυρτός	kurto/s	urn:cite2:hmt:lsj.chicago_md:n61093	a-p---mg-
κυρτῶν	kurtw=n	κυρτός	kurto/s	urn:cite2:hmt:lsj.chicago_md:n61093	a-p---ng-
κυρτῶν	kurtw=n	κυρτόω	kurto/w	urn:cite2:hmt:lsj.chicago_md:n61095	v-sppamv-
κυρτῶν	kurtw=n	κυρτόω	kurto/w	urn:cite2:hmt:lsj.chicago_md:n61095	v-sppann-
κυρτῶν	kurtw=n	κυρτόω	kurto/w	urn:cite2:hmt:lsj.chicago_md:n61095	v-sppanv-
κυρτῶν	kurtw=n	κυρτόω	kurto/w	urn:cite2:hmt:lsj.chicago_md:n61095	v-sppana-
κυρτῶν	kurtw=n	κυρτόω	kurto/w	urn:cite2:hmt:lsj.chicago_md:n61095	v-sppamn-
κυρτῶν	kurtw=n	κυρτόω	kurto/w	urn:cite2:hmt:lsj.chicago_md:n61095	v--pna---
κυρία	kuri/a	κύριος	ku/rios	urn:cite2:hmt:lsj.chicago_md:n61056	a-d---fn-
κυρία	kuri/a	κύριος	ku/rios	urn:cite2:hmt:lsj.chicago_md:n61056	a-d---fv-
κυρία	kuri/a	κύριος	ku/rios	urn:cite2:hmt:lsj.chicago_md:n61056	a-d---fa-
κυρία	kuri/a	κύριος	ku/rios	urn:cite2:hmt:lsj.chicago_md:n61056	a-s---fn-
κυρία	kuri/a	κύριος	ku/rios	urn:cite2:hmt:lsj.chicago_md:n61056	a-s---fv-
κυρία	kuri/a	κυρία	kuri/a	urn:cite2:hmt:lsj.chicago_md:n61041	n-d---fn-
κυρία	kuri/a	κυρία	kuri/a	urn:cite2:hmt:lsj.chicago_md:n61041	n-d---fv-
κυρία	kuri/a	κυρία	kuri/a	urn:cite2:hmt:lsj.chicago_md:n61041	n-d---fa-
κυρία	kuri/a	κυρία	kuri/a	urn:cite2:hmt:lsj.chicago_md:n61041	n-s---fn-
κυρία	kuri/a	κυρία	kuri/a	urn:cite2:hmt:lsj.chicago_md:n61041	n-s---fv-
κυσίν	kusi/n	κύων	ku/wn	urn:cite2:hmt:lsj.chicago_md:n61177	n-p---md-
κυσίν	kusi/n	κύων	ku/wn	urn:cite2:hmt:lsj.chicago_md:n61177	n-p---fd-
κωπῆρες	kwph=res	κωπήρης	kwph/rhs	urn:cite2:hmt:lsj.chicago_md:n61375	n-s---mv-
κωπῆρες	kwph=res	κωπήρης	kwph/rhs	urn:cite2:hmt:lsj.chicago_md:n61375	n-s---fv-
κωπῆρες	kwph=res	κωπήρης	kwph/rhs	urn:cite2:hmt:lsj.chicago_md:n61375	n-s---nn-
κωπῆρες	kwph=res	κωπήρης	kwph/rhs	urn:cite2:hmt:lsj.chicago_md:n61375	n-s---nv-
κωπῆρες	kwph=res	κωπήρης	kwph/rhs	urn:cite2:hmt:lsj.chicago_md:n61375	n-s---na-
κἀγώ	ka)gw/	ἀγός	a)go/s	urn:cite2:hmt:lsj.chicago_md:n796	n-d---mn-
κἀγώ	ka)gw/	ἀγός	a)go/s	urn:cite2:hmt:lsj.chicago_md:n796	n-d---mv-
κἀγώ	ka)gw/	ἀγός	a)go/s	urn:cite2:hmt:lsj.chicago_md:n796	n-d---ma-
κἀγώ	ka)gw/	ἐγώ	e)gw/	urn:cite2:hmt:lsj.chicago_md:n30657	p-s---mn-
κἀγώ	ka)gw/	ἐγώ	e)gw/	urn:cite2:hmt:lsj.chicago_md:n30657	p-s---mv-
κἀγώ	ka)gw/	ἐγώ	e)gw/	urn:cite2:hmt:lsj.chicago_md:n30657	p-s---fn-
κἀγώ	ka)gw/	ἐγώ	e)gw/	urn:cite2:hmt:lsj.chicago_md:n30657	p-s---fv-
κἀδίκους	ka)di/kous	ἄδικος	a)/dikos	urn:cite2:hmt:lsj.chicago_md:n1397	n-p---ma-
κἀδίκους	ka)di/kous	ἄδικος	a)/dikos	urn:cite2:hmt:lsj.chicago_md:n1397	n-p---fa-
κἀκ	ka)k	ἐκ	e)k	urn:cite2:hmt:lsj.chicago_md:n31575	r--------
κἀκεῖ	ka)kei=	ἀκέομαι	a)ke/omai	urn:cite2:hmt:lsj.chicago_md:n3074	v2sfim---
κἀκεῖ	ka)kei=	ἀκέομαι	a)ke/omai	urn:cite2:hmt:lsj.chicago_md:n3074	v2spie---
κἀκεῖ	ka)kei=	ἀκέω	a)ke/w	urn:cite2:hmt:lsj.chicago_md:n3128	v2spie---
κἀκεῖ	ka)kei=	ἀκέω	a)ke/w	urn:cite2:hmt:lsj.chicago_md:n3129	v2spie---
κἀκεῖ	ka)kei=	ἀκέω	a)ke/w	urn:cite2:hmt:lsj.chicago_md:n3128	v3spia---
κἀκεῖ	ka)kei=	ἀκέω	a)ke/w	urn:cite2:hmt:lsj.chicago_md:n3129	v3spia---
κἀκεῖ	ka)kei=	ἐκεῖ	e)kei=	urn:cite2:hmt:lsj.chicago_md:n31945	d--------
κἀκεῖνον	ka)kei=non	ἐκεῖνος	e)kei=nos	urn:cite2:hmt:lsj.chicago_md:n31951	n-s---ma-
κἀκεῖσ’	ka)kei=s'	ἄκος	a)/kos	urn:cite2:hmt:lsj.chicago_md:n3364	n-p---nd-
κἀκεῖσ’	ka)kei=s'	ἐκεῖσε	e)kei=se	urn:cite2:hmt:lsj.chicago_md:n31952	d--------
κἀκκομίζεθ’	ka)kkomi/zeq'	ἐκκομίζω	e)kkomi/zw	urn:cite2:hmt:lsj.chicago_md:n32221	v2ppma---
κἀκκομίζεθ’	ka)kkomi/zeq'	ἐκκομίζω	e)kkomi/zw	urn:cite2:hmt:lsj.chicago_md:n32221	v2ppia---
κἀκκομίζεθ’	ka)kkomi/zeq'	ἐκκομίζω	e)kkomi/zw	urn:cite2:hmt:lsj.chicago_md:n32221	v2ppma---
κἀκκομίζεθ’	ka)kkomi/zeq'	ἐκκομίζω	e)kkomi/zw	urn:cite2:hmt:lsj.chicago_md:n32221	v2ppia---
κἀκκομίζεθ’	ka)kkomi/zeq'	ἐκκομίζω	e)kkomi/zw	urn:cite2:hmt:lsj.chicago_md:n32221	v3spie---
κἀκκομίζεθ’	ka)kkomi/zeq'	ἐκκομίζω	e)kkomi/zw	urn:cite2:hmt:lsj.chicago_md:n32221	v3spie---
κἀμοί	ka)moi/	ἁμόσ1	a(mo/s	urn:cite2:hmt:lsj.chicago_md:n5446	a-p---mn-
κἀμοί	ka)moi/	ἁμόσ1	a(mo/s	urn:cite2:hmt:lsj.chicago_md:n5447	a-p---mn-
κἀμοί	ka)moi/	ἁμόσ1	a(mo/s	urn:cite2:hmt:lsj.chicago_md:n5446	a-p---mv-
κἀμοί	ka)moi/	ἁμόσ1	a(mo/s	urn:cite2:hmt:lsj.chicago_md:n5447	a-p---mv-
κἀμοί	ka)moi/	ἀμόω	a)mo/w	urn:cite2:hmt:lsj.chicago_md:n5461	v2spse---
κἀμοί	ka)moi/	ἀμόω	a)mo/w	urn:cite2:hmt:lsj.chicago_md:n5461	v2spie---
κἀμοί	ka)moi/	ἀμόω	a)mo/w	urn:cite2:hmt:lsj.chicago_md:n5461	v3spsa---
κἀμοί	ka)moi/	ἐγώ	e)gw/	urn:cite2:hmt:lsj.chicago_md:n30657	p-s---md-
κἀμοί	ka)moi/	ἐγώ	e)gw/	urn:cite2:hmt:lsj.chicago_md:n30657	p-s---fd-
κἀμοί	ka)moi/	ἐμός	e)mo/s	urn:cite2:hmt:lsj.chicago_md:n34194	a-p---mn-
κἀμοί	ka)moi/	ἐμός	e)mo/s	urn:cite2:hmt:lsj.chicago_md:n34194	a-p---mv-
