Αἰξωνέα	*ai)cwne/a	Αἰξωνεύς	*ai)cwneu/s	n-s---ma-
κατεδήδοκεν	katedh/doken	κατεσθίω	katesqi/w	v3plia---
κατερεῖξαι	katerei=cai	κατερείκω	katerei/kw	v--ana---
κατερύκεις	kateru/keis	κατερυκάνω	kateruka/nw	v2spia---
κατεσθίει	katesqi/ei	κατεσθίω	katesqi/w	v2spie---
κατεσθίει	katesqi/ei	κατεσθίω	katesqi/w	v3spia---
κατεσθίουσιν	katesqi/ousin	κατεσθίω	katesqi/w	v-pppamd-
κατεσθίουσιν	katesqi/ousin	κατεσθίω	katesqi/w	v-pppand-
κατεσθίουσιν	katesqi/ousin	κατεσθίω	katesqi/w	v3ppia---
κατεσικέλιζε	katesike/lize	κατασικελίζω	katasikeli/zw	v3siia---
κατεστρεψάμην	katestreya/mhn	καταστρέφω	katastre/fw	v1saim---
κατεάγη	katea/gh	κατάγνυμι	kata/gnumi	v3saip---
κατεάγη	katea/gh	κατάγνυμι	kata/gnumi	v3saip---
κατεάγη	katea/gh	κατεάσσω	katea/ssw	v3saip---
κατείποι	katei/poi	κατεῖπον	katei=pon	v3saoa---
κατείπω	katei/pw	κατεῖπον	katei=pon	v2saim---
κατείπω	katei/pw	κατεῖπον	katei=pon	v1sasa---
κατείπω	katei/pw	κατεῖπον	katei=pon	v1sasa---
κατείπω	katei/pw	κατεῖπον	katei=pon	v2saim---
κατηγορήσειν	kathgorh/sein	κατηγορέω	kathgore/w	v--fna---
κατηγορήσειν	kathgorh/sein	κατηγορέω	kathgore/w	v--fna---
κατηγορήσειν	kathgorh/sein	κατηγορέω	kathgore/w	v--tna---
κατηγορῇ	kathgorh=|	κατηγορέω	kathgore/w	v2spse---
κατηγορῇ	kathgorh=|	κατηγορέω	kathgore/w	v2spie---
κατηγορῇ	kathgorh=|	κατηγορέω	kathgore/w	v3spsa---
κατηγορῇ	kathgorh=|	κατηγορέω	kathgore/w	v2spse---
κατηγορῇ	kathgorh=|	κατηγορέω	kathgore/w	v2spie---
κατηγορῇ	kathgorh=|	κατηγορέω	kathgore/w	v3spsa---
κατηγόρει	kathgo/rei	κατηγορέω	kathgore/w	v2spma---
κατηγόρει	kathgo/rei	κατηγορέω	kathgore/w	v3siia---
κατηγόρει	kathgo/rei	κατηγορέω	kathgore/w	v2spma---
κατηγόρει	kathgo/rei	κατηγορέω	kathgore/w	v3siia---
κατηγόρει	kathgo/rei	κατηγορέω	kathgore/w	v3siia---
κατηγόρησε	kathgo/rhse	κατηγορέω	kathgore/w	v3saia---
κατηγόρησε	kathgo/rhse	κατηγορέω	kathgore/w	v3saia---
κατηγόρησε	kathgo/rhse	κατηγορέω	kathgore/w	v3saia---
κατηρέψασθε	kathre/yasqe	κατερέφω	katere/fw	v2paim---
κατιδών	katidw/n	κατεῖδον	katei=don	v-sapamn-
κατοξείας	katocei/as	κάτοξυς	ka/tocus	a-p---fa-
κατοξείας	katocei/as	κάτοξυς	ka/tocus	a-s---fg-
καττύματα	kattu/mata	κάσσυμα	ka/ssuma	n-p---nn-
καττύματα	kattu/mata	κάσσυμα	ka/ssuma	n-p---nv-
καττύματα	kattu/mata	κάσσυμα	ka/ssuma	n-p---na-
κατά	kata/	κατά	kata/	r--------
κατάβα	kata/ba	καταβαίνω	katabai/nw	v3saia---
κατάθες	kata/qes	κατατίθημι	katati/qhmi	v2sama---
κατάθες	kata/qes	κατατίθημι	katati/qhmi	v2saia---
κατάπυγον	kata/pugon	κατάπυγος	kata/pugos	n-s---ma-
κατάπυγον	kata/pugon	κατάπυγος	kata/pugos	n-s---fa-
κατάπυγον	kata/pugon	κατάπυγος	kata/pugos	n-s---nn-
κατάπυγον	kata/pugon	κατάπυγος	kata/pugos	n-s---nv-
κατάπυγον	kata/pugon	κατάπυγος	kata/pugos	n-s---na-
κατέβαλε	kate/bale	καταβάλλω	kataba/llw	v3saia---
κατέβαλε	kate/bale	καταβάλλω	kataba/llw	v3saia---
κατέκλινεν	kate/klinen	κατακλίνω	katakli/nw	v3paip---
κατέκλινεν	kate/klinen	κατακλίνω	katakli/nw	v3saia---
κατέκλινεν	kate/klinen	κατακλίνω	katakli/nw	v3siia---
κατέκνησας	kate/knhsas	κατακνάω	katakna/w	v2saia---
κατένασθεν	kate/nasqen	καταναίω	katanai/w	v3paip---
κατέπαρδεν	kate/parden	κατά-ἐπάρδω	kata/-e)pa/rdw	v3siia---
κατέπαρδεν	kate/parden	κατά-πέρδομαι	kata/-pe/rdomai	v3saia---
κατέπεσεν	kate/pesen	καταπίπτω	katapi/ptw	v3saia---
κατέχειν	kate/xein	κατέχω	kate/xw	v--pna---
κατήρυγεν	kath/rugen	κατερεύγω	katereu/gw	v3saia---
κατήσθιεν	kath/sqien	κατεσθίω	katesqi/w	v3siia---
καυνάκην	kauna/khn	καυνάκη	kauna/kh	n-s---fa-
καυνάκην	kauna/khn	καυνάκης	kauna/khs	n-s---ma-
καχρύων	kaxru/wn	κάχρυς	ka/xrus	n-p---fg-
καὐτοῦ	kau)tou=	αὐτός	au)to/s	n-s---ng-
καὐτοῦ	kau)tou=	αὐτός	au)to/s	n-s---mg-
καὐτοῦ	kau)tou=	αὐτοῦ	au)tou=	d--------
καὐτός	kau)to/s	αὐτός	au)to/s	n-s---mn-
καί	kai/	καί	kai/	c--------
καίτοι	kai/toi	καίτοι	kai/toi	g--------
κεκλεμμένον	keklemme/non	κλέπτω	kle/ptw	v-srpema-
κεκλεμμένον	keklemme/non	κλέπτω	kle/ptw	v-srpenn-
κεκλεμμένον	keklemme/non	κλέπτω	kle/ptw	v-srpenv-
κεκλεμμένον	keklemme/non	κλέπτω	kle/ptw	v-srpena-
κεκλοφυῖαν	keklofui=an	κλέπτω	kle/ptw	v-srpafa-
κεκλάγγω	kekla/ggw	κλάζω	kla/zw	v1srsa---
κεκλάγξομαι	kekla/gcomai	κλάζω	kla/zw	v1stim---
κεκλήσομαι	keklh/somai	καλέω	kale/w	v1stie---
κεκλῃμένης	keklh|me/nhs	κλείω1	klei/w1	v-srpefg-
κεκλῃμένης	keklh|me/nhs	κλείω1	klei/w1	v-srpefg-
κεκραγότα	kekrago/ta	κράζω	kra/zw	v-prpann-
κεκραγότα	kekrago/ta	κράζω	kra/zw	v-prpanv-
κεκραγότα	kekrago/ta	κράζω	kra/zw	v-prpana-
κεκραγότα	kekrago/ta	κράζω	kra/zw	v-srpama-
κεκραγότες	kekrago/tes	κράζω	kra/zw	v-prpamn-
κεκραγότες	kekrago/tes	κράζω	kra/zw	v-prpamv-
κεκραξιδάμας	kekracida/mas	κεκραξιδάμας	kekracida/mas	a-s---mn-
κεκραξιδάμας	kekracida/mas	κεκραξιδάμας	kekracida/mas	a-s---mv-
κεκράγετε	kekra/gete	κράζω	kra/zw	v2ppma---
κεκράγετε	kekra/gete	κράζω	kra/zw	v2prma---
κεκράγετε	kekra/gete	κράζω	kra/zw	v2plia---
κελεύετ’	keleu/et'	κελεύω	keleu/w	v2ppma---
κελεύετ’	keleu/et'	κελεύω	keleu/w	v2ppia---
κελεύετ’	keleu/et'	κελεύω	keleu/w	v3spie---
κελεύετ’	keleu/et'	κελεύω	keleu/w	v3siie---
κελεύετ’	keleu/et'	κελεύω	keleu/w	v2piia---
κελεύοντος	keleu/ontos	κελεύω	keleu/w	v-sppamg-
κελεύοντος	keleu/ontos	κελεύω	keleu/w	v-sppang-
κελητίσαι	kelhti/sai	κελητίζω	kelhti/zw	v--ana---
κελητίσαι	kelhti/sai	κελητίζω	kelhti/zw	v3saoa---
κελύφη	kelu/fh	κέλυφος	ke/lufos	n-p---nn-
κελύφη	kelu/fh	κέλυφος	ke/lufos	n-p---nv-
κελύφη	kelu/fh	κέλυφος	ke/lufos	n-p---na-
κελύφη	kelu/fh	κέλυφος	ke/lufos	n-d---nn-
κελύφη	kelu/fh	κέλυφος	ke/lufos	n-d---nv-
κελύφη	kelu/fh	κέλυφος	ke/lufos	n-d---na-
κεντεῖτε	kentei=te	κεντάω	kenta/w	v2ppma---
κεντεῖτε	kentei=te	κεντάω	kenta/w	v2ppoa---
κεντεῖτε	kentei=te	κεντάω	kenta/w	v2ppia---
κεντεῖτε	kentei=te	κεντάω	kenta/w	v2piia---
κεντεῖτε	kentei=te	κεντέω	kente/w	v2ppma---
κεντεῖτε	kentei=te	κεντέω	kente/w	v2ppoa---
κεντεῖτε	kentei=te	κεντέω	kente/w	v2ppia---
κεντεῖτε	kentei=te	κεντέω	kente/w	v2piia---
κεντούμενοι	kentou/menoi	κεντάω	kenta/w	v-pppemn-
κεντούμενοι	kentou/menoi	κεντάω	kenta/w	v-pppemv-
κεντούμενοι	kentou/menoi	κεντέω	kente/w	v-pppemn-
κεντούμενοι	kentou/menoi	κεντέω	kente/w	v-pppemv-
κεντούμενοι	kentou/menoi	κεντόω	kento/w	v-pppemn-
κεντούμενοι	kentou/menoi	κεντόω	kento/w	v-pppemv-
κεντοῦμεν	kentou=men	κεντάω	kenta/w	v1ppia---
κεντοῦμεν	kentou=men	κεντάω	kenta/w	v1piia---
κεντοῦμεν	kentou=men	κεντέω	kente/w	v1ppia---
κεντοῦμεν	kentou=men	κεντέω	kente/w	v1piia---
κεντοῦμεν	kentou=men	κεντόω	kento/w	v1ppia---
κεντοῦμεν	kentou=men	κεντόω	kento/w	v1piia---
κεντοῦσι	kentou=si	κεντάω	kenta/w	v-pppamd-
κεντοῦσι	kentou=si	κεντάω	kenta/w	v-pppand-
κεντοῦσι	kentou=si	κεντάω	kenta/w	v3ppia---
κεντοῦσι	kentou=si	κεντέω	kente/w	v-pppamd-
κεντοῦσι	kentou=si	κεντέω	kente/w	v-pppand-
κεντοῦσι	kentou=si	κεντέω	kente/w	v3ppia---
κεντοῦσι	kentou=si	κεντόω	kento/w	v-pppamd-
κεντοῦσι	kentou=si	κεντόω	kento/w	v-pppand-
κεντοῦσι	kentou=si	κεντόω	kento/w	v3ppia---
κενῆς	kenh=s	κενός	keno/s	a-s---fg-
κεραμίδων	kerami/dwn	κεραμίς	kerami/s	n-p---fg-
κεραμίδων	kerami/dwn	κεραμίς	kerami/s	n-p---fg-
κεραμίδων	kerami/dwn	κεραμιδόω	keramido/w	v3piia---
κεραμίδων	kerami/dwn	κεραμιδόω	keramido/w	v1siia---
κεραυνῷ	keraunw=|	κεραυνός	kerauno/s	n-s---md-
κερδανεῖς	kerdanei=s	κερδαίνω	kerdai/nw	v2sfia---
κεράμῳ	kera/mw|	κέραμος	ke/ramos	n-s---md-
κεστρέων	kestre/wn	κέστρα	ke/stra	n-p---fg-
κεστρέων	kestre/wn	κεστρεύς	kestreu/s	n-p---mg-
κεστρέων	kestre/wn	κεστρεύς	kestreu/s	n-p---mg-
κεφαλαί	kefalai/	κεφαλή	kefalh/	n-p---fn-
κεφαλαί	kefalai/	κεφαλή	kefalh/	n-p---fv-
κεφαλήν	kefalh/n	κεφαλή	kefalh/	n-s---fa-
κεφαλῆς	kefalh=s	κεφαλή	kefalh/	n-s---fg-
κεχηνώς	kexhnw/s	χάσκω	xa/skw	v-srpamn-
κεχηνώς	kexhnw/s	χάσκω	xa/skw	v-srpamv-
κεχάρηκας	kexa/rhkas	χαίρω	xai/rw	v2sria---
κεχάρησαι	kexa/rhsai	χαίρω	xai/rw	v2srie---
κεἰ	kei)	εἰ	ei)	c--------
κεἴ	kei)/	εἰ	ei)	c--------
κεὐρυπρωκτίαν	keu)ruprwkti/an	εὐρυπρωκτία	eu)ruprwkti/a	n-s---fa-
κείνων	kei/nwn	ἐκεῖνος	e)kei=nos	n-p---ng-
κείνων	kei/nwn	ἐκεῖνος	e)kei=nos	n-p---fg-
κείνων	kei/nwn	ἐκεῖνος	e)kei=nos	n-p---mg-
κείνων	kei/nwn	κεῖνος	kei=nos	a-p---fg-
κείνων	kei/nwn	κεῖνος	kei=nos	a-p---mg-
κείνων	kei/nwn	κεῖνος	kei=nos	a-p---ng-
κείνων	kei/nwn	κενόω	keno/w	v3piia---
κείνων	kei/nwn	κενόω	keno/w	v1siia---
κεῖθι	kei=qi	ἐκεῖθι	e)kei=qi	d--------
κεῖται	kei=tai	κέω	ke/w	v3spie---
κεῖται	kei=tai	κεῖμαι	kei=mai	v3spie---
κηδεμών	khdemw/n	κηδεμών	khdemw/n	n-s---mn-
κηδεμών	khdemw/n	κηδεμών	khdemw/n	n-s---mv-
κημούς	khmou/s	κημός	khmo/s	n-p---ma-
κημοῖς	khmoi=s	κημός	khmo/s	n-p---md-
κημοῖς	khmoi=s	κημόω	khmo/w	v2spoa---
κημοῖς	khmoi=s	κημόω	khmo/w	v2spsa---
κημοῖς	khmoi=s	κημόω	khmo/w	v2spia---
κημός	khmo/s	κημός	khmo/s	n-s---mn-
κηρόν	khro/n	κηρός	khro/s	n-s---ma-
κηφῆνες	khfh=nes	κηφήν	khfh/n	n-p---mn-
κηφῆνες	khfh=nes	κηφήν	khfh/n	n-p---mv-
κιβωτούς	kibwtou/s	κιβωτός	kibwto/s	n-p---fa-
κιγκλίδι	kigkli/di	κιγκλίς	kigkli/s	n-s---fd-
κιθαρίζειν	kiqari/zein	κιθαρίζω	kiqari/zw	v--pna---
κικίννους	kiki/nnous	κίκιννος	ki/kinnos	n-p---ma-
κινδυνεύων	kinduneu/wn	κινδυνεύω	kinduneu/w	v-sppamn-
κινεῖν	kinei=n	κινέω	kine/w	v--pna---
κινούμενοι	kinou/menoi	κινέω	kine/w	v-pppemn-
κινούμενοι	kinou/menoi	κινέω	kine/w	v-pppemv-
κιττῶ	kittw=	κισσός	kisso/s	n-s---mg-
κιττῶ	kittw=	κιττάω	kitta/w	v2spme---
κιττῶ	kittw=	κιττάω	kitta/w	v1spsa---
κιττῶ	kittw=	κιττάω	kitta/w	v1spia---
κιττῶ	kittw=	κιττάω	kitta/w	v1spsa---
κιττῶ	kittw=	κιττάω	kitta/w	v1spia---
κιττῶ	kittw=	κιττάω	kitta/w	v2siie---
κιττῶ	kittw=	κιττώ	kittw/	n-d---fn-
κιττῶ	kittw=	κιττώ	kittw/	n-d---fv-
κιττῶ	kittw=	κιττώ	kittw/	n-d---fa-
κιττῶ	kittw=	κιττώ	kittw/	n-s---fa-
κλαύσεταί	klau/setai/	κλαίω	klai/w	v3sasm---
κλαύσεταί	klau/setai/	κλαίω	klai/w	v3sfim---
κλεψύδρα	kleyu/dra	κλεψύδρα	kleyu/dra	n-d---fn-
κλεψύδρα	kleyu/dra	κλεψύδρα	kleyu/dra	n-d---fv-
κλεψύδρα	kleyu/dra	κλεψύδρα	kleyu/dra	n-d---fa-
κλεψύδρα	kleyu/dra	κλεψύδρα	kleyu/dra	n-s---fn-
κλεψύδρα	kleyu/dra	κλεψύδρα	kleyu/dra	n-s---fv-
κλεψύδραν	kleyu/dran	κλεψύδρα	kleyu/dra	n-s---fa-
κλεψύδρας	kleyu/dras	κλεψύδρα	kleyu/dra	n-p---fa-
κλεψύδρας	kleyu/dras	κλεψύδρα	kleyu/dra	n-s---fg-
κλητεύειν	klhteu/ein	κλητεύω	klhteu/w	v--pna---
κλητῆρες	klhth=res	κλητήρ	klhth/r	n-p---mn-
κλητῆρες	klhth=res	κλητήρ	klhth/r	n-p---mv-
κλητῆρος	klhth=ros	κλητήρ	klhth/r	n-s---mg-
κλητῆρί	klhth=ri/	κλητήρ	klhth/r	n-s---md-
κλητῆρ’	klhth=r'	κλητήρ	klhth/r	n-s---ma-
κλητῆρ’	klhth=r'	κλητήρ	klhth/r	n-s---md-
κλητῆρ’	klhth=r'	κλητήρ	klhth/r	n-d---mn-
κλητῆρ’	klhth=r'	κλητήρ	klhth/r	n-d---mv-
κλητῆρ’	klhth=r'	κλητήρ	klhth/r	n-d---ma-
κλάειν	kla/ein	κλαίω	klai/w	v--pna---
κλάεις	kla/eis	κλάω	kla/w	v2spia---
κλάεις	kla/eis	κλαίω	klai/w	v2spia---
κλάοντα	kla/onta	κλαίω	klai/w	v-pppann-
κλάοντα	kla/onta	κλαίω	klai/w	v-pppanv-
κλάοντα	kla/onta	κλαίω	klai/w	v-pppana-
κλάοντα	kla/onta	κλαίω	klai/w	v-sppama-
κλέπτα	kle/pta	κλέπτης	kle/pths	n-d---mn-
κλέπτα	kle/pta	κλέπτης	kle/pths	n-d---mv-
κλέπτα	kle/pta	κλέπτης	kle/pths	n-d---ma-
κλέπτα	kle/pta	κλέπτης	kle/pths	n-s---mv-
κλέπτα	kle/pta	κλέπτης	kle/pths	n-s---mg-
κλέπτα	kle/pta	κλέπτης	kle/pths	n-s---mn-
κλέπτειν	kle/ptein	κλέπτω	kle/ptw	v--pna---
κλέπτης	kle/pths	κλέπτης	kle/pths	n-s---mn-
κλέπτον	kle/pton	κλέπτω	kle/ptw	v-sppamv-
κλέπτον	kle/pton	κλέπτω	kle/ptw	v-sppann-
κλέπτον	kle/pton	κλέπτω	kle/ptw	v-sppanv-
κλέπτον	kle/pton	κλέπτω	kle/ptw	v-sppana-
κλέπτον	kle/pton	κλέπτω	kle/ptw	v3piia---
κλέπτον	kle/pton	κλέπτω	kle/ptw	v1siia---
κλέπτοντα	kle/ptonta	κλέπτω	kle/ptw	v-pppann-
κλέπτοντα	kle/ptonta	κλέπτω	kle/ptw	v-pppanv-
κλέπτοντα	kle/ptonta	κλέπτω	kle/ptw	v-pppana-
κλέπτοντα	kle/ptonta	κλέπτω	kle/ptw	v-sppama-
κλέπτοντά	kle/ptonta/	κλέπτω	kle/ptw	v-pppann-
κλέπτοντά	kle/ptonta/	κλέπτω	kle/ptw	v-pppanv-
κλέπτοντά	kle/ptonta/	κλέπτω	kle/ptw	v-pppana-
κλέπτοντά	kle/ptonta/	κλέπτω	kle/ptw	v-sppama-
κλέπτουσιν	kle/ptousin	κλέπτω	kle/ptw	v-pppamd-
κλέπτουσιν	kle/ptousin	κλέπτω	kle/ptw	v-pppand-
κλέπτουσιν	kle/ptousin	κλέπτω	kle/ptw	v3ppia---
κλέψαι	kle/yai	κλέπτω	kle/ptw	v2samm---
κλέψαι	kle/yai	κλέπτω	kle/ptw	v--ana---
κλέψαι	kle/yai	κλέπτω	kle/ptw	v3saoa---
κλέψας	kle/yas	κλέπτω	kle/ptw	v-sapamn-
κλέψας	kle/yas	κλέπτω	kle/ptw	v-sapamv-
κλέψας	kle/yas	κλέπτω	kle/ptw	v2saia---
κλέψασαν	kle/yasan	κλέπτω	kle/ptw	v-sapafa-
κλίνας	kli/nas	κλίνη	kli/nh	n-p---fa-
κλίνας	kli/nas	κλίνη	kli/nh	n-s---fg-
κλίνας	kli/nas	κλίνω	kli/nw	v-sapamn-
κλίνας	kli/nas	κλίνω	kli/nw	v-sapamv-
κλῇθρα	klh=|qra	κλεῖθρον	klei=qron	n-p---nn-
κλῇθρα	klh=|qra	κλεῖθρον	klei=qron	n-p---nv-
κλῇθρα	klh=|qra	κλεῖθρον	klei=qron	n-p---na-
κλῇθρα	klh=|qra	κλήιθρον	klh/iqron	n-p---nn-
κλῇθρα	klh=|qra	κλήιθρον	klh/iqron	n-p---nv-
κλῇθρα	klh=|qra	κλήιθρον	klh/iqron	n-p---na-
κλῳός	klw|o/s	κλοιός	kloio/s	n-s---mn-
κναφεῖ	knafei=	κνάπτω	kna/ptw	v3sasp---
κναφεῖ	knafei=	κναφεύς	knafeu/s	n-s---md-
κνεφαῖος	knefai=os	κνεφαῖος	knefai=os	a-s---mn-
κνεφαῖος	knefai=os	κνεφαῖος	knefai=os	n-s---mn-
κνεφαῖος	knefai=os	κνεφαῖος	knefai=os	n-s---fn-
κνυζούμενα	knuzou/mena	κνυζάομαι	knuza/omai	v-pppenn-
κνυζούμενα	knuzou/mena	κνυζάομαι	knuza/omai	v-pppenv-
κνυζούμενα	knuzou/mena	κνυζάομαι	knuza/omai	v-pppena-
κνυζούμενα	knuzou/mena	κνυζέομαι	knuze/omai	v-pppenn-
κνυζούμενα	knuzou/mena	κνυζέομαι	knuze/omai	v-pppenv-
κνυζούμενα	knuzou/mena	κνυζέομαι	knuze/omai	v-pppena-
κνυζούμενα	knuzou/mena	κνυζόω	knuzo/w	v-pppenn-
κνυζούμενα	knuzou/mena	κνυζόω	knuzo/w	v-pppenv-
κνυζούμενα	knuzou/mena	κνυζόω	knuzo/w	v-pppena-
κνώδαλον	knw/dalon	κνώδαλον	knw/dalon	n-s---nn-
κνώδαλον	knw/dalon	κνώδαλον	knw/dalon	n-s---nv-
κνώδαλον	knw/dalon	κνώδαλον	knw/dalon	n-s---na-
κοιλίαν	koili/an	κοιλία	koili/a	n-s---fa-
κοινωνῶν	koinwnw=n	κοινωνέω	koinwne/w	v-sppamn-
κοινωνῶν	koinwnw=n	κοινωνός	koinwno/s	n-p---mg-
κοινωνῶν	koinwnw=n	κοινωνός	koinwno/s	n-p---fg-
κοινῷ	koinw=|	κοινός	koino/s	a-s---md-
κοινῷ	koinw=|	κοινός	koino/s	a-s---nd-
κοινῷ	koinw=|	κοινός	koino/s	n-s---md-
κοινῷ	koinw=|	κοινός	koino/s	n-s---fd-
κοινῷ	koinw=|	κοινός	koino/s	n-s---nd-
κοινῷ	koinw=|	κοινόω	koino/w	v3spoa---
κολαζόμεσθα	kolazo/mesqa	κολάζω	kola/zw	v1ppie---
κολαζόμεσθα	kolazo/mesqa	κολάζω	kola/zw	v1piie---
κολοιός	koloio/s	κολοιός	koloio/s	n-s---mn-
κολοσυρτόν	kolosurto/n	κολοσυρτός	kolosurto/s	n-s---ma-
κολωμένους	kolwme/nous	κολάζω	kola/zw	v-pfpmma-
κολάζω	kola/zw	κολάζω	kola/zw	v1spsa---
κολάζω	kola/zw	κολάζω	kola/zw	v1spia---
κολάκων	kola/kwn	κόλαξ	ko/lac	n-p---mg-
κολάσατ’	kola/sat'	κολάζω	kola/zw	v2pama---
κολάσατ’	kola/sat'	κολάζω	kola/zw	v3saim---
κολάσατ’	kola/sat'	κολάζω	kola/zw	v2paia---
κομιεῖται	komiei=tai	κομίζω	komi/zw	v3sfim---
κομιοῦμαι	komiou=mai	κομίζω	komi/zw	v1sfim---
κομψός	komyo/s	κομψός	komyo/s	a-s---mn-
κομᾷς	koma=|s	κομάω	koma/w	v2spsa---
κομᾷς	koma=|s	κομάω	koma/w	v2spia---
κονδύλοις	kondu/lois	κόνδυλος	ko/ndulos	n-p---md-
κονδύλου	kondu/lou	κόνδυλος	ko/ndulos	n-s---mg-
κοπρολόγῳ	koprolo/gw|	κοπρολόγος	koprolo/gos	n-s---md-
κορυβαντιᾷς	korubantia=|s	Κορυβαντιάω	*korubantia/w	v2spsa---
κορυβαντιᾷς	korubantia=|s	Κορυβαντιάω	*korubantia/w	v2spia---
κοτυληδών	kotulhdw/n	κοτυληδών	kotulhdw/n	n-s---fn-
κοτυληδών	kotulhdw/n	κοτυληδών	kotulhdw/n	n-s---fv-
κοὐ	kou)	οὐ	ou)	d--------
κοὐδείς	kou)dei/s	οὐδείς	ou)dei/s	n-s---mn-
κοὐδείς	kou)dei/s	οὐδείς	ou)dei/s	n-s---mv-
κοὐδέν	kou)de/n	οὐδείς	ou)dei/s	n-s---nn-
κοὐδέν	kou)de/n	οὐδείς	ou)dei/s	n-s---nv-
κοὐδέν	kou)de/n	οὐδείς	ou)dei/s	n-s---na-
κοὐδέποτ’	kou)de/pot'	οὐδέποτε	ou)de/pote	d--------
κοὐκ	kou)k	οὐ	ou)	d--------
κοὔπω	kou)/pw	οὔπω	ou)/pw	d--------
κοίταις	koi/tais	κοίτη	koi/th	n-p---fd-
κραιπάλης	kraipa/lhs	κραιπάλη	kraipa/lh	n-s---fg-
κραιπάλης	kraipa/lhs	κραιπαλάω	kraipala/w	v2spia---
κραιπάλης	kraipa/lhs	κραιπαλάω	kraipala/w	v2siia---
κρατήσῃ	krath/sh|	κράτησις	kra/thsis	n-s---fd-
κρατήσῃ	krath/sh|	κρατέω	krate/w	v2sasm---
κρατήσῃ	krath/sh|	κρατέω	krate/w	v3sasa---
κρατήσῃ	krath/sh|	κρατέω	krate/w	v2sfim---
κρατῆσαι	krath=sai	κρατέω	krate/w	v--ana---
κρατῶ	kratw=	κρατέω	krate/w	v1spsa---
κρατῶ	kratw=	κρατέω	krate/w	v1spia---
κρεκάδι’	kreka/di'	κρεκάδια	kreka/dia	n-p---nn-
κρεκάδι’	kreka/di'	κρεκάδια	kreka/dia	n-p---nv-
κρεκάδι’	kreka/di'	κρεκάδια	kreka/dia	n-p---na-
κρεμαμένῃ	kremame/nh|	κρεμάννυμι	krema/nnumi	v-sppefd-
κρεμήσετ’	kremh/set'	κρεμάννυμι	krema/nnumi	v3sfim---
κρεμήσετ’	kremh/set'	κρεμάω	krema/w	v2pasa---
κρεμήσετ’	kremh/set'	κρεμάω	krema/w	v2pfia---
κρεμήσετ’	kremh/set'	κρεμάω	krema/w	v3sasm---
κρεμήσετ’	kremh/set'	κρεμάω	krema/w	v3sfim---
κρείττων	krei/ttwn	κρείσσων	krei/sswn	a-s---mn-
κρείττων	krei/ttwn	κρείσσων	krei/sswn	a-s---fn-
κρείττων	krei/ttwn	κρεισσόω	kreisso/w	v3piia---
κρείττων	krei/ttwn	κρεισσόω	kreisso/w	v1siia---
κρεῖττον	krei=tton	κρείσσων	krei/sswn	a-s---mv-
κρεῖττον	krei=tton	κρείσσων	krei/sswn	a-s---fv-
κρεῖττον	krei=tton	κρείσσων	krei/sswn	a-s---nn-
κρεῖττον	krei=tton	κρείσσων	krei/sswn	a-s---nv-
κρεῖττον	krei=tton	κρείσσων	krei/sswn	a-s---na-
κριθῶν	kriqw=n	κριθάω	kriqa/w	v-sppamv-
κριθῶν	kriqw=n	κριθάω	kriqa/w	v-sppann-
κριθῶν	kriqw=n	κριθάω	kriqa/w	v-sppanv-
κριθῶν	kriqw=n	κριθάω	kriqa/w	v-sppana-
κριθῶν	kriqw=n	κριθάω	kriqa/w	v-sppamn-
κριθῶν	kriqw=n	κριθάω	kriqa/w	v-sppamn-
κριθῶν	kriqw=n	κριθή	kriqh/	n-p---fg-
κρυφθείς	krufqei/s	κρύπτω	kru/ptw	v-sappmn-
κρυφθείς	krufqei/s	κρύπτω	kru/ptw	v-sappmv-
κράσπεδα	kra/speda	κράσπεδον	kra/spedon	n-p---nn-
κράσπεδα	kra/speda	κράσπεδον	kra/spedon	n-p---nv-
κράσπεδα	kra/speda	κράσπεδον	kra/spedon	n-p---na-
κράτιστόν	kra/tisto/n	κράτιστος	kra/tistos	a-s---ma-
κράτιστόν	kra/tisto/n	κράτιστος	kra/tistos	a-s---nn-
κράτιστόν	kra/tisto/n	κράτιστος	kra/tistos	a-s---nv-
κράτιστόν	kra/tisto/n	κράτιστος	kra/tistos	a-s---na-
κράτιστός	kra/tisto/s	κράτιστος	kra/tistos	a-s---mn-
κράτος	kra/tos	κράτος	kra/tos	n-s---nn-
κράτος	kra/tos	κράτος	kra/tos	n-s---nv-
κράτος	kra/tos	κράτος	kra/tos	n-s---na-
κρέα	kre/a	κρέας	kre/as	n-p---nn-
κρέα	kre/a	κρέας	kre/as	n-p---nv-
κρέα	kre/a	κρέας	kre/as	n-p---na-
κρέμαισθέ	kre/maisqe/	κρεμάννυμι	krema/nnumi	v2ppoe---
κρίβανόν	kri/bano/n	κρίβανον	kri/banon	n-s---nn-
κρίβανόν	kri/bano/n	κρίβανον	kri/banon	n-s---nv-
κρίβανόν	kri/bano/n	κρίβανον	kri/banon	n-s---na-
κρίβανόν	kri/bano/n	κρίβανος	kri/banos	n-s---ma-
κρόκης	kro/khs	κρόκη	kro/kh	n-s---fg-
κρόνους	kro/nous	κρόνος	kro/nos	n-p---ma-
κρύβδην	kru/bdhn	κρύβδην	kru/bdhn	d--------
κρῖναι	kri=nai	κρίνω	kri/nw	v2samm---
κρῖναι	kri=nai	κρίνω	kri/nw	v--ana---
