Αἰακοῦ	*ai)akou=	Αἰακός	*ai)ako/s	n-s---mg-
θρέψασά	qre/yasa/	τρέφω	tre/fw	v-sapafn-
θρέψασά	qre/yasa/	τρέφω	tre/fw	v-sapafv-
θρήνοις	qrh/nois	θρῆνος	qrh=nos	n-p---md-
θρήνοισι	qrh/noisi	θρῆνος	qrh=nos	n-p---md-
θρήνων	qrh/nwn	θρῆνος	qrh=nos	n-p---mg-
θρόνοις	qro/nois	θρόνον	qro/non	n-p---nd-
θρόνοις	qro/nois	θρόνος	qro/nos	n-p---md-
θυγατρός	qugatro/s	θυγάτηρ	quga/thr	n-s---fg-
θυγατρός	qugatro/s	θυγάτηρ	quga/thr	n-s---fg-
θυγατέρ’	qugate/r'	θυγάτηρ	quga/thr	n-s---fa-
θυγατέρ’	qugate/r'	θυγάτηρ	quga/thr	n-s---fd-
θυγατέρ’	qugate/r'	θυγάτηρ	quga/thr	n-d---fn-
θυγατέρ’	qugate/r'	θυγάτηρ	quga/thr	n-d---fv-
θυγατέρ’	qugate/r'	θυγάτηρ	quga/thr	n-d---fa-
θυγάτηρ	quga/thr	θυγάτηρ	quga/thr	n-s---fn-
θυμωσαμένᾳ	qumwsame/na|	θυμόω	qumo/w	v-sapmfd-
θυσίαι	qusi/ai	θυσία	qusi/a	n-p---fn-
θυσίαι	qusi/ai	θυσία	qusi/a	n-p---fv-
θυσίαι	qusi/ai	θυσία	qusi/a	n-s---fd-
θυσίας	qusi/as	θυσία	qusi/a	n-p---fa-
θυσίας	qusi/as	θυσία	qusi/a	n-s---fg-
θάκους	qa/kous	θᾶκος	qa=kos	n-p---ma-
θάλασσαν	qa/lassan	θάλασσα	qa/lassa	n-s---fa-
θάλασσ’	qa/lass'	θάλασσα	qa/lassa	n-s---fn-
θάλασσ’	qa/lass'	θάλασσα	qa/lassa	n-s---fv-
θάλασσ’	qa/lass'	θάλασσα	qa/lassa	n-p---fn-
θάλασσ’	qa/lass'	θάλασσα	qa/lassa	n-p---fv-
θάλασσ’	qa/lass'	θάλλω	qa/llw	v-papamd-
θάλασσ’	qa/lass'	θάλλω	qa/llw	v-papand-
θάλπουσα	qa/lpousa	θάλπω	qa/lpw	v-sppafn-
θάλπουσα	qa/lpousa	θάλπω	qa/lpw	v-sppafv-
θάνατον	qa/naton	θάνατος	qa/natos	n-s---ma-
θάνατος	qa/natos	θάνατος	qa/natos	n-s---mn-
θάνοιμ’	qa/noim'	θνήσκω	qnh/skw	v1saoa---
θάνῃ	qa/nh|	θνήσκω	qnh/skw	v2sase---
θάνῃ	qa/nh|	θνήσκω	qnh/skw	v3sasa---
θάπτειν	qa/ptein	θάπτω	qa/ptw	v--pna---
θάπτετ’	qa/ptet'	θάπτω	qa/ptw	v2ppma---
θάπτετ’	qa/ptet'	θάπτω	qa/ptw	v2ppia---
θάπτετ’	qa/ptet'	θάπτω	qa/ptw	v3spie---
θάπτετ’	qa/ptet'	θάπτω	qa/ptw	v3siie---
θάπτετ’	qa/ptet'	θάπτω	qa/ptw	v2piia---
θάτερον	qa/teron	ἕτερος	e(/teros	a-s---ma-
θάτερον	qa/teron	ἕτερος	e(/teros	a-s---nn-
θάτερον	qa/teron	ἕτερος	e(/teros	a-s---nv-
θάτερον	qa/teron	ἕτερος	e(/teros	a-s---na-
θάψαι	qa/yai	θάπτω	qa/ptw	v2samm---
θάψαι	qa/yai	θάπτω	qa/ptw	v--ana---
θάψαι	qa/yai	θάπτω	qa/ptw	v3saoa---
θάψεις	qa/yeis	θάπτω	qa/ptw	v2sasa---
θάψεις	qa/yeis	θάπτω	qa/ptw	v2sfia---
θέλει	qe/lei	ἐθέλω	e)qe/lw	v2spie---
θέλει	qe/lei	ἐθέλω	e)qe/lw	v3spia---
θέλεις	qe/leis	ἐθέλω	e)qe/lw	v2spia---
θέλοιεν	qe/loien	ἐθέλω	e)qe/lw	v3ppoa---
θέλουσαι	qe/lousai	ἐθέλω	e)qe/lw	v-pppafn-
θέλουσαι	qe/lousai	ἐθέλω	e)qe/lw	v-pppafv-
θέλουσαν	qe/lousan	ἐθέλω	e)qe/lw	v-sppafa-
θέλω	qe/lw	ἐθέλω	e)qe/lw	v1spsa---
θέλω	qe/lw	ἐθέλω	e)qe/lw	v1spia---
θέλων	qe/lwn	ἐθέλω	e)qe/lw	v-sppamn-
θέμενον	qe/menon	τίθημι	ti/qhmi	v-sapmma-
θέμενον	qe/menon	τίθημι	ti/qhmi	v-sapmnn-
θέμενον	qe/menon	τίθημι	ti/qhmi	v-sapmnv-
θέμενον	qe/menon	τίθημι	ti/qhmi	v-sapmna-
θέμις	qe/mis	θέμις	qe/mis	n-p---fa-
θέμις	qe/mis	θέμις	qe/mis	n-s---fn-
θέμις	qe/mis	θέμις	qe/mis	n-s---fn-
θέμις	qe/mis	θέμις	qe/mis	n-s---fn-
θήραμα	qh/rama	θήραμα	qh/rama	n-s---nn-
θήραμα	qh/rama	θήραμα	qh/rama	n-s---nv-
θήραμα	qh/rama	θήραμα	qh/rama	n-s---na-
θήσετε	qh/sete	τίθημι	ti/qhmi	v2pfia---
θήσων	qh/swn	τίθημι	ti/qhmi	v-sfpamn-
θίγε	qi/ge	θιγγάνω	qigga/nw	v2sama---
θίγε	qi/ge	θιγγάνω	qigga/nw	v3saia---
θίγῃς	qi/gh|s	θιγγάνω	qigga/nw	v2sasa---
θύγατερ	qu/gater	θυγάτηρ	quga/thr	n-s---fv-
θύοντας	qu/ontas	θύω1	qu/w1	v-pppama-
θύοντας	qu/ontas	θύω2	qu/w2	v-pppama-
θᾶκον	qa=kon	θᾶκος	qa=kos	n-s---ma-
θῆλυ	qh=lu	θῆλυς	qh=lus	a-s---mv-
θῆλυ	qh=lu	θῆλυς	qh=lus	a-s---nn-
θῆλυ	qh=lu	θῆλυς	qh=lus	a-s---nv-
θῆλυ	qh=lu	θῆλυς	qh=lus	a-s---na-
θῦμα	qu=ma	θῦμα	qu=ma	n-s---nn-
θῦμα	qu=ma	θῦμα	qu=ma	n-s---nv-
θῦμα	qu=ma	θῦμα	qu=ma	n-s---na-
καθαιματώσει	kaqaimatw/sei	καθαιματόω	kaqaimato/w	v3sasa---
καθαιματώσει	kaqaimatw/sei	καθαιματόω	kaqaimato/w	v2sfim---
καθαιματώσει	kaqaimatw/sei	καθαιματόω	kaqaimato/w	v3sfia---
καθαιματώσει	kaqaimatw/sei	καθαιματόω	kaqaimato/w	v3sasa---
καθαιματώσει	kaqaimatw/sei	καθαιματόω	kaqaimato/w	v2sfim---
καθαιματώσει	kaqaimatw/sei	καθαιματόω	kaqaimato/w	v3sfia---
καθαρσίῳ	kaqarsi/w|	καθάρσιος	kaqa/rsios	n-s---md-
καθαρσίῳ	kaqarsi/w|	καθάρσιος	kaqa/rsios	n-s---fd-
καθαρσίῳ	kaqarsi/w|	καθάρσιος	kaqa/rsios	n-s---nd-
καθαρά	kaqara/	καθαρός	kaqaro/s	a-p---nn-
καθαρά	kaqara/	καθαρός	kaqaro/s	a-p---nv-
καθαρά	kaqara/	καθαρός	kaqaro/s	a-p---na-
καθαρά	kaqara/	καθαρός	kaqaro/s	a-d---fn-
καθαρά	kaqara/	καθαρός	kaqaro/s	a-d---fv-
καθαρά	kaqara/	καθαρός	kaqaro/s	a-d---fa-
καθαρά	kaqara/	καθαρός	kaqaro/s	a-s---fn-
καθαρά	kaqara/	καθαρός	kaqaro/s	a-s---fv-
καθαρόν	kaqaro/n	καθαρός	kaqaro/s	a-s---ma-
καθαρόν	kaqaro/n	καθαρός	kaqaro/s	a-s---nn-
καθαρόν	kaqaro/n	καθαρός	kaqaro/s	a-s---nv-
καθαρόν	kaqaro/n	καθαρός	kaqaro/s	a-s---na-
καθείλκομεν	kaqei/lkomen	καθέλκω	kaqe/lkw	v1piia---
καθικετεύσατ’	kaqiketeu/sat'	καθικετεύω	kaqiketeu/w	v3saim---
καθικετεύσατ’	kaqiketeu/sat'	καθικετεύω	kaqiketeu/w	v2pama---
καθικετεύσατ’	kaqiketeu/sat'	καθικετεύω	kaqiketeu/w	v2pama---
καθικετεύσατ’	kaqiketeu/sat'	καθικετεύω	kaqiketeu/w	v2paia---
καθικετεύσατ’	kaqiketeu/sat'	καθικετεύω	kaqiketeu/w	v3saim---
καθικετεύσατ’	kaqiketeu/sat'	καθικετεύω	kaqiketeu/w	v3saim---
καθικετεύσατ’	kaqiketeu/sat'	καθικετεύω	kaqiketeu/w	v2paia---
καθικετεύσατ’	kaqiketeu/sat'	καθικετεύω	kaqiketeu/w	v2paia---
καθέζετ’	kaqe/zet'	κατά-ἕζομαι	kata/-e(/zomai	v3saim---
καθέζετ’	kaqe/zet'	κατά-ἕζομαι	kata/-e(/zomai	v3siie---
καθέζετ’	kaqe/zet'	κατά-ἕζομαι	kata/-e(/zomai	v3spie---
καθέζετ’	kaqe/zet'	κατά-καθέζομαι	kata/-kaqe/zomai	v3spim---
καθέζετ’	kaqe/zet'	κατά-καθέζομαι	kata/-kaqe/zomai	v3siim---
καθέστηκ’	kaqe/sthk'	καθίστημι	kaqi/sthmi	v1sria---
καθέστηκ’	kaqe/sthk'	καθίστημι	kaqi/sthmi	v2srma---
καθέστηκ’	kaqe/sthk'	καθίστημι	kaqi/sthmi	v3sria---
καθήσειν	kaqh/sein	καθίημι	kaqi/hmi	v--fna---
καθήσομαι	kaqh/somai	καθίημι	kaqi/hmi	v1sfim---
καθίετε	kaqi/ete	καθίημι	kaqi/hmi	v2piia---
καθίετε	kaqi/ete	καθίημι	kaqi/hmi	v2ppma---
καθίετε	kaqi/ete	καθίημι	kaqi/hmi	v2ppia---
καθίετε	kaqi/ete	καθίημι	kaqi/hmi	v2piia---
καθίετε	kaqi/ete	καθίημι	kaqi/hmi	v2ppma---
καθίσατο	kaqi/sato	καθίζω	kaqi/zw	v3saim---
καθώμεθα	kaqw/meqa	κάθημαι	ka/qhmai	v1ppsm---
καθώμεθα	kaqw/meqa	καθίημι	kaqi/hmi	v1pasm---
καθῆκ’	kaqh=k'	καθήκω	kaqh/kw	v3siia---
καθῆκ’	kaqh=k'	καθίημι	kaqi/hmi	v1saia---
καθῆκ’	kaqh=k'	καθίημι	kaqi/hmi	v3saia---
καινός	kaino/s	καινός	kaino/s	a-s---mn-
καιρίως	kairi/ws	καίριος	kai/rios	x--------
καιρίως	kairi/ws	καίριος	kai/rios	a-p---ma-
καιρίως	kairi/ws	καίριος	kai/rios	x--------
καιρίως	kairi/ws	καίριος	kai/rios	n-p---ma-
καιρίως	kairi/ws	καίριος	kai/rios	n-p---fa-
καιρόν	kairo/n	καιρός	kairo/s	n-s---ma-
καιρός	kairo/s	καιρός	kairo/s	n-s---mn-
κακούς	kakou/s	κακός	kako/s	a-p---ma-
κακοῖν	kakoi=n	κακός	kako/s	a-d---mg-
κακοῖν	kakoi=n	κακός	kako/s	a-d---md-
κακοῖν	kakoi=n	κακός	kako/s	a-d---ng-
κακοῖν	kakoi=n	κακός	kako/s	a-d---nd-
κακοῖς	kakoi=s	κακός	kako/s	a-p---md-
κακοῖς	kakoi=s	κακός	kako/s	a-p---nd-
κακοῖς	kakoi=s	κακόω	kako/w	v2spoa---
κακοῖς	kakoi=s	κακόω	kako/w	v2spsa---
κακοῖς	kakoi=s	κακόω	kako/w	v2spia---
κακοῦται	kakou=tai	κακόω	kako/w	v3spie---
κακά	kaka/	κακός	kako/s	a-p---nn-
κακά	kaka/	κακός	kako/s	a-p---nv-
κακά	kaka/	κακός	kako/s	a-p---na-
κακά	kaka/	κακός	kako/s	a-d---fn-
κακά	kaka/	κακός	kako/s	a-d---fv-
κακά	kaka/	κακός	kako/s	a-d---fa-
κακά	kaka/	κακός	kako/s	a-s---fn-
κακά	kaka/	κακός	kako/s	a-s---fv-
κακάς	kaka/s	κακός	kako/s	a-p---fa-
κακή	kakh/	κακός	kako/s	a-s---fn-
κακή	kakh/	κακός	kako/s	a-s---fv-
κακίους	kaki/ous	κακός	kako/s	a-p---mn-
κακίους	kaki/ous	κακός	kako/s	a-p---ma-
κακίους	kaki/ous	κακός	kako/s	a-p---fn-
κακίους	kaki/ous	κακός	kako/s	a-p---fa-
κακίους	kaki/ous	κακός	kako/s	a-p---ma-
κακίους	kaki/ous	κακός	kako/s	a-p---fa-
κακίστην	kaki/sthn	κακός	kako/s	a-s---fa-
κακίω	kaki/w	κακός	kako/s	a-p---na-
κακίω	kaki/w	κακός	kako/s	a-p---nn-
κακίω	kaki/w	κακός	kako/s	a-s---ma-
κακίω	kaki/w	κακός	kako/s	a-s---fa-
κακίω	kaki/w	κηκίω	khki/w	v1spsa---
κακίω	kaki/w	κηκίω	khki/w	v1spia---
κακόν	kako/n	κακός	kako/s	a-s---ma-
κακόν	kako/n	κακός	kako/s	a-s---nn-
κακόν	kako/n	κακός	kako/s	a-s---nv-
κακόν	kako/n	κακός	kako/s	a-s---na-
κακόποτμον	kako/potmon	κακόποτμος	kako/potmos	n-s---ma-
κακόποτμον	kako/potmon	κακόποτμος	kako/potmos	n-s---fa-
κακόποτμον	kako/potmon	κακόποτμος	kako/potmos	n-s---nn-
κακόποτμον	kako/potmon	κακόποτμος	kako/potmos	n-s---nv-
κακόποτμον	kako/potmon	κακόποτμος	kako/potmos	n-s---na-
κακός	kako/s	κακός	kako/s	a-s---mn-
κακῶν	kakw=n	κάκη	ka/kh	n-p---fg-
κακῶν	kakw=n	κακάζω	kaka/zw	v-sfpamv-
κακῶν	kakw=n	κακάζω	kaka/zw	v-sfpann-
κακῶν	kakw=n	κακάζω	kaka/zw	v-sfpanv-
κακῶν	kakw=n	κακάζω	kaka/zw	v-sfpana-
κακῶν	kakw=n	κακάζω	kaka/zw	v-sfpamn-
κακῶν	kakw=n	κακός	kako/s	a-p---fg-
κακῶν	kakw=n	κακός	kako/s	a-p---mg-
κακῶν	kakw=n	κακός	kako/s	a-p---ng-
κακῶν	kakw=n	κακόω	kako/w	v-sppamv-
κακῶν	kakw=n	κακόω	kako/w	v-sppann-
κακῶν	kakw=n	κακόω	kako/w	v-sppanv-
κακῶν	kakw=n	κακόω	kako/w	v-sppana-
κακῶν	kakw=n	κακόω	kako/w	v-sppamn-
κακῶν	kakw=n	κακόω	kako/w	v--pna---
κακῶς	kakw=s	κακός	kako/s	x--------
κακῶς	kakw=s	κακόω	kako/w	v2spia---
καλεῖς	kalei=s	καλέω	kale/w	v2sfia---
καλεῖς	kalei=s	καλέω	kale/w	v2spia---
καλλιδόνακός	kallido/nako/s	καλλιδόναξ	kallido/nac	n-s---mg-
καλλιδόνακός	kallido/nako/s	καλλιδόναξ	kallido/nac	n-s---fg-
καλλιπάρθενοι	kallipa/rqenoi	καλλιπάρθενος	kallipa/rqenos	n-p---mn-
καλλιπάρθενοι	kallipa/rqenoi	καλλιπάρθενος	kallipa/rqenos	n-p---mv-
καλλιπάρθενοι	kallipa/rqenoi	καλλιπάρθενος	kallipa/rqenos	n-p---fn-
καλλιπάρθενοι	kallipa/rqenoi	καλλιπάρθενος	kallipa/rqenos	n-p---fv-
καλλιχόρων	kallixo/rwn	καλλίχορος	kalli/xoros	n-p---mg-
καλλιχόρων	kallixo/rwn	καλλίχορος	kalli/xoros	n-p---fg-
καλλιχόρων	kallixo/rwn	καλλίχορος	kalli/xoros	n-p---ng-
καλλοσύνας	kallosu/nas	καλλοσύνη	kallosu/nh	n-p---fa-
καλλοσύνας	kallosu/nas	καλλοσύνη	kallosu/nh	n-s---fg-
καλλίστα	kalli/sta	καλός	kalo/s	a-d---fn-
καλλίστα	kalli/sta	καλός	kalo/s	a-d---fv-
καλλίστα	kalli/sta	καλός	kalo/s	a-d---fa-
καλλίστα	kalli/sta	καλός	kalo/s	a-s---fn-
καλλίστα	kalli/sta	καλός	kalo/s	a-s---fv-
καλοῦ	kalou=	καλέω	kale/w	v2spme---
καλοῦ	kalou=	καλέω	kale/w	v2siie---
καλοῦ	kalou=	καλός	kalo/s	a-s---mg-
καλοῦ	kalou=	καλός	kalo/s	a-s---ng-
καλοῦμεν	kalou=men	καλέω	kale/w	v1pfia---
καλοῦμεν	kalou=men	καλέω	kale/w	v1ppia---
καλοῦμεν	kalou=men	καλέω	kale/w	v1piia---
καλοῦσιν	kalou=sin	καλέω	kale/w	v-pfpamd-
καλοῦσιν	kalou=sin	καλέω	kale/w	v-pfpand-
καλοῦσιν	kalou=sin	καλέω	kale/w	v3pfia---
καλοῦσιν	kalou=sin	καλέω	kale/w	v-pppamd-
καλοῦσιν	kalou=sin	καλέω	kale/w	v-pppand-
καλοῦσιν	kalou=sin	καλέω	kale/w	v3ppia---
καλοῦσί	kalou=si/	καλέω	kale/w	v-pfpamd-
καλοῦσί	kalou=si/	καλέω	kale/w	v-pfpand-
καλοῦσί	kalou=si/	καλέω	kale/w	v3pfia---
καλοῦσί	kalou=si/	καλέω	kale/w	v-pppamd-
καλοῦσί	kalou=si/	καλέω	kale/w	v-pppand-
καλοῦσί	kalou=si/	καλέω	kale/w	v3ppia---
καλά	kala/	καλός	kalo/s	a-p---nn-
καλά	kala/	καλός	kalo/s	a-p---nv-
καλά	kala/	καλός	kalo/s	a-p---na-
καλά	kala/	καλός	kalo/s	a-d---fn-
καλά	kala/	καλός	kalo/s	a-d---fv-
καλά	kala/	καλός	kalo/s	a-d---fa-
καλά	kala/	καλός	kalo/s	a-s---fn-
καλά	kala/	καλός	kalo/s	a-s---fv-
καλήν	kalh/n	καλός	kalo/s	a-s---fa-
καλόν	kalo/n	καλός	kalo/s	a-s---ma-
καλόν	kalo/n	καλός	kalo/s	a-s---nn-
καλόν	kalo/n	καλός	kalo/s	a-s---nv-
καλόν	kalo/n	καλός	kalo/s	a-s---na-
καλύπτειν	kalu/ptein	καλύπτω	kalu/ptw	v--pna---
καλύψας	kalu/yas	καλύπτω	kalu/ptw	v-sapamn-
καλύψας	kalu/yas	καλύπτω	kalu/ptw	v-sapamv-
καλῶ	kalw=	καλέω	kale/w	v1sfia---
καλῶ	kalw=	καλέω	kale/w	v1spsa---
καλῶ	kalw=	καλέω	kale/w	v1spia---
καλῶ	kalw=	καλός	kalo/s	a-s---mg-
καλῶ	kalw=	καλός	kalo/s	a-s---ng-
καλῶς	kalw=s	καλός	kalo/s	x--------
καραδοκεῖν	karadokei=n	καραδοκέω	karadoke/w	v--pna---
καρδίας	kardi/as	καρδία	kardi/a	n-p---fa-
καρδίας	kardi/as	καρδία	kardi/a	n-s---fg-
καρδίας	kardi/as	καρδιάω	kardia/w	v2siia---
καρποφόρα	karpofo/ra	καρποφόρος	karpofo/ros	n-p---nn-
καρποφόρα	karpofo/ra	καρποφόρος	karpofo/ros	n-p---nv-
καρποφόρα	karpofo/ra	καρποφόρος	karpofo/ros	n-p---na-
καρπίζουσ’	karpi/zous'	καρπίζω	karpi/zw	v-sppafn-
καρπίζουσ’	karpi/zous'	καρπίζω	karpi/zw	v-sppafv-
καρπίζουσ’	karpi/zous'	καρπίζω	karpi/zw	v-pppamd-
καρπίζουσ’	karpi/zous'	καρπίζω	karpi/zw	v-pppand-
καρπίζουσ’	karpi/zous'	καρπίζω	karpi/zw	v3ppia---
καρπίζουσ’	karpi/zous'	καρπίζω	karpi/zw	v-pppafn-
καρπίζουσ’	karpi/zous'	καρπίζω	karpi/zw	v-pppafv-
καρπίμους	karpi/mous	κάρπιμος	ka/rpimos	n-p---ma-
καρπίμους	karpi/mous	κάρπιμος	ka/rpimos	n-p---fa-
καρύξατ’	karu/cat'	καρύσσω	karu/ssw	v2pama---
καρύξατ’	karu/cat'	καρύσσω	karu/ssw	v3saim---
καρύξατ’	karu/cat'	καρύσσω	karu/ssw	v2paia---
καρύξατ’	karu/cat'	κηρύσσω	khru/ssw	v2pama---
κασιγνήτην	kasignh/thn	κασιγνήτη	kasignh/th	n-s---fa-
κασιγνήτης	kasignh/ths	κασιγνήτη	kasignh/th	n-s---fg-
κασιγνήτου	kasignh/tou	κασίγνητος	kasi/gnhtos	n-s---mg-
κασιγνήτω	kasignh/tw	κασίγνητος	kasi/gnhtos	n-d---mn-
κασιγνήτω	kasignh/tw	κασίγνητος	kasi/gnhtos	n-d---mv-
κασιγνήτω	kasignh/tw	κασίγνητος	kasi/gnhtos	n-d---ma-
κασιγνήτω	kasignh/tw	κασίγνητος	kasi/gnhtos	n-s---mg-
κασιγνήτῳ	kasignh/tw|	κασίγνητος	kasi/gnhtos	n-s---md-
καταβαλλομένα	kataballome/na	καταβάλλω	kataba/llw	v-dppefn-
καταβαλλομένα	kataballome/na	καταβάλλω	kataba/llw	v-dppefv-
καταβαλλομένα	kataballome/na	καταβάλλω	kataba/llw	v-dppefa-
καταβαλλομένα	kataballome/na	καταβάλλω	kataba/llw	v-sppefn-
καταβαλλομένα	kataballome/na	καταβάλλω	kataba/llw	v-sppefv-
καταιδοῦ	kataidou=	καταιδέομαι	kataide/omai	v2spme---
καταιδοῦ	kataidou=	καταιδέομαι	kataide/omai	v2spme---
καταιδοῦ	kataidou=	καταιδέομαι	kataide/omai	v2siie---
καταιδοῦ	kataidou=	καταιδέομαι	kataide/omai	v2siie---
καταιδοῦ	kataidou=	καταιδέω	kataide/w	v2spme---
καταιδοῦ	kataidou=	καταιδέω	kataide/w	v2siie---
καταιδοῦ	kataidou=	κατεῖδον	katei=don	v2samm---
καταισχυνῶ	kataisxunw=	καταισχύνω	kataisxu/nw	v1sfia---
καταισχυνῶ	kataisxunw=	καταισχύνω	kataisxu/nw	v1sfia---
κατακτενεῖν	kataktenei=n	κατακτείνω	kataktei/nw	v--fna---
κατακτεῖναι	kataktei=nai	κατακτείνω	kataktei/nw	v--ana---
καταμπίσχουσιν	katampi/sxousin	ἀμφί-ἴσχω	a)mfi/-i)/sxw	v-pppamd-
καταμπίσχουσιν	katampi/sxousin	ἀμφί-ἴσχω	a)mfi/-i)/sxw	v-pppand-
καταμπίσχουσιν	katampi/sxousin	ἀμφί-ἴσχω	a)mfi/-i)/sxw	v3ppia---
καταπαυόμενοι	katapauo/menoi	καταπαύω	katapau/w	v-pppemn-
καταπαυόμενοι	katapauo/menoi	καταπαύω	katapau/w	v-pppemv-
κατασκαφαί	kataskafai/	κατασκαφή	kataskafh/	n-p---fn-
κατασκαφαί	kataskafai/	κατασκαφή	kataskafh/	n-p---fv-
κατασκοπῶν	kataskopw=n	κατασκοπέω	kataskope/w	v-sppamn-
κατασκοπῶν	kataskopw=n	κατασκοπέω	kataskope/w	v-sppamn-
κατασκοπῶν	kataskopw=n	κατασκοπή	kataskoph/	n-p---fg-
καταστάζωσι	katasta/zwsi	καταστάζω	katasta/zw	v3ppsa---
καταστάζωσι	katasta/zwsi	καταστάζω	katasta/zw	v3ppsa---
καταστένει	kataste/nei	καταστένω	kataste/nw	v2spie---
καταστένει	kataste/nei	καταστένω	kataste/nw	v3spia---
κατεδάκρυσα	kateda/krusa	καταδακρύω	katadakru/w	v1saia---
κατεδήσατο	katedh/sato	καταδέω1	katade/w1	v3saim---
κατεδήσατο	katedh/sato	καταδέω2	katade/w2	v3saim---
κατεσφάγη	katesfa/gh	κατασφάζω	katasfa/zw	v3saip---
κατείπῃς	katei/ph|s	κατεῖπον	katei=pon	v2sasa---
κατείπῃς	katei/ph|s	κατεῖπον	katei=pon	v2sasa---
κατείργασται	katei/rgastai	κατεργάζομαι	katerga/zomai	v3srie---
κατθανεῖν	katqanei=n	καταθνήσκω	kataqnh/skw	v--ana---
κατθανόντα	katqano/nta	καταθνήσκω	kataqnh/skw	v-papann-
κατθανόντα	katqano/nta	καταθνήσκω	kataqnh/skw	v-papanv-
κατθανόντα	katqano/nta	καταθνήσκω	kataqnh/skw	v-papana-
κατθανόντα	katqano/nta	καταθνήσκω	kataqnh/skw	v-sapama-
κατθανόντι	katqano/nti	καταθνήσκω	kataqnh/skw	v-sapamd-
κατθανόντι	katqano/nti	καταθνήσκω	kataqnh/skw	v-sapand-
κατθανόντων	katqano/ntwn	καταθνήσκω	kataqnh/skw	v-papamg-
κατθανόντων	katqano/ntwn	καταθνήσκω	kataqnh/skw	v-papang-
κατθανόντων	katqano/ntwn	καταθνήσκω	kataqnh/skw	v3pama---
κατθανόντ’	katqano/nt'	καταθνήσκω	kataqnh/skw	v-papann-
κατθανόντ’	katqano/nt'	καταθνήσκω	kataqnh/skw	v-papanv-
κατθανόντ’	katqano/nt'	καταθνήσκω	kataqnh/skw	v-papana-
κατθανόντ’	katqano/nt'	καταθνήσκω	kataqnh/skw	v-sapama-
κατθανόντ’	katqano/nt'	καταθνήσκω	kataqnh/skw	v-sapamd-
κατθανόντ’	katqano/nt'	καταθνήσκω	kataqnh/skw	v-sapand-
κατθανόντ’	katqano/nt'	καταθνήσκω	kataqnh/skw	v-dapamn-
κατθανόντ’	katqano/nt'	καταθνήσκω	kataqnh/skw	v-dapamv-
κατθανόντ’	katqano/nt'	καταθνήσκω	kataqnh/skw	v-dapama-
κατθανόντ’	katqano/nt'	καταθνήσκω	kataqnh/skw	v-dapann-
κατθανόντ’	katqano/nt'	καταθνήσκω	kataqnh/skw	v-dapanv-
κατθανόντ’	katqano/nt'	καταθνήσκω	kataqnh/skw	v-dapana-
κατθανών	katqanw/n	καταθνήσκω	kataqnh/skw	v-sapamn-
κατθανῇ	katqanh=|	καταθνήσκω	kataqnh/skw	v2sfim---
κατοικεῖν	katoikei=n	κατοικέω	katoike/w	v--pna---
κατοικεῖν	katoikei=n	κατοικέω	katoike/w	v--pna---
κατοικήσειν	katoikh/sein	κατοικέω	katoike/w	v--fna---
κατοικήσειν	katoikh/sein	κατοικέω	katoike/w	v--fna---
κατορθοῖς	katorqoi=s	κατορθόω	katorqo/w	v2spoa---
κατορθοῖς	katorqoi=s	κατορθόω	katorqo/w	v2spsa---
κατορθοῖς	katorqoi=s	κατορθόω	katorqo/w	v2spia---
κατορθοῖς	katorqoi=s	κατορθόω	katorqo/w	v2spoa---
κατορθοῖς	katorqoi=s	κατορθόω	katorqo/w	v2spsa---
κατορθοῖς	katorqoi=s	κατορθόω	katorqo/w	v2spia---
κατά	kata/	κατά	kata/	r--------
κατάρατός	kata/rato/s	κατάρατος	kata/ratos	n-s---mn-
κατάρατός	kata/rato/s	κατάρατος	kata/ratos	n-s---fn-
κατέσχε	kate/sxe	κατέχω	kate/xw	v3saia---
κατόμοσα	kato/mosa	κατόμνυμι	kato/mnumi	v1saia---
κατόπτην	kato/pthn	κατόπτης	kato/pths	n-s---ma-
κατόπτην	kato/pthn	κατοπτάω	katopta/w	v3piia---
κατόπτην	kato/pthn	κατοπτάω	katopta/w	v1siia---
κατώμοσα	katw/mosa	κατόμνυμι	kato/mnumi	v1saia---
καὐτός	kau)to/s	αὐτός	au)to/s	n-s---mn-
καί	kai/	καί	kai/	c--------
καίν’	kai/n'	καινίς	kaini/s	n-s---fv-
καίν’	kai/n'	καινός	kaino/s	a-p---nn-
καίν’	kai/n'	καινός	kaino/s	a-p---nv-
καίν’	kai/n'	καινός	kaino/s	a-p---na-
καίν’	kai/n'	καινός	kaino/s	a-d---fn-
καίν’	kai/n'	καινός	kaino/s	a-d---fv-
καίν’	kai/n'	καινός	kaino/s	a-d---fa-
καίν’	kai/n'	καινός	kaino/s	a-s---fn-
καίν’	kai/n'	καινός	kaino/s	a-s---fv-
καίν’	kai/n'	καινός	kaino/s	a-s---mv-
καίν’	kai/n'	καινός	kaino/s	a-p---fn-
καίν’	kai/n'	καινός	kaino/s	a-p---fv-
καίτοι	kai/toi	καίτοι	kai/toi	g--------
κειμένους	keime/nous	κεῖμαι	kei=mai	v-prpema-
κειμένους	keime/nous	κεῖμαι	kei=mai	v-pppema-
κεισόμεσθα	keiso/mesqa	κεῖμαι	kei=mai	v1pfim---
κεκλήσεται	keklh/setai	καλέω	kale/w	v3stie---
κεκλήσῃ	keklh/sh|	καλέω	kale/w	v2stie---
