Αἰγίσθου	*ai)gi/sqou	Αἴγισθος	*ai)/gisqos	n-s---mg-
γύας	gu/as	γύησ2	gu/hs2	n-p---fa-
γύας	gu/as	γύησ2	gu/hs2	n-s---fg-
γύας	gu/as	γύησ2	gu/hs2	n-p---ma-
γύας	gu/as	γύησ2	gu/hs2	n-s---mn-
γύναι	gu/nai	γυνή	gunh/	n-s---fv-
γᾶν	ga=n	Γαῖα	*gai=a	n-s---fa-
γᾶν	ga=n	γῆ	gh=	n-s---fa-
γᾶς	ga=s	Γαῖα	*gai=a	n-p---fa-
γᾶς	ga=s	Γαῖα	*gai=a	n-s---fg-
γᾶς	ga=s	γῆ	gh=	n-p---fa-
γᾶς	ga=s	γῆ	gh=	n-s---fg-
γῆν	gh=n	Γαῖα	*gai=a	n-s---fa-
γῆν	gh=n	γῆ	gh=	n-s---fa-
γῆρυς	gh=rus	γῆρυς	gh=rus	n-s---fn-
γῆς	gh=s	Γαῖα	*gai=a	n-s---fg-
γῆς	gh=s	γῆ	gh=	n-s---fg-
δ’	d'	δέ	de/	g--------
δαιτί	daiti/	δαίσ3	dai/s3	n-s---fd-
δακρύοις	dakru/ois	δάκρυον	da/kruon	n-p---nd-
δακρύοις	dakru/ois	δακρύω	dakru/w	v2spoa---
δακρύοισι	dakru/oisi	δάκρυον	da/kruon	n-p---nd-
δακρύοισι	dakru/oisi	δακρύω	dakru/w	v-pppamd-
δακρύοισι	dakru/oisi	δακρύω	dakru/w	v-pppand-
δακρύοισι	dakru/oisi	δακρύω	dakru/w	v3ppia---
δακρύσει	dakru/sei	δακρύω	dakru/w	v3sasa---
δακρύσει	dakru/sei	δακρύω	dakru/w	v2sfim---
δακρύσει	dakru/sei	δακρύω	dakru/w	v3sfia---
δακρύτ’	dakru/t'	δακρυτός	dakruto/s	n-p---nn-
δακρύτ’	dakru/t'	δακρυτός	dakruto/s	n-p---nv-
δακρύτ’	dakru/t'	δακρυτός	dakruto/s	n-p---na-
δακρύτ’	dakru/t'	δακρυτός	dakruto/s	n-s---mv-
δακρύτ’	dakru/t'	δακρυτός	dakruto/s	n-s---fv-
δακρύων	dakru/wn	δάκρυον	da/kruon	n-p---ng-
δακρύων	dakru/wn	δάκρυον	da/kruon	n-p---ng-
δακρύων	dakru/wn	δακρύω	dakru/w	v-sppamn-
δανεισμός	daneismo/s	δανεισμός	daneismo/s	n-s---mn-
δαπάναισι	dapa/naisi	δαπάνη	dapa/nh	n-p---fd-
δαί	dai/	δαί	dai/	g--------
δαί	dai/	δαίσ1	dai/s1	n-s---fv-
δαί	dai/	δαίσ1	dai/s1	n-s---fv-
δαίμονες	dai/mones	δαίμων	dai/mwn	n-p---mn-
δαίμονες	dai/mones	δαίμων	dai/mwn	n-p---mv-
δαίμονες	dai/mones	δαίμων	dai/mwn	n-p---fn-
δαίμονες	dai/mones	δαίμων	dai/mwn	n-p---fv-
δαίμοσιν	dai/mosin	δαίμων	dai/mwn	n-p---md-
δαίμοσιν	dai/mosin	δαίμων	dai/mwn	n-p---fd-
δαῖτα	dai=ta	δαίσ3	dai/s3	n-s---fa-
δαῖτα	dai=ta	δαίτης	dai/ths	n-s---mv-
δαῖτα	dai=ta	δαίτης	dai/ths	n-s---mn-
δεδραμένοις	dedrame/nois	δράω	dra/w	v-prpemd-
δεδραμένοις	dedrame/nois	δράω	dra/w	v-prpend-
δειλαίᾳ	deilai/a|	δείλαιος	dei/laios	a-s---fd-
δειμαίνεις	deimai/neis	δειμαίνω	deimai/nw	v2spia---
δειμάτων	deima/twn	δέμω	de/mw	v3dama---
δειμάτων	deima/twn	δεῖμα	dei=ma	n-p---ng-
δειμάτων	deima/twn	δειματόω	deimato/w	v3piia---
δειμάτων	deima/twn	δειματόω	deimato/w	v1siia---
δειναί	deinai/	δεινός	deino/s	a-p---fn-
δειναί	deinai/	δεινός	deino/s	a-p---fv-
δεινοῖς	deinoi=s	δεινός	deino/s	a-p---md-
δεινοῖς	deinoi=s	δεινός	deino/s	a-p---nd-
δεινοῖς	deinoi=s	δεινόω	deino/w	v2spoa---
δεινοῖς	deinoi=s	δεινόω	deino/w	v2spsa---
δεινοῖς	deinoi=s	δεινόω	deino/w	v2spia---
δεινοῦ	deinou=	δεινός	deino/s	a-s---mg-
δεινοῦ	deinou=	δεινός	deino/s	a-s---ng-
δεινοῦ	deinou=	δεινόω	deino/w	v2spme---
δεινοῦ	deinou=	δεινόω	deino/w	v2siie---
δεινά	deina/	δεινός	deino/s	a-p---nn-
δεινά	deina/	δεινός	deino/s	a-p---nv-
δεινά	deina/	δεινός	deino/s	a-p---na-
δεινά	deina/	δεινός	deino/s	a-d---fn-
δεινά	deina/	δεινός	deino/s	a-d---fv-
δεινά	deina/	δεινός	deino/s	a-d---fa-
δεινά	deina/	δεινός	deino/s	a-s---fn-
δεινά	deina/	δεινός	deino/s	a-s---fv-
δεινόν	deino/n	δεινός	deino/s	a-s---ma-
δεινόν	deino/n	δεινός	deino/s	a-s---nn-
δεινόν	deino/n	δεινός	deino/s	a-s---nv-
δεινόν	deino/n	δεινός	deino/s	a-s---na-
δεινότατον	deino/taton	δεινός	deino/s	a-s---mas
δεινότατον	deino/taton	δεινός	deino/s	a-s---nns
δεινότατον	deino/taton	δεινός	deino/s	a-s---nvs
δεινότατον	deino/taton	δεινός	deino/s	a-s---nas
δεινῶν	deinw=n	δεινάζω	deina/zw	v-sfpamv-
δεινῶν	deinw=n	δεινάζω	deina/zw	v-sfpann-
δεινῶν	deinw=n	δεινάζω	deina/zw	v-sfpanv-
δεινῶν	deinw=n	δεινάζω	deina/zw	v-sfpana-
δεινῶν	deinw=n	δεινάζω	deina/zw	v-sfpamn-
δεινῶν	deinw=n	δεινός	deino/s	a-p---fg-
δεινῶν	deinw=n	δεινός	deino/s	a-p---mg-
δεινῶν	deinw=n	δεινός	deino/s	a-p---ng-
δεινῶν	deinw=n	δεινόω	deino/w	v-sppamv-
δεινῶν	deinw=n	δεινόω	deino/w	v-sppann-
δεινῶν	deinw=n	δεινόω	deino/w	v-sppanv-
δεινῶν	deinw=n	δεινόω	deino/w	v-sppana-
δεινῶν	deinw=n	δεινόω	deino/w	v-sppamn-
δεινῶν	deinw=n	δεινόω	deino/w	v--pna---
δεκάτῃ	deka/th|	δέκατος	de/katos	a-s---fd-
δεκάτῃ	deka/th|	δεκάτη	deka/th	n-s---fd-
δεκέτεσιν	deke/tesin	δεκέτης	deke/ths	n-p---md-
δεκέτεσιν	deke/tesin	δεκέτης	deke/ths	n-p---fd-
δεκέτεσιν	deke/tesin	δεκέτης	deke/ths	n-p---nd-
δελφίς	delfi/s	δελφίς	delfi/s	n-s---mn-
δελφίς	delfi/s	δελφίς	delfi/s	n-s---mv-
δεξιαῖς	deciai=s	δεξιά	decia/	n-p---fd-
δεξιαῖς	deciai=s	δεξιός	decio/s	a-p---fd-
δεξιᾷ	decia=|	δεξιά	decia/	n-s---fd-
δεξιᾷ	decia=|	δεξιάζω	decia/zw	v2sfim---
δεξιᾷ	decia=|	δεξιάζω	decia/zw	v3sfia---
δεξιᾷ	decia=|	δεξιόομαι	decio/omai	v2spse---
δεξιᾷ	decia=|	δεξιόομαι	decio/omai	v2spie---
δεξιᾷ	decia=|	δεξιός	decio/s	a-s---fd-
δεξώμεθ’	decw/meq'	δέχομαι	de/xomai	v1pasm---
δεξώμεθ’	decw/meq'	δείκνυμι	dei/knumi	v1pasm---
δεξώμεσθ’	decw/mesq'	δέχομαι	de/xomai	v1pasm---
δεξώμεσθ’	decw/mesq'	δείκνυμι	dei/knumi	v1pasm---
δεσπότης	despo/ths	δεσπότης	despo/ths	n-s---mn-
δεσπότης	despo/ths	δεσποτέω	despote/w	v2siia---
δεσπότου	despo/tou	δεσπότης	despo/ths	n-s---mg-
δείγματ’	dei/gmat'	δεῖγμα	dei=gma	n-p---nn-
δείγματ’	dei/gmat'	δεῖγμα	dei=gma	n-p---nv-
δείγματ’	dei/gmat'	δεῖγμα	dei=gma	n-p---na-
δείγματ’	dei/gmat'	δεῖγμα	dei=gma	n-s---nd-
δείγματ’	dei/gmat'	δεῖγμα	dei=gma	n-d---nn-
δείγματ’	dei/gmat'	δεῖγμα	dei=gma	n-d---nv-
δείγματ’	dei/gmat'	δεῖγμα	dei=gma	n-d---na-
δείματα	dei/mata	δεῖμα	dei=ma	n-p---nn-
δείματα	dei/mata	δεῖμα	dei=ma	n-p---nv-
δείματα	dei/mata	δεῖμα	dei=ma	n-p---na-
δείματος	dei/matos	δεῖμα	dei=ma	n-s---ng-
δείν’	dei/n'	δεινός	deino/s	a-p---nn-
δείν’	dei/n'	δεινός	deino/s	a-p---nv-
δείν’	dei/n'	δεινός	deino/s	a-p---na-
δείν’	dei/n'	δεινός	deino/s	a-d---fn-
δείν’	dei/n'	δεινός	deino/s	a-d---fv-
δείν’	dei/n'	δεινός	deino/s	a-d---fa-
δείν’	dei/n'	δεινός	deino/s	a-s---fn-
δείν’	dei/n'	δεινός	deino/s	a-s---fv-
δείν’	dei/n'	δεινός	deino/s	a-s---mv-
δείν’	dei/n'	δεινός	deino/s	a-p---fn-
δείν’	dei/n'	δεινός	deino/s	a-p---fv-
δείξωμεν	dei/cwmen	δείκνυμι	dei/knumi	v1pasa---
δείσας	dei/sas	δείδω	dei/dw	v-sapamn-
δείσας	dei/sas	δείδω	dei/dw	v-sapamv-
δείσας	dei/sas	δεῖσα	dei=sa	n-p---fa-
δείσας	dei/sas	δεῖσα	dei=sa	n-s---fg-
δεόμενοι	deo/menoi	δέομαι	de/omai	v-pppemn-
δεόμενοι	deo/menoi	δέομαι	de/omai	v-pppemv-
δεόμενοι	deo/menoi	δέω1	de/w1	v-pppemn-
δεόμενοι	deo/menoi	δέω1	de/w1	v-pppemv-
δεόμενοι	deo/menoi	δέω2	de/w2	v-pppemn-
δεόμενοι	deo/menoi	δέω2	de/w2	v-pppemv-
δεόμενοι	deo/menoi	δέω2	de/w2	v-pppmmn-
δεόμενοι	deo/menoi	δέω2	de/w2	v-pppmmv-
δεῖ	dei=	δέομαι	de/omai	v2spie---
δεῖ	dei=	δέω1	de/w1	v2spie---
δεῖ	dei=	δέω1	de/w1	v2spma---
δεῖ	dei=	δέω1	de/w1	v3spia---
δεῖ	dei=	δέω1	de/w1	v3siia---
δεῖ	dei=	δέω2	de/w2	v2spie---
δεῖ	dei=	δέω2	de/w2	v2spma---
δεῖ	dei=	δέω2	de/w2	v3spia---
δεῖ	dei=	δέω2	de/w2	v3siia---
δεῖ	dei=	δεῖ	dei=	v3siia---
δεῖξόν	dei=co/n	δείκνυμι	dei/knumi	v2sama---
δεῖξόν	dei=co/n	δείκνυμι	dei/knumi	v-sfpamv-
δεῖξόν	dei=co/n	δείκνυμι	dei/knumi	v-sfpann-
δεῖξόν	dei=co/n	δείκνυμι	dei/knumi	v-sfpanv-
δεῖξόν	dei=co/n	δείκνυμι	dei/knumi	v-sfpana-
δημοτῶν	dhmotw=n	δημότης	dhmo/ths	n-p---mg-
διαδρόμου	diadro/mou	διάδρομος	dia/dromos	n-s---mg-
διαδρόμου	diadro/mou	διάδρομος	dia/dromos	n-s---fg-
διαδρόμου	diadro/mou	διάδρομος	dia/dromos	n-s---ng-
διαιρῶν	diairw=n	διαιρέω	diaire/w	v-sppamn-
διαιρῶν	diairw=n	διαιρέω	diaire/w	v-sppamn-
διαλαβών	dialabw/n	διαλαμβάνω	dialamba/nw	v-sapamn-
διαμεθῇς	diameqh=|s	διαμεθίημι	diameqi/hmi	v2sasa---
διαμεθῇς	diameqh=|s	διαμεθίημι	diameqi/hmi	v2sasa---
διαύλους	diau/lous	δίαυλος	di/aulos	n-p---ma-
διδοῦσα	didou=sa	δίδωμι	di/dwmi	v-sppafn-
διδοῦσα	didou=sa	δίδωμι	di/dwmi	v-sppafv-
διδάσκει	dida/skei	διδάσκω	dida/skw	v2spie---
διδάσκει	dida/skei	διδάσκω	dida/skw	v3spia---
δικαίως	dikai/ws	δίκαιος	di/kaios	x--------
δικαίως	dikai/ws	δίκαιος	di/kaios	a-p---ma-
δικαίως	dikai/ws	δίκαιος	di/kaios	x--------
δικαίως	dikai/ws	δίκαιος	di/kaios	n-p---ma-
δικαίως	dikai/ws	δίκαιος	di/kaios	n-p---fa-
δικαίως	dikai/ws	δικαιόω	dikaio/w	v2siia---
δικάζων	dika/zwn	δικάζω	dika/zw	v-sppamn-
διολέσας	diole/sas	διόλλυμι	dio/llumi	v-sapamn-
διολέσας	diole/sas	διόλλυμι	dio/llumi	v-sapamv-
διπλῆν	diplh=n	διπλόος	diplo/os	a-s---fa-
δισσούς	dissou/s	δισσός	disso/s	a-p---ma-
διά	dia/	διά	dia/	r--------
διάβροχον	dia/broxon	διάβροχος	dia/broxos	n-s---ma-
διάβροχον	dia/broxon	διάβροχος	dia/broxos	n-s---fa-
διάβροχον	dia/broxon	διάβροχος	dia/broxos	n-s---nn-
διάβροχον	dia/broxon	διάβροχος	dia/broxos	n-s---nv-
διάβροχον	dia/broxon	διάβροχος	dia/broxos	n-s---na-
διάγραφ’	dia/graf'	διάγραφον	dia/grafon	n-p---nn-
διάγραφ’	dia/graf'	διάγραφον	dia/grafon	n-p---nv-
διάγραφ’	dia/graf'	διάγραφον	dia/grafon	n-p---na-
διάγραφ’	dia/graf'	διαγράφω	diagra/fw	v2spma---
διάγραφ’	dia/graf'	διαγράφω	diagra/fw	v3siia---
διέκναισεν	die/knaisen	διακναίω	diaknai/w	v3saia---
διέπομαι	die/pomai	διέπω	die/pw	v1spie---
διήμησ’	dih/mhs'	διά-ἀμάω1	dia/-a)ma/w1	v1saia---
διήμησ’	dih/mhs'	διά-ἀμάω1	dia/-a)ma/w1	v2slie---
διήμησ’	dih/mhs'	διά-ἀμάω1	dia/-a)ma/w1	v2srme---
διήμησ’	dih/mhs'	διά-ἀμάω1	dia/-a)ma/w1	v3saia---
διήμησ’	dih/mhs'	διά-ἀμάω1	dia/-a)ma/w1	v2srie---
διήνυσε	dih/nuse	διανύω	dianu/w	v3saia---
διήνυσε	dih/nuse	διανύω	dianu/w	v3saia---
διώκων	diw/kwn	διώκω	diw/kw	v-sppamn-
διώλεσας	diw/lesas	διόλλυμι	dio/llumi	v2saia---
διώλεσεν	diw/lesen	διόλλυμι	dio/llumi	v3saia---
δμωαί	dmwai/	δμωή	dmwh/	n-p---fn-
δμωαί	dmwai/	δμωή	dmwh/	n-p---fv-
δμώων	dmw/wn	δμώς	dmw/s	n-p---mg-
δμώων	dmw/wn	δμῶος	dmw=os	n-p---mg-
δμῶας	dmw=as	δμώς	dmw/s	n-p---ma-
δμῶες	dmw=es	δμώς	dmw/s	n-p---mn-
δμῶες	dmw=es	δμώς	dmw/s	n-p---mv-
δοκείτω	dokei/tw	δοκέω	doke/w	v3spma---
δοκεῖ	dokei=	δοκέω	doke/w	v2spie---
δοκεῖ	dokei=	δοκέω	doke/w	v3spia---
δοκεῖ	dokei=	δοκεύς	dokeu/s	n-s---md-
δοκεῖν	dokei=n	δοκέω	doke/w	v--pna---
δοκεῖς	dokei=s	δοκέω	doke/w	v2spia---
δοκεῖς	dokei=s	δοκεύς	dokeu/s	n-p---ma-
δοκεῖς	dokei=s	δοκεύς	dokeu/s	n-p---mn-
δοκεῖς	dokei=s	δοκεύς	dokeu/s	n-p---mv-
δοκοῦσιν	dokou=sin	δοκέω	doke/w	v-pppamd-
δοκοῦσιν	dokou=sin	δοκέω	doke/w	v-pppand-
δοκοῦσιν	dokou=sin	δοκέω	doke/w	v3ppia---
δοκοῦσιν	dokou=sin	δοκόω	doko/w	v-pppamd-
δοκοῦσιν	dokou=sin	δοκόω	doko/w	v-pppand-
δοκοῦσιν	dokou=sin	δοκόω	doko/w	v3ppia---
δοκοῦσιν	dokou=sin	δοκώ	dokw/	n-p---fd-
δοκήσει	dokh/sei	δόκησις	do/khsis	n-d---fn-
δοκήσει	dokh/sei	δόκησις	do/khsis	n-d---fv-
δοκήσει	dokh/sei	δόκησις	do/khsis	n-d---fa-
δοκήσει	dokh/sei	δόκησις	do/khsis	n-s---fd-
δοκήσει	dokh/sei	δόκησις	do/khsis	n-s---fd-
δοκήσει	dokh/sei	δοκέω	doke/w	v3sasa---
δοκήσει	dokh/sei	δοκέω	doke/w	v2sfim---
δοκήσει	dokh/sei	δοκέω	doke/w	v3sfia---
δοκώ	dokw/	δοκόν	doko/n	n-d---nn-
δοκώ	dokw/	δοκόν	doko/n	n-d---nv-
δοκώ	dokw/	δοκόν	doko/n	n-d---na-
δοκώ	dokw/	δοκός	doko/s	n-d---mn-
δοκώ	dokw/	δοκός	doko/s	n-d---mv-
δοκώ	dokw/	δοκός	doko/s	n-d---ma-
δοκώ	dokw/	δοκός	doko/s	n-d---fn-
δοκώ	dokw/	δοκός	doko/s	n-d---fv-
δοκώ	dokw/	δοκός	doko/s	n-d---fa-
δοκώ	dokw/	δοκώ	dokw/	n-s---fn-
δοκῆτε	dokh=te	δοκάζω	doka/zw	v2pfia---
δοκῆτε	dokh=te	δοκέω	doke/w	v2ppma---
δοκῆτε	dokh=te	δοκέω	doke/w	v2ppsa---
δοκῆτε	dokh=te	δοκέω	doke/w	v2ppia---
δοκῆτε	dokh=te	δοκέω	doke/w	v2piia---
δοκῶ	dokw=	δοκάζω	doka/zw	v1sfia---
δοκῶ	dokw=	δοκέω	doke/w	v1spsa---
δοκῶ	dokw=	δοκέω	doke/w	v1spia---
δοκῶ	dokw=	δοκόν	doko/n	n-s---ng-
δοκῶ	dokw=	δοκός	doko/s	n-s---mg-
δοκῶ	dokw=	δοκός	doko/s	n-s---fg-
δοκῶ	dokw=	δοκόω	doko/w	v1spsa---
δοκῶ	dokw=	δοκόω	doko/w	v1spia---
δοκῶ	dokw=	δοκώ	dokw/	n-d---fn-
δοκῶ	dokw=	δοκώ	dokw/	n-d---fv-
δοκῶ	dokw=	δοκώ	dokw/	n-d---fa-
δοκῶ	dokw=	δοκώ	dokw/	n-s---fa-
δοκῶν	dokw=n	δοκάζω	doka/zw	v-sfpamv-
δοκῶν	dokw=n	δοκάζω	doka/zw	v-sfpann-
δοκῶν	dokw=n	δοκάζω	doka/zw	v-sfpanv-
δοκῶν	dokw=n	δοκάζω	doka/zw	v-sfpana-
δοκῶν	dokw=n	δοκάζω	doka/zw	v-sfpamn-
δοκῶν	dokw=n	δοκέω	doke/w	v-sppamn-
δοκῶν	dokw=n	δοκή	dokh/	n-p---fg-
δοκῶν	dokw=n	δοκόν	doko/n	n-p---ng-
δοκῶν	dokw=n	δοκός	doko/s	n-p---mg-
δοκῶν	dokw=n	δοκός	doko/s	n-p---fg-
δοκῶν	dokw=n	δοκόω	doko/w	v-sppamv-
δοκῶν	dokw=n	δοκόω	doko/w	v-sppann-
δοκῶν	dokw=n	δοκόω	doko/w	v-sppanv-
δοκῶν	dokw=n	δοκόω	doko/w	v-sppana-
δοκῶν	dokw=n	δοκόω	doko/w	v-sppamn-
δοκῶν	dokw=n	δοκόω	doko/w	v--pna---
δοκῶν	dokw=n	δοκώ	dokw/	n-p---fg-
δολίοις	doli/ois	δόλιος	do/lios	a-p---md-
δολίοις	doli/ois	δόλιος	do/lios	a-p---nd-
δολίοις	doli/ois	δόλιος	do/lios	n-p---md-
δολίοις	doli/ois	δόλιος	do/lios	n-p---fd-
δολίοις	doli/ois	δόλιος	do/lios	n-p---nd-
δοξασμάτων	docasma/twn	δόξασμα	do/casma	n-p---ng-
δοριπόνων	doripo/nwn	δορίπονος	dori/ponos	n-p---mg-
δοριπόνων	doripo/nwn	δορίπονος	dori/ponos	n-p---fg-
δοριπόνων	doripo/nwn	δορίπονος	dori/ponos	n-p---ng-
δορυφόρων	dorufo/rwn	δορύφορος	doru/foros	n-p---mg-
δορυφόρων	dorufo/rwn	δορύφορος	doru/foros	n-p---fg-
δορυφόρων	dorufo/rwn	δορύφορος	doru/foros	n-p---ng-
δορυφόρων	dorufo/rwn	δορυφόρος	dorufo/ros	n-p---mg-
δορυφόρων	dorufo/rwn	δορυφόρος	dorufo/ros	n-p---fg-
δορυφόρων	dorufo/rwn	δορυφόρος	dorufo/ros	n-p---ng-
δορί	dori/	δόρυ	do/ru	n-s---nd-
δορί	dori/	δορίς	dori/s	n-s---fv-
δοχαί	doxai/	δοχή	doxh/	n-p---fn-
δοχαί	doxai/	δοχή	doxh/	n-p---fv-
δοίη	doi/h	δίδωμι	di/dwmi	v3saoa---
δοίη	doi/h	δίδωμι	di/dwmi	v3saoa---
δούλη	dou/lh	δούλη	dou/lh	n-s---fn-
δούλη	dou/lh	δούλη	dou/lh	n-s---fv-
δούλη	dou/lh	δοῦλος	dou=los	n-s---fn-
δούλη	dou/lh	δοῦλος	dou=los	n-s---fv-
δούλη	dou/lh	δοῦλος	dou=los	a-s---fn-
δούλη	dou/lh	δοῦλος	dou=los	a-s---fv-
δούλης	dou/lhs	δούλη	dou/lh	n-s---fg-
δούλης	dou/lhs	δοῦλος	dou=los	n-s---fg-
δούλης	dou/lhs	δοῦλος	dou=los	a-s---fg-
δούλων	dou/lwn	δοῦλος	dou=los	a-p---fg-
δούλων	dou/lwn	δοῦλος	dou=los	a-p---mg-
δούλων	dou/lwn	δοῦλος	dou=los	a-p---ng-
δούλων	dou/lwn	δοῦλος	dou=los	n-p---mg-
δούλων	dou/lwn	δουλόω	doulo/w	v3piia---
δούλων	dou/lwn	δουλόω	doulo/w	v1siia---
δούς	dou/s	δίδωμι	di/dwmi	v-sapamn-
δούς	dou/s	δίδωμι	di/dwmi	v-sapamv-
δούς	dou/s	δίδωμι	di/dwmi	v-sapamn-
δούς	dou/s	δίδωμι	di/dwmi	v-sapamv-
δοῦλαι	dou=lai	δούλη	dou/lh	n-p---fn-
δοῦλαι	dou=lai	δούλη	dou/lh	n-p---fv-
δοῦλαι	dou=lai	δοῦλος	dou=los	n-p---fn-
δοῦλαι	dou=lai	δοῦλος	dou=los	n-p---fv-
δοῦλαι	dou=lai	δοῦλος	dou=los	a-p---fn-
δοῦλαι	dou=lai	δοῦλος	dou=los	a-p---fv-
δοῦλος	dou=los	δοῦλος	dou=los	a-s---mn-
δοῦλος	dou=los	δοῦλος	dou=los	n-s---mn-
δοῦναι	dou=nai	δίδωμι	di/dwmi	v--ana---
δραμεῖν	dramei=n	τρέχω	tre/xw	v--ana---
δραμών	dramw/n	τρέχω	tre/xw	v-sapamn-
δραστέον	draste/on	δραστέος	draste/os	n-s---ma-
δραστέον	draste/on	δραστέος	draste/os	n-s---nn-
δραστέον	draste/on	δραστέος	draste/os	n-s---nv-
δραστέον	draste/on	δραστέος	draste/os	n-s---na-
δρομεύς	dromeu/s	δρομεύς	dromeu/s	n-s---mn-
δράκουσιν	dra/kousin	δράκων	dra/kwn	n-p---md-
δράμῃ	dra/mh|	τρέχω	tre/xw	v2sase---
δράμῃ	dra/mh|	τρέχω	tre/xw	v3sasa---
δράσω	dra/sw	δράω	dra/w	v1sasa---
δράσω	dra/sw	δράω	dra/w	v1sfia---
δράσω	dra/sw	δράω	dra/w	v2saim---
δρέπων	dre/pwn	δρέπω	dre/pw	v-sppamn-
δρόμῳ	dro/mw|	δρόμος	dro/mos	n-s---md-
δρύοχα	dru/oxa	δρύοχοι	dru/oxoi	n-p---nn-
δρύοχα	dru/oxa	δρύοχοι	dru/oxoi	n-p---nv-
δρύοχα	dru/oxa	δρύοχοι	dru/oxoi	n-p---na-
δρύπτε	dru/pte	δρύπτω	dru/ptw	v2spma---
δρύπτε	dru/pte	δρύπτω	dru/ptw	v3siia---
δρᾷς	dra=|s	δράω	dra/w	v2spsa---
δρᾷς	dra=|s	δράω	dra/w	v2spia---
δρῶμεν	drw=men	δράω	dra/w	v1ppsa---
δρῶμεν	drw=men	δράω	dra/w	v1ppia---
δρῶμεν	drw=men	δράω	dra/w	v1piia---
δρῶν	drw=n	δράω	dra/w	v-sppamv-
δρῶν	drw=n	δράω	dra/w	v-sppann-
δρῶν	drw=n	δράω	dra/w	v-sppanv-
δρῶν	drw=n	δράω	dra/w	v-sppana-
δρῶν	drw=n	δράω	dra/w	v-sppamn-
δρῶν	drw=n	δράω	dra/w	v3piia---
δρῶν	drw=n	δράω	dra/w	v1siia---
δρῶνθ’	drw=nq'	δράω	dra/w	v-pppann-
δρῶνθ’	drw=nq'	δράω	dra/w	v-pppanv-
δρῶνθ’	drw=nq'	δράω	dra/w	v-pppana-
δρῶνθ’	drw=nq'	δράω	dra/w	v-sppama-
δρῶνθ’	drw=nq'	δράω	dra/w	v-sppamd-
δρῶνθ’	drw=nq'	δράω	dra/w	v-sppand-
δρῶνθ’	drw=nq'	δράω	dra/w	v3ppia---
δρῶνθ’	drw=nq'	δράω	dra/w	v-dppamn-
δρῶνθ’	drw=nq'	δράω	dra/w	v-dppamv-
δρῶνθ’	drw=nq'	δράω	dra/w	v-dppama-
δρῶνθ’	drw=nq'	δράω	dra/w	v-dppann-
δρῶνθ’	drw=nq'	δράω	dra/w	v-dppanv-
δρῶνθ’	drw=nq'	δράω	dra/w	v-dppana-
δρῶνθ’	drw=nq'	δράω	dra/w	v3ppse---
δρῶνθ’	drw=nq'	δράω	dra/w	v3ppie---
δρῶνθ’	drw=nq'	δράω	dra/w	v3piie---
δρῶντες	drw=ntes	δράω	dra/w	v-pppamn-
δρῶντες	drw=ntes	δράω	dra/w	v-pppamv-
δυνήσεται	dunh/setai	δύναμαι	du/namai	v3sasm---
δυνήσεται	dunh/setai	δύναμαι	du/namai	v3sfim---
δυοῖν	duoi=n	δύο	du/o	m-d---mg-
δυοῖν	duoi=n	δύο	du/o	m-d---md-
δυοῖν	duoi=n	δύο	du/o	m-d---fg-
δυοῖν	duoi=n	δύο	du/o	m-d---fd-
δυοῖν	duoi=n	δύο	du/o	m-d---ng-
δυοῖν	duoi=n	δύο	du/o	m-d---nd-
δυσγενές	dusgene/s	δυσγενής	dusgenh/s	n-s---mv-
δυσγενές	dusgene/s	δυσγενής	dusgenh/s	n-s---fv-
δυσγενές	dusgene/s	δυσγενής	dusgenh/s	n-s---nn-
δυσγενές	dusgene/s	δυσγενής	dusgenh/s	n-s---nv-
δυσγενές	dusgene/s	δυσγενής	dusgenh/s	n-s---na-
δυσγνωσίαν	dusgnwsi/an	δυσγνωσία	dusgnwsi/a	n-s---fa-
δυσδαίμονος	dusdai/monos	δυσδαίμων	dusdai/mwn	n-s----g-
δυσείματος	dusei/matos	δυσείματος	dusei/matos	n-s---mn-
δυσείματος	dusei/matos	δυσείματος	dusei/matos	n-s---fn-
δυσμενής	dusmenh/s	δυσμενής	dusmenh/s	n-s---mn-
δυσμενής	dusmenh/s	δυσμενής	dusmenh/s	n-s---fn-
δυσσεβής	dussebh/s	δυσσεβής	dussebh/s	n-s---mn-
δυσσεβής	dussebh/s	δυσσεβής	dussebh/s	n-s---fn-
δυσσεβῆ	dussebh=	δυσσεβής	dussebh/s	n-p---nn-
δυσσεβῆ	dussebh=	δυσσεβής	dussebh/s	n-p---nv-
δυσσεβῆ	dussebh=	δυσσεβής	dussebh/s	n-p---na-
δυσσεβῆ	dussebh=	δυσσεβής	dussebh/s	n-d---mn-
δυσσεβῆ	dussebh=	δυσσεβής	dussebh/s	n-d---mv-
δυσσεβῆ	dussebh=	δυσσεβής	dussebh/s	n-d---ma-
δυσσεβῆ	dussebh=	δυσσεβής	dussebh/s	n-d---fn-
δυσσεβῆ	dussebh=	δυσσεβής	dussebh/s	n-d---fv-
δυσσεβῆ	dussebh=	δυσσεβής	dussebh/s	n-d---fa-
δυσσεβῆ	dussebh=	δυσσεβής	dussebh/s	n-d---nn-
δυσσεβῆ	dussebh=	δυσσεβής	dussebh/s	n-d---nv-
δυσσεβῆ	dussebh=	δυσσεβής	dussebh/s	n-d---na-
δυσσεβῆ	dussebh=	δυσσεβής	dussebh/s	n-s---ma-
