Αἰσχύλον	*ai)sxu/lon	Αἰσχύλος	*ai)sxu/los	n-s---ma-
λαρκίδιον	larki/dion	λαρκίδιον	larki/dion	n-s---nv-
λαρκίδιον	larki/dion	λαρκίδιον	larki/dion	n-s---na-
λαχόντας	laxo/ntas	λαγχάνω	lagxa/nw	v-papama-
λαΐνων	lai+/nwn	λάινος	la/inos	a-p---fg-
λαΐνων	lai+/nwn	λάινος	la/inos	a-p---mg-
λαΐνων	lai+/nwn	λάινος	la/inos	a-p---ng-
λεκάνιον	leka/nion	λεκάνιον	leka/nion	n-s---nn-
λεκάνιον	leka/nion	λεκάνιον	leka/nion	n-s---nv-
λεκάνιον	leka/nion	λεκάνιον	leka/nion	n-s---na-
λεπτά	lepta/	λεπτόν	lepto/n	n-p---nn-
λεπτά	lepta/	λεπτόν	lepto/n	n-p---nv-
λεπτά	lepta/	λεπτόν	lepto/n	n-p---na-
λεπτά	lepta/	λεπτός	lepto/s	a-p---nn-
λεπτά	lepta/	λεπτός	lepto/s	a-p---nv-
λεπτά	lepta/	λεπτός	lepto/s	a-p---na-
λεπτά	lepta/	λεπτός	lepto/s	a-d---fn-
λεπτά	lepta/	λεπτός	lepto/s	a-d---fv-
λεπτά	lepta/	λεπτός	lepto/s	a-d---fa-
λεπτά	lepta/	λεπτός	lepto/s	a-s---fn-
λεπτά	lepta/	λεπτός	lepto/s	a-s---fv-
λευκόν	leuko/n	λευκόν	leuko/n	n-s---nn-
λευκόν	leuko/n	λευκόν	leuko/n	n-s---nv-
λευκόν	leuko/n	λευκόν	leuko/n	n-s---na-
λευκόν	leuko/n	λευκός	leuko/s	a-s---ma-
λευκόν	leuko/n	λευκός	leuko/s	a-s---nn-
λευκόν	leuko/n	λευκός	leuko/s	a-s---nv-
λευκόν	leuko/n	λευκός	leuko/s	a-s---na-
λείπω	lei/pw	λείπω	lei/pw	v1spsa---
λείπω	lei/pw	λείπω	lei/pw	v1spia---
λεώς	lew/s	λαός	lao/s	n-p---ma-
λεώς	lew/s	λαός	lao/s	n-p---mn-
λεώς	lew/s	λαός	lao/s	n-p---mv-
λεώς	lew/s	λαός	lao/s	n-p---ma-
λεώς	lew/s	λαός	lao/s	n-s---mn-
λεώς	lew/s	λαός	lao/s	n-s---mv-
λεῴ	lew/|	λαός	lao/s	n-s---md-
λιμῶ	limw=	λιμός	limo/s	n-s---mg-
λιμῶ	limw=	λιμός	limo/s	n-s---fg-
λιμῷ	limw=|	λιμός	limo/s	n-s---md-
λιμῷ	limw=|	λιμός	limo/s	n-s---fd-
λιπαράμπυκα	lipara/mpuka	λιπαράμπυξ	lipara/mpuc	n-s---ma-
λιπαράμπυκα	lipara/mpuka	λιπαράμπυξ	lipara/mpuc	n-s---fa-
λιπαράς	lipara/s	λιπαρός	liparo/s	a-p---fa-
λιπαρῶν	liparw=n	λιπαρέω	lipare/w	v-sppamn-
λιπαρῶν	liparw=n	λιπαρής	liparh/s	n-p---mg-
λιπαρῶν	liparw=n	λιπαρής	liparh/s	n-p---fg-
λιπαρῶν	liparw=n	λιπαρής	liparh/s	n-p---ng-
λιπαρῶν	liparw=n	λιπαρός	liparo/s	a-p---fg-
λιπαρῶν	liparw=n	λιπαρός	liparo/s	a-p---mg-
λιπαρῶν	liparw=n	λιπαρός	liparo/s	a-p---ng-
λογίζομαι	logi/zomai	λογίζομαι	logi/zomai	v1spie---
λοιδορεῖν	loidorei=n	λοιδορέω	loidore/w	v--pna---
λοιπόν	loipo/n	λοιπός	loipo/s	a-s---ma-
λοιπόν	loipo/n	λοιπός	loipo/s	a-s---nn-
λοιπόν	loipo/n	λοιπός	loipo/s	a-s---nv-
λοιπόν	loipo/n	λοιπός	loipo/s	a-s---na-
λοφεῖον	lofei=on	λοφεῖον	lofei=on	n-s---nn-
λοφεῖον	lofei=on	λοφεῖον	lofei=on	n-s---nv-
λοφεῖον	lofei=on	λοφεῖον	lofei=on	n-s---na-
λυπηρός	luphro/s	λυπηρός	luphro/s	a-s---mn-
λυχνοῦχος	luxnou=xos	λυχνοῦχος	luxnou=xos	n-s---mn-
λάβεσθε	la/besqe	λαμβάνω	lamba/nw	v2pamm---
λάβεσθε	la/besqe	λαμβάνω	lamba/nw	v2paim---
λάβεσθέ	la/besqe/	λαμβάνω	lamba/nw	v2pamm---
λάβεσθέ	la/besqe/	λαμβάνω	lamba/nw	v2paim---
λάβοι	la/boi	λαμβάνω	lamba/nw	v3saoa---
λάβοιμι	la/boimi	λαμβάνω	lamba/nw	v1saoa---
λάβοιτο	la/boito	λαμβάνω	lamba/nw	v3saom---
λάλον	la/lon	λάλος	la/los	n-s---ma-
λάλον	la/lon	λάλος	la/los	n-s---fa-
λάλον	la/lon	λάλος	la/los	n-s---nn-
λάλον	la/lon	λάλος	la/los	n-s---nv-
λάλον	la/lon	λάλος	la/los	n-s---na-
λάλος	la/los	λάλος	la/los	n-s---mn-
λάλος	la/los	λάλος	la/los	n-s---fn-
λάλῳ	la/lw|	λάλος	la/los	n-s---md-
λάλῳ	la/lw|	λάλος	la/los	n-s---fd-
λάλῳ	la/lw|	λάλος	la/los	n-s---nd-
λάρκος	la/rkos	λάρκος	la/rkos	n-s---mn-
λάσκων	la/skwn	λάσκω	la/skw	v-sppamn-
λέγε	le/ge	λέγος	le/gos	a-s---mv-
λέγε	le/ge	λέγω1	le/gw1	v2spma---
λέγε	le/ge	λέγω1	le/gw1	v3siia---
λέγε	le/ge	λέγω2	le/gw2	v2spma---
λέγε	le/ge	λέγω2	le/gw2	v3siia---
λέγε	le/ge	λέγω3	le/gw3	v2spma---
λέγε	le/ge	λέγω3	le/gw3	v3siia---
λέγει	le/gei	λέγω1	le/gw1	v2spie---
λέγει	le/gei	λέγω1	le/gw1	v3spia---
λέγει	le/gei	λέγω2	le/gw2	v2spie---
λέγει	le/gei	λέγω2	le/gw2	v3spia---
λέγει	le/gei	λέγω3	le/gw3	v2spie---
λέγει	le/gei	λέγω3	le/gw3	v3spia---
λέγειν	le/gein	λέγω1	le/gw1	v--pna---
λέγειν	le/gein	λέγω2	le/gw2	v--pna---
λέγειν	le/gein	λέγω3	le/gw3	v--pna---
λέγεις	le/geis	λέγω1	le/gw1	v2spia---
λέγεις	le/geis	λέγω2	le/gw2	v2spia---
λέγεις	le/geis	λέγω3	le/gw3	v2spia---
λέγοις	le/gois	λέγος	le/gos	a-p---md-
λέγοις	le/gois	λέγος	le/gos	a-p---nd-
λέγοις	le/gois	λέγω1	le/gw1	v2spoa---
λέγοις	le/gois	λέγω2	le/gw2	v2spoa---
λέγοις	le/gois	λέγω3	le/gw3	v2spoa---
λέγοντος	le/gontos	λέγω1	le/gw1	v-sppamg-
λέγοντος	le/gontos	λέγω1	le/gw1	v-sppang-
λέγοντος	le/gontos	λέγω2	le/gw2	v-sppamg-
λέγοντος	le/gontos	λέγω2	le/gw2	v-sppang-
λέγοντος	le/gontos	λέγω3	le/gw3	v-sppamg-
λέγοντος	le/gontos	λέγω3	le/gw3	v-sppang-
λέγουσι	le/gousi	λέγω1	le/gw1	v-pppamd-
λέγουσι	le/gousi	λέγω1	le/gw1	v-pppand-
λέγουσι	le/gousi	λέγω1	le/gw1	v3ppia---
λέγουσι	le/gousi	λέγω2	le/gw2	v-pppamd-
λέγουσι	le/gousi	λέγω2	le/gw2	v-pppand-
λέγουσι	le/gousi	λέγω2	le/gw2	v3ppia---
λέγουσι	le/gousi	λέγω3	le/gw3	v-pppamd-
λέγουσι	le/gousi	λέγω3	le/gw3	v-pppand-
λέγουσι	le/gousi	λέγω3	le/gw3	v3ppia---
λέγω	le/gw	λέγος	le/gos	a-d---mn-
λέγω	le/gw	λέγος	le/gos	a-d---mv-
λέγω	le/gw	λέγος	le/gos	a-d---ma-
λέγω	le/gw	λέγος	le/gos	a-d---nn-
λέγω	le/gw	λέγος	le/gos	a-d---nv-
λέγω	le/gw	λέγος	le/gos	a-d---na-
λέγω	le/gw	λέγος	le/gos	a-s---mg-
λέγω	le/gw	λέγος	le/gos	a-s---ng-
λέγω	le/gw	λέγω1	le/gw1	v1spsa---
λέγω	le/gw	λέγω1	le/gw1	v1spia---
λέγω	le/gw	λέγω2	le/gw2	v1spsa---
λέγω	le/gw	λέγω2	le/gw2	v1spia---
λέγω	le/gw	λέγω3	le/gw3	v1spsa---
λέγω	le/gw	λέγω3	le/gw3	v1spia---
λέγων	le/gwn	λέγος	le/gos	a-p---fg-
λέγων	le/gwn	λέγος	le/gos	a-p---mg-
λέγων	le/gwn	λέγος	le/gos	a-p---ng-
λέγων	le/gwn	λέγω1	le/gw1	v-sppamn-
λέγων	le/gwn	λέγω2	le/gw2	v-sppamn-
λέγων	le/gwn	λέγω3	le/gw3	v-sppamn-
λέγῃ	le/gh|	λέγος	le/gos	a-s---fd-
λέγῃ	le/gh|	λέγω1	le/gw1	v2spse---
λέγῃ	le/gh|	λέγω1	le/gw1	v2spie---
λέγῃ	le/gh|	λέγω1	le/gw1	v3spsa---
λέγῃ	le/gh|	λέγω2	le/gw2	v2spse---
λέγῃ	le/gh|	λέγω2	le/gw2	v2spie---
λέγῃ	le/gh|	λέγω2	le/gw2	v3spsa---
λέγῃ	le/gh|	λέγω3	le/gw3	v2spse---
λέγῃ	le/gh|	λέγω3	le/gw3	v2spie---
λέγῃ	le/gh|	λέγω3	le/gw3	v3spsa---
λέλακας	le/lakas	λάσκω	la/skw	v2sria---
λέλακας	le/lakas	λάζω	la/zw	v2sria---
λέξαι	le/cai	λέγω1	le/gw1	v2samm---
λέξαι	le/cai	λέγω1	le/gw1	v--ana---
λέξαι	le/cai	λέγω1	le/gw1	v3saoa---
λέξαι	le/cai	λέγω2	le/gw2	v2samm---
λέξαι	le/cai	λέγω3	le/gw3	v2samm---
λέξαι	le/cai	λέγω3	le/gw3	v--ana---
λέξαι	le/cai	λέγω3	le/gw3	v3saoa---
λέξας	le/cas	λέγω1	le/gw1	v-sapamn-
λέξας	le/cas	λέγω1	le/gw1	v-sapamv-
λέξας	le/cas	λέγω1	le/gw1	v2saia---
λέξας	le/cas	λέγω3	le/gw3	v-sapamn-
λέξας	le/cas	λέγω3	le/gw3	v-sapamv-
λέξας	le/cas	λέγω3	le/gw3	v2saia---
λέξοντ’	le/cont'	λέγω1	le/gw1	v-pfpann-
λέξοντ’	le/cont'	λέγω1	le/gw1	v-pfpanv-
λέξοντ’	le/cont'	λέγω1	le/gw1	v-pfpana-
λέξοντ’	le/cont'	λέγω1	le/gw1	v-sfpama-
λέξοντ’	le/cont'	λέγω1	le/gw1	v-sfpamd-
λέξοντ’	le/cont'	λέγω1	le/gw1	v-sfpand-
λέξοντ’	le/cont'	λέγω1	le/gw1	v3pfia---
λέξοντ’	le/cont'	λέγω1	le/gw1	v-dfpamn-
λέξοντ’	le/cont'	λέγω1	le/gw1	v-dfpamv-
λέξοντ’	le/cont'	λέγω1	le/gw1	v-dfpama-
λέξοντ’	le/cont'	λέγω1	le/gw1	v-dfpann-
λέξοντ’	le/cont'	λέγω1	le/gw1	v-dfpanv-
λέξοντ’	le/cont'	λέγω1	le/gw1	v-dfpana-
λέξοντ’	le/cont'	λέγω1	le/gw1	v3pfim---
λέξοντ’	le/cont'	λέγω2	le/gw2	v-pfpann-
λέξοντ’	le/cont'	λέγω2	le/gw2	v-pfpanv-
λέξοντ’	le/cont'	λέγω2	le/gw2	v-pfpana-
λέξοντ’	le/cont'	λέγω2	le/gw2	v-sfpama-
λέξοντ’	le/cont'	λέγω2	le/gw2	v-sfpamd-
λέξοντ’	le/cont'	λέγω2	le/gw2	v-sfpand-
λέξοντ’	le/cont'	λέγω2	le/gw2	v3pfia---
λέξοντ’	le/cont'	λέγω2	le/gw2	v-dfpamn-
λέξοντ’	le/cont'	λέγω2	le/gw2	v-dfpamv-
λέξοντ’	le/cont'	λέγω2	le/gw2	v-dfpama-
λέξοντ’	le/cont'	λέγω2	le/gw2	v-dfpann-
λέξοντ’	le/cont'	λέγω2	le/gw2	v-dfpanv-
λέξοντ’	le/cont'	λέγω2	le/gw2	v-dfpana-
λέξοντ’	le/cont'	λέγω2	le/gw2	v3pfim---
λέξοντ’	le/cont'	λέγω3	le/gw3	v-pfpann-
λέξοντ’	le/cont'	λέγω3	le/gw3	v-pfpanv-
λέξοντ’	le/cont'	λέγω3	le/gw3	v-pfpana-
λέξοντ’	le/cont'	λέγω3	le/gw3	v-sfpama-
λέξοντ’	le/cont'	λέγω3	le/gw3	v-sfpamd-
λέξοντ’	le/cont'	λέγω3	le/gw3	v-sfpand-
λέξοντ’	le/cont'	λέγω3	le/gw3	v3pfia---
λέξοντ’	le/cont'	λέγω3	le/gw3	v-dfpamn-
λέξοντ’	le/cont'	λέγω3	le/gw3	v-dfpamv-
λέξοντ’	le/cont'	λέγω3	le/gw3	v-dfpama-
λέξοντ’	le/cont'	λέγω3	le/gw3	v-dfpann-
λέξοντ’	le/cont'	λέγω3	le/gw3	v-dfpanv-
λέξοντ’	le/cont'	λέγω3	le/gw3	v-dfpana-
λέξοντ’	le/cont'	λέγω3	le/gw3	v3pfim---
λέξω	le/cw	λέγω1	le/gw1	v1sasa---
λέξω	le/cw	λέγω1	le/gw1	v1sfia---
λέξω	le/cw	λέγω1	le/gw1	v2saim---
λέξω	le/cw	λέγω2	le/gw2	v1sfia---
λέξω	le/cw	λέγω2	le/gw2	v2saim---
λέξω	le/cw	λέγω3	le/gw3	v1sasa---
λέξω	le/cw	λέγω3	le/gw3	v1sfia---
λέξω	le/cw	λέγω3	le/gw3	v2saim---
λέξων	le/cwn	λέγω1	le/gw1	v-sfpamn-
λέξων	le/cwn	λέγω2	le/gw2	v-sfpamn-
λέξων	le/cwn	λέγω3	le/gw3	v-sfpamn-
λήψεται	lh/yetai	λαμβάνω	lamba/nw	v3sfim---
λίαν	li/an	λίαν	li/an	d--------
λίθοι	li/qoi	λίθος	li/qos	n-p---mn-
λίθοι	li/qoi	λίθος	li/qos	n-p---mv-
λίθοις	li/qois	λίθος	li/qos	n-p---md-
λίθον	li/qon	λίθος	li/qos	n-s---ma-
λίθους	li/qous	λίθος	li/qos	n-p---ma-
λίθους	li/qous	λιθόομαι	liqo/omai	v2siia---
λίθους	li/qous	λιθόω	liqo/w	v2siia---
λίθων	li/qwn	λίθος	li/qos	n-p---mg-
λίθων	li/qwn	λιθάω	liqa/w	v3piia---
λίθων	li/qwn	λιθάω	liqa/w	v1siia---
λίθῳ	li/qw|	λίθος	li/qos	n-s---md-
λόγοις	lo/gois	λόγος	lo/gos	n-p---md-
λόγοισιν	lo/goisin	λόγος	lo/gos	n-p---md-
λόγον	lo/gon	λόγος	lo/gos	n-s---ma-
λόγους	lo/gous	λόγος	lo/gos	n-p---ma-
λόγους	lo/gous	λογόω	logo/w	v2siia---
λόγχη	lo/gxh	λόγχη	lo/gxh	n-s---fn-
λόγχη	lo/gxh	λόγχη	lo/gxh	n-s---fv-
λόγῳ	lo/gw|	λόγος	lo/gos	n-s---md-
λόφοις	lo/fois	λόφος	lo/fos	n-p---md-
λόφους	lo/fous	λόφος	lo/fos	n-p---ma-
λόφων	lo/fwn	λόφος	lo/fos	n-p---mg-
λόφων	lo/fwn	λοφάω	lofa/w	v3piia---
λόφων	lo/fwn	λοφάω	lofa/w	v1siia---
λόχους	lo/xous	λόχος	lo/xos	n-p---ma-
λόχων	lo/xwn	λόχος	lo/xos	n-p---mg-
λόχων	lo/xwn	λοχάω	loxa/w	v3piia---
λόχων	lo/xwn	λοχάω	loxa/w	v1siia---
λύζει	lu/zei	λύζω	lu/zw	v2spie---
λύζει	lu/zei	λύζω	lu/zw	v3spia---
λύουσι	lu/ousi	λύω	lu/w	v-pppamd-
λύουσι	lu/ousi	λύω	lu/w	v-pppand-
λύουσι	lu/ousi	λύω	lu/w	v3ppia---
λύουσι	lu/ousi	λύω	lu/w	v-pppamd-
λύουσι	lu/ousi	λύω	lu/w	v-pppand-
λύουσι	lu/ousi	λύω	lu/w	v3ppia---
λύχνῳ	lu/xnw|	λύχνον	lu/xnon	n-s---nd-
λύχνῳ	lu/xnw|	λύχνος	lu/xnos	n-s---md-
λῃστάς	lh|sta/s	ληιστής	lhisth/s	n-p---ma-
λῃστάς	lh|sta/s	ληιστής	lhisth/s	n-s---mn-
λῃστάς	lh|sta/s	ληιστός	lhisto/s	a-p---fa-
λῃστάς	lh|sta/s	λῃστής	lh|sth/s	n-p---ma-
λῃστάς	lh|sta/s	λῃστής	lh|sth/s	n-s---mn-
λῆψι	lh=yi	λῆψις	lh=yis	n-s---fv-
λῇς	lh=|s	λάω1	la/w1	v2spsa---
λῇς	lh=|s	λάω1	la/w1	v2spia---
λῇς	lh=|s	λάω2	la/w2	v2spsa---
λῇς	lh=|s	λάω2	la/w2	v2spia---
λῇς	lh=|s	λάζω	la/zw	v2sfia---
μαγειρικῶς	mageirikw=s	μαγειρικός	mageiriko/s	x--------
μαθών	maqw/n	μανθάνω	manqa/nw	v-sapamn-
μαινόμενος	maino/menos	μαίνομαι	mai/nomai	v-sppemn-
μακρούς	makrou/s	μακρός	makro/s	a-p---ma-
μακράν	makra/n	μακράν	makra/n	d--------
μακράν	makra/n	μακρός	makro/s	a-s---fa-
μακρόν	makro/n	μακρός	makro/s	a-s---ma-
μακρόν	makro/n	μακρός	makro/s	a-s---nn-
μακρόν	makro/n	μακρός	makro/s	a-s---nv-
μακρόν	makro/n	μακρός	makro/s	a-s---na-
μακάριος	maka/rios	μακάριος	maka/rios	a-s---mn-
μακάριος	maka/rios	μακάριος	maka/rios	n-s---mn-
μακάριος	maka/rios	μακάριος	maka/rios	n-s---fn-
μαλθακῶς	malqakw=s	μαλθακός	malqako/s	x--------
μαρτύρομαι	martu/romai	μαρτύρομαι	martu/romai	v1spie---
μαρτύρομαι	martu/romai	μαρτύρομαι	martu/romai	v1sase---
μαρίλης	mari/lhs	μαρίλη	mari/lh	n-s---fg-
μασταρύζει	mastaru/zei	μασταρύζω	mastaru/zw	v2spie---
μασταρύζει	mastaru/zei	μασταρύζω	mastaru/zw	v3spia---
μασχαλῶν	masxalw=n	μασχάλη	masxa/lh	n-p---fg-
ματέρα	mate/ra	μήτηρ	mh/thr	n-s---fa-
ματέρ’	mate/r'	μήτηρ	mh/thr	n-s---fa-
ματέρ’	mate/r'	μήτηρ	mh/thr	n-s---fd-
ματέρ’	mate/r'	μήτηρ	mh/thr	n-d---fn-
ματέρ’	mate/r'	μήτηρ	mh/thr	n-d---fv-
ματέρ’	mate/r'	μήτηρ	mh/thr	n-d---fa-
μαχανά	maxana/	μηχανή	mhxanh/	n-d---fn-
μαχανά	maxana/	μηχανή	mhxanh/	n-d---fv-
μαχανά	maxana/	μηχανή	mhxanh/	n-d---fa-
μαχανά	maxana/	μηχανή	mhxanh/	n-s---fn-
μαχανά	maxana/	μηχανή	mhxanh/	n-s---fv-
μαχαίρᾳ	maxai/ra|	μάχαιρα	ma/xaira	n-s---fd-
μαχιμώτατον	maximw/taton	μάχιμος	ma/ximos	a-s---mas
μαχιμώτατον	maximw/taton	μάχιμος	ma/ximos	a-s---nns
μαχιμώτατον	maximw/taton	μάχιμος	ma/ximos	a-s---nvs
μαχιμώτατον	maximw/taton	μάχιμος	ma/ximos	a-s---nas
μαχιμώτατον	maximw/taton	μάχιμος	ma/ximos	a-s---mas
μαχιμώτατον	maximw/taton	μάχιμος	ma/ximos	a-s---nns
μαχιμώτατον	maximw/taton	μάχιμος	ma/ximos	a-s---nvs
μαχιμώτατον	maximw/taton	μάχιμος	ma/ximos	a-s---nas
μαχῶν	maxw=n	μάχη	ma/xh	n-p---fg-
μαχῶν	maxw=n	μαχάω	maxa/w	v-sppamv-
μαχῶν	maxw=n	μαχάω	maxa/w	v-sppann-
μαχῶν	maxw=n	μαχάω	maxa/w	v-sppanv-
μαχῶν	maxw=n	μαχάω	maxa/w	v-sppana-
μαχῶν	maxw=n	μαχάω	maxa/w	v-sppamn-
μαχῶν	maxw=n	μαχάω	maxa/w	v-sppamn-
μαχῶν	maxw=n	συμμαχέω	summaxe/w	v-sppamn-
με	me	ἐγώ	e)gw/	p-s---ma-
με	me	ἐγώ	e)gw/	p-s---fa-
μεγάλα	mega/la	μέγας	me/gas	a-d---fn-
μεγάλα	mega/la	μέγας	me/gas	a-d---fv-
μεγάλα	mega/la	μέγας	me/gas	a-d---fa-
μεγάλα	mega/la	μέγας	me/gas	a-s---fn-
μεγάλα	mega/la	μέγας	me/gas	a-s---fv-
μεγάλα	mega/la	μέγας	me/gas	a-p---nn-
μεγάλα	mega/la	μέγας	me/gas	a-p---nv-
μεγάλα	mega/la	μέγας	me/gas	a-p---na-
μεγάλα	mega/la	μέγας	me/gas	a-p---nv-
μεγάλα	mega/la	μέγας	me/gas	a-d---fv-
μεγάλα	mega/la	μέγας	me/gas	a-s---fv-
μεγάλαν	mega/lan	μέγας	me/gas	a-s---fa-
μεγάλην	mega/lhn	μέγας	me/gas	a-s---fa-
μεθυσοκότταβοι	mequsoko/ttaboi	μεθυσοκότταβος	mequsoko/ttabos	n-p---mn-
μεθυσοκότταβοι	mequsoko/ttaboi	μεθυσοκότταβος	mequsoko/ttabos	n-p---mv-
μεθυσοκότταβοι	mequsoko/ttaboi	μεθυσοκότταβος	mequsoko/ttabos	n-p---fn-
μεθυσοκότταβοι	mequsoko/ttaboi	μεθυσοκότταβος	mequsoko/ttabos	n-p---fv-
μεθύων	mequ/wn	μεθύω	mequ/w	v-sppamn-
μελέων	mele/wn	μέλεος	me/leos	a-p---fg-
μελέων	mele/wn	μέλεος	me/leos	a-p---mg-
μελέων	mele/wn	μέλεος	me/leos	a-p---ng-
μελέων	mele/wn	μέλεος	me/leos	n-p---mg-
μελέων	mele/wn	μέλεος	me/leos	n-p---fg-
μελέων	mele/wn	μέλεος	me/leos	n-p---ng-
μελέων	mele/wn	μέλη	me/lh	n-p---fg-
μελέων	mele/wn	μέλος	me/los	n-p---ng-
μελήσει	melh/sei	ἐπιμελέομαι	e)pimele/omai	v2sfie---
μελήσει	melh/sei	μέλω	me/lw	v3sasa---
μελήσει	melh/sei	μέλω	me/lw	v2sfim---
μελήσει	melh/sei	μέλω	me/lw	v3sfia---
μεμιλτωμένον	memiltwme/non	μιλτόω	milto/w	v-srpema-
μεμιλτωμένον	memiltwme/non	μιλτόω	milto/w	v-srpenn-
μεμιλτωμένον	memiltwme/non	μιλτόω	milto/w	v-srpenv-
μεμιλτωμένον	memiltwme/non	μιλτόω	milto/w	v-srpena-
μεμφόμεσθα	memfo/mesqa	μέμφομαι	me/mfomai	v1ppie---
μεμφόμεσθα	memfo/mesqa	μέμφομαι	me/mfomai	v1piie---
μεμίσηκά	memi/shka/	μισέω	mise/w	v1sria---
μενεῖς	menei=s	μένω	me/nw	v2sfia---
μεσημβρινοί	meshmbrinoi/	μεσημβρινός	meshmbrino/s	a-p---mn-
μεσημβρινοί	meshmbrinoi/	μεσημβρινός	meshmbrino/s	a-p---mv-
μεταβούλους	metabou/lous	μετάβουλος	meta/boulos	n-p---ma-
μεταβούλους	metabou/lous	μετάβουλος	meta/boulos	n-p---fa-
μεταδοῦναι	metadou=nai	μεταδίδωμι	metadi/dwmi	v--ana---
μεταδώσειν	metadw/sein	μεταδίδωμι	metadi/dwmi	v--fna---
μεταξύ	metacu/	μεταξύ	metacu/	d--------
μεταπείθει	metapei/qei	μεταπείθω	metapei/qw	v2spie---
μεταπείθει	metapei/qei	μεταπείθω	metapei/qw	v3spia---
μεταπέμπεται	metape/mpetai	μεταπέμπω	metape/mpw	v3spie---
μεταστραφείη	metastrafei/h	μεταστρέφω	metastre/fw	v3saop---
μετοίκους	metoi/kous	μέτοικος	me/toikos	n-p---ma-
μετρουμένων	metroume/nwn	μετρέω	metre/w	v-pppefg-
μετρουμένων	metroume/nwn	μετρέω	metre/w	v-pppemg-
μετρουμένων	metroume/nwn	μετρέω	metre/w	v-pppeng-
μετά	meta/	μετά	meta/	r--------
μεῖζον	mei=zon	μέγας	me/gas	a-s---mv-
μεῖζον	mei=zon	μέγας	me/gas	a-s---fv-
μεῖζον	mei=zon	μέγας	me/gas	a-s---nn-
μεῖζον	mei=zon	μέγας	me/gas	a-s---nv-
μεῖζον	mei=zon	μέγας	me/gas	a-s---na-
μηδαμῶς	mhdamw=s	μηδαμός	mhdamo/s	x--------
μηδαμῶς	mhdamw=s	μηδαμῶς	mhdamw=s	d--------
μηδέ	mhde/	μηδέ	mhde/	g--------
μηδέν	mhde/n	μηδείς	mhdei/s	n-s---nn-
μηδέν	mhde/n	μηδείς	mhdei/s	n-s---nv-
μηδέν	mhde/n	μηδείς	mhdei/s	n-s---na-
μηδένα	mhde/na	μηδείς	mhdei/s	n-s---ma-
μηδένα	mhde/na	μηδείς	mhdei/s	n-s---fa-
μηδένα	mhde/na	μηδείς	mhdei/s	n-p---nn-
μηδένα	mhde/na	μηδείς	mhdei/s	n-p---nv-
μηδένα	mhde/na	μηδείς	mhdei/s	n-p---na-
μηνός	mhno/s	μείς	mei/s	n-s---mg-
μηνύσατε	mhnu/sate	μηνύω	mhnu/w	v2pama---
μηνύσατε	mhnu/sate	μηνύω	mhnu/w	v2paia---
μητρόθεν	mhtro/qen	μητρόθεν	mhtro/qen	d--------
μητρός	mhtro/s	μήτηρ	mh/thr	n-s---fg-
μητρός	mhtro/s	μήτηρ	mh/thr	n-s---fg-
μηχανάς	mhxana/s	μηχανή	mhxanh/	n-p---fa-
μηχανᾷ	mhxana=|	μηχανάομαι	mhxana/omai	v2spse---
μηχανᾷ	mhxana=|	μηχανάομαι	mhxana/omai	v2spie---
μηχανᾷ	mhxana=|	μηχανή	mhxanh/	n-s---fd-
μιαρά	miara/	μιαρός	miaro/s	a-p---nn-
μιαρά	miara/	μιαρός	miaro/s	a-p---nv-
μιαρά	miara/	μιαρός	miaro/s	a-p---na-
μιαρά	miara/	μιαρός	miaro/s	a-d---fn-
μιαρά	miara/	μιαρός	miaro/s	a-d---fv-
μιαρά	miara/	μιαρός	miaro/s	a-d---fa-
μιαρά	miara/	μιαρός	miaro/s	a-s---fn-
μιαρά	miara/	μιαρός	miaro/s	a-s---fv-
μιαρόν	miaro/n	μιαρός	miaro/s	a-s---ma-
μιαρόν	miaro/n	μιαρός	miaro/s	a-s---nn-
μιαρόν	miaro/n	μιαρός	miaro/s	a-s---nv-
μιαρόν	miaro/n	μιαρός	miaro/s	a-s---na-
μιαρώτατε	miarw/tate	μιαρός	miaro/s	a-s---mvs
μικκός	mikko/s	μικκός	mikko/s	a-s---mn-
μικκός	mikko/s	μικρός	mikro/s	a-s---mn-
μισθαρχίδης	misqarxi/dhs	μισθαρχίδης	misqarxi/dhs	n-s---mn-
μισθοφορεῖν	misqoforei=n	μισθοφορέω	misqofore/w	v--pna---
μισθοφοροῦντας	misqoforou=ntas	μισθοφορέω	misqofore/w	v-pppama-
μισθοφορῇ	misqoforh=|	μισθοφορά	misqofora/	n-s---fd-
μισθοφορῇ	misqoforh=|	μισθοφορέω	misqofore/w	v2spse---
μισθοφορῇ	misqoforh=|	μισθοφορέω	misqofore/w	v2spie---
μισθοφορῇ	misqoforh=|	μισθοφορέω	misqofore/w	v3spsa---
μισθούς	misqou/s	μισθός	misqo/s	n-p---ma-
μισθοῦ	misqou=	μισθός	misqo/s	n-s---mg-
μισθοῦ	misqou=	μισθόω	misqo/w	v2spme---
μισθοῦ	misqou=	μισθόω	misqo/w	v2siie---
μισθόν	misqo/n	μισθός	misqo/s	n-s---ma-
μισῶ	misw=	μισέω	mise/w	v1spsa---
μισῶ	misw=	μισέω	mise/w	v1spia---
μιᾷ	mia=|	εἷς	ei(=s	a-s---fd-
μογερός	mogero/s	μογερός	mogero/s	a-s---mn-
μοι	moi	ἐγώ	e)gw/	p-s---md-
μοι	moi	ἐγώ	e)gw/	p-s---fd-
