Αἴας	*ai)/as	Αἴας	*ai)/as	urn:cite2:hmt:lsj.chicago_md:n2112	n-s---mn-
θέαν	qe/an	θεάω	qea/w	urn:cite2:hmt:lsj.chicago_md:n47998	v3piia---
θέαν	qe/an	θεάω	qea/w	urn:cite2:hmt:lsj.chicago_md:n47998	v1siia---
θέαν	qe/an	θεάω	qea/w	urn:cite2:hmt:lsj.chicago_md:n47998	v3piia---
θέαν	qe/an	θεάω	qea/w	urn:cite2:hmt:lsj.chicago_md:n47998	v1siia---
θέλει	qe/lei	ἐθέλω	e)qe/lw	urn:cite2:hmt:lsj.chicago_md:n30790	v2spie---
θέλει	qe/lei	ἐθέλω	e)qe/lw	urn:cite2:hmt:lsj.chicago_md:n30790	v3spia---
θέλεις	qe/leis	ἐθέλω	e)qe/lw	urn:cite2:hmt:lsj.chicago_md:n30790	v2spia---
θέλοι	qe/loi	ἐθέλω	e)qe/lw	urn:cite2:hmt:lsj.chicago_md:n30790	v3spoa---
θέλοιμ’	qe/loim'	ἐθέλω	e)qe/lw	urn:cite2:hmt:lsj.chicago_md:n30790	v1spoa---
θέλονθ’	qe/lonq'	ἐθέλω	e)qe/lw	urn:cite2:hmt:lsj.chicago_md:n30790	v-pppann-
θέλονθ’	qe/lonq'	ἐθέλω	e)qe/lw	urn:cite2:hmt:lsj.chicago_md:n30790	v-pppanv-
θέλονθ’	qe/lonq'	ἐθέλω	e)qe/lw	urn:cite2:hmt:lsj.chicago_md:n30790	v-pppana-
θέλονθ’	qe/lonq'	ἐθέλω	e)qe/lw	urn:cite2:hmt:lsj.chicago_md:n30790	v-sppama-
θέλονθ’	qe/lonq'	ἐθέλω	e)qe/lw	urn:cite2:hmt:lsj.chicago_md:n30790	v-sppamd-
θέλονθ’	qe/lonq'	ἐθέλω	e)qe/lw	urn:cite2:hmt:lsj.chicago_md:n30790	v-sppand-
θέλονθ’	qe/lonq'	ἐθέλω	e)qe/lw	urn:cite2:hmt:lsj.chicago_md:n30790	v3ppia---
θέλονθ’	qe/lonq'	ἐθέλω	e)qe/lw	urn:cite2:hmt:lsj.chicago_md:n30790	v-dppamn-
θέλονθ’	qe/lonq'	ἐθέλω	e)qe/lw	urn:cite2:hmt:lsj.chicago_md:n30790	v-dppamv-
θέλονθ’	qe/lonq'	ἐθέλω	e)qe/lw	urn:cite2:hmt:lsj.chicago_md:n30790	v-dppama-
θέλονθ’	qe/lonq'	ἐθέλω	e)qe/lw	urn:cite2:hmt:lsj.chicago_md:n30790	v-dppann-
θέλονθ’	qe/lonq'	ἐθέλω	e)qe/lw	urn:cite2:hmt:lsj.chicago_md:n30790	v-dppanv-
θέλονθ’	qe/lonq'	ἐθέλω	e)qe/lw	urn:cite2:hmt:lsj.chicago_md:n30790	v-dppana-
θέλονθ’	qe/lonq'	ἐθέλω	e)qe/lw	urn:cite2:hmt:lsj.chicago_md:n30790	v3ppie---
θέλονθ’	qe/lonq'	ἐθέλω	e)qe/lw	urn:cite2:hmt:lsj.chicago_md:n30790	v3piie---
θέλοντι	qe/lonti	ἐθέλω	e)qe/lw	urn:cite2:hmt:lsj.chicago_md:n30790	v-sppamd-
θέλοντι	qe/lonti	ἐθέλω	e)qe/lw	urn:cite2:hmt:lsj.chicago_md:n30790	v-sppand-
θέλοντι	qe/lonti	ἐθέλω	e)qe/lw	urn:cite2:hmt:lsj.chicago_md:n30790	v3ppia---
θέλων	qe/lwn	ἐθέλω	e)qe/lw	urn:cite2:hmt:lsj.chicago_md:n30790	v-sppamn-
θέλῃ	qe/lh|	ἐθέλω	e)qe/lw	urn:cite2:hmt:lsj.chicago_md:n30790	v2spse---
θέλῃ	qe/lh|	ἐθέλω	e)qe/lw	urn:cite2:hmt:lsj.chicago_md:n30790	v2spie---
θέλῃ	qe/lh|	ἐθέλω	e)qe/lw	urn:cite2:hmt:lsj.chicago_md:n30790	v3spsa---
θέλῃς	qe/lh|s	ἐθέλω	e)qe/lw	urn:cite2:hmt:lsj.chicago_md:n30790	v2spsa---
θέμις	qe/mis	θέμις	qe/mis	urn:cite2:hmt:lsj.chicago_md:n48121	n-p---fa-
θέμις	qe/mis	θέμις	qe/mis	urn:cite2:hmt:lsj.chicago_md:n48121	n-s---fn-
θέμις	qe/mis	θέμις	qe/mis	urn:cite2:hmt:lsj.chicago_md:n48121	n-s---fn-
θέμις	qe/mis	θέμις	qe/mis	urn:cite2:hmt:lsj.chicago_md:n48121	n-s---fn-
θέρει	qe/rei	θέρος	qe/ros	urn:cite2:hmt:lsj.chicago_md:n48498	n-d---nn-
θέρει	qe/rei	θέρος	qe/ros	urn:cite2:hmt:lsj.chicago_md:n48498	n-d---nv-
θέρει	qe/rei	θέρος	qe/ros	urn:cite2:hmt:lsj.chicago_md:n48498	n-d---na-
θέρει	qe/rei	θέρος	qe/ros	urn:cite2:hmt:lsj.chicago_md:n48498	n-s---nd-
θέρει	qe/rei	θέρος	qe/ros	urn:cite2:hmt:lsj.chicago_md:n48498	n-s---nd-
θέρει	qe/rei	θέρω	qe/rw	urn:cite2:hmt:lsj.chicago_md:n48503	v2spie---
θέρει	qe/rei	θέρω	qe/rw	urn:cite2:hmt:lsj.chicago_md:n48503	v3spia---
θέρους	qe/rous	θέρος	qe/ros	urn:cite2:hmt:lsj.chicago_md:n48498	n-s---ng-
θέσθαι	qe/sqai	τίθημι	ti/qhmi	urn:cite2:hmt:lsj.chicago_md:n103922	v--ane---
θήραν	qh/ran	θήρα	qh/ra	urn:cite2:hmt:lsj.chicago_md:n48703	n-s---fa-
θήραν	qh/ran	θήρα	qh/ra	urn:cite2:hmt:lsj.chicago_md:n48704	n-s---fa-
θήραν	qh/ran	θηράω	qhra/w	urn:cite2:hmt:lsj.chicago_md:n48722	v3piia---
θήραν	qh/ran	θηράω	qhra/w	urn:cite2:hmt:lsj.chicago_md:n48722	v1siia---
θήραν	qh/ran	θηράω	qhra/w	urn:cite2:hmt:lsj.chicago_md:n48722	v3piia---
θήραν	qh/ran	θηράω	qhra/w	urn:cite2:hmt:lsj.chicago_md:n48722	v1siia---
θήσομαι	qh/somai	τίθημι	ti/qhmi	urn:cite2:hmt:lsj.chicago_md:n103922	v1sfim---
θίγω	qi/gw	θιγγάνω	qigga/nw	urn:cite2:hmt:lsj.chicago_md:n48867	v1sasa---
θόρυβος	qo/rubos	θόρυβος	qo/rubos	urn:cite2:hmt:lsj.chicago_md:n48975	n-s---mn-
θᾶσσον	qa=sson	θάσσων	qa/sswn	urn:cite2:hmt:lsj.chicago_md:n47913	a-s---mv-
θᾶσσον	qa=sson	θάσσων	qa/sswn	urn:cite2:hmt:lsj.chicago_md:n47913	a-s---fv-
θᾶσσον	qa=sson	θάσσων	qa/sswn	urn:cite2:hmt:lsj.chicago_md:n47913	a-s---nn-
θᾶσσον	qa=sson	θάσσων	qa/sswn	urn:cite2:hmt:lsj.chicago_md:n47913	a-s---nv-
θᾶσσον	qa=sson	θάσσων	qa/sswn	urn:cite2:hmt:lsj.chicago_md:n47913	a-s---na-
θᾶσσον	qa=sson	ταχύς	taxu/s	urn:cite2:hmt:lsj.chicago_md:n102736	a-s---mv-
θᾶσσον	qa=sson	ταχύς	taxu/s	urn:cite2:hmt:lsj.chicago_md:n102736	a-s---fv-
θᾶσσον	qa=sson	ταχύς	taxu/s	urn:cite2:hmt:lsj.chicago_md:n102736	a-s---nn-
θᾶσσον	qa=sson	ταχύς	taxu/s	urn:cite2:hmt:lsj.chicago_md:n102736	a-s---nv-
θᾶσσον	qa=sson	ταχύς	taxu/s	urn:cite2:hmt:lsj.chicago_md:n102736	a-s---na-
θῆραι	qh=rai	θήρα	qh/ra	urn:cite2:hmt:lsj.chicago_md:n48703	n-p---fn-
θῆραι	qh=rai	θήρα	qh/ra	urn:cite2:hmt:lsj.chicago_md:n48704	n-p---fn-
θῆραι	qh=rai	θήρα	qh/ra	urn:cite2:hmt:lsj.chicago_md:n48703	n-p---fv-
θῆραι	qh=rai	θήρα	qh/ra	urn:cite2:hmt:lsj.chicago_md:n48704	n-p---fv-
θῆρ’	qh=r'	θήρ	qh/r	urn:cite2:hmt:lsj.chicago_md:n48702	n-s---ma-
θῆρ’	qh=r'	θήρ	qh/r	urn:cite2:hmt:lsj.chicago_md:n48702	n-d---mn-
θῆρ’	qh=r'	θήρ	qh/r	urn:cite2:hmt:lsj.chicago_md:n48702	n-d---mv-
θῆρ’	qh=r'	θήρ	qh/r	urn:cite2:hmt:lsj.chicago_md:n48702	n-d---ma-
θῆρ’	qh=r'	θήρα	qh/ra	urn:cite2:hmt:lsj.chicago_md:n48703	n-p---fn-
θῆρ’	qh=r'	θήρα	qh/ra	urn:cite2:hmt:lsj.chicago_md:n48704	n-p---fn-
θῆρ’	qh=r'	θήρα	qh/ra	urn:cite2:hmt:lsj.chicago_md:n48703	n-p---fv-
θῆρ’	qh=r'	θήρα	qh/ra	urn:cite2:hmt:lsj.chicago_md:n48704	n-p---fv-
θῆρ’	qh=r'	θηρίον	qhri/on	urn:cite2:hmt:lsj.chicago_md:n48760	n-s---mv-
καθύβρισαν	kaqu/brisan	καθυβρίζω	kaqubri/zw	urn:cite2:hmt:lsj.chicago_md:n51895	v3paia---
καθύβρισαν	kaqu/brisan	καθυβρίζω	kaqubri/zw	urn:cite2:hmt:lsj.chicago_md:n51895	v3paia---
καθύβρισαν	kaqu/brisan	καθυβρίζω	kaqubri/zw	urn:cite2:hmt:lsj.chicago_md:n51895	v3paia---
καινόν	kaino/n	καινός	kaino/s	urn:cite2:hmt:lsj.chicago_md:n51989	a-s---ma-
καινόν	kaino/n	καινός	kaino/s	urn:cite2:hmt:lsj.chicago_md:n51989	a-s---nn-
καινόν	kaino/n	καινός	kaino/s	urn:cite2:hmt:lsj.chicago_md:n51989	a-s---nv-
καινόν	kaino/n	καινός	kaino/s	urn:cite2:hmt:lsj.chicago_md:n51989	a-s---na-
καιρόν	kairo/n	καιρός	kairo/s	urn:cite2:hmt:lsj.chicago_md:n52035	n-s---ma-
καιρός	kairo/s	καιρός	kairo/s	urn:cite2:hmt:lsj.chicago_md:n52035	n-s---mn-
καιρῷ	kairw=|	καιρός	kairo/s	urn:cite2:hmt:lsj.chicago_md:n52035	n-s---md-
κακογείτονα	kakogei/tona	κακογείτων	kakogei/twn	urn:cite2:hmt:lsj.chicago_md:n52135	n-p---nn-
κακογείτονα	kakogei/tona	κακογείτων	kakogei/twn	urn:cite2:hmt:lsj.chicago_md:n52135	n-p---nv-
κακογείτονα	kakogei/tona	κακογείτων	kakogei/twn	urn:cite2:hmt:lsj.chicago_md:n52135	n-p---na-
κακογείτονα	kakogei/tona	κακογείτων	kakogei/twn	urn:cite2:hmt:lsj.chicago_md:n52135	n-s---ma-
κακογείτονα	kakogei/tona	κακογείτων	kakogei/twn	urn:cite2:hmt:lsj.chicago_md:n52135	n-s---fa-
κακοί	kakoi/	κακός	kako/s	urn:cite2:hmt:lsj.chicago_md:n52332	a-p---mn-
κακοί	kakoi/	κακός	kako/s	urn:cite2:hmt:lsj.chicago_md:n52332	a-p---mv-
κακοί	kakoi/	κακόω	kako/w	urn:cite2:hmt:lsj.chicago_md:n52444	v2spse---
κακοί	kakoi/	κακόω	kako/w	urn:cite2:hmt:lsj.chicago_md:n52444	v2spie---
κακοί	kakoi/	κακόω	kako/w	urn:cite2:hmt:lsj.chicago_md:n52444	v3spsa---
κακούμενον	kakou/menon	κακόω	kako/w	urn:cite2:hmt:lsj.chicago_md:n52444	v-sppema-
κακούμενον	kakou/menon	κακόω	kako/w	urn:cite2:hmt:lsj.chicago_md:n52444	v-sppenn-
κακούμενον	kakou/menon	κακόω	kako/w	urn:cite2:hmt:lsj.chicago_md:n52444	v-sppenv-
κακούμενον	kakou/menon	κακόω	kako/w	urn:cite2:hmt:lsj.chicago_md:n52444	v-sppena-
κακούς	kakou/s	κακός	kako/s	urn:cite2:hmt:lsj.chicago_md:n52332	a-p---ma-
κακοῖς	kakoi=s	κακός	kako/s	urn:cite2:hmt:lsj.chicago_md:n52332	a-p---md-
κακοῖς	kakoi=s	κακός	kako/s	urn:cite2:hmt:lsj.chicago_md:n52332	a-p---nd-
κακοῖς	kakoi=s	κακόω	kako/w	urn:cite2:hmt:lsj.chicago_md:n52444	v2spoa---
κακοῖς	kakoi=s	κακόω	kako/w	urn:cite2:hmt:lsj.chicago_md:n52444	v2spsa---
κακοῖς	kakoi=s	κακόω	kako/w	urn:cite2:hmt:lsj.chicago_md:n52444	v2spia---
κακοῖσι	kakoi=si	κακός	kako/s	urn:cite2:hmt:lsj.chicago_md:n52332	a-p---md-
κακοῖσι	kakoi=si	κακός	kako/s	urn:cite2:hmt:lsj.chicago_md:n52332	a-p---nd-
κακοῖσι	kakoi=si	κακόω	kako/w	urn:cite2:hmt:lsj.chicago_md:n52444	v-pppamd-
κακοῖσι	kakoi=si	κακόω	kako/w	urn:cite2:hmt:lsj.chicago_md:n52444	v-pppand-
κακοῖσι	kakoi=si	κακόω	kako/w	urn:cite2:hmt:lsj.chicago_md:n52444	v3spsa---
κακοῖσι	kakoi=si	κακόω	kako/w	urn:cite2:hmt:lsj.chicago_md:n52444	v3ppia---
κακοῦ	kakou=	κακός	kako/s	urn:cite2:hmt:lsj.chicago_md:n52332	a-s---mg-
κακοῦ	kakou=	κακός	kako/s	urn:cite2:hmt:lsj.chicago_md:n52332	a-s---ng-
κακοῦ	kakou=	κακόω	kako/w	urn:cite2:hmt:lsj.chicago_md:n52444	v2spme---
κακοῦ	kakou=	κακόω	kako/w	urn:cite2:hmt:lsj.chicago_md:n52444	v2siie---
κακά	kaka/	κακός	kako/s	urn:cite2:hmt:lsj.chicago_md:n52332	a-p---nn-
κακά	kaka/	κακός	kako/s	urn:cite2:hmt:lsj.chicago_md:n52332	a-p---nv-
κακά	kaka/	κακός	kako/s	urn:cite2:hmt:lsj.chicago_md:n52332	a-p---na-
κακά	kaka/	κακός	kako/s	urn:cite2:hmt:lsj.chicago_md:n52332	a-d---fn-
κακά	kaka/	κακός	kako/s	urn:cite2:hmt:lsj.chicago_md:n52332	a-d---fv-
κακά	kaka/	κακός	kako/s	urn:cite2:hmt:lsj.chicago_md:n52332	a-d---fa-
κακά	kaka/	κακός	kako/s	urn:cite2:hmt:lsj.chicago_md:n52332	a-s---fn-
κακά	kaka/	κακός	kako/s	urn:cite2:hmt:lsj.chicago_md:n52332	a-s---fv-
κακή	kakh/	κακός	kako/s	urn:cite2:hmt:lsj.chicago_md:n52332	a-s---fn-
κακή	kakh/	κακός	kako/s	urn:cite2:hmt:lsj.chicago_md:n52332	a-s---fv-
κακίστου	kaki/stou	κακός	kako/s	urn:cite2:hmt:lsj.chicago_md:n52332	a-s---mg-
κακίστου	kaki/stou	κακός	kako/s	urn:cite2:hmt:lsj.chicago_md:n52332	a-s---ng-
κακόν	kako/n	κακός	kako/s	urn:cite2:hmt:lsj.chicago_md:n52332	a-s---ma-
κακόν	kako/n	κακός	kako/s	urn:cite2:hmt:lsj.chicago_md:n52332	a-s---nn-
κακόν	kako/n	κακός	kako/s	urn:cite2:hmt:lsj.chicago_md:n52332	a-s---nv-
κακόν	kako/n	κακός	kako/s	urn:cite2:hmt:lsj.chicago_md:n52332	a-s---na-
κακός	kako/s	κακός	kako/s	urn:cite2:hmt:lsj.chicago_md:n52332	a-s---mn-
κακῆς	kakh=s	κακός	kako/s	urn:cite2:hmt:lsj.chicago_md:n52332	a-s---fg-
κακῇ	kakh=|	κακός	kako/s	urn:cite2:hmt:lsj.chicago_md:n52332	a-s---fd-
κακῶν	kakw=n	κάκη	ka/kh	urn:cite2:hmt:lsj.chicago_md:n52083	n-p---fg-
κακῶν	kakw=n	κακός	kako/s	urn:cite2:hmt:lsj.chicago_md:n52332	a-p---fg-
κακῶν	kakw=n	κακός	kako/s	urn:cite2:hmt:lsj.chicago_md:n52332	a-p---mg-
κακῶν	kakw=n	κακός	kako/s	urn:cite2:hmt:lsj.chicago_md:n52332	a-p---ng-
κακῶν	kakw=n	κακόω	kako/w	urn:cite2:hmt:lsj.chicago_md:n52444	v-sppamv-
κακῶν	kakw=n	κακόω	kako/w	urn:cite2:hmt:lsj.chicago_md:n52444	v-sppann-
κακῶν	kakw=n	κακόω	kako/w	urn:cite2:hmt:lsj.chicago_md:n52444	v-sppanv-
κακῶν	kakw=n	κακόω	kako/w	urn:cite2:hmt:lsj.chicago_md:n52444	v-sppana-
κακῶν	kakw=n	κακόω	kako/w	urn:cite2:hmt:lsj.chicago_md:n52444	v-sppamn-
κακῶν	kakw=n	κακόω	kako/w	urn:cite2:hmt:lsj.chicago_md:n52444	v--pna---
κακῶς	kakw=s	κακός	kako/s	urn:cite2:hmt:lsj.chicago_md:n52332	x--------
κακῶς	kakw=s	κακόω	kako/w	urn:cite2:hmt:lsj.chicago_md:n52444	v2spia---
κακῷ	kakw=|	κακός	kako/s	urn:cite2:hmt:lsj.chicago_md:n52332	a-s---md-
κακῷ	kakw=|	κακός	kako/s	urn:cite2:hmt:lsj.chicago_md:n52332	a-s---nd-
καλεῖ	kalei=	καλέω	kale/w	urn:cite2:hmt:lsj.chicago_md:n52571	v2sfim---
καλεῖ	kalei=	καλέω	kale/w	urn:cite2:hmt:lsj.chicago_md:n52571	v3sfia---
καλεῖ	kalei=	καλέω	kale/w	urn:cite2:hmt:lsj.chicago_md:n52571	v2spie---
καλεῖ	kalei=	καλέω	kale/w	urn:cite2:hmt:lsj.chicago_md:n52571	v3spia---
καλεῖς	kalei=s	καλέω	kale/w	urn:cite2:hmt:lsj.chicago_md:n52571	v2sfia---
καλεῖς	kalei=s	καλέω	kale/w	urn:cite2:hmt:lsj.chicago_md:n52571	v2spia---
καλεῖσθαι	kalei=sqai	καλέω	kale/w	urn:cite2:hmt:lsj.chicago_md:n52571	v--fnm---
καλεῖσθαι	kalei=sqai	καλέω	kale/w	urn:cite2:hmt:lsj.chicago_md:n52571	v--pne---
καλούμενος	kalou/menos	καλέω	kale/w	urn:cite2:hmt:lsj.chicago_md:n52571	v-sfpmmn-
καλούμενος	kalou/menos	καλέω	kale/w	urn:cite2:hmt:lsj.chicago_md:n52571	v-sppemn-
καλέσω	kale/sw	καλέω	kale/w	urn:cite2:hmt:lsj.chicago_md:n52571	v1sasa---
καλέσω	kale/sw	καλέω	kale/w	urn:cite2:hmt:lsj.chicago_md:n52571	v1sfia---
καλέσω	kale/sw	καλέω	kale/w	urn:cite2:hmt:lsj.chicago_md:n52571	v2saim---
καλή	kalh/	καλός	kalo/s	urn:cite2:hmt:lsj.chicago_md:n52840	a-s---fn-
καλή	kalh/	καλός	kalo/s	urn:cite2:hmt:lsj.chicago_md:n52840	a-s---fv-
καλήν	kalh/n	καλός	kalo/s	urn:cite2:hmt:lsj.chicago_md:n52840	a-s---fa-
καλόν	kalo/n	καλός	kalo/s	urn:cite2:hmt:lsj.chicago_md:n52840	a-s---ma-
καλόν	kalo/n	καλός	kalo/s	urn:cite2:hmt:lsj.chicago_md:n52840	a-s---nn-
καλόν	kalo/n	καλός	kalo/s	urn:cite2:hmt:lsj.chicago_md:n52840	a-s---nv-
καλόν	kalo/n	καλός	kalo/s	urn:cite2:hmt:lsj.chicago_md:n52840	a-s---na-
καλός	kalo/s	καλός	kalo/s	urn:cite2:hmt:lsj.chicago_md:n52840	a-s---mn-
καλῶ	kalw=	καλέω	kale/w	urn:cite2:hmt:lsj.chicago_md:n52571	v1sfia---
καλῶ	kalw=	καλέω	kale/w	urn:cite2:hmt:lsj.chicago_md:n52571	v1spsa---
καλῶ	kalw=	καλέω	kale/w	urn:cite2:hmt:lsj.chicago_md:n52571	v1spia---
καλῶ	kalw=	καλός	kalo/s	urn:cite2:hmt:lsj.chicago_md:n52840	a-s---mg-
καλῶ	kalw=	καλός	kalo/s	urn:cite2:hmt:lsj.chicago_md:n52840	a-s---ng-
καλῶμεν	kalw=men	καλέω	kale/w	urn:cite2:hmt:lsj.chicago_md:n52571	v1ppsa---
καλῶν	kalw=n	κάλη	ka/lh	urn:cite2:hmt:lsj.chicago_md:n52572	n-p---fg-
καλῶν	kalw=n	καλέω	kale/w	urn:cite2:hmt:lsj.chicago_md:n52571	v-sfpamn-
καλῶν	kalw=n	καλέω	kale/w	urn:cite2:hmt:lsj.chicago_md:n52571	v-sppamn-
καλῶν	kalw=n	καλός	kalo/s	urn:cite2:hmt:lsj.chicago_md:n52840	a-p---fg-
καλῶν	kalw=n	καλός	kalo/s	urn:cite2:hmt:lsj.chicago_md:n52840	a-p---mg-
καλῶν	kalw=n	καλός	kalo/s	urn:cite2:hmt:lsj.chicago_md:n52840	a-p---ng-
καλῶν	kalw=n	κήλη	kh/lh	urn:cite2:hmt:lsj.chicago_md:n57096	n-p---fg-
καλῶς	kalw=s	καλός	kalo/s	urn:cite2:hmt:lsj.chicago_md:n52840	x--------
καπνοῦ	kapnou=	καπνόομαι	kapno/omai	urn:cite2:hmt:lsj.chicago_md:n53193	v2spme---
καπνοῦ	kapnou=	καπνόομαι	kapno/omai	urn:cite2:hmt:lsj.chicago_md:n53193	v2siie---
καπνοῦ	kapnou=	καπνός	kapno/s	urn:cite2:hmt:lsj.chicago_md:n53196	n-s---mg-
καρτερεῖν	karterei=n	καρτερέω	kartere/w	urn:cite2:hmt:lsj.chicago_md:n53485	v--pna---
καταισχύνει	kataisxu/nei	καταισχύνω	kataisxu/nw	urn:cite2:hmt:lsj.chicago_md:n54075	v2spie---
καταισχύνει	kataisxu/nei	καταισχύνω	kataisxu/nw	urn:cite2:hmt:lsj.chicago_md:n54075	v3spia---
καταισχύνει	kataisxu/nei	καταισχύνω	kataisxu/nw	urn:cite2:hmt:lsj.chicago_md:n54075	v3sasa---
καταισχύνει	kataisxu/nei	καταισχύνω	kataisxu/nw	urn:cite2:hmt:lsj.chicago_md:n54075	v3sasa---
καταισχύνει	kataisxu/nei	καταισχύνω	kataisxu/nw	urn:cite2:hmt:lsj.chicago_md:n54075	v2spie---
καταισχύνει	kataisxu/nei	καταισχύνω	kataisxu/nw	urn:cite2:hmt:lsj.chicago_md:n54075	v3spia---
καταλγήσας	katalgh/sas	καταλγέω	katalge/w	urn:cite2:hmt:lsj.chicago_md:n54352	v-sapamn-
καταλγήσας	katalgh/sas	καταλγέω	katalge/w	urn:cite2:hmt:lsj.chicago_md:n54352	v-sapamv-
καταλγήσας	katalgh/sas	καταλγέω	katalge/w	urn:cite2:hmt:lsj.chicago_md:n54352	v-sapamn-
καταλγήσας	katalgh/sas	καταλγέω	katalge/w	urn:cite2:hmt:lsj.chicago_md:n54352	v-sapamv-
καταλίπῃς	katali/ph|s	καταλιμπάνω	katalimpa/nw	urn:cite2:hmt:lsj.chicago_md:n54399	v2sasa---
καταρρῶγες	katarrw=ges	καταρρώξ	katarrw/c	urn:cite2:hmt:lsj.chicago_md:n55068	n-p---mn-
καταρρῶγες	katarrw=ges	καταρρώξ	katarrw/c	urn:cite2:hmt:lsj.chicago_md:n55068	n-p---mv-
καταρρῶγες	katarrw=ges	καταρρώξ	katarrw/c	urn:cite2:hmt:lsj.chicago_md:n55068	n-p---fn-
καταρρῶγες	katarrw=ges	καταρρώξ	katarrw/c	urn:cite2:hmt:lsj.chicago_md:n55068	n-p---fv-
κατασκοπήν	kataskoph/n	κατασκοπή	kataskoph/	urn:cite2:hmt:lsj.chicago_md:n55174	n-s---fa-
κατασκάψαι	kataska/yai	κατασκάπτω	kataska/ptw	urn:cite2:hmt:lsj.chicago_md:n55120	v--ana---
κατασκάψαι	kataska/yai	κατασκάπτω	kataska/ptw	urn:cite2:hmt:lsj.chicago_md:n55120	v3saoa---
καταστάζει	katasta/zei	καταστάζω	katasta/zw	urn:cite2:hmt:lsj.chicago_md:n55231	v2spie---
καταστάζει	katasta/zei	καταστάζω	katasta/zw	urn:cite2:hmt:lsj.chicago_md:n55231	v3spia---
καταστάζει	katasta/zei	καταστάζω	katasta/zw	urn:cite2:hmt:lsj.chicago_md:n55231	v2spie---
καταστάζει	katasta/zei	καταστάζω	katasta/zw	urn:cite2:hmt:lsj.chicago_md:n55231	v3spia---
καταστάζοντα	katasta/zonta	καταστάζω	katasta/zw	urn:cite2:hmt:lsj.chicago_md:n55231	v-pppann-
καταστάζοντα	katasta/zonta	καταστάζω	katasta/zw	urn:cite2:hmt:lsj.chicago_md:n55231	v-pppanv-
καταστάζοντα	katasta/zonta	καταστάζω	katasta/zw	urn:cite2:hmt:lsj.chicago_md:n55231	v-pppana-
καταστάζοντα	katasta/zonta	καταστάζω	katasta/zw	urn:cite2:hmt:lsj.chicago_md:n55231	v-sppama-
καταστάζοντα	katasta/zonta	καταστάζω	katasta/zw	urn:cite2:hmt:lsj.chicago_md:n55231	v-pppann-
καταστάζοντα	katasta/zonta	καταστάζω	katasta/zw	urn:cite2:hmt:lsj.chicago_md:n55231	v-pppanv-
καταστάζοντα	katasta/zonta	καταστάζω	katasta/zw	urn:cite2:hmt:lsj.chicago_md:n55231	v-pppana-
καταστάζοντα	katasta/zonta	καταστάζω	katasta/zw	urn:cite2:hmt:lsj.chicago_md:n55231	v-sppama-
κατασχολάζειν	katasxola/zein	κατασχολάζω	katasxola/zw	urn:cite2:hmt:lsj.chicago_md:n55366	v--pna---
κατασχολάζειν	katasxola/zein	κατασχολάζω	katasxola/zw	urn:cite2:hmt:lsj.chicago_md:n55366	v--pna---
καταυλισθείς	kataulisqei/s	καταυλίζομαι	katauli/zomai	urn:cite2:hmt:lsj.chicago_md:n55470	v-sapemn-
καταυλισθείς	kataulisqei/s	καταυλίζομαι	katauli/zomai	urn:cite2:hmt:lsj.chicago_md:n55470	v-sapemv-
καταυλισθείς	kataulisqei/s	καταυλίζομαι	katauli/zomai	urn:cite2:hmt:lsj.chicago_md:n55470	v-sappmn-
καταυλισθείς	kataulisqei/s	καταυλίζομαι	katauli/zomai	urn:cite2:hmt:lsj.chicago_md:n55470	v-sappmv-
καταφθίνοντα	katafqi/nonta	καταφθίνω	katafqi/nw	urn:cite2:hmt:lsj.chicago_md:n55510	v-pppann-
καταφθίνοντα	katafqi/nonta	καταφθίνω	katafqi/nw	urn:cite2:hmt:lsj.chicago_md:n55510	v-pppanv-
καταφθίνοντα	katafqi/nonta	καταφθίνω	katafqi/nw	urn:cite2:hmt:lsj.chicago_md:n55510	v-pppana-
καταφθίνοντα	katafqi/nonta	καταφθίνω	katafqi/nw	urn:cite2:hmt:lsj.chicago_md:n55510	v-sppama-
κατερητύσων	katerhtu/swn	κατερητύω	katerhtu/w	urn:cite2:hmt:lsj.chicago_md:n55835	v-sfpamn-
κατευνάσειεν	kateuna/seien	κατευνάω	kateuna/w	urn:cite2:hmt:lsj.chicago_md:n55878	v3saoa---
κατευνάσειεν	kateuna/seien	κατευνάω	kateuna/w	urn:cite2:hmt:lsj.chicago_md:n55878	v3saoa---
κατευνάσειεν	kateuna/seien	κατευνάζω	kateuna/zw	urn:cite2:hmt:lsj.chicago_md:n55872	v3saoa---
κατευνάσειεν	kateuna/seien	κατευνάζω	kateuna/zw	urn:cite2:hmt:lsj.chicago_md:n55872	v3saoa---
κατεῖχ’	katei=x'	καθίημι	kaqi/hmi	urn:cite2:hmt:lsj.chicago_md:n51826	v1sria---
κατεῖχ’	katei=x'	καθίημι	kaqi/hmi	urn:cite2:hmt:lsj.chicago_md:n51826	v2srma---
κατεῖχ’	katei=x'	καθίημι	kaqi/hmi	urn:cite2:hmt:lsj.chicago_md:n51826	v3sria---
κατεῖχ’	katei=x'	κατέχω	kate/xw	urn:cite2:hmt:lsj.chicago_md:n55905	v3siia---
κατηγόμην	kathgo/mhn	κατάγω	kata/gw	urn:cite2:hmt:lsj.chicago_md:n53838	v1siie---
κατηξίωσας	kathci/wsas	καταξιόω	katacio/w	urn:cite2:hmt:lsj.chicago_md:n54682	v2saia---
