Αἰσχύνης	*ai)sxu/nhs	αἰσχύνη	ai)sxu/nh	n-s---fg-
δυστυχῆ	dustuxh=	δυστυχής	dustuxh/s	n-d---fn-
δυστυχῆ	dustuxh=	δυστυχής	dustuxh/s	n-d---fv-
δυστυχῆ	dustuxh=	δυστυχής	dustuxh/s	n-d---fa-
δυστυχῆ	dustuxh=	δυστυχής	dustuxh/s	n-d---nn-
δυστυχῆ	dustuxh=	δυστυχής	dustuxh/s	n-d---nv-
δυστυχῆ	dustuxh=	δυστυχής	dustuxh/s	n-d---na-
δυστυχῆ	dustuxh=	δυστυχής	dustuxh/s	n-s---ma-
δυστυχῆ	dustuxh=	δυστυχής	dustuxh/s	n-s---fa-
δυστήνου	dusth/nou	δύστηνος	du/sthnos	n-s---mg-
δυστήνου	dusth/nou	δύστηνος	du/sthnos	n-s---fg-
δυστήνου	dusth/nou	δύστηνος	du/sthnos	n-s---ng-
δυστόνων	dusto/nwn	δύστονος	du/stonos	n-p---mg-
δυστόνων	dusto/nwn	δύστονος	du/stonos	n-p---fg-
δυστόνων	dusto/nwn	δύστονος	du/stonos	n-p---ng-
δυσφορώτερος	dusforw/teros	δύσφορος	du/sforos	n-s---mn-
δυσφορῶν	dusforw=n	δυσφορέω	dusfore/w	v-sppamn-
δωμάτων	dwma/twn	δῶμα	dw=ma	n-p---ng-
δωμάτων	dwma/twn	δωμάω	dwma/w	v3ppma---
δωμάτων	dwma/twn	δωμάω	dwma/w	v3dpma---
δωμάτων	dwma/twn	δωματόω	dwmato/w	v3piia---
δωμάτων	dwma/twn	δωματόω	dwmato/w	v1siia---
δάκνουσ’	da/knous'	δάκνω	da/knw	v-sppafn-
δάκνουσ’	da/knous'	δάκνω	da/knw	v-sppafv-
δάκνουσ’	da/knous'	δάκνω	da/knw	v-pppamd-
δάκνουσ’	da/knous'	δάκνω	da/knw	v-pppand-
δάκνουσ’	da/knous'	δάκνω	da/knw	v3ppia---
δάκνουσ’	da/knous'	δάκνω	da/knw	v-pppafn-
δάκνουσ’	da/knous'	δάκνω	da/knw	v-pppafv-
δάκους	da/kous	δάκος	da/kos	n-s---ng-
δάκρυ	da/kru	δάκρυον	da/kruon	n-s---nn-
δάκρυ	da/kru	δάκρυον	da/kruon	n-s---nv-
δάκρυ	da/kru	δάκρυον	da/kruon	n-s---na-
δέ	de/	δέ	de/	g--------
δέδοικα	de/doika	δείδω	dei/dw	v1sria---
δέδοικ’	de/doik'	δείδω	dei/dw	v1sria---
δέδοικ’	de/doik'	δείδω	dei/dw	v2srma---
δέδοικ’	de/doik'	δείδω	dei/dw	v3sria---
δέδορκα	de/dorka	δέρκομαι	de/rkomai	v1sria---
δέμας	de/mas	δέμας	de/mas	n-s---ng-
δέμας	de/mas	δέμας	de/mas	n-s---nn-
δέμας	de/mas	δέμας	de/mas	n-s---nv-
δέμας	de/mas	δέμας	de/mas	n-s---na-
δέχωνται	de/xwntai	δέχομαι	de/xomai	v3ppse---
δή	dh/	δή	dh/	g--------
δήμου	dh/mou	δῆμος	dh=mos	n-s---mg-
δίδου	di/dou	δίδημι	di/dhmi	v2spme---
δίδου	di/dou	δίδωμι	di/dwmi	v2spma---
δίδου	di/dou	δίδωμι	di/dwmi	v3siia---
δίδου	di/dou	δίδωμι	di/dwmi	v3siia---
δίδυμα	di/duma	δίδυμος	di/dumos	a-p---nn-
δίδυμα	di/duma	δίδυμος	di/dumos	a-p---nv-
δίδυμα	di/duma	δίδυμος	di/dumos	a-p---na-
δίδυμα	di/duma	δίδυμος	di/dumos	n-p---nn-
δίδυμα	di/duma	δίδυμος	di/dumos	n-p---nv-
δίδυμα	di/duma	δίδυμος	di/dumos	n-p---na-
δίκαια	di/kaia	δίκαιος	di/kaios	a-p---nn-
δίκαια	di/kaia	δίκαιος	di/kaios	a-p---nv-
δίκαια	di/kaia	δίκαιος	di/kaios	a-p---na-
δίκαια	di/kaia	δίκαιος	di/kaios	n-p---nn-
δίκαια	di/kaia	δίκαιος	di/kaios	n-p---nv-
δίκαια	di/kaia	δίκαιος	di/kaios	n-p---na-
δίκαιον	di/kaion	δίκαιος	di/kaios	a-s---ma-
δίκαιον	di/kaion	δίκαιος	di/kaios	a-s---nn-
δίκαιον	di/kaion	δίκαιος	di/kaios	a-s---nv-
δίκαιον	di/kaion	δίκαιος	di/kaios	a-s---na-
δίκαιον	di/kaion	δίκαιος	di/kaios	n-s---ma-
δίκαιον	di/kaion	δίκαιος	di/kaios	n-s---fa-
δίκαιον	di/kaion	δίκαιος	di/kaios	n-s---nn-
δίκαιον	di/kaion	δίκαιος	di/kaios	n-s---nv-
δίκαιον	di/kaion	δίκαιος	di/kaios	n-s---na-
δίκαιος	di/kaios	δίκαιος	di/kaios	a-s---mn-
δίκαιος	di/kaios	δίκαιος	di/kaios	n-s---mn-
δίκαιος	di/kaios	δίκαιος	di/kaios	n-s---fn-
δίκαν	di/kan	δίκη	di/kh	n-s---fa-
δίκη	di/kh	δίκη	di/kh	n-s---fn-
δίκη	di/kh	δίκη	di/kh	n-s---fv-
δίκῃ	di/kh|	δίκη	di/kh	n-s---fd-
δίκῃ	di/kh|	δικεῖν	dikei=n	v2sase---
δίκῃ	di/kh|	δικεῖν	dikei=n	v3sasa---
δίμοιρα	di/moira	δίμοιρος	di/moiros	n-p---nn-
δίμοιρα	di/moira	δίμοιρος	di/moiros	n-p---nv-
δίμοιρα	di/moira	δίμοιρος	di/moiros	n-p---na-
δίς	di/s	δίς	di/s	d--------
δίυγρα	di/ugra	δίυγρος	di/ugros	n-p---nn-
δίυγρα	di/ugra	δίυγρος	di/ugros	n-p---nv-
δίυγρα	di/ugra	δίυγρος	di/ugros	n-p---na-
δίχα	di/xa	δίχα	di/xa	d--------
δίχα	di/xa	διχάω	dixa/w	v2spma---
δίχα	di/xa	διχάω	dixa/w	v3siia---
δόλος	do/los	δόλος	do/los	n-s---mn-
δόλῳ	do/lw|	δόλος	do/los	n-s---md-
δόμοις	do/mois	δόμος	do/mos	n-p---md-
δόμοισι	do/moisi	δόμος	do/mos	n-p---md-
δόμον	do/mon	δόμος	do/mos	n-s---ma-
δόμους	do/mous	δόμος	do/mos	n-p---ma-
δόμους	do/mous	δομόω	domo/w	v2siia---
δόμων	do/mwn	δόμος	do/mos	n-p---mg-
δόμων	do/mwn	δομάω	doma/w	v3piia---
δόμων	do/mwn	δομάω	doma/w	v1siia---
δόξαντ’	do/cant'	δοκέω	doke/w	v-papann-
δόξαντ’	do/cant'	δοκέω	doke/w	v-papanv-
δόξαντ’	do/cant'	δοκέω	doke/w	v-papana-
δόξαντ’	do/cant'	δοκέω	doke/w	v-sapama-
δόξαντ’	do/cant'	δοκέω	doke/w	v-sapamd-
δόξαντ’	do/cant'	δοκέω	doke/w	v-sapand-
δόξαντ’	do/cant'	δοκέω	doke/w	v-dapamn-
δόξαντ’	do/cant'	δοκέω	doke/w	v-dapamv-
δόξαντ’	do/cant'	δοκέω	doke/w	v-dapama-
δόξαντ’	do/cant'	δοκέω	doke/w	v-dapann-
δόξαντ’	do/cant'	δοκέω	doke/w	v-dapanv-
δόξαντ’	do/cant'	δοκέω	doke/w	v-dapana-
δόξαντ’	do/cant'	δοκέω	doke/w	v3paim---
δόξῃ	do/ch|	δόξα	do/ca	n-s---fd-
δόξῃ	do/ch|	δόξις	do/cis	n-s---fd-
δόξῃ	do/ch|	δοκέω	doke/w	v2sasm---
δόξῃ	do/ch|	δοκέω	doke/w	v3sasa---
δόξῃ	do/ch|	δοκέω	doke/w	v2sfim---
δόρυ	do/ru	δόρυ	do/ru	n-s---nn-
δόρυ	do/ru	δόρυ	do/ru	n-s---nv-
δόρυ	do/ru	δόρυ	do/ru	n-s---na-
δόσις	do/sis	δόσις	do/sis	n-p---fa-
δόσις	do/sis	δόσις	do/sis	n-s---fn-
δύας	du/as	δύη	du/h	n-p---fa-
δύας	du/as	δύη	du/h	n-s---fg-
δύας	du/as	δυάω	dua/w	v2siia---
δύο	du/o	δύο	du/o	m--------
δύσορνις	du/sornis	δύσορνις	du/sornis	n-s---mn-
δύσορνις	du/sornis	δύσορνις	du/sornis	n-s---fn-
δύσποτμον	du/spotmon	δύσποτμος	du/spotmos	n-s---ma-
δύσποτμον	du/spotmon	δύσποτμος	du/spotmos	n-s---fa-
δύσποτμον	du/spotmon	δύσποτμος	du/spotmos	n-s---nn-
δύσποτμον	du/spotmon	δύσποτμος	du/spotmos	n-s---nv-
δύσποτμον	du/spotmon	δύσποτμος	du/spotmos	n-s---na-
δύστονα	du/stona	δύστονος	du/stonos	n-p---nn-
δύστονα	du/stona	δύστονος	du/stonos	n-p---nv-
δύστονα	du/stona	δύστονος	du/stonos	n-p---na-
δύσφρονες	du/sfrones	δύσφρων	du/sfrwn	n-p---mn-
δύσφρονες	du/sfrones	δύσφρων	du/sfrwn	n-p---mv-
δύσφρονες	du/sfrones	δύσφρων	du/sfrwn	n-p---fn-
δύσφρονες	du/sfrones	δύσφρων	du/sfrwn	n-p---fv-
δύσχιμον	du/sximon	δύσχιμος	du/sximos	n-s---ma-
δύσχιμον	du/sximon	δύσχιμος	du/sximos	n-s---fa-
δύσχιμον	du/sximon	δύσχιμος	du/sximos	n-s---nn-
δύσχιμον	du/sximon	δύσχιμος	du/sximos	n-s---nv-
δύσχιμον	du/sximon	δύσχιμος	du/sximos	n-s---na-
δώμασι	dw/masi	δῶμα	dw=ma	n-p---nd-
δᾶν	da=n	δᾶ	da=	x--------
δῃάλωτον	dh|a/lwton	δηιάλωτος	dhia/lwtos	n-s---ma-
δῃάλωτον	dh|a/lwton	δηιάλωτος	dhia/lwtos	n-s---fa-
δῃάλωτον	dh|a/lwton	δηιάλωτος	dhia/lwtos	n-s---nn-
δῃάλωτον	dh|a/lwton	δηιάλωτος	dhia/lwtos	n-s---nv-
δῃάλωτον	dh|a/lwton	δηιάλωτος	dhia/lwtos	n-s---na-
δῃάλωτον	dh|a/lwton	δηιάλωτος	dhia/lwtos	n-s---ma-
δῃάλωτον	dh|a/lwton	δηιάλωτος	dhia/lwtos	n-s---fa-
δῃάλωτον	dh|a/lwton	δηιάλωτος	dhia/lwtos	n-s---nn-
δῃάλωτον	dh|a/lwton	δηιάλωτος	dhia/lwtos	n-s---nv-
δῃάλωτον	dh|a/lwton	δηιάλωτος	dhia/lwtos	n-s---na-
δῃάλωτον	dh|a/lwton	δῃάλωτος	dh|a/lwtos	n-s---ma-
δῃάλωτον	dh|a/lwton	δῃάλωτος	dh|a/lwtos	n-s---fa-
δῃάλωτον	dh|a/lwton	δῃάλωτος	dh|a/lwtos	n-s---nn-
δῃάλωτον	dh|a/lwton	δῃάλωτος	dh|a/lwtos	n-s---nv-
δῃάλωτον	dh|a/lwton	δῃάλωτος	dh|a/lwtos	n-s---na-
δῆμος	dh=mos	δῆμος	dh=mos	n-s---mn-
δῆτα	dh=ta	δῆτα	dh=ta	d--------
δῶμα	dw=ma	δῶμα	dw=ma	n-s---nn-
δῶμα	dw=ma	δῶμα	dw=ma	n-s---nv-
δῶμα	dw=ma	δῶμα	dw=ma	n-s---na-
δῶρόν	dw=ro/n	δῶρον	dw=ron	n-s---nn-
δῶρόν	dw=ro/n	δῶρον	dw=ron	n-s---nv-
δῶρόν	dw=ro/n	δῶρον	dw=ron	n-s---na-
εἰ	ei)	εἰ	ei)	c--------
εἰδώς	ei)dw/s	εἰδοί	ei)doi/	n-p---ma-
εἰδώς	ei)dw/s	οἶδα	oi)=da	v-srpamn-
εἰδώς	ei)dw/s	οἶδα	oi)=da	v-srpamv-
εἰκάσαι	ei)ka/sai	εἰκάζω	ei)ka/zw	v-sfpafd-
εἰκάσαι	ei)ka/sai	εἰκάζω	ei)ka/zw	v--ana---
εἰκάσαι	ei)ka/sai	εἰκάζω	ei)ka/zw	v3saoa---
εἰκός	ei)ko/s	ἔοικα	e)/oika	v-srpann-
εἰκός	ei)ko/s	ἔοικα	e)/oika	v-srpanv-
εἰκός	ei)ko/s	ἔοικα	e)/oika	v-srpana-
εἰκός	ei)ko/s	εἰκός	ei)ko/s	v-srpann-
εἰκός	ei)ko/s	εἰκός	ei)ko/s	v-srpanv-
εἰκός	ei)ko/s	εἰκός	ei)ko/s	v-srpana-
εἰκώ	ei)kw/	εἰκών	ei)kw/n	n-s---fn-
εἰληχότα	ei)lhxo/ta	λαγχάνω	lagxa/nw	v-prpann-
εἰληχότα	ei)lhxo/ta	λαγχάνω	lagxa/nw	v-prpanv-
εἰληχότα	ei)lhxo/ta	λαγχάνω	lagxa/nw	v-prpana-
εἰληχότα	ei)lhxo/ta	λαγχάνω	lagxa/nw	v-srpama-
εἰμί	ei)mi/	εἰμί	ei)mi/	v1spia---
εἰπεῖν	ei)pei=n	εἶπον	ei)=pon	v--ana---
εἰπόντος	ei)po/ntos	εἶπον	ei)=pon	v-sapamg-
εἰπόντος	ei)po/ntos	εἶπον	ei)=pon	v-sapang-
εἰς	ei)s	εἰς	ei)s	r--------
εἰσαμεῖψαι	ei)samei=yai	εἰσαμείβω	ei)samei/bw	v--ana---
εἰσόμεσθα	ei)so/mesqa	εἶμι	ei)=mi	v1pfim---
εἰσόμεσθα	ei)so/mesqa	οἶδα	oi)=da	v1pfim---
εἴ	ei)/	εἰ	ei)	c--------
εἴη	ei)/h	ἐάω	e)a/w	v3siia---
εἴη	ei)/h	ἐάω	e)a/w	v2spma---
εἴη	ei)/h	ἐάω	e)a/w	v3siia---
εἴη	ei)/h	ἐάω	e)a/w	v3siia---
εἴη	ei)/h	εἰμί	ei)mi/	v3spoa---
εἴην	ei)/hn	εἰμί	ei)mi/	v1spoa---
εἴθε	ei)/qe	εἴθε	ei)/qe	x--------
εἴκασμα	ei)/kasma	εἴκασμα	ei)/kasma	n-s---nn-
εἴκασμα	ei)/kasma	εἴκασμα	ei)/kasma	n-s---nv-
εἴκασμα	ei)/kasma	εἴκασμα	ei)/kasma	n-s---na-
εἴληχεν	ei)/lhxen	λαγχάνω	lagxa/nw	v3plia---
εἴληχεν	ei)/lhxen	λαγχάνω	lagxa/nw	v3sria---
εἴμι	ei)/mi	εἰμί	ei)mi/	v1spia---
εἴπερ	ei)/per	εἴπερ	ei)/per	c--------
εἴποι	ei)/poi	εἶπον	ei)=pon	v3saoa---
εἴργειν	ei)/rgein	ἔργω1	e)/rgw1	v--pna---
εἴρξει	ei)/rcei	ἔργω1	e)/rgw1	v3sasa---
εἴρξει	ei)/rcei	ἔργω1	e)/rgw1	v2sfim---
εἴρξει	ei)/rcei	ἔργω1	e)/rgw1	v3sfia---
εἴρξει	ei)/rcei	εἶρξις	ei)=rcis	n-d---fn-
εἴρξει	ei)/rcei	εἶρξις	ei)=rcis	n-d---fv-
εἴρξει	ei)/rcei	εἶρξις	ei)=rcis	n-d---fa-
εἴρξει	ei)/rcei	εἶρξις	ei)=rcis	n-s---fd-
εἴρξει	ei)/rcei	εἶρξις	ei)=rcis	n-s---fd-
εἴσομαι	ei)/somai	εἶμι	ei)=mi	v1sfim---
εἴσομαι	ei)/somai	οἶδα	oi)=da	v1sfim---
εἴσω	ei)/sw	εἴδομαι	ei)/domai	v1sasa---
εἴσω	ei)/sw	εἴσω	ei)/sw	d--------
εἴσ’	ei)/s'	εἰμί	ei)mi/	v3ppia---
εἵλετ’	ei(/let'	αἱρέω	ai(re/w	v3saim---
εἵλετ’	ei(/let'	αἱρέω	ai(re/w	v2paia---
εἶ	ei)=	εἰ	ei)	c--------
εἶ	ei)=	εἶμι	ei)=mi	v2spia---
εἶ	ei)=	εἰμί	ei)mi/	v2spia---
εἶδε	ei)=de	εἶδον	ei)=don	v3saia---
εἶδος	ei)=dos	εἶδος	ei)=dos	n-s---nn-
εἶδος	ei)=dos	εἶδος	ei)=dos	n-s---nv-
εἶδος	ei)=dos	εἶδος	ei)=dos	n-s---na-
εἶμι	ei)=mi	εἶμι	ei)=mi	v1spia---
εἶναι	ei)=nai	εἰμί	ei)mi/	v--pna---
εἶναί	ei)=nai/	εἰμί	ei)mi/	v--pna---
εἶπας	ei)=pas	εἶπον	ei)=pon	v2saia---
εἶπας	ei)=pas	εἶπον	ei)=pon	v2saia---
εἶσι	ei)=si	εἶμι	ei)=mi	v3spia---
εἶσιν	ei)=sin	εἴσειμι	ei)/seimi	v3piia---
εἶσιν	ei)=sin	εἶμι	ei)=mi	v3spia---
εἷς	ei(=s	εἷς	ei(=s	n-s---mn-
εὐγενῆ	eu)genh=	εὐγενής	eu)genh/s	n-p---nn-
εὐγενῆ	eu)genh=	εὐγενής	eu)genh/s	n-p---nv-
εὐγενῆ	eu)genh=	εὐγενής	eu)genh/s	n-p---na-
εὐγενῆ	eu)genh=	εὐγενής	eu)genh/s	n-d---mn-
εὐγενῆ	eu)genh=	εὐγενής	eu)genh/s	n-d---mv-
εὐγενῆ	eu)genh=	εὐγενής	eu)genh/s	n-d---ma-
εὐγενῆ	eu)genh=	εὐγενής	eu)genh/s	n-d---fn-
εὐγενῆ	eu)genh=	εὐγενής	eu)genh/s	n-d---fv-
εὐγενῆ	eu)genh=	εὐγενής	eu)genh/s	n-d---fa-
εὐγενῆ	eu)genh=	εὐγενής	eu)genh/s	n-d---nn-
εὐγενῆ	eu)genh=	εὐγενής	eu)genh/s	n-d---nv-
εὐγενῆ	eu)genh=	εὐγενής	eu)genh/s	n-d---na-
εὐγενῆ	eu)genh=	εὐγενής	eu)genh/s	n-s---ma-
εὐγενῆ	eu)genh=	εὐγενής	eu)genh/s	n-s---fa-
εὐγμάτων	eu)gma/twn	εὖγμα	eu)=gma	n-p---ng-
εὐγμάτων	eu)gma/twn	εὐγμα	eu)gma	n-p---ng-
εὐδίᾳ	eu)di/a|	εὐδία	eu)di/a	n-p---fn-
εὐδίᾳ	eu)di/a|	εὐδία	eu)di/a	n-p---fv-
εὐδίᾳ	eu)di/a|	εὐδία	eu)di/a	n-s---fd-
εὐεστοῖ	eu)estoi=	εὐεστώ	eu)estw/	n-s---fd-
εὐκλείαν	eu)klei/an	εὔκλεια	eu)/kleia	n-s---fa-
εὐκταία	eu)ktai/a	εὐκταῖος	eu)ktai=os	a-d---fn-
εὐκταία	eu)ktai/a	εὐκταῖος	eu)ktai=os	a-d---fv-
εὐκταία	eu)ktai/a	εὐκταῖος	eu)ktai=os	a-d---fa-
εὐκταία	eu)ktai/a	εὐκταῖος	eu)ktai=os	a-s---fn-
εὐκταία	eu)ktai/a	εὐκταῖος	eu)ktai=os	a-s---fv-
εὐκταίαν	eu)ktai/an	εὐκταῖος	eu)ktai=os	a-s---fa-
εὐκήλως	eu)kh/lws	εὔκηλος	eu)/khlos	x--------
εὐκήλως	eu)kh/lws	εὔκηλος	eu)/khlos	n-p---ma-
εὐκήλως	eu)kh/lws	εὔκηλος	eu)/khlos	n-p---fa-
εὐλόγως	eu)lo/gws	εὔλογος	eu)/logos	x--------
εὐλόγως	eu)lo/gws	εὔλογος	eu)/logos	n-p---ma-
εὐλόγως	eu)lo/gws	εὔλογος	eu)/logos	n-p---fa-
εὐμενεῖ	eu)menei=	εὐμενέω	eu)mene/w	v2spie---
εὐμενεῖ	eu)menei=	εὐμενέω	eu)mene/w	v3spia---
εὐμενεῖ	eu)menei=	εὐμενής	eu)menh/s	n-d---mn-
εὐμενεῖ	eu)menei=	εὐμενής	eu)menh/s	n-d---mv-
εὐμενεῖ	eu)menei=	εὐμενής	eu)menh/s	n-d---ma-
εὐμενεῖ	eu)menei=	εὐμενής	eu)menh/s	n-d---fn-
εὐμενεῖ	eu)menei=	εὐμενής	eu)menh/s	n-d---fv-
εὐμενεῖ	eu)menei=	εὐμενής	eu)menh/s	n-d---fa-
εὐμενεῖ	eu)menei=	εὐμενής	eu)menh/s	n-d---nn-
εὐμενεῖ	eu)menei=	εὐμενής	eu)menh/s	n-d---nv-
εὐμενεῖ	eu)menei=	εὐμενής	eu)menh/s	n-d---na-
εὐμενεῖ	eu)menei=	εὐμενής	eu)menh/s	n-s---md-
εὐμενεῖ	eu)menei=	εὐμενής	eu)menh/s	n-s---fd-
εὐμενεῖ	eu)menei=	εὐμενής	eu)menh/s	n-s---nd-
εὐμενῆ	eu)menh=	εὐμενής	eu)menh/s	n-p---nn-
εὐμενῆ	eu)menh=	εὐμενής	eu)menh/s	n-p---nv-
εὐμενῆ	eu)menh=	εὐμενής	eu)menh/s	n-p---na-
εὐμενῆ	eu)menh=	εὐμενής	eu)menh/s	n-d---mn-
εὐμενῆ	eu)menh=	εὐμενής	eu)menh/s	n-d---mv-
εὐμενῆ	eu)menh=	εὐμενής	eu)menh/s	n-d---ma-
εὐμενῆ	eu)menh=	εὐμενής	eu)menh/s	n-d---fn-
εὐμενῆ	eu)menh=	εὐμενής	eu)menh/s	n-d---fv-
εὐμενῆ	eu)menh=	εὐμενής	eu)menh/s	n-d---fa-
εὐμενῆ	eu)menh=	εὐμενής	eu)menh/s	n-d---nn-
εὐμενῆ	eu)menh=	εὐμενής	eu)menh/s	n-d---nv-
εὐμενῆ	eu)menh=	εὐμενής	eu)menh/s	n-d---na-
εὐμενῆ	eu)menh=	εὐμενής	eu)menh/s	n-s---ma-
εὐμενῆ	eu)menh=	εὐμενής	eu)menh/s	n-s---fa-
εὐνοίαισι	eu)noi/aisi	εὔνοια	eu)/noia	n-p---fd-
εὐνοίαισι	eu)noi/aisi	εὔνοια	eu)/noia	n-p---fd-
εὐνοίαισι	eu)noi/aisi	εὔνοια	eu)/noia	n-p---fd-
εὐνοίᾳ	eu)noi/a|	εὔνοια	eu)/noia	n-s---fd-
εὐνοίᾳ	eu)noi/a|	εὔνοια	eu)/noia	n-s---fd-
εὐνοίᾳ	eu)noi/a|	εὔνοια	eu)/noia	n-p---fn-
εὐνοίᾳ	eu)noi/a|	εὔνοια	eu)/noia	n-p---fv-
εὐνοίᾳ	eu)noi/a|	εὔνοια	eu)/noia	n-s---fd-
εὐνάν	eu)na/n	εὐνή	eu)nh/	n-s---fa-
εὐπραξίας	eu)praci/as	εὐπραξία	eu)praci/a	n-p---fa-
εὐπραξίας	eu)praci/as	εὐπραξία	eu)praci/a	n-s---fg-
εὐσεβής	eu)sebh/s	εὐσεβής	eu)sebh/s	n-s---mn-
εὐσεβής	eu)sebh/s	εὐσεβής	eu)sebh/s	n-s---fn-
εὐσέβειαν	eu)se/beian	εὐσέβεια	eu)se/beia	n-s---fa-
εὐτελής	eu)telh/s	εὐτελής	eu)telh/s	n-s---mn-
εὐτελής	eu)telh/s	εὐτελής	eu)telh/s	n-s---fn-
εὐτυκάζου	eu)tuka/zou	εὐτυκάζομαι	eu)tuka/zomai	v2spme---
εὐτυκάζου	eu)tuka/zou	εὐτυκάζομαι	eu)tuka/zomai	v2siie---
εὐτυχεῖν	eu)tuxei=n	εὐτυχέω	eu)tuxe/w	v--pna---
εὐτυχοῦντος	eu)tuxou=ntos	εὐτυχέω	eu)tuxe/w	v-sppamg-
εὐτυχοῦντος	eu)tuxou=ntos	εὐτυχέω	eu)tuxe/w	v-sppang-
εὐτυχῇ	eu)tuxh=|	εὐτυχέω	eu)tuxe/w	v2spse---
εὐτυχῇ	eu)tuxh=|	εὐτυχέω	eu)tuxe/w	v2spie---
εὐτυχῇ	eu)tuxh=|	εὐτυχέω	eu)tuxe/w	v3spsa---
εὐφιλήταν	eu)filh/tan	εὐφίλητος	eu)fi/lhtos	a-s---fa-
εὐχάλκου	eu)xa/lkou	εὔχαλκος	eu)/xalkos	n-s---mg-
εὐχάλκου	eu)xa/lkou	εὔχαλκος	eu)/xalkos	n-s---fg-
εὐχάλκου	eu)xa/lkou	εὔχαλκος	eu)/xalkos	n-s---ng-
εὐχάς	eu)xa/s	εὐχή	eu)xh/	n-p---fa-
εὐωνύμων	eu)wnu/mwn	εὐώνυμος	eu)w/numos	n-p---mg-
εὐωνύμων	eu)wnu/mwn	εὐώνυμος	eu)w/numos	n-p---fg-
εὐωνύμων	eu)wnu/mwn	εὐώνυμος	eu)w/numos	n-p---ng-
εὔεδροι	eu)/edroi	εὔεδρος	eu)/edros	n-p---mn-
εὔεδροι	eu)/edroi	εὔεδρος	eu)/edros	n-p---mv-
εὔεδροι	eu)/edroi	εὔεδρος	eu)/edros	n-p---fn-
εὔεδροι	eu)/edroi	εὔεδρος	eu)/edros	n-p---fv-
εὔεδροί	eu)/edroi/	εὔεδρος	eu)/edros	n-p---mn-
εὔεδροί	eu)/edroi/	εὔεδρος	eu)/edros	n-p---mv-
εὔεδροί	eu)/edroi/	εὔεδρος	eu)/edros	n-p---fn-
εὔεδροί	eu)/edroi/	εὔεδρος	eu)/edros	n-p---fv-
εὔκηλος	eu)/khlos	εὔκηλος	eu)/khlos	n-s---mn-
εὔκηλος	eu)/khlos	εὔκηλος	eu)/khlos	n-s---fn-
εὔκυκλον	eu)/kuklon	εὔκυκλος	eu)/kuklos	n-s---ma-
εὔκυκλον	eu)/kuklon	εὔκυκλος	eu)/kuklos	n-s---fa-
εὔκυκλον	eu)/kuklon	εὔκυκλος	eu)/kuklos	n-s---nn-
εὔκυκλον	eu)/kuklon	εὔκυκλος	eu)/kuklos	n-s---nv-
εὔκυκλον	eu)/kuklon	εὔκυκλος	eu)/kuklos	n-s---na-
εὔρει	eu)/rei	εὖρος	eu)=ros	n-d---nn-
εὔρει	eu)/rei	εὖρος	eu)=ros	n-d---nv-
εὔρει	eu)/rei	εὖρος	eu)=ros	n-d---na-
εὔρει	eu)/rei	εὖρος	eu)=ros	n-s---nd-
εὔρει	eu)/rei	εὖρος	eu)=ros	n-s---nd-
εὔχεσθε	eu)/xesqe	εὔχομαι	eu)/xomai	v2piie---
εὔχεσθε	eu)/xesqe	εὔχομαι	eu)/xomai	v2ppme---
εὔχεσθε	eu)/xesqe	εὔχομαι	eu)/xomai	v2ppie---
εὔχεσθε	eu)/xesqe	εὔχομαι	eu)/xomai	v2piie---
εὔχου	eu)/xou	εὔχομαι	eu)/xomai	v2siie---
εὔχου	eu)/xou	εὔχομαι	eu)/xomai	v2spme---
εὔχου	eu)/xou	εὔχομαι	eu)/xomai	v2siie---
εὕροντο	eu(/ronto	εὑρίσκω	eu(ri/skw	v3paim---
εὕροντο	eu(/ronto	εὑρίσκω	eu(ri/skw	v3paim---
εὖ	eu)=	εὖ	eu)=	d--------
εὖτε	eu)=te	εὖτε	eu)=te	c--------
ζεῖ	zei=	ζέω	ze/w	v2spie---
ζεῖ	zei=	ζέω	ze/w	v2spma---
ζεῖ	zei=	ζέω	ze/w	v3spia---
ζεῖ	zei=	ζέω	ze/w	v3siia---
ζυγοῖσι	zugoi=si	ζυγέω	zuge/w	v-pppamd-
ζυγοῖσι	zugoi=si	ζυγέω	zuge/w	v-pppand-
ζυγοῖσι	zugoi=si	ζυγόν	zugo/n	n-p---md-
ζυγοῖσι	zugoi=si	ζυγόν	zugo/n	n-p---nd-
ζυγοῖσι	zugoi=si	ζυγός	zugo/s	n-p---md-
ζυγοῖσι	zugoi=si	ζυγόω	zugo/w	v-pppamd-
ζυγοῖσι	zugoi=si	ζυγόω	zugo/w	v-pppand-
ζυγοῖσι	zugoi=si	ζυγόω	zugo/w	v3spsa---
ζυγοῖσι	zugoi=si	ζυγόω	zugo/w	v3ppia---
ζυγόν	zugo/n	ζυγόν	zugo/n	n-s---ma-
ζυγόν	zugo/n	ζυγόν	zugo/n	n-s---nn-
ζυγόν	zugo/n	ζυγόν	zugo/n	n-s---nv-
ζυγόν	zugo/n	ζυγόν	zugo/n	n-s---na-
ζυγόν	zugo/n	ζυγός	zugo/s	n-s---ma-
ζωπυροῦσι	zwpurou=si	ζωπυρέω	zwpure/w	v-pppamd-
ζωπυροῦσι	zwpurou=si	ζωπυρέω	zwpure/w	v-pppand-
ζωπυροῦσι	zwpurou=si	ζωπυρέω	zwpure/w	v3ppia---
