Αἴτησόν	*ai)/thso/n	αἰτέω	ai)te/w	urn:cite2:hmt:lsj.chicago_md:n2754	v2sama---
λυπούμενος	lupou/menos	λυπέω	lupe/w	urn:cite2:hmt:lsj.chicago_md:n64151	v-sppemn-
λυχνίαν	luxni/an	λυχνία	luxni/a	urn:cite2:hmt:lsj.chicago_md:n64287	n-s---fa-
λυχνίαν	luxni/an	λυχνίας	luxni/as	urn:cite2:hmt:lsj.chicago_md:n64289	n-s---ma-
λυχνίαν	luxni/an	λυχνίας	luxni/as	urn:cite2:hmt:lsj.chicago_md:n64289	n-s---ma-
λάβῃ	la/bh|	λαμβάνω	lamba/nw	urn:cite2:hmt:lsj.chicago_md:n61791	v2sase---
λάβῃ	la/bh|	λαμβάνω	lamba/nw	urn:cite2:hmt:lsj.chicago_md:n61791	v3sasa---
λέγει	le/gei	λέγω1	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v2spie---
λέγει	le/gei	λέγω1	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v3spia---
λέγει	le/gei	λέγω2	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v2spie---
λέγει	le/gei	λέγω2	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v3spia---
λέγει	le/gei	λέγω3	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v2spie---
λέγει	le/gei	λέγω3	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v3spia---
λέγειν	le/gein	λέγω1	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v--pna---
λέγειν	le/gein	λέγω2	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v--pna---
λέγειν	le/gein	λέγω3	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v--pna---
λέγεις	le/geis	λέγω1	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v2spia---
λέγεις	le/geis	λέγω2	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v2spia---
λέγεις	le/geis	λέγω3	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v2spia---
λέγετε	le/gete	λέγω1	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v2ppma---
λέγετε	le/gete	λέγω1	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v2ppia---
λέγετε	le/gete	λέγω1	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v2piia---
λέγετε	le/gete	λέγω2	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v2ppma---
λέγετε	le/gete	λέγω2	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v2ppia---
λέγετε	le/gete	λέγω2	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v2piia---
λέγετε	le/gete	λέγω3	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v2ppma---
λέγετε	le/gete	λέγω3	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v2ppia---
λέγετε	le/gete	λέγω3	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v2piia---
λέγοντα	le/gonta	λέγω1	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v-pppann-
λέγοντα	le/gonta	λέγω1	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v-pppanv-
λέγοντα	le/gonta	λέγω1	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v-pppana-
λέγοντα	le/gonta	λέγω1	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v-sppama-
λέγοντα	le/gonta	λέγω2	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v-pppann-
λέγοντα	le/gonta	λέγω2	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v-pppanv-
λέγοντα	le/gonta	λέγω2	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v-pppana-
λέγοντα	le/gonta	λέγω2	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v-sppama-
λέγοντα	le/gonta	λέγω3	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v-pppann-
λέγοντα	le/gonta	λέγω3	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v-pppanv-
λέγοντα	le/gonta	λέγω3	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v-pppana-
λέγοντα	le/gonta	λέγω3	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v-sppama-
λέγοντας	le/gontas	λέγω1	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v-pppama-
λέγοντας	le/gontas	λέγω2	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v-pppama-
λέγοντας	le/gontas	λέγω3	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v-pppama-
λέγοντες	le/gontes	λέγω1	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v-pppamn-
λέγοντες	le/gontes	λέγω1	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v-pppamv-
λέγοντες	le/gontes	λέγω2	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v-pppamn-
λέγοντες	le/gontes	λέγω2	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v-pppamv-
λέγοντες	le/gontes	λέγω3	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v-pppamn-
λέγοντες	le/gontes	λέγω3	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v-pppamv-
λέγοντος	le/gontos	λέγω1	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v-sppamg-
λέγοντος	le/gontos	λέγω1	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v-sppang-
λέγοντος	le/gontos	λέγω2	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v-sppamg-
λέγοντος	le/gontos	λέγω2	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v-sppang-
λέγοντος	le/gontos	λέγω3	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v-sppamg-
λέγοντος	le/gontos	λέγω3	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v-sppang-
λέγουσα	le/gousa	λέγω1	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v-sppafn-
λέγουσα	le/gousa	λέγω1	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v-sppafv-
λέγουσα	le/gousa	λέγω2	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v-sppafn-
λέγουσα	le/gousa	λέγω2	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v-sppafv-
λέγουσα	le/gousa	λέγω3	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v-sppafn-
λέγουσα	le/gousa	λέγω3	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v-sppafv-
λέγουσιν	le/gousin	λέγω1	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v-pppamd-
λέγουσιν	le/gousin	λέγω1	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v-pppand-
λέγουσιν	le/gousin	λέγω1	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v3ppia---
λέγουσιν	le/gousin	λέγω2	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v-pppamd-
λέγουσιν	le/gousin	λέγω2	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v-pppand-
λέγουσιν	le/gousin	λέγω2	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v3ppia---
λέγουσιν	le/gousin	λέγω3	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v-pppamd-
λέγουσιν	le/gousin	λέγω3	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v-pppand-
λέγουσιν	le/gousin	λέγω3	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v3ppia---
λέγω	le/gw	λέγος	le/gos	urn:cite2:hmt:lsj.chicago_md:n62203	a-d---mn-
λέγω	le/gw	λέγος	le/gos	urn:cite2:hmt:lsj.chicago_md:n62203	a-d---mv-
λέγω	le/gw	λέγος	le/gos	urn:cite2:hmt:lsj.chicago_md:n62203	a-d---ma-
λέγω	le/gw	λέγος	le/gos	urn:cite2:hmt:lsj.chicago_md:n62203	a-d---nn-
λέγω	le/gw	λέγος	le/gos	urn:cite2:hmt:lsj.chicago_md:n62203	a-d---nv-
λέγω	le/gw	λέγος	le/gos	urn:cite2:hmt:lsj.chicago_md:n62203	a-d---na-
λέγω	le/gw	λέγος	le/gos	urn:cite2:hmt:lsj.chicago_md:n62203	a-s---mg-
λέγω	le/gw	λέγος	le/gos	urn:cite2:hmt:lsj.chicago_md:n62203	a-s---ng-
λέγω	le/gw	λέγω1	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v1spsa---
λέγω	le/gw	λέγω1	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v1spia---
λέγω	le/gw	λέγω2	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v1spsa---
λέγω	le/gw	λέγω2	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v1spia---
λέγω	le/gw	λέγω3	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v1spsa---
λέγω	le/gw	λέγω3	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v1spia---
λέγων	le/gwn	λέγος	le/gos	urn:cite2:hmt:lsj.chicago_md:n62203	a-p---fg-
λέγων	le/gwn	λέγος	le/gos	urn:cite2:hmt:lsj.chicago_md:n62203	a-p---mg-
λέγων	le/gwn	λέγος	le/gos	urn:cite2:hmt:lsj.chicago_md:n62203	a-p---ng-
λέγων	le/gwn	λέγω1	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v-sppamn-
λέγων	le/gwn	λέγω2	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v-sppamn-
λέγων	le/gwn	λέγω3	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v-sppamn-
λέγωσιν	le/gwsin	λέγω1	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v3ppsa---
λέγωσιν	le/gwsin	λέγω2	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v3ppsa---
λέγωσιν	le/gwsin	λέγω3	le/gw	urn:cite2:hmt:lsj.chicago_md:n62205	v3ppsa---
λέπρα	le/pra	λέπρα	le/pra	urn:cite2:hmt:lsj.chicago_md:n62462	n-d---fn-
λέπρα	le/pra	λέπρα	le/pra	urn:cite2:hmt:lsj.chicago_md:n62462	n-d---fv-
λέπρα	le/pra	λέπρα	le/pra	urn:cite2:hmt:lsj.chicago_md:n62462	n-d---fa-
λέπρα	le/pra	λέπρα	le/pra	urn:cite2:hmt:lsj.chicago_md:n62462	n-s---fn-
λέπρα	le/pra	λέπρα	le/pra	urn:cite2:hmt:lsj.chicago_md:n62462	n-s---fv-
λέπρα	le/pra	λεπράω	lepra/w	urn:cite2:hmt:lsj.chicago_md:n62465	v2spma---
λέπρα	le/pra	λεπράω	lepra/w	urn:cite2:hmt:lsj.chicago_md:n62465	v3siia---
λίαν	li/an	λίαν	li/an	urn:cite2:hmt:lsj.chicago_md:n63013	d--------
λίθοι	li/qoi	λίθος	li/qos	urn:cite2:hmt:lsj.chicago_md:n63212	n-p---mn-
λίθοι	li/qoi	λίθος	li/qos	urn:cite2:hmt:lsj.chicago_md:n63212	n-p---mv-
λίθοις	li/qois	λίθος	li/qos	urn:cite2:hmt:lsj.chicago_md:n63212	n-p---md-
λίθον	li/qon	λίθος	li/qos	urn:cite2:hmt:lsj.chicago_md:n63212	n-s---ma-
λίθος	li/qos	λίθος	li/qos	urn:cite2:hmt:lsj.chicago_md:n63212	n-s---mn-
λόγοι	lo/goi	λόγος	lo/gos	urn:cite2:hmt:lsj.chicago_md:n63772	n-p---mn-
λόγοι	lo/goi	λόγος	lo/gos	urn:cite2:hmt:lsj.chicago_md:n63772	n-p---mv-
λόγοις	lo/gois	λόγος	lo/gos	urn:cite2:hmt:lsj.chicago_md:n63772	n-p---md-
λόγον	lo/gon	λόγος	lo/gos	urn:cite2:hmt:lsj.chicago_md:n63772	n-s---ma-
λόγος	lo/gos	λόγος	lo/gos	urn:cite2:hmt:lsj.chicago_md:n63772	n-s---mn-
λόγους	lo/gous	λόγος	lo/gos	urn:cite2:hmt:lsj.chicago_md:n63772	n-p---ma-
λόγους	lo/gous	λογόω	logo/w	urn:cite2:hmt:lsj.chicago_md:n63777	v2siia---
λόγῳ	lo/gw|	λόγος	lo/gos	urn:cite2:hmt:lsj.chicago_md:n63772	n-s---md-
λύοντες	lu/ontes	λύω	lu/w	urn:cite2:hmt:lsj.chicago_md:n64316	v-pppamn-
λύοντες	lu/ontes	λύω	lu/w	urn:cite2:hmt:lsj.chicago_md:n64316	v-pppamv-
λύοντες	lu/ontes	λύω	lu/w	urn:cite2:hmt:lsj.chicago_md:n64316	v-pppamn-
λύοντες	lu/ontes	λύω	lu/w	urn:cite2:hmt:lsj.chicago_md:n64316	v-pppamv-
λύουσιν	lu/ousin	λύω	lu/w	urn:cite2:hmt:lsj.chicago_md:n64316	v-pppamd-
λύουσιν	lu/ousin	λύω	lu/w	urn:cite2:hmt:lsj.chicago_md:n64316	v-pppand-
λύουσιν	lu/ousin	λύω	lu/w	urn:cite2:hmt:lsj.chicago_md:n64316	v3ppia---
λύουσιν	lu/ousin	λύω	lu/w	urn:cite2:hmt:lsj.chicago_md:n64316	v-pppamd-
λύουσιν	lu/ousin	λύω	lu/w	urn:cite2:hmt:lsj.chicago_md:n64316	v-pppand-
λύουσιν	lu/ousin	λύω	lu/w	urn:cite2:hmt:lsj.chicago_md:n64316	v3ppia---
λύσατε	lu/sate	λύω	lu/w	urn:cite2:hmt:lsj.chicago_md:n64316	v2pama---
λύσατε	lu/sate	λύω	lu/w	urn:cite2:hmt:lsj.chicago_md:n64316	v2paia---
λύτρον	lu/tron	λύτρον	lu/tron	urn:cite2:hmt:lsj.chicago_md:n64264	n-s---nn-
λύτρον	lu/tron	λύτρον	lu/tron	urn:cite2:hmt:lsj.chicago_md:n64264	n-s---nv-
λύτρον	lu/tron	λύτρον	lu/tron	urn:cite2:hmt:lsj.chicago_md:n64264	n-s---na-
λύχνος	lu/xnos	λύχνος	lu/xnos	urn:cite2:hmt:lsj.chicago_md:n64310	n-s---mn-
λῃστάς	lh|sta/s	ληιστής	lhisth/s	urn:cite2:hmt:lsj.chicago_md:n62868	n-p---ma-
λῃστάς	lh|sta/s	ληιστής	lhisth/s	urn:cite2:hmt:lsj.chicago_md:n62868	n-s---mn-
λῃστάς	lh|sta/s	ληιστός	lhisto/s	urn:cite2:hmt:lsj.chicago_md:n62869	a-p---fa-
λῃστάς	lh|sta/s	λῃστής	lh|sth/s	urn:cite2:hmt:lsj.chicago_md:n62983	n-p---ma-
λῃστάς	lh|sta/s	λῃστής	lh|sth/s	urn:cite2:hmt:lsj.chicago_md:n62983	n-s---mn-
λῃστήν	lh|sth/n	ληιστής	lhisth/s	urn:cite2:hmt:lsj.chicago_md:n62868	n-s---ma-
λῃστήν	lh|sth/n	ληιστός	lhisto/s	urn:cite2:hmt:lsj.chicago_md:n62869	a-s---fa-
λῃστήν	lh|sth/n	λῃστής	lh|sth/s	urn:cite2:hmt:lsj.chicago_md:n62983	n-s---ma-
λῃστῶν	lh|stw=n	ληιστής	lhisth/s	urn:cite2:hmt:lsj.chicago_md:n62868	n-p---mg-
λῃστῶν	lh|stw=n	ληιστός	lhisto/s	urn:cite2:hmt:lsj.chicago_md:n62869	a-p---fg-
λῃστῶν	lh|stw=n	ληιστός	lhisto/s	urn:cite2:hmt:lsj.chicago_md:n62869	a-p---mg-
λῃστῶν	lh|stw=n	ληιστός	lhisto/s	urn:cite2:hmt:lsj.chicago_md:n62869	a-p---ng-
λῃστῶν	lh|stw=n	λῃστής	lh|sth/s	urn:cite2:hmt:lsj.chicago_md:n62983	n-p---mg-
λῦσαι	lu=sai	λύω	lu/w	urn:cite2:hmt:lsj.chicago_md:n64316	v2samm---
λῦσαι	lu=sai	λύω	lu/w	urn:cite2:hmt:lsj.chicago_md:n64316	v--ana---
μαθηταί	maqhtai/	μαθητής	maqhth/s	urn:cite2:hmt:lsj.chicago_md:n64521	n-p---mn-
μαθηταί	maqhtai/	μαθητής	maqhth/s	urn:cite2:hmt:lsj.chicago_md:n64521	n-p---mv-
μαθηταί	maqhtai/	μαθητός	maqhto/s	urn:cite2:hmt:lsj.chicago_md:n64525	a-p---fn-
μαθηταί	maqhtai/	μαθητός	maqhto/s	urn:cite2:hmt:lsj.chicago_md:n64525	a-p---fv-
μαθηταῖς	maqhtai=s	μαθητής	maqhth/s	urn:cite2:hmt:lsj.chicago_md:n64521	n-p---md-
μαθηταῖς	maqhtai=s	μαθητός	maqhto/s	urn:cite2:hmt:lsj.chicago_md:n64525	a-p---fd-
μαθητάς	maqhta/s	μαθητής	maqhth/s	urn:cite2:hmt:lsj.chicago_md:n64521	n-p---ma-
μαθητάς	maqhta/s	μαθητής	maqhth/s	urn:cite2:hmt:lsj.chicago_md:n64521	n-s---mn-
μαθητάς	maqhta/s	μαθητός	maqhto/s	urn:cite2:hmt:lsj.chicago_md:n64525	a-p---fa-
μαθητῶν	maqhtw=n	μαθητής	maqhth/s	urn:cite2:hmt:lsj.chicago_md:n64521	n-p---mg-
μαθητῶν	maqhtw=n	μαθητός	maqhto/s	urn:cite2:hmt:lsj.chicago_md:n64525	a-p---fg-
μαθητῶν	maqhtw=n	μαθητός	maqhto/s	urn:cite2:hmt:lsj.chicago_md:n64525	a-p---mg-
μαθητῶν	maqhtw=n	μαθητός	maqhto/s	urn:cite2:hmt:lsj.chicago_md:n64525	a-p---ng-
μακρά	makra/	μακρός	makro/s	urn:cite2:hmt:lsj.chicago_md:n64703	a-p---nn-
μακρά	makra/	μακρός	makro/s	urn:cite2:hmt:lsj.chicago_md:n64703	a-p---nv-
μακρά	makra/	μακρός	makro/s	urn:cite2:hmt:lsj.chicago_md:n64703	a-p---na-
μακρά	makra/	μακρός	makro/s	urn:cite2:hmt:lsj.chicago_md:n64703	a-d---fn-
μακρά	makra/	μακρός	makro/s	urn:cite2:hmt:lsj.chicago_md:n64703	a-d---fv-
μακρά	makra/	μακρός	makro/s	urn:cite2:hmt:lsj.chicago_md:n64703	a-d---fa-
μακρά	makra/	μακρός	makro/s	urn:cite2:hmt:lsj.chicago_md:n64703	a-s---fn-
μακρά	makra/	μακρός	makro/s	urn:cite2:hmt:lsj.chicago_md:n64703	a-s---fv-
μακράν	makra/n	μακράν	makra/n	urn:cite2:hmt:lsj.chicago_md:n64619	d--------
μακράν	makra/n	μακρός	makro/s	urn:cite2:hmt:lsj.chicago_md:n64703	a-s---fa-
μακρόθεν	makro/qen	μακρόθεν	makro/qen	urn:cite2:hmt:lsj.chicago_md:n64649	d--------
μαρτυρία	marturi/a	μαρτυρία	marturi/a	urn:cite2:hmt:lsj.chicago_md:n65088	n-d---fn-
μαρτυρία	marturi/a	μαρτυρία	marturi/a	urn:cite2:hmt:lsj.chicago_md:n65088	n-d---fv-
μαρτυρία	marturi/a	μαρτυρία	marturi/a	urn:cite2:hmt:lsj.chicago_md:n65088	n-d---fa-
μαρτυρία	marturi/a	μαρτυρία	marturi/a	urn:cite2:hmt:lsj.chicago_md:n65088	n-s---fn-
μαρτυρία	marturi/a	μαρτυρία	marturi/a	urn:cite2:hmt:lsj.chicago_md:n65088	n-s---fv-
μαρτυρίαι	marturi/ai	μαρτυρία	marturi/a	urn:cite2:hmt:lsj.chicago_md:n65088	n-p---fn-
μαρτυρίαι	marturi/ai	μαρτυρία	marturi/a	urn:cite2:hmt:lsj.chicago_md:n65088	n-p---fv-
μαρτυρίαι	marturi/ai	μαρτυρία	marturi/a	urn:cite2:hmt:lsj.chicago_md:n65088	n-s---fd-
μαρτυρίαν	marturi/an	μαρτυρία	marturi/a	urn:cite2:hmt:lsj.chicago_md:n65088	n-s---fa-
μαρτύριον	martu/rion	μαρτύριον	martu/rion	urn:cite2:hmt:lsj.chicago_md:n65089	n-s---nn-
μαρτύριον	martu/rion	μαρτύριον	martu/rion	urn:cite2:hmt:lsj.chicago_md:n65089	n-s---nv-
μαρτύριον	martu/rion	μαρτύριον	martu/rion	urn:cite2:hmt:lsj.chicago_md:n65089	n-s---na-
μαρτύριον	martu/rion	μαρτυρέω	marture/w	urn:cite2:hmt:lsj.chicago_md:n65083	v3piia---
μαρτύριον	martu/rion	μαρτυρέω	marture/w	urn:cite2:hmt:lsj.chicago_md:n65083	v1siia---
μαρτύρων	martu/rwn	μάρτυρος	ma/rturos	urn:cite2:hmt:lsj.chicago_md:n65096	n-p---mg-
μαρτύρων	martu/rwn	μάρτυς	ma/rtus	urn:cite2:hmt:lsj.chicago_md:n65097	n-p---mg-
μαρτύρων	martu/rwn	μάρτυς	ma/rtus	urn:cite2:hmt:lsj.chicago_md:n65097	n-p---fg-
μαστιγώσουσιν	mastigw/sousin	μαστιγόω	mastigo/w	urn:cite2:hmt:lsj.chicago_md:n65152	v3pasa---
μαστιγώσουσιν	mastigw/sousin	μαστιγόω	mastigo/w	urn:cite2:hmt:lsj.chicago_md:n65152	v-pfpamd-
μαστιγώσουσιν	mastigw/sousin	μαστιγόω	mastigo/w	urn:cite2:hmt:lsj.chicago_md:n65152	v-pfpand-
μαστιγώσουσιν	mastigw/sousin	μαστιγόω	mastigo/w	urn:cite2:hmt:lsj.chicago_md:n65152	v3pfia---
μαχαιρῶν	maxairw=n	μάχαιρα	ma/xaira	urn:cite2:hmt:lsj.chicago_md:n65265	n-p---fg-
με	me	ἐγώ	e)gw/	urn:cite2:hmt:lsj.chicago_md:n30657	p-s---ma-
με	me	ἐγώ	e)gw/	urn:cite2:hmt:lsj.chicago_md:n30657	p-s---fa-
μεγάλας	mega/las	μέγας	me/gas	urn:cite2:hmt:lsj.chicago_md:n65552	a-p---fa-
μεγάλας	mega/las	μέγας	me/gas	urn:cite2:hmt:lsj.chicago_md:n65552	a-s---fg-
μεγάλη	mega/lh	μέγας	me/gas	urn:cite2:hmt:lsj.chicago_md:n65552	a-s---fn-
μεγάλη	mega/lh	μέγας	me/gas	urn:cite2:hmt:lsj.chicago_md:n65552	a-s---fv-
μεγάλη	mega/lh	μέγας	me/gas	urn:cite2:hmt:lsj.chicago_md:n65552	a-s---fv-
μεγάλην	mega/lhn	μέγας	me/gas	urn:cite2:hmt:lsj.chicago_md:n65552	a-s---fa-
μεγάλοι	mega/loi	μέγας	me/gas	urn:cite2:hmt:lsj.chicago_md:n65552	a-p---mn-
μεγάλοι	mega/loi	μέγας	me/gas	urn:cite2:hmt:lsj.chicago_md:n65552	a-p---mv-
μεγάλοι	mega/loi	μέγας	me/gas	urn:cite2:hmt:lsj.chicago_md:n65552	a-p---mv-
μεγάλους	mega/lous	μέγας	me/gas	urn:cite2:hmt:lsj.chicago_md:n65552	a-p---ma-
μεγάλῃ	mega/lh|	μέγας	me/gas	urn:cite2:hmt:lsj.chicago_md:n65552	a-s---fd-
μεθερμηνευόμενον	meqermhneuo/menon	μεθερμηνεύω	meqermhneu/w	urn:cite2:hmt:lsj.chicago_md:n65608	v-sppema-
μεθερμηνευόμενον	meqermhneuo/menon	μεθερμηνεύω	meqermhneu/w	urn:cite2:hmt:lsj.chicago_md:n65608	v-sppenn-
μεθερμηνευόμενον	meqermhneuo/menon	μεθερμηνεύω	meqermhneu/w	urn:cite2:hmt:lsj.chicago_md:n65608	v-sppenv-
μεθερμηνευόμενον	meqermhneuo/menon	μεθερμηνεύω	meqermhneu/w	urn:cite2:hmt:lsj.chicago_md:n65608	v-sppena-
μεθερμηνευόμενος	meqermhneuo/menos	μεθερμηνεύω	meqermhneu/w	urn:cite2:hmt:lsj.chicago_md:n65608	v-sppemn-
μερισθῇ	merisqh=|	μερίζω	meri/zw	urn:cite2:hmt:lsj.chicago_md:n66306	v3sasp---
μεσονύκτιον	mesonu/ktion	μεσονύκτιος	mesonu/ktios	urn:cite2:hmt:lsj.chicago_md:n66470	n-s---ma-
μεσονύκτιον	mesonu/ktion	μεσονύκτιος	mesonu/ktios	urn:cite2:hmt:lsj.chicago_md:n66470	n-s---fa-
μεσονύκτιον	mesonu/ktion	μεσονύκτιος	mesonu/ktios	urn:cite2:hmt:lsj.chicago_md:n66470	n-s---nn-
μεσονύκτιον	mesonu/ktion	μεσονύκτιος	mesonu/ktios	urn:cite2:hmt:lsj.chicago_md:n66470	n-s---nv-
μεσονύκτιον	mesonu/ktion	μεσονύκτιος	mesonu/ktios	urn:cite2:hmt:lsj.chicago_md:n66470	n-s---na-
μετανοεῖτε	metanoei=te	μετανοέω	metanoe/w	urn:cite2:hmt:lsj.chicago_md:n66828	v2ppma---
μετανοεῖτε	metanoei=te	μετανοέω	metanoe/w	urn:cite2:hmt:lsj.chicago_md:n66828	v2ppoa---
μετανοεῖτε	metanoei=te	μετανοέω	metanoe/w	urn:cite2:hmt:lsj.chicago_md:n66828	v2ppia---
μετανοεῖτε	metanoei=te	μετανοέω	metanoe/w	urn:cite2:hmt:lsj.chicago_md:n66828	v2ppma---
μετανοεῖτε	metanoei=te	μετανοέω	metanoe/w	urn:cite2:hmt:lsj.chicago_md:n66828	v2ppoa---
μετανοεῖτε	metanoei=te	μετανοέω	metanoe/w	urn:cite2:hmt:lsj.chicago_md:n66828	v2ppia---
μετανοεῖτε	metanoei=te	μετανοέω	metanoe/w	urn:cite2:hmt:lsj.chicago_md:n66828	v2piia---
μετανοεῖτε	metanoei=te	μετανοέω	metanoe/w	urn:cite2:hmt:lsj.chicago_md:n66828	v2piia---
μετανοίας	metanoi/as	μετάνοια	meta/noia	urn:cite2:hmt:lsj.chicago_md:n66831	n-p---fa-
μετανοίας	metanoi/as	μετάνοια	meta/noia	urn:cite2:hmt:lsj.chicago_md:n66831	n-s---fg-
μετανοῶσιν	metanow=sin	μετανοέω	metanoe/w	urn:cite2:hmt:lsj.chicago_md:n66828	v3ppsa---
μετανοῶσιν	metanow=sin	μετανοέω	metanoe/w	urn:cite2:hmt:lsj.chicago_md:n66828	v3ppsa---
μετεμορφώθη	metemorfw/qh	μεταμορφόω	metamorfo/w	urn:cite2:hmt:lsj.chicago_md:n66803	v3saip---
μετρεῖτε	metrei=te	μετρέω	metre/w	urn:cite2:hmt:lsj.chicago_md:n67225	v2ppma---
μετρεῖτε	metrei=te	μετρέω	metre/w	urn:cite2:hmt:lsj.chicago_md:n67225	v2ppoa---
μετρεῖτε	metrei=te	μετρέω	metre/w	urn:cite2:hmt:lsj.chicago_md:n67225	v2ppia---
μετρεῖτε	metrei=te	μετρέω	metre/w	urn:cite2:hmt:lsj.chicago_md:n67225	v2piia---
μετρηθήσεται	metrhqh/setai	μετρέω	metre/w	urn:cite2:hmt:lsj.chicago_md:n67225	v3sfip---
μετά	meta/	μετά	meta/	urn:cite2:hmt:lsj.chicago_md:n66572	r--------
μείζων	mei/zwn	μέγας	me/gas	urn:cite2:hmt:lsj.chicago_md:n65552	a-s---mn-
μείζων	mei/zwn	μέγας	me/gas	urn:cite2:hmt:lsj.chicago_md:n65552	a-s---fn-
μείνατε	mei/nate	μένω	me/nw	urn:cite2:hmt:lsj.chicago_md:n66294	v2pama---
μείνατε	mei/nate	μένω	me/nw	urn:cite2:hmt:lsj.chicago_md:n66294	v2paia---
μεῖζον	mei=zon	μέγας	me/gas	urn:cite2:hmt:lsj.chicago_md:n65552	a-s---mv-
μεῖζον	mei=zon	μέγας	me/gas	urn:cite2:hmt:lsj.chicago_md:n65552	a-s---fv-
μεῖζον	mei=zon	μέγας	me/gas	urn:cite2:hmt:lsj.chicago_md:n65552	a-s---nn-
μεῖζον	mei=zon	μέγας	me/gas	urn:cite2:hmt:lsj.chicago_md:n65552	a-s---nv-
