Θεσμοφορίοις	*qesmofori/ois	θεσμοφόριον	qesmofo/rion	n-p---nd-
εἶπον	ei)=pon	εἶπον	ei)=pon	v1saia---
εἶπον	ei)=pon	εἶπος	ei)=pos	n-s---ma-
εἶτα	ei)=ta	εἶτα	ei)=ta	d--------
εἶχε	ei)=xe	ἔχω	e)/xw	v3siia---
εἶχεν	ei)=xen	ἔχω	e)/xw	v3siia---
εἷλκες	ei(=lkes	ἕλκω	e(/lkw	v2siia---
εὐθέως	eu)qe/ws	εὐθέως	eu)qe/ws	d--------
εὐθέως	eu)qe/ws	εὐθής	eu)qh/s	x--------
εὐθέως	eu)qe/ws	εὐθύσ1	eu)qu/s1	x--------
εὐθέως	eu)qe/ws	εὐθύσ2	eu)qu/s2	d--------
εὐθύς	eu)qu/s	εὐθύσ1	eu)qu/s1	a-s---mn-
εὐθύς	eu)qu/s	εὐθύσ2	eu)qu/s2	d--------
εὐφίλητε	eu)fi/lhte	εὐφίλητος	eu)fi/lhtos	a-s---mv-
εὑρήσετε	eu(rh/sete	εὑρίσκω	eu(ri/skw	v2pfia---
εὖ	eu)=	εὖ	eu)=	d--------
ζημιώσουσι	zhmiw/sousi	ζημιόω	zhmio/w	v3pasa---
ζημιώσουσι	zhmiw/sousi	ζημιόω	zhmio/w	v-pfpamd-
ζημιώσουσι	zhmiw/sousi	ζημιόω	zhmio/w	v-pfpand-
ζημιώσουσι	zhmiw/sousi	ζημιόω	zhmio/w	v3pfia---
ζημίαις	zhmi/ais	ζημία	zhmi/a	n-p---fd-
ζημίαν	zhmi/an	ζημία	zhmi/a	n-s---fa-
ζημίας	zhmi/as	ζημία	zhmi/a	n-p---fa-
ζημίας	zhmi/as	ζημία	zhmi/a	n-s---fg-
ζητοῦντες	zhtou=ntes	ζητέω	zhte/w	v-pppamn-
ζητοῦντες	zhtou=ntes	ζητέω	zhte/w	v-pppamv-
ηὗρον	hu(=ron	εὑρίσκω	eu(ri/skw	v3paia---
ηὗρον	hu(=ron	εὑρίσκω	eu(ri/skw	v1saia---
θεραπαίνης	qerapai/nhs	θεράπαινα	qera/paina	n-s---fg-
θεράπαινα	qera/paina	θεράπαινα	qera/paina	n-s---fn-
θεράπαινα	qera/paina	θεράπαινα	qera/paina	n-s---fv-
θεράπαιναν	qera/painan	θεράπαινα	qera/paina	n-s---fa-
θεράποντας	qera/pontas	θεράπων	qera/pwn	n-p---ma-
θεῖναι	qei=nai	θείνω	qei/nw	v2samm---
θεῖναι	qei=nai	θείνω	qei/nw	v--ana---
θεῖναι	qei=nai	τίθημι	ti/qhmi	v--ana---
θάνατον	qa/naton	θάνατος	qa/natos	n-s---ma-
θύρα	qu/ra	θύρα	qu/ra	n-d---fn-
θύρα	qu/ra	θύρα	qu/ra	n-d---fv-
θύρα	qu/ra	θύρα	qu/ra	n-d---fa-
θύρα	qu/ra	θύρα	qu/ra	n-s---fn-
θύρα	qu/ra	θύρα	qu/ra	n-s---fv-
θύραι	qu/rai	θύρα	qu/ra	n-p---fn-
θύραι	qu/rai	θύρα	qu/ra	n-p---fv-
θύραι	qu/rai	θύρα	qu/ra	n-s---fd-
θύραν	qu/ran	θύρα	qu/ra	n-s---fa-
θύρας	qu/ras	θύρα	qu/ra	n-p---fa-
θύρας	qu/ras	θύρα	qu/ra	n-s---fg-
καθεστήκασιν	kaqesth/kasin	καθίστημι	kaqi/sthmi	v3pria---
καθευδήσουσα	kaqeudh/sousa	καθεύδω	kaqeu/dw	v-sfpafn-
καθευδήσουσα	kaqeudh/sousa	καθεύδω	kaqeu/dw	v-sfpafv-
κακοῖς	kakoi=s	κακός	kako/s	a-p---md-
κακοῖς	kakoi=s	κακός	kako/s	a-p---nd-
κακοῖς	kakoi=s	κακόω	kako/w	v2spoa---
κακοῖς	kakoi=s	κακόω	kako/w	v2spsa---
κακοῖς	kakoi=s	κακόω	kako/w	v2spia---
κακόν	kako/n	κακός	kako/s	a-s---ma-
κακόν	kako/n	κακός	kako/s	a-s---nn-
κακόν	kako/n	κακός	kako/s	a-s---nv-
κακόν	kako/n	κακός	kako/s	a-s---na-
κακῶν	kakw=n	κάκη	ka/kh	n-p---fg-
κακῶν	kakw=n	κακάζω	kaka/zw	v-sfpamv-
κακῶν	kakw=n	κακάζω	kaka/zw	v-sfpann-
κακῶν	kakw=n	κακάζω	kaka/zw	v-sfpanv-
κακῶν	kakw=n	κακάζω	kaka/zw	v-sfpana-
κακῶν	kakw=n	κακάζω	kaka/zw	v-sfpamn-
κακῶν	kakw=n	κακός	kako/s	a-p---fg-
κακῶν	kakw=n	κακός	kako/s	a-p---mg-
κακῶν	kakw=n	κακός	kako/s	a-p---ng-
κακῶν	kakw=n	κακόω	kako/w	v-sppamv-
κακῶν	kakw=n	κακόω	kako/w	v-sppann-
κακῶν	kakw=n	κακόω	kako/w	v-sppanv-
κακῶν	kakw=n	κακόω	kako/w	v-sppana-
κακῶν	kakw=n	κακόω	kako/w	v-sppamn-
κακῶν	kakw=n	κακόω	kako/w	v--pna---
καλῶς	kalw=s	καλός	kalo/s	x--------
καπηλείου	kaphlei/ou	καπηλεῖον	kaphlei=on	n-s---ng-
καταβαίνουσα	katabai/nousa	καταβαίνω	katabai/nw	v-sppafn-
καταβαίνουσα	katabai/nousa	καταβαίνω	katabai/nw	v-sppafv-
καταβάλλω	kataba/llw	καταβάλλω	kataba/llw	v1spsa---
καταβάλλω	kataba/llw	καταβάλλω	kataba/llw	v1spia---
καταβάς	kataba/s	καταβαίνω	katabai/nw	v-sapamn-
καταβάς	kataba/s	καταβαίνω	katabai/nw	v-sapamv-
καταγιγνώσκειν	katagignw/skein	καταγιγνώσκω	katagignw/skw	v--pna---
καταισχύνουσι	kataisxu/nousi	καταισχύνω	kataisxu/nw	v-pppamd-
καταισχύνουσι	kataisxu/nousi	καταισχύνω	kataisxu/nw	v-pppand-
καταισχύνουσι	kataisxu/nousi	καταισχύνω	kataisxu/nw	v3ppia---
καταισχύνουσι	kataisxu/nousi	καταισχύνω	kataisxu/nw	v3pasa---
καταισχύνουσι	kataisxu/nousi	καταισχύνω	kataisxu/nw	v3pasa---
καταισχύνουσι	kataisxu/nousi	καταισχύνω	kataisxu/nw	v-pppamd-
καταισχύνουσι	kataisxu/nousi	καταισχύνω	kataisxu/nw	v-pppand-
καταισχύνουσι	kataisxu/nousi	καταισχύνω	kataisxu/nw	v3ppia---
κατακείμενον	katakei/menon	κατάκειμαι	kata/keimai	v-srpema-
κατακείμενον	katakei/menon	κατάκειμαι	kata/keimai	v-srpenn-
κατακείμενον	katakei/menon	κατάκειμαι	kata/keimai	v-srpenv-
κατακείμενον	katakei/menon	κατάκειμαι	kata/keimai	v-srpena-
κατακείμενον	katakei/menon	κατάκειμαι	kata/keimai	v-sppema-
κατακείμενον	katakei/menon	κατάκειμαι	kata/keimai	v-sppenn-
κατακείμενον	katakei/menon	κατάκειμαι	kata/keimai	v-sppenv-
κατακείμενον	katakei/menon	κατάκειμαι	kata/keimai	v-sppena-
καταλειφθῆναι	kataleifqh=nai	καταλιμπάνω	katalimpa/nw	v--anp---
καταλήψοιτο	katalh/yoito	καταλαμβάνω	katalamba/nw	v3sfom---
καταλήψομαι	katalh/yomai	καταλαμβάνω	katalamba/nw	v1sfim---
καταφυγών	katafugw/n	καταφεύγω	katafeu/gw	v-sapamn-
κατειποῦσαν	kateipou=san	κατεῖπον	katei=pon	v-sapafa-
κατηγοροῦσι	kathgorou=si	κατηγορέω	kathgore/w	v-pppamd-
κατηγοροῦσι	kathgorou=si	κατηγορέω	kathgore/w	v-pppand-
κατηγοροῦσι	kathgorou=si	κατηγορέω	kathgore/w	v3ppia---
κατηγοροῦσι	kathgorou=si	κατηγορέω	kathgore/w	v-pppamd-
κατηγοροῦσι	kathgorou=si	κατηγορέω	kathgore/w	v-pppand-
κατηγοροῦσι	kathgorou=si	κατηγορέω	kathgore/w	v3ppia---
κατηγόρει	kathgo/rei	κατηγορέω	kathgore/w	v2spma---
κατηγόρει	kathgo/rei	κατηγορέω	kathgore/w	v3siia---
κατηγόρει	kathgo/rei	κατηγορέω	kathgore/w	v2spma---
κατηγόρει	kathgo/rei	κατηγορέω	kathgore/w	v3siia---
κατηγόρει	kathgo/rei	κατηγορέω	kathgore/w	v3siia---
κατά	kata/	κατά	kata/	r--------
κατέγνω	kate/gnw	καταγιγνώσκω	katagignw/skw	v3saia---
κατέλαβον	kate/labon	καταλαμβάνω	katalamba/nw	v3paia---
κατέλαβον	kate/labon	καταλαμβάνω	katalamba/nw	v1saia---
κατέπεσεν	kate/pesen	καταπίπτω	katapi/ptw	v3saia---
καί	kai/	καί	kai/	c--------
καίτοι	kai/toi	καίτοι	kai/toi	g--------
καίτοιγε	kai/toige	καίτοι	kai/toi	g--------
κειμένους	keime/nous	κεῖμαι	kei=mai	v-prpema-
κειμένους	keime/nous	κεῖμαι	kei=mai	v-pppema-
κεκελευκότες	kekeleuko/tes	κελεύω	keleu/w	v-prpamn-
κεκελευκότες	kekeleuko/tes	κελεύω	keleu/w	v-prpamv-
κελεύει	keleu/ei	κελεύω	keleu/w	v2spie---
κελεύει	keleu/ei	κελεύω	keleu/w	v3spia---
κελεύειν	keleu/ein	κελεύω	keleu/w	v--pna---
κελεύουσι	keleu/ousi	κελεύω	keleu/w	v-pppamd-
κελεύουσι	keleu/ousi	κελεύω	keleu/w	v-pppand-
κελεύουσι	keleu/ousi	κελεύω	keleu/w	v3ppia---
κελεῦσαι	keleu=sai	κέλλω	ke/llw	v-pfpafn-
κελεῦσαι	keleu=sai	κέλλω	ke/llw	v-pfpafv-
κελεῦσαι	keleu=sai	κελεύω	keleu/w	v--ana---
κινδυνεύω	kinduneu/w	κινδυνεύω	kinduneu/w	v1spsa---
κινδυνεύω	kinduneu/w	κινδυνεύω	kinduneu/w	v1spia---
κινδυνεύῃ	kinduneu/h|	κινδυνεύω	kinduneu/w	v2spse---
κινδυνεύῃ	kinduneu/h|	κινδυνεύω	kinduneu/w	v2spie---
κινδυνεύῃ	kinduneu/h|	κινδυνεύω	kinduneu/w	v3spsa---
κλεῖν	klei=n	κλείς	klei/s	n-s---fa-
κλέπτας	kle/ptas	κλέπτης	kle/pths	n-p---ma-
κλέπτας	kle/ptas	κλέπτης	kle/pths	n-s---mn-
κλίμακος	kli/makos	κλῖμαξ	kli=mac	n-s---fg-
κλίνῃ	kli/nh|	κλίνη	kli/nh	n-s---fd-
κλίνῃ	kli/nh|	κλίνω	kli/nw	v2sasm---
κλίνῃ	kli/nh|	κλίνω	kli/nw	v3sasa---
κλίνῃ	kli/nh|	κλίνω	kli/nw	v2spse---
κλίνῃ	kli/nh|	κλίνω	kli/nw	v2spie---
κλίνῃ	kli/nh|	κλίνω	kli/nw	v3spsa---
κλᾶον	kla=on	κλαίω	klai/w	v-sppamv-
κλᾶον	kla=on	κλαίω	klai/w	v-sppann-
κλᾶον	kla=on	κλαίω	klai/w	v-sppanv-
κλᾶον	kla=on	κλαίω	klai/w	v-sppana-
κλᾶον	kla=on	κλαίω	klai/w	v3piia---
κλᾶον	kla=on	κλαίω	klai/w	v1siia---
κρεῖττον	krei=tton	κρείσσων	krei/sswn	a-s---mv-
κρεῖττον	krei=tton	κρείσσων	krei/sswn	a-s---fv-
κρεῖττον	krei=tton	κρείσσων	krei/sswn	a-s---nn-
κρεῖττον	krei=tton	κρείσσων	krei/sswn	a-s---nv-
κρεῖττον	krei=tton	κρείσσων	krei/sswn	a-s---na-
κυριωτάτη	kuriwta/th	κύριος	ku/rios	a-s---fns
κυριωτάτη	kuriwta/th	κύριος	ku/rios	a-s---fvs
κυριωτάτη	kuriwta/th	κύριος	ku/rios	a-s---fns
κυριωτάτη	kuriwta/th	κύριος	ku/rios	a-s---fvs
κυριώτερον	kuriw/teron	κύριος	ku/rios	x--------
κυριώτερον	kuriw/teron	κύριος	ku/rios	a-s---ma-
κυριώτερον	kuriw/teron	κύριος	ku/rios	a-s---nn-
κυριώτερον	kuriw/teron	κύριος	ku/rios	a-s---nv-
κυριώτερον	kuriw/teron	κύριος	ku/rios	a-s---na-
κυριώτερον	kuriw/teron	κύριος	ku/rios	n-s---ma-
κυριώτερον	kuriw/teron	κύριος	ku/rios	n-s---nn-
κυριώτερον	kuriw/teron	κύριος	ku/rios	n-s---nv-
κυριώτερον	kuriw/teron	κύριος	ku/rios	n-s---na-
κυριώτερον	kuriw/teron	κύριος	ku/rios	x--------
κἀγώ	ka)gw/	ἀγός	a)go/s	n-d---mn-
κἀγώ	ka)gw/	ἀγός	a)go/s	n-d---mv-
κἀγώ	ka)gw/	ἀγός	a)go/s	n-d---ma-
κἀγώ	ka)gw/	ἐγώ	e)gw/	p-s---mn-
κἀγώ	ka)gw/	ἐγώ	e)gw/	p-s---mv-
κἀγώ	ka)gw/	ἐγώ	e)gw/	p-s---fn-
κἀγώ	ka)gw/	ἐγώ	e)gw/	p-s---fv-
κἀκείνη	ka)kei/nh	ἐκεῖνος	e)kei=nos	n-s---fn-
κἀκείνη	ka)kei/nh	ἐκεῖνος	e)kei=nos	n-s---fv-
κἀκεῖνος	ka)kei=nos	ἐκεῖνος	e)kei=nos	n-s---mn-
κάλλιον	ka/llion	κάλλιον	ka/llion	d--------
κάλλιον	ka/llion	καλός	kalo/s	a-s---mv-
κάλλιον	ka/llion	καλός	kalo/s	a-s---fv-
κάλλιον	ka/llion	καλός	kalo/s	a-s---nn-
κάλλιον	ka/llion	καλός	kalo/s	a-s---nv-
κάλλιον	ka/llion	καλός	kalo/s	a-s---na-
κάτω	ka/tw	κάτος	ka/tos	n-d---mn-
κάτω	ka/tw	κάτος	ka/tos	n-d---mv-
κάτω	ka/tw	κάτος	ka/tos	n-d---ma-
κάτω	ka/tw	κάτος	ka/tos	n-d---fn-
κάτω	ka/tw	κάτος	ka/tos	n-d---fv-
κάτω	ka/tw	κάτος	ka/tos	n-d---fa-
κάτω	ka/tw	κάτος	ka/tos	n-d---nn-
κάτω	ka/tw	κάτος	ka/tos	n-d---nv-
κάτω	ka/tw	κάτος	ka/tos	n-d---na-
κάτω	ka/tw	κάτος	ka/tos	n-s---mg-
κάτω	ka/tw	κάτος	ka/tos	n-s---fg-
κάτω	ka/tw	κάτος	ka/tos	n-s---ng-
κάτω	ka/tw	κάτω	ka/tw	d--------
κάτω	ka/tw	κατόω	kato/w	v2spma---
κάτω	ka/tw	κατόω	kato/w	v3siia---
κέρδους	ke/rdous	κέρδος	ke/rdos	n-s---ng-
κίνδυνον	ki/ndunon	κίνδυνος	ki/ndunos	n-s---ma-
κόσμιος	ko/smios	κόσμιος	ko/smios	a-s---mn-
κόσμιος	ko/smios	κόσμιος	ko/smios	n-s---mn-
κόσμιος	ko/smios	κόσμιος	ko/smios	n-s---fn-
κύριον	ku/rion	κύριος	ku/rios	n-s---ma-
κύριον	ku/rion	κύριος	ku/rios	a-s---ma-
κύριον	ku/rion	κύριος	ku/rios	a-s---nn-
κύριον	ku/rion	κύριος	ku/rios	a-s---nv-
κύριον	ku/rion	κύριος	ku/rios	a-s---na-
κύριον	ku/rion	κύριος	ku/rios	n-s---ma-
κύριον	ku/rion	κύριος	ku/rios	n-s---fa-
κύριον	ku/rion	κύριος	ku/rios	n-s---nn-
κύριον	ku/rion	κύριος	ku/rios	n-s---nv-
κύριον	ku/rion	κύριος	ku/rios	n-s---na-
κύριον	ku/rion	κυρέω	kure/w	v3piia---
κύριον	ku/rion	κυρέω	kure/w	v1siia---
λαβοῦσα	labou=sa	λαμβάνω	lamba/nw	v-sapafn-
λαβοῦσα	labou=sa	λαμβάνω	lamba/nw	v-sapafv-
λαβόντες	labo/ntes	λαμβάνω	lamba/nw	v-papamn-
λαβόντες	labo/ntes	λαμβάνω	lamba/nw	v-papamv-
λαβών	labw/n	λαμβάνω	lamba/nw	v-sapamn-
λαμβάνειν	lamba/nein	λαμβάνω	lamba/nw	v--pna---
λαμβάνων	lamba/nwn	λαμβάνω	lamba/nw	v-sppamn-
λοιδορία	loidori/a	λοιδορία	loidori/a	n-d---fn-
λοιδορία	loidori/a	λοιδορία	loidori/a	n-d---fv-
λοιδορία	loidori/a	λοιδορία	loidori/a	n-d---fa-
λοιδορία	loidori/a	λοιδορία	loidori/a	n-s---fn-
λοιδορία	loidori/a	λοιδορία	loidori/a	n-s---fv-
λοῦσθαι	lou=sqai	λόω	lo/w	v--pne---
λοῦσθαι	lou=sqai	λούω	lou/w	v--pne---
λυπεῖν	lupei=n	λυπέω	lupe/w	v--pna---
λυπούμενον	lupou/menon	λυπέω	lupe/w	v-sppema-
λυπούμενον	lupou/menon	λυπέω	lupe/w	v-sppenn-
λυπούμενον	lupou/menon	λυπέω	lupe/w	v-sppenv-
λυπούμενον	lupou/menon	λυπέω	lupe/w	v-sppena-
λάβῃ	la/bh|	λαμβάνω	lamba/nw	v2sase---
λάβῃ	la/bh|	λαμβάνω	lamba/nw	v3sasa---
λάβῃς	la/bh|s	λαμβάνω	lamba/nw	v2sasa---
λέγε	le/ge	λέγος	le/gos	a-s---mv-
λέγε	le/ge	λέγω1	le/gw1	v2spma---
λέγε	le/ge	λέγω1	le/gw1	v3siia---
λέγε	le/ge	λέγω2	le/gw2	v2spma---
λέγε	le/ge	λέγω2	le/gw2	v3siia---
λέγε	le/ge	λέγω3	le/gw3	v2spma---
λέγε	le/ge	λέγω3	le/gw3	v3siia---
λέγειν	le/gein	λέγω1	le/gw1	v--pna---
λέγειν	le/gein	λέγω2	le/gw2	v--pna---
λέγειν	le/gein	λέγω3	le/gw3	v--pna---
λέγουσι	le/gousi	λέγω1	le/gw1	v-pppamd-
λέγουσι	le/gousi	λέγω1	le/gw1	v-pppand-
λέγουσι	le/gousi	λέγω1	le/gw1	v3ppia---
λέγουσι	le/gousi	λέγω2	le/gw2	v-pppamd-
λέγουσι	le/gousi	λέγω2	le/gw2	v-pppand-
λέγουσι	le/gousi	λέγω2	le/gw2	v3ppia---
λέγουσι	le/gousi	λέγω3	le/gw3	v-pppamd-
λέγουσι	le/gousi	λέγω3	le/gw3	v-pppand-
λέγουσι	le/gousi	λέγω3	le/gw3	v3ppia---
λέγων	le/gwn	λέγος	le/gos	a-p---fg-
λέγων	le/gwn	λέγος	le/gos	a-p---mg-
λέγων	le/gwn	λέγος	le/gos	a-p---ng-
λέγων	le/gwn	λέγω1	le/gw1	v-sppamn-
λέγων	le/gwn	λέγω2	le/gw2	v-sppamn-
λέγων	le/gwn	λέγω3	le/gw3	v-sppamn-
λέγωσι	le/gwsi	λέγω1	le/gw1	v3ppsa---
λέγωσι	le/gwsi	λέγω2	le/gw2	v3ppsa---
λέγωσι	le/gwsi	λέγω3	le/gw3	v3ppsa---
λήψεσθαι	lh/yesqai	λαμβάνω	lamba/nw	v--fnm---
λίαν	li/an	λίαν	li/an	d--------
λόγους	lo/gous	λόγος	lo/gos	n-p---ma-
λόγους	lo/gous	λογόω	logo/w	v2siia---
λόγων	lo/gwn	λόγος	lo/gos	n-p---mg-
λόγων	lo/gwn	λογάω	loga/w	v3piia---
λόγων	lo/gwn	λογάω	loga/w	v1siia---
λύχνον	lu/xnon	λύχνον	lu/xnon	n-s---nn-
λύχνον	lu/xnon	λύχνον	lu/xnon	n-s---nv-
λύχνον	lu/xnon	λύχνον	lu/xnon	n-s---na-
λύχνον	lu/xnon	λύχνος	lu/xnos	n-s---ma-
μαρτύρων	martu/rwn	μάρτυρος	ma/rturos	n-p---mg-
μαρτύρων	martu/rwn	μάρτυς	ma/rtus	n-p---mg-
μαρτύρων	martu/rwn	μάρτυς	ma/rtus	n-p---fg-
μαστιγωθεῖσαν	mastigwqei=san	μαστιγόω	mastigo/w	v-sappfa-
με	me	ἐγώ	e)gw/	p-s---ma-
με	me	ἐγώ	e)gw/	p-s---fa-
μεγάλοις	mega/lois	μέγας	me/gas	a-p---md-
μεγάλοις	mega/lois	μέγας	me/gas	a-p---nd-
μεγέθους	mege/qous	μέγεθος	me/geqos	n-s---ng-
μεγίστην	megi/sthn	μέγας	me/gas	a-s---fa-
μεθύων	mequ/wn	μεθύω	mequ/w	v-sppamn-
μεστός	mesto/s	μεστός	mesto/s	a-s---mn-
μεταξύ	metacu/	μεταξύ	metacu/	d--------
μετελθεῖν	metelqei=n	μετέρχομαι	mete/rxomai	v--ana---
μετά	meta/	μετά	meta/	r--------
μείζω	mei/zw	μέγας	me/gas	a-p---na-
μείζω	mei/zw	μέγας	me/gas	a-p---nn-
μείζω	mei/zw	μέγας	me/gas	a-s---ma-
μείζω	mei/zw	μέγας	me/gas	a-s---fa-
μεῖναι	mei=nai	μένω	me/nw	v2samm---
μεῖναι	mei=nai	μένω	me/nw	v--ana---
μηδεμιᾷ	mhdemia=|	μηδείς	mhdei/s	n-s---fd-
μηδενός	mhdeno/s	μηδείς	mhdei/s	n-s----g-
μηδείς	mhdei/s	μηδείς	mhdei/s	n-s---mn-
μηδείς	mhdei/s	μηδείς	mhdei/s	n-s---mv-
μηδέν	mhde/n	μηδείς	mhdei/s	n-s---nn-
μηδέν	mhde/n	μηδείς	mhdei/s	n-s---nv-
μηδέν	mhde/n	μηδείς	mhdei/s	n-s---na-
μηδένα	mhde/na	μηδείς	mhdei/s	n-s---ma-
μηδένα	mhde/na	μηδείς	mhdei/s	n-s---fa-
μηδένα	mhde/na	μηδείς	mhdei/s	n-p---nn-
μηδένα	mhde/na	μηδείς	mhdei/s	n-p---nv-
μηδένα	mhde/na	μηδείς	mhdei/s	n-p---na-
μηδέποτε	mhde/pote	μηδέποτε	mhde/pote	d--------
μητρός	mhtro/s	μήτηρ	mh/thr	n-s---fg-
μητρός	mhtro/s	μήτηρ	mh/thr	n-s---fg-
μηχανώμενοι	mhxanw/menoi	μηχανάομαι	mhxana/omai	v-pppemn-
μηχανώμενοι	mhxanw/menoi	μηχανάομαι	mhxana/omai	v-pppemv-
μικράς	mikra/s	μικρός	mikro/s	a-p---fa-
μικράς	mikra/s	σμικρός	smikro/s	a-p---fa-
μικρᾶς	mikra=s	μικρός	mikro/s	a-s---fg-
μικρᾶς	mikra=s	σμικρός	smikro/s	a-s---fg-
μισεῖσθαι	misei=sqai	μισέω	mise/w	v--pne---
μοι	moi	ἐγώ	e)gw/	p-s---md-
μοι	moi	ἐγώ	e)gw/	p-s---fd-
μοιχείας	moixei/as	μοιχεία	moixei/a	n-p---fa-
μοιχείας	moixei/as	μοιχεία	moixei/a	n-s---fg-
μοιχούς	moixou/s	μοιχός	moixo/s	n-p---ma-
μοιχοῖς	moixoi=s	μοιχάω	moixa/w	v2spoa---
μοιχοῖς	moixoi=s	μοιχός	moixo/s	n-p---md-
μοιχόν	moixo/n	μοιχός	moixo/s	n-s---ma-
μοιχῶν	moixw=n	μοιχάω	moixa/w	v-sppamv-
μοιχῶν	moixw=n	μοιχάω	moixa/w	v-sppann-
μοιχῶν	moixw=n	μοιχάω	moixa/w	v-sppanv-
μοιχῶν	moixw=n	μοιχάω	moixa/w	v-sppana-
μοιχῶν	moixw=n	μοιχάω	moixa/w	v-sppamn-
μοιχῶν	moixw=n	μοιχάω	moixa/w	v-sppamn-
μοιχῶν	moixw=n	μοιχάζω	moixa/zw	v-sfpamv-
μοιχῶν	moixw=n	μοιχάζω	moixa/zw	v-sfpann-
μοιχῶν	moixw=n	μοιχάζω	moixa/zw	v-sfpanv-
μοιχῶν	moixw=n	μοιχάζω	moixa/zw	v-sfpana-
μοιχῶν	moixw=n	μοιχάζω	moixa/zw	v-sfpamn-
μοιχῶν	moixw=n	μοιχή	moixh/	n-p---fg-
μοιχῶν	moixw=n	μοιχός	moixo/s	n-p---mg-
μου	mou	ἐγώ	e)gw/	p-s---mg-
μου	mou	ἐγώ	e)gw/	p-s---fg-
μοί	moi/	ἐγώ	e)gw/	p-s---md-
μοί	moi/	ἐγώ	e)gw/	p-s---fd-
μάρτυρας	ma/rturas	μάρτυς	ma/rtus	n-p---ma-
μάρτυρας	ma/rturas	μάρτυς	ma/rtus	n-p---fa-
μάρτυρες	ma/rtures	μάρτυς	ma/rtus	n-p---mn-
μάρτυρες	ma/rtures	μάρτυς	ma/rtus	n-p---mv-
μάρτυρες	ma/rtures	μάρτυς	ma/rtus	n-p---fn-
μάρτυρες	ma/rtures	μάρτυς	ma/rtus	n-p---fv-
μέγιστα	me/gista	μέγας	me/gas	a-p---nn-
μέγιστα	me/gista	μέγας	me/gas	a-p---nv-
μέγιστα	me/gista	μέγας	me/gas	a-p---na-
μέγιστον	me/giston	μέγας	me/gas	a-s---ma-
μέγιστον	me/giston	μέγας	me/gas	a-s---nn-
μέγιστον	me/giston	μέγας	me/gas	a-s---nv-
μέγιστον	me/giston	μέγας	me/gas	a-s---na-
μέν	me/n	μέν	me/n	g--------
μέταυλος	me/taulos	μέταυλος	me/taulos	n-s---mn-
μέταυλος	me/taulos	μέταυλος	me/taulos	n-s---fn-
μή	mh/	μή	mh/	c--------
μήτε	mh/te	μήτε	mh/te	g--------
μήτηρ	mh/thr	μήτηρ	mh/thr	n-s---fn-
μόνην	mo/nhn	μόνος	mo/nos	a-s---fa-
μόνον	mo/non	μόνος	mo/nos	a-s---ma-
μόνον	mo/non	μόνος	mo/nos	a-s---nn-
μόνον	mo/non	μόνος	mo/nos	a-s---nv-
μόνον	mo/non	μόνος	mo/nos	a-s---na-
μόνος	mo/nos	μόνος	mo/nos	a-s---mn-
μόνου	mo/nou	μόνος	mo/nos	a-s---mg-
μόνου	mo/nou	μόνος	mo/nos	a-s---ng-
μόνου	mo/nou	μονόω	mono/w	v2spma---
μόνου	mo/nou	μονόω	mono/w	v3siia---
μύλωνα	mu/lwna	μυλών	mulw/n	n-s---ma-
μᾶλλον	ma=llon	μᾶλλον	ma=llon	d--------
νεανίσκον	neani/skon	νεανίσκος	neani/skos	n-s---ma-
νομοθέτης	nomoqe/ths	νομοθέτης	nomoqe/ths	n-s---mn-
νομοθέτης	nomoqe/ths	νομοθετέω	nomoqete/w	v2siia---
νομίζουσα	nomi/zousa	νομίζω	nomi/zw	v-sppafn-
νομίζουσα	nomi/zousa	νομίζω	nomi/zw	v-sppafv-
νομίζω	nomi/zw	νομίζω	nomi/zw	v1spsa---
νομίζω	nomi/zw	νομίζω	nomi/zw	v1spia---
νοῦν	nou=n	νέω	ne/w	v-sppamv-
νοῦν	nou=n	νέω	ne/w	v-sppann-
νοῦν	nou=n	νέω	ne/w	v-sppanv-
νοῦν	nou=n	νέω	ne/w	v-sppana-
νοῦν	nou=n	νέω	ne/w	v3piia---
νοῦν	nou=n	νέω	ne/w	v1siia---
νοῦν	nou=n	νέω1	ne/w1	v-sppamv-
νοῦν	nou=n	νέω1	ne/w1	v-sppann-
νοῦν	nou=n	νέω1	ne/w1	v-sppanv-
νοῦν	nou=n	νέω1	ne/w1	v-sppana-
νοῦν	nou=n	νέω1	ne/w1	v3piia---
νοῦν	nou=n	νέω1	ne/w1	v1siia---
νοῦν	nou=n	νέω2	ne/w2	v-sppamv-
νοῦν	nou=n	νέω2	ne/w2	v-sppann-
νοῦν	nou=n	νέω2	ne/w2	v-sppanv-
νοῦν	nou=n	νέω2	ne/w2	v-sppana-
νοῦν	nou=n	νέω2	ne/w2	v3piia---
νοῦν	nou=n	νέω2	ne/w2	v1siia---
νοῦν	nou=n	νέω3	ne/w3	v-sppamv-
νοῦν	nou=n	νέω3	ne/w3	v-sppann-
νοῦν	nou=n	νέω3	ne/w3	v-sppanv-
νοῦν	nou=n	νέω3	ne/w3	v-sppana-
νοῦν	nou=n	νέω3	ne/w3	v3piia---
νοῦν	nou=n	νέω3	ne/w3	v1siia---
νοῦν	nou=n	νόος	no/os	n-s---ma-
νυκτί	nukti/	νύξ	nu/c	n-s---fd-
νυκτός	nukto/s	νύξ	nu/c	n-s---fg-
