Αὐλίδι	*au)li/di	Αὐλίς	*au)li/s	n-s---fd-
ἄνασσ’	a)/nass'	ἀνάζω	a)na/zw	v2slie---
ἄνασσ’	a)/nass'	ἀνάζω	a)na/zw	v2srme---
ἄνασσ’	a)/nass'	ἀνάζω	a)na/zw	v3saia---
ἄνασσ’	a)/nass'	ἀνάζω	a)na/zw	v2srie---
ἄνασσ’	a)/nass'	ἀνάζω	a)na/zw	v2samm---
ἄνασσ’	a)/nass'	ἀνάζω	a)na/zw	v1saia---
ἄνασσ’	a)/nass'	ἀνάζω	a)na/zw	v3saia---
ἄνδρας	a)/ndras	ἀνήρ	a)nh/r	n-p---ma-
ἄνδρ’	a)/ndr'	ἀνήρ	a)nh/r	n-s---ma-
ἄνδρ’	a)/ndr'	ἀνήρ	a)nh/r	n-d---mn-
ἄνδρ’	a)/ndr'	ἀνήρ	a)nh/r	n-d---mv-
ἄνδρ’	a)/ndr'	ἀνήρ	a)nh/r	n-d---ma-
ἄνελπις	a)/nelpis	ἄνελπις	a)/nelpis	n-s---fn-
ἄνεμος	a)/nemos	ἄνεμος	a)/nemos	n-s---mn-
ἄνοστος	a)/nostos	ἄνοστος	a)/nostos	n-s---mn-
ἄνοστος	a)/nostos	ἄνοστος	a)/nostos	n-s---fn-
ἄντρ’	a)/ntr'	ἄντρον	a)/ntron	n-p---nn-
ἄντρ’	a)/ntr'	ἄντρον	a)/ntron	n-p---nv-
ἄντρ’	a)/ntr'	ἄντρον	a)/ntron	n-p---na-
ἄνω	a)/nw	ἄνοος	a)/noos	n-d---mn-
ἄνω	a)/nw	ἄνοος	a)/noos	n-d---mv-
ἄνω	a)/nw	ἄνοος	a)/noos	n-d---ma-
ἄνω	a)/nw	ἄνοος	a)/noos	n-d---fn-
ἄνω	a)/nw	ἄνοος	a)/noos	n-d---fv-
ἄνω	a)/nw	ἄνοος	a)/noos	n-d---fa-
ἄνω	a)/nw	ἄνοος	a)/noos	n-d---nn-
ἄνω	a)/nw	ἄνοος	a)/noos	n-d---nv-
ἄνω	a)/nw	ἄνοος	a)/noos	n-d---na-
ἄνω	a)/nw	ἄνω1	a)/nw1	v1spsa---
ἄνω	a)/nw	ἄνω1	a)/nw1	v1spia---
ἄνω	a)/nw	ἄνω2	a)/nw2	d--------
ἄξει	a)/cei	ἄγνυμι	a)/gnumi	v3sasa---
ἄξει	a)/cei	ἄγνυμι	a)/gnumi	v2sfim---
ἄξει	a)/cei	ἄγνυμι	a)/gnumi	v3sfia---
ἄξει	a)/cei	ἄγω	a)/gw	v3sasa---
ἄξει	a)/cei	ἄγω	a)/gw	v2sfim---
ἄξει	a)/cei	ἄγω	a)/gw	v3sfia---
ἄξεινον	a)/ceinon	ἄξεινος	a)/ceinos	n-s---ma-
ἄξεινον	a)/ceinon	ἄξεινος	a)/ceinos	n-s---fa-
ἄξεινον	a)/ceinon	ἄξεινος	a)/ceinos	n-s---nn-
ἄξεινον	a)/ceinon	ἄξεινος	a)/ceinos	n-s---nv-
ἄξεινον	a)/ceinon	ἄξεινος	a)/ceinos	n-s---na-
ἄξεινον	a)/ceinon	ἄξενος	a)/cenos	n-s---ma-
ἄξεινον	a)/ceinon	ἄξενος	a)/cenos	n-s---fa-
ἄξεινον	a)/ceinon	ἄξενος	a)/cenos	n-s---nn-
ἄξεινον	a)/ceinon	ἄξενος	a)/cenos	n-s---nv-
ἄξεινον	a)/ceinon	ἄξενος	a)/cenos	n-s---na-
ἄξεις	a)/ceis	ἄγνυμι	a)/gnumi	v2sasa---
ἄξεις	a)/ceis	ἄγνυμι	a)/gnumi	v2sfia---
ἄξεις	a)/ceis	ἄγω	a)/gw	v2sasa---
ἄξεις	a)/ceis	ἄγω	a)/gw	v2sfia---
ἄξενον	a)/cenon	ἄξενος	a)/cenos	n-s---ma-
ἄξενον	a)/cenon	ἄξενος	a)/cenos	n-s---fa-
ἄξενον	a)/cenon	ἄξενος	a)/cenos	n-s---nn-
ἄξενον	a)/cenon	ἄξενος	a)/cenos	n-s---nv-
ἄξενον	a)/cenon	ἄξενος	a)/cenos	n-s---na-
ἄξω	a)/cw	ἄξος	a)/cos	n-d---mn-
ἄξω	a)/cw	ἄξος	a)/cos	n-d---mv-
ἄξω	a)/cw	ἄξος	a)/cos	n-d---ma-
ἄξω	a)/cw	ἄξος	a)/cos	n-s---mg-
ἄξω	a)/cw	ἄγνυμι	a)/gnumi	v2saim---
ἄξω	a)/cw	ἄγνυμι	a)/gnumi	v1sasa---
ἄξω	a)/cw	ἄγνυμι	a)/gnumi	v1sfia---
ἄξω	a)/cw	ἄγνυμι	a)/gnumi	v2saim---
ἄξω	a)/cw	ἄγω	a)/gw	v2saim---
ἄξω	a)/cw	ἄγω	a)/gw	v1sasa---
ἄξω	a)/cw	ἄγω	a)/gw	v1sfia---
ἄξω	a)/cw	ἄγω	a)/gw	v2saim---
ἄξων	a)/cwn	ἄξος	a)/cos	n-p---mg-
ἄξων	a)/cwn	ἄξων	a)/cwn	n-s---mn-
ἄξων	a)/cwn	ἄξων	a)/cwn	n-s---mv-
ἄξων	a)/cwn	ἄγνυμι	a)/gnumi	v-sfpamn-
ἄξων	a)/cwn	ἄγω	a)/gw	v-sfpamn-
ἄπαις	a)/pais	ἄπαις	a)/pais	n-s---mn-
ἄπαις	a)/pais	ἄπαις	a)/pais	n-s---fn-
ἄπελθε	a)/pelqe	ἀπέρχομαι	a)pe/rxomai	v2sama---
ἄπελθε	a)/pelqe	ἀπέρχομαι	a)pe/rxomai	v3saia---
ἄπελθε	a)/pelqe	ἀπέρχομαι	a)pe/rxomai	v3saia---
ἄπιστα	a)/pista	ἄπιστος	a)/pistos	n-p---nn-
ἄπιστα	a)/pista	ἄπιστος	a)/pistos	n-p---nv-
ἄπιστα	a)/pista	ἄπιστος	a)/pistos	n-p---na-
ἄπιστα	a)/pista	ἀφεστήξω	a)festh/cw	v2spma---
ἄπιστον	a)/piston	ἄπιστος	a)/pistos	n-s---ma-
ἄπιστον	a)/piston	ἄπιστος	a)/pistos	n-s---fa-
ἄπιστον	a)/piston	ἄπιστος	a)/pistos	n-s---nn-
ἄπιστον	a)/piston	ἄπιστος	a)/pistos	n-s---nv-
ἄπιστον	a)/piston	ἄπιστος	a)/pistos	n-s---na-
ἄπιστος	a)/pistos	ἄπιστος	a)/pistos	n-s---mn-
ἄπιστος	a)/pistos	ἄπιστος	a)/pistos	n-s---fn-
ἄπιστ’	a)/pist'	ἄπιστος	a)/pistos	n-p---nn-
ἄπιστ’	a)/pist'	ἄπιστος	a)/pistos	n-p---nv-
ἄπιστ’	a)/pist'	ἄπιστος	a)/pistos	n-p---na-
ἄπιστ’	a)/pist'	ἄπιστος	a)/pistos	n-s---mv-
ἄπιστ’	a)/pist'	ἄπιστος	a)/pistos	n-s---fv-
ἄπιστ’	a)/pist'	ἀφεστήξω	a)festh/cw	v2spma---
ἄπληστος	a)/plhstos	ἄπληστος	a)/plhstos	n-s---mn-
ἄπληστος	a)/plhstos	ἄπληστος	a)/plhstos	n-s---fn-
ἄποιν’	a)/poin'	ἄποινα	a)/poina	n-p---nn-
ἄποιν’	a)/poin'	ἄποινα	a)/poina	n-p---nv-
ἄποιν’	a)/poin'	ἄποινα	a)/poina	n-p---na-
ἄποιν’	a)/poin'	ἄποινος	a)/poinos	n-p---nn-
ἄποιν’	a)/poin'	ἄποινος	a)/poinos	n-p---nv-
ἄποιν’	a)/poin'	ἄποινος	a)/poinos	n-p---na-
ἄποιν’	a)/poin'	ἄποινος	a)/poinos	n-s---mv-
ἄποιν’	a)/poin'	ἄποινος	a)/poinos	n-s---fv-
ἄπολις	a)/polis	ἄπολις	a)/polis	n-s---mn-
ἄπολις	a)/polis	ἄπολις	a)/polis	n-s---fn-
ἄπολις	a)/polis	ἄπολις	a)/polis	n-s---fn-
ἄπορον	a)/poron	ἄπορος	a)/poros	n-s---ma-
ἄπορον	a)/poron	ἄπορος	a)/poros	n-s---fa-
ἄπορον	a)/poron	ἄπορος	a)/poros	n-s---nn-
ἄπορον	a)/poron	ἄπορος	a)/poros	n-s---nv-
ἄπορον	a)/poron	ἄπορος	a)/poros	n-s---na-
ἄπτερος	a)/pteros	ἄπτερος	a)/pteros	n-s---mn-
ἄπτερος	a)/pteros	ἄπτερος	a)/pteros	n-s---fn-
ἄπωθεν	a)/pwqen	ἄπωθεν	a)/pwqen	d--------
ἄρα	a)/ra	ἄρα	a)/ra	g--------
ἄρα	a)/ra	ἄρον	a)/ron	n-p---nn-
ἄρα	a)/ra	ἄρον	a)/ron	n-p---nv-
ἄρα	a)/ra	ἄρον	a)/ron	n-p---na-
ἄρα	a)/ra	ἄρος	a)/ros	n-p---nn-
ἄρα	a)/ra	ἄρος	a)/ros	n-p---nv-
ἄρα	a)/ra	ἄρος	a)/ros	n-p---na-
ἄριστον	a)/riston	ἄριστον	a)/riston	n-s---nn-
ἄριστον	a)/riston	ἄριστον	a)/riston	n-s---nv-
ἄριστον	a)/riston	ἄριστον	a)/riston	n-s---na-
ἄριστον	a)/riston	ἄριστον	a)/riston	n-s---nn-
ἄριστον	a)/riston	ἄριστον	a)/riston	n-s---nv-
ἄριστον	a)/riston	ἄριστον	a)/riston	n-s---na-
ἄριστον	a)/riston	ἄριστος	a)/ristos	a-s---ma-
ἄριστον	a)/riston	ἄριστος	a)/ristos	a-s---nn-
ἄριστον	a)/riston	ἄριστος	a)/ristos	a-s---nv-
ἄριστον	a)/riston	ἄριστος	a)/ristos	a-s---na-
ἄρκυν	a)/rkun	ἄρκυς	a)/rkus	n-s---fa-
ἄρνας	a)/rnas	ἀρνός	a)rno/s	n-p---ma-
ἄρνας	a)/rnas	ἀρνός	a)rno/s	n-p---fa-
ἄρρητ’	a)/rrht'	ἄρρητος	a)/rrhtos	a-p---nn-
ἄρρητ’	a)/rrht'	ἄρρητος	a)/rrhtos	a-p---nv-
ἄρρητ’	a)/rrht'	ἄρρητος	a)/rrhtos	a-p---na-
ἄρρητ’	a)/rrht'	ἄρρητος	a)/rrhtos	n-p---nn-
ἄρρητ’	a)/rrht'	ἄρρητος	a)/rrhtos	n-p---nv-
ἄρρητ’	a)/rrht'	ἄρρητος	a)/rrhtos	n-p---na-
ἄρρητ’	a)/rrht'	ἄρρητος	a)/rrhtos	a-s---mv-
ἄρρητ’	a)/rrht'	ἄρρητος	a)/rrhtos	n-s---mv-
ἄρρητ’	a)/rrht'	ἄρρητος	a)/rrhtos	n-s---fv-
ἄρρητ’	a)/rrht'	ἄρρητος	a)/rrhtos	a-p---fn-
ἄρρητ’	a)/rrht'	ἄρρητος	a)/rrhtos	a-p---fv-
ἄρσενας	a)/rsenas	ἄρσην	a)/rshn	n-p---ma-
ἄρσενας	a)/rsenas	ἄρσην	a)/rshn	n-p---fa-
ἄρσενες	a)/rsenes	ἄρσην	a)/rshn	n-p---mn-
ἄρσενες	a)/rsenes	ἄρσην	a)/rshn	n-p---mv-
ἄρσενες	a)/rsenes	ἄρσην	a)/rshn	n-p---fn-
ἄρσενες	a)/rsenes	ἄρσην	a)/rshn	n-p---fv-
ἄρχει	a)/rxei	ἄρχω	a)/rxw	v2spie---
ἄρχει	a)/rxei	ἄρχω	a)/rxw	v3spia---
ἄταν	a)/tan	ἄτη	a)/th	n-s---fa-
ἄτεκνος	a)/teknos	ἄτεκνος	a)/teknos	n-s---mn-
ἄτεκνος	a)/teknos	ἄτεκνος	a)/teknos	n-s---fn-
ἄτερ	a)/ter	ἄτερ	a)/ter	r--------
ἄτοπον	a)/topon	ἄτοπος	a)/topos	n-s---ma-
ἄτοπον	a)/topon	ἄτοπος	a)/topos	n-s---fa-
ἄτοπον	a)/topon	ἄτοπος	a)/topos	n-s---nn-
ἄτοπον	a)/topon	ἄτοπος	a)/topos	n-s---nv-
ἄτοπον	a)/topon	ἄτοπος	a)/topos	n-s---na-
ἄφαρ	a)/far	ἄφαρ	a)/far	d--------
ἄφιλος	a)/filos	ἄφιλος	a)/filos	n-s---mn-
ἄφιλος	a)/filos	ἄφιλος	a)/filos	n-s---fn-
ἄφρων	a)/frwn	ἄφρων	a)/frwn	n-s---mn-
ἄφρων	a)/frwn	ἄφρων	a)/frwn	n-s---fn-
ἄχαριν	a)/xarin	ἄχαρις	a)/xaris	n-s---ma-
ἄχαριν	a)/xarin	ἄχαρις	a)/xaris	n-s---fa-
ἄχεα	a)/xea	ἄχος	a)/xos	n-p---nn-
ἄχεα	a)/xea	ἄχος	a)/xos	n-p---nv-
ἄχεα	a)/xea	ἄχος	a)/xos	n-p---na-
ἄχεσιν	a)/xesin	ἄχος	a)/xos	n-p---nd-
ἄχθη	a)/xqh	ἄγω	a)/gw	v3saip---
ἄχθη	a)/xqh	ἄγω	a)/gw	v3saip---
ἄχθη	a)/xqh	ἄχθος	a)/xqos	n-p---nn-
ἄχθη	a)/xqh	ἄχθος	a)/xqos	n-p---nv-
ἄχθη	a)/xqh	ἄχθος	a)/xqos	n-p---na-
ἄχθη	a)/xqh	ἄχθος	a)/xqos	n-d---nn-
ἄχθη	a)/xqh	ἄχθος	a)/xqos	n-d---nv-
ἄχθη	a)/xqh	ἄχθος	a)/xqos	n-d---na-
ἄχθη	a)/xqh	ἀχθέω	a)xqe/w	v3siia---
ἄχθη	a)/xqh	ἀχθέω	a)xqe/w	v2spma---
ἄχρηστον	a)/xrhston	ἄχρηστος	a)/xrhstos	n-s---ma-
ἄχρηστον	a)/xrhston	ἄχρηστος	a)/xrhstos	n-s---fa-
ἄχρηστον	a)/xrhston	ἄχρηστος	a)/xrhstos	n-s---nn-
ἄχρηστον	a)/xrhston	ἄχρηστος	a)/xrhstos	n-s---nv-
ἄχρηστον	a)/xrhston	ἄχρηστος	a)/xrhstos	n-s---na-
ἅ	a(/	ὁ	o(	l-s---fn-
ἅ	a(/	ὅς	o(/s	p-p---na-
ἅ	a(/	ὅς	o(/s	p-p---nn-
ἅ	a(/	ὅς	o(/s	p-d---fa-
ἅ	a(/	ὅς	o(/s	p-d---fn-
ἅ	a(/	ὅς	o(/s	p-s---fn-
ἅγνισον	a(/gnison	ἁγνίζω	a(gni/zw	v2sama---
ἅλα	a(/la	ἅλς	a(/ls	n-s---ma-
ἅλα	a(/la	ἅλς	a(/ls	n-s---fa-
ἅλιον	a(/lion	ἅλιοσ1	a(/lios1	a-s---ma-
ἅλιον	a(/lion	ἅλιοσ1	a(/lios1	a-s---nn-
ἅλιον	a(/lion	ἅλιοσ1	a(/lios1	a-s---nv-
ἅλιον	a(/lion	ἅλιοσ1	a(/lios1	a-s---na-
ἅλιον	a(/lion	ἅλιοσ1	a(/lios1	n-s---ma-
ἅλιον	a(/lion	ἅλιοσ1	a(/lios1	n-s---fa-
ἅλιον	a(/lion	ἅλιοσ1	a(/lios1	n-s---nn-
ἅλιον	a(/lion	ἅλιοσ1	a(/lios1	n-s---nv-
ἅλιον	a(/lion	ἅλιοσ1	a(/lios1	n-s---na-
ἅλιον	a(/lion	ἅλιοσ2	a(/lios2	a-s---ma-
ἅλιον	a(/lion	ἅλιοσ2	a(/lios2	a-s---nn-
ἅλιον	a(/lion	ἅλιοσ2	a(/lios2	a-s---nv-
ἅλιον	a(/lion	ἅλιοσ2	a(/lios2	a-s---na-
ἅλιον	a(/lion	ἥλιος	h(/lios	n-s---ma-
ἅλιος	a(/lios	ἅλιοσ1	a(/lios1	a-s---mn-
ἅλιος	a(/lios	ἅλιοσ1	a(/lios1	n-s---mn-
ἅλιος	a(/lios	ἅλιοσ1	a(/lios1	n-s---fn-
ἅλιος	a(/lios	ἅλιοσ2	a(/lios2	a-s---mn-
ἅλιος	a(/lios	ἥλιος	h(/lios	n-s---mn-
ἅλις	a(/lis	ἅλις	a(/lis	d--------
ἅλμην	a(/lmhn	ἅλμη	a(/lmh	n-s---fa-
ἅλμην	a(/lmhn	ἁλμάω	a(lma/w	v3piia---
ἅλμην	a(/lmhn	ἁλμάω	a(lma/w	v1siia---
ἅλμην	a(/lmhn	ἁλμάω	a(lma/w	v3piia---
ἅλμην	a(/lmhn	ἁλμάω	a(lma/w	v1siia---
ἅμα	a(/ma	ἅμα	a(/ma	d--------
ἅμιλλαν	a(/millan	ἅμιλλα	a(/milla	n-s---fa-
ἅν	a(/n	ὅς	o(/s	p-s---fa-
ἅπαντα	a(/panta	ἅπας	a(/pas	a-p---nn-
ἅπαντα	a(/panta	ἅπας	a(/pas	a-p---nv-
ἅπαντα	a(/panta	ἅπας	a(/pas	a-p---na-
ἅπαντα	a(/panta	ἅπας	a(/pas	a-s---ma-
ἅπαντας	a(/pantas	ἅπας	a(/pas	a-p---ma-
ἅπαξ	a(/pac	ἅπαξ	a(/pac	d--------
ἅπασι	a(/pasi	ἅπας	a(/pas	a-p---md-
ἅπασι	a(/pasi	ἅπας	a(/pas	a-p---nd-
ἅπερ	a(/per	ὁ	o(	l-s---fn-
ἅπερ	a(/per	ὅς	o(/s	p-p---na-
ἅπερ	a(/per	ὅς	o(/s	p-p---nn-
ἅπερ	a(/per	ὅς	o(/s	p-d---fa-
ἅπερ	a(/per	ὅς	o(/s	p-d---fn-
ἅπερ	a(/per	ὅς	o(/s	p-s---fn-
ἅς	a(/s	ὅς	o(/s	p-p---fa-
ἅτεροι	a(/teroi	ἅτερος	a(/teros	a-p---mn-
ἅτεροι	a(/teroi	ἅτερος	a(/teros	a-p---mv-
ἅτερος	a(/teros	ἅτερος	a(/teros	a-s---mn-
ἅψηται	a(/yhtai	ἅπτω	a(/ptw	v3sasm---
ἆρα	a)=ra	ἆρα	a)=ra	x--------
ἆρα	a)=ra	αἴρω	ai)/rw	v1saia---
ἆρα	a)=ra	αἴρω	ai)/rw	v1saia---
ἆται	a)=tai	ἄτη	a)/th	n-p---fn-
ἆται	a)=tai	ἄτη	a)/th	n-p---fv-
Ἀγαμεμνονείας	*)agamemnonei/as	Ἀγαμεμνόνεος	*)agamemno/neos	a-p---fa-
Ἀγαμεμνονείας	*)agamemnonei/as	Ἀγαμεμνόνεος	*)agamemno/neos	a-s---fg-
Ἀγαμεμνονίαν	*)agamemnoni/an	Ἀγαμεμνόνεος	*)agamemno/neos	a-s---fa-
Ἀγαμεμνονίαν	*)agamemnoni/an	Ἀγαμεμνόνιος	*)agamemno/nios	a-s---fa-
Ἀγαμεμνόνιον	*)agamemno/nion	Ἀγαμεμνόνεος	*)agamemno/neos	a-s---ma-
Ἀγαμεμνόνιον	*)agamemno/nion	Ἀγαμεμνόνεος	*)agamemno/neos	a-s---nn-
Ἀγαμεμνόνιον	*)agamemno/nion	Ἀγαμεμνόνεος	*)agamemno/neos	a-s---nv-
Ἀγαμεμνόνιον	*)agamemno/nion	Ἀγαμεμνόνεος	*)agamemno/neos	a-s---na-
Ἀγαμεμνόνιον	*)agamemno/nion	Ἀγαμεμνόνιος	*)agamemno/nios	a-s---ma-
Ἀγαμεμνόνιον	*)agamemno/nion	Ἀγαμεμνόνιος	*)agamemno/nios	a-s---nn-
Ἀγαμεμνόνιον	*)agamemno/nion	Ἀγαμεμνόνιος	*)agamemno/nios	a-s---nv-
Ἀγαμεμνόνιον	*)agamemno/nion	Ἀγαμεμνόνιος	*)agamemno/nios	a-s---na-
Ἀγαμέμνονος	*)agame/mnonos	Ἀγαμέμνων	*)agame/mnwn	n-s---mg-
Ἀγαμέμνονός	*)agame/mnono/s	Ἀγαμέμνων	*)agame/mnwn	n-s---mg-
Ἀγαμέμνον’	*)agame/mnon'	Ἀγαμέμνων	*)agame/mnwn	n-s---ma-
Ἀγαμέμνον’	*)agame/mnon'	Ἀγαμέμνων	*)agame/mnwn	n-s---md-
Ἀγαμέμνον’	*)agame/mnon'	Ἀγαμέμνων	*)agame/mnwn	n-d---mn-
Ἀγαμέμνον’	*)agame/mnon'	Ἀγαμέμνων	*)agame/mnwn	n-d---mv-
Ἀγαμέμνον’	*)agame/mnon'	Ἀγαμέμνων	*)agame/mnwn	n-d---ma-
Ἀγαμέμνων	*)agame/mnwn	Ἀγαμέμνων	*)agame/mnwn	n-s---mn-
Ἀγαμέμνων	*)agame/mnwn	Ἀγαμέμνων	*)agame/mnwn	n-s---mv-
Ἀγάμεμνον	*)aga/memnon	Ἀγαμέμνων	*)agame/mnwn	n-s---mv-
Ἀθηναίας	*)aqhnai/as	Ἀθηναῖος	*)aqhnai=os	a-p---fa-
Ἀθηναίας	*)aqhnai/as	Ἀθηναῖος	*)aqhnai=os	a-s---fg-
Ἀθηναίοισι	*)aqhnai/oisi	Ἀθήναια	*)aqh/naia	n-p---nd-
Ἀθηναίοισι	*)aqhnai/oisi	Ἀθήναιον	*)aqh/naion	n-p---nd-
Ἀθηναίοισι	*)aqhnai/oisi	Ἀθήναιος	*)aqh/naios	n-p---md-
Ἀθηναίοισι	*)aqhnai/oisi	Ἀθηναῖος	*)aqhnai=os	a-p---md-
Ἀθηναίοισι	*)aqhnai/oisi	Ἀθηναῖος	*)aqhnai=os	a-p---nd-
Ἀθηναίων	*)aqhnai/wn	Ἀθήναια	*)aqh/naia	n-p---ng-
Ἀθηναίων	*)aqhnai/wn	Ἀθήναιον	*)aqh/naion	n-p---ng-
Ἀθηναίων	*)aqhnai/wn	Ἀθήναιος	*)aqh/naios	n-p---mg-
Ἀθηναίων	*)aqhnai/wn	Ἀθηναῖος	*)aqhnai=os	a-p---fg-
Ἀθηναίων	*)aqhnai/wn	Ἀθηναῖος	*)aqhnai=os	a-p---mg-
Ἀθηναίων	*)aqhnai/wn	Ἀθηναῖος	*)aqhnai=os	a-p---ng-
Ἀθηνῶν	*)aqhnw=n	Ἀθῆναι	*)aqh=nai	n-p---fg-
Ἀθάνα	*)aqa/na	Ἀθήνη	*)aqh/nh	n-s---fn-
Ἀθάνα	*)aqa/na	Ἀθήνη	*)aqh/nh	n-s---fv-
Ἀθήνας	*)aqh/nas	Ἀθήνευς	*)aqh/neus	n-p---ma-
Ἀθήνας	*)aqh/nas	Ἀθῆναι	*)aqh=nai	n-p---fa-
Ἀθήνας	*)aqh/nas	Ἀθῆναι	*)aqh=nai	n-s---fg-
Ἀμφιτρίτας	*)amfitri/tas	Ἀμφιτρίτη	*)amfitri/th	n-s---fg-
Ἀξείνου	*)acei/nou	Ἄξεινος	*)/aceinos	n-s---mg-
Ἀξείνου	*)acei/nou	ἄξεινος	a)/ceinos	n-s---mg-
Ἀξείνου	*)acei/nou	ἄξεινος	a)/ceinos	n-s---fg-
Ἀξείνου	*)acei/nou	ἄξεινος	a)/ceinos	n-s---ng-
Ἀξείνου	*)acei/nou	ἄξενος	a)/cenos	n-s---mg-
Ἀξείνου	*)acei/nou	ἄξενος	a)/cenos	n-s---fg-
Ἀξείνου	*)acei/nou	ἄξενος	a)/cenos	n-s---ng-
Ἀργεία	*)argei/a	Ἀργεῖος	*)argei=os	a-d---fn-
Ἀργεία	*)argei/a	Ἀργεῖος	*)argei=os	a-d---fv-
Ἀργεία	*)argei/a	Ἀργεῖος	*)argei=os	a-d---fa-
Ἀργεία	*)argei/a	Ἀργεῖος	*)argei=os	a-s---fn-
Ἀργεία	*)argei/a	Ἀργεῖος	*)argei=os	a-s---fv-
Ἀργείαν	*)argei/an	Ἀργεῖος	*)argei=os	a-s---fa-
Ἀργείας	*)argei/as	Ἀργεῖος	*)argei=os	a-p---fa-
Ἀργείας	*)argei/as	Ἀργεῖος	*)argei=os	a-s---fg-
Ἀργεῖαί	*)argei=ai/	Ἀργεῖος	*)argei=os	a-p---fn-
Ἀργεῖαί	*)argei=ai/	Ἀργεῖος	*)argei=os	a-p---fv-
Ἀργεῖαί	*)argei=ai/	ἀργέω	a)rge/w	v2spie---
Ἀργεῖος	*)argei=os	Ἀργεῖος	*)argei=os	a-s---mn-
Ἀργόθεν	*)argo/qen	Ἀργόθεν	*)argo/qen	d--------
Ἀρείοις	*)arei/ois	Ἄρειος	*)/areios	n-p---md-
Ἀρείοις	*)arei/ois	Ἄρειος	*)/areios	n-p---fd-
Ἀρείοις	*)arei/ois	Ἄρειος	*)/areios	n-p---nd-
Ἀρείοις	*)arei/ois	Ἄρειος	*)/areios	n-p---md-
Ἀρείοις	*)arei/ois	ἄρειος	a)/reios	a-p---md-
Ἀρείοις	*)arei/ois	ἄρειος	a)/reios	a-p---nd-
Ἀρείοις	*)arei/ois	ἄρειος	a)/reios	a-p---md-
Ἀρείοις	*)arei/ois	ἄρειος	a)/reios	a-p---nd-
Ἀρείοις	*)arei/ois	ἄρειος	a)/reios	n-p---md-
Ἀρείοις	*)arei/ois	ἄρειος	a)/reios	n-p---fd-
Ἀρείοις	*)arei/ois	ἄρειος	a)/reios	n-p---nd-
Ἀρτέμιδι	*)arte/midi	Ἄρτεμις	*)/artemis	n-s---fd-
Ἀσιητᾶν	*)asihta=n	Ἀσιανός	*)asiano/s	n-p---mg-
Ἀσιήτιδα	*)asih/tida	Ἀσιανός	*)asiano/s	n-s---fa-
Ἀσιήτιδα	*)asih/tida	Ἀσιήτις	*)asih/tis	n-s---fa-
Ἀτθίδος	*)atqi/dos	Ἀτθίς	*)atqi/s	n-s---fg-
Ἀτρειδᾶν	*)atreida=n	Ἀτρείδης	*)atrei/dhs	n-p---mg-
Ἀτρειδᾶν	*)atreida=n	Ἀτρείδης	*)atrei/dhs	n-p---mg-
Ἀτρείδα	*)atrei/da	Ἀτρείδης	*)atrei/dhs	n-s---mv-
Ἀτρείδα	*)atrei/da	Ἀτρείδης	*)atrei/dhs	n-s---mg-
Ἀτρείδα	*)atrei/da	Ἀτρείδης	*)atrei/dhs	n-s---mn-
Ἀτρείδα	*)atrei/da	Ἀτρείδης	*)atrei/dhs	n-d---mn-
Ἀτρείδα	*)atrei/da	Ἀτρείδης	*)atrei/dhs	n-d---mv-
Ἀτρείδα	*)atrei/da	Ἀτρείδης	*)atrei/dhs	n-d---ma-
Ἀτρείδα	*)atrei/da	Ἀτρείδης	*)atrei/dhs	n-d---mn-
Ἀτρείδα	*)atrei/da	Ἀτρείδης	*)atrei/dhs	n-d---mv-
Ἀτρείδα	*)atrei/da	Ἀτρείδης	*)atrei/dhs	n-d---ma-
Ἀτρείδα	*)atrei/da	Ἀτρείδης	*)atrei/dhs	n-s---mg-
Ἀτρείδαιν	*)atrei/dain	Ἀτρείδης	*)atrei/dhs	n-d---mg-
Ἀτρείδαιν	*)atrei/dain	Ἀτρείδης	*)atrei/dhs	n-d---md-
Ἀτρείδαιν	*)atrei/dain	Ἀτρείδης	*)atrei/dhs	n-d---mg-
Ἀτρείδαιν	*)atrei/dain	Ἀτρείδης	*)atrei/dhs	n-d---md-
Ἀτρεύς	*)atreu/s	Ἀτρεύς	*)atreu/s	n-s---mn-
Ἀτρέως	*)atre/ws	Ἀτρεύς	*)atreu/s	n-s---mg-
Ἀτρέως	*)atre/ws	Ἀτρεύς	*)atreu/s	n-s---mg-
Ἀτρέως	*)atre/ws	Ἀτρεύς	*)atreu/s	n-s---mn-
Ἀχαιοῖς	*)axaioi=s	Ἀχαιός	*)axaio/s	a-p---md-
Ἀχαιοῖς	*)axaioi=s	Ἀχαιός	*)axaio/s	a-p---nd-
Ἀχαιῶν	*)axaiw=n	Ἀχαιός	*)axaio/s	a-p---fg-
Ἀχαιῶν	*)axaiw=n	Ἀχαιός	*)axaio/s	a-p---mg-
Ἀχαιῶν	*)axaiw=n	Ἀχαιός	*)axaio/s	a-p---ng-
Ἀχαιῶν	*)axaiw=n	ἀχαιά	a)xaia/	n-p---fg-
Ἀχιλλεύς	*)axilleu/s	Ἀχιλλεύς	*)axilleu/s	n-s---mn-
Ἀχιλλέως	*)axille/ws	Ἀχιλλεύς	*)axilleu/s	n-s---mg-
Ἀχιλλέως	*)axille/ws	Ἀχιλλεύς	*)axilleu/s	n-s---mg-
Ἀχιλλέως	*)axille/ws	Ἀχιλλεύς	*)axilleu/s	n-s---mn-
