Αὐλίδι	*au)li/di	Αὐλίς	*au)li/s	urn:cite2:hmt:lsj.chicago_md:n17435	n-s---fd-
δίωκέ	di/wke/	διώκω	diw/kw	urn:cite2:hmt:lsj.chicago_md:n27764	v2spma---
δίωκέ	di/wke/	διώκω	diw/kw	urn:cite2:hmt:lsj.chicago_md:n27764	v3siia---
δίᾳ	di/a|	δῖος	di=os	urn:cite2:hmt:lsj.chicago_md:n27293	a-s---fd-
δίᾳ	di/a|	δῖος	di=os	urn:cite2:hmt:lsj.chicago_md:n27294	a-s---fd-
δόκει	do/kei	δοκέω	doke/w	urn:cite2:hmt:lsj.chicago_md:n27847	v2spma---
δόκει	do/kei	δοκέω	doke/w	urn:cite2:hmt:lsj.chicago_md:n27847	v3siia---
δόλια	do/lia	δόλιος	do/lios	urn:cite2:hmt:lsj.chicago_md:n27898	a-p---nn-
δόλια	do/lia	δόλιος	do/lios	urn:cite2:hmt:lsj.chicago_md:n27898	a-p---nv-
δόλια	do/lia	δόλιος	do/lios	urn:cite2:hmt:lsj.chicago_md:n27898	a-p---na-
δόλια	do/lia	δόλιος	do/lios	urn:cite2:hmt:lsj.chicago_md:n27898	n-p---nn-
δόλια	do/lia	δόλιος	do/lios	urn:cite2:hmt:lsj.chicago_md:n27898	n-p---nv-
δόλια	do/lia	δόλιος	do/lios	urn:cite2:hmt:lsj.chicago_md:n27898	n-p---na-
δόλῳ	do/lw|	δόλος	do/los	urn:cite2:hmt:lsj.chicago_md:n27945	n-s---md-
δόλῳ	do/lw|	δόλος	do/los	urn:cite2:hmt:lsj.chicago_md:n27946	n-s---md-
δόμοις	do/mois	δόμος	do/mos	urn:cite2:hmt:lsj.chicago_md:n27980	n-p---md-
δόμοισι	do/moisi	δόμος	do/mos	urn:cite2:hmt:lsj.chicago_md:n27980	n-p---md-
δόμον	do/mon	δόμος	do/mos	urn:cite2:hmt:lsj.chicago_md:n27980	n-s---ma-
δόμος	do/mos	δόμος	do/mos	urn:cite2:hmt:lsj.chicago_md:n27980	n-s---mn-
δόμους	do/mous	δόμος	do/mos	urn:cite2:hmt:lsj.chicago_md:n27980	n-p---ma-
δόμους	do/mous	δομόω	domo/w	urn:cite2:hmt:lsj.chicago_md:n27983	v2siia---
δόμων	do/mwn	δόμος	do/mos	urn:cite2:hmt:lsj.chicago_md:n27980	n-p---mg-
δόμων	do/mwn	δομάω	doma/w	urn:cite2:hmt:lsj.chicago_md:n27971	v3piia---
δόμων	do/mwn	δομάω	doma/w	urn:cite2:hmt:lsj.chicago_md:n27971	v1siia---
δόντες	do/ntes	δίδωμι	di/dwmi	urn:cite2:hmt:lsj.chicago_md:n26447	v-papamn-
δόντες	do/ntes	δίδωμι	di/dwmi	urn:cite2:hmt:lsj.chicago_md:n26447	v-papamv-
δόντες	do/ntes	δίδωμι	di/dwmi	urn:cite2:hmt:lsj.chicago_md:n26447	v-papamn-
δόντες	do/ntes	δίδωμι	di/dwmi	urn:cite2:hmt:lsj.chicago_md:n26447	v-papamv-
δόξαν	do/can	δόξα	do/ca	urn:cite2:hmt:lsj.chicago_md:n28002	n-s---fa-
δόξαν	do/can	δοκέω	doke/w	urn:cite2:hmt:lsj.chicago_md:n27847	v-sapann-
δόξαν	do/can	δοκέω	doke/w	urn:cite2:hmt:lsj.chicago_md:n27847	v-sapanv-
δόξαν	do/can	δοκέω	doke/w	urn:cite2:hmt:lsj.chicago_md:n27847	v-sapana-
δόξαν	do/can	δοκέω	doke/w	urn:cite2:hmt:lsj.chicago_md:n27847	v3paia---
δόξης	do/chs	δόξα	do/ca	urn:cite2:hmt:lsj.chicago_md:n28002	n-s---fg-
δόξης	do/chs	δόξις	do/cis	urn:cite2:hmt:lsj.chicago_md:n28013	n-p---fn-
δόξης	do/chs	δόξις	do/cis	urn:cite2:hmt:lsj.chicago_md:n28013	n-p---fv-
δόξω	do/cw	δοξόω	doco/w	urn:cite2:hmt:lsj.chicago_md:n28035	v2spma---
δόξω	do/cw	δοκέω	doke/w	urn:cite2:hmt:lsj.chicago_md:n27847	v1sasa---
δόξω	do/cw	δοκέω	doke/w	urn:cite2:hmt:lsj.chicago_md:n27847	v1sfia---
δόξω	do/cw	δοκέω	doke/w	urn:cite2:hmt:lsj.chicago_md:n27847	v2saim---
δόξᾳ	do/ca|	δόξα	do/ca	urn:cite2:hmt:lsj.chicago_md:n28002	n-p---fn-
δόξᾳ	do/ca|	δόξα	do/ca	urn:cite2:hmt:lsj.chicago_md:n28002	n-p---fv-
δόξᾳ	do/ca|	δόξα	do/ca	urn:cite2:hmt:lsj.chicago_md:n28002	n-s---fd-
δόξᾳ	do/ca|	δοκέω	doke/w	urn:cite2:hmt:lsj.chicago_md:n27847	v2samm---
δόξᾳ	do/ca|	δοκέω	doke/w	urn:cite2:hmt:lsj.chicago_md:n27847	v--ana---
δόρυ	do/ru	δόρυ	do/ru	urn:cite2:hmt:lsj.chicago_md:n28101	n-s---nn-
δόρυ	do/ru	δόρυ	do/ru	urn:cite2:hmt:lsj.chicago_md:n28101	n-s---nv-
δόρυ	do/ru	δόρυ	do/ru	urn:cite2:hmt:lsj.chicago_md:n28101	n-s---na-
δός	do/s	δίδωμι	di/dwmi	urn:cite2:hmt:lsj.chicago_md:n26447	v2sama---
δότω	do/tw	δίδωμι	di/dwmi	urn:cite2:hmt:lsj.chicago_md:n26447	v3sama---
δότω	do/tw	δότης	do/ths	urn:cite2:hmt:lsj.chicago_md:n28145	n-s---mg-
δύναμιν	du/namin	δύναμις	du/namis	urn:cite2:hmt:lsj.chicago_md:n28569	n-s---fa-
δύο	du/o	δύο	du/o	urn:cite2:hmt:lsj.chicago_md:n28592	m--------
δύσνυμφον	du/snumfon	δύσνυμφος	du/snumfos	urn:cite2:hmt:lsj.chicago_md:n29273	n-s---ma-
δύσνυμφον	du/snumfon	δύσνυμφος	du/snumfos	urn:cite2:hmt:lsj.chicago_md:n29273	n-s---fa-
δύσνυμφον	du/snumfon	δύσνυμφος	du/snumfos	urn:cite2:hmt:lsj.chicago_md:n29273	n-s---nn-
δύσνυμφον	du/snumfon	δύσνυμφος	du/snumfos	urn:cite2:hmt:lsj.chicago_md:n29273	n-s---nv-
δύσνυμφον	du/snumfon	δύσνυμφος	du/snumfos	urn:cite2:hmt:lsj.chicago_md:n29273	n-s---na-
δώμασι	dw/masi	δῶμα	dw=ma	urn:cite2:hmt:lsj.chicago_md:n29773	n-p---nd-
δώμασιν	dw/masin	δῶμα	dw=ma	urn:cite2:hmt:lsj.chicago_md:n29773	n-p---nd-
δώσω	dw/sw	δίδωμι	di/dwmi	urn:cite2:hmt:lsj.chicago_md:n26447	v1sfia---
δῆτα	dh=ta	δῆτα	dh=ta	urn:cite2:hmt:lsj.chicago_md:n24506	d--------
δῶμα	dw=ma	δῶμα	dw=ma	urn:cite2:hmt:lsj.chicago_md:n29773	n-s---nn-
δῶμα	dw=ma	δῶμα	dw=ma	urn:cite2:hmt:lsj.chicago_md:n29773	n-s---nv-
δῶμα	dw=ma	δῶμα	dw=ma	urn:cite2:hmt:lsj.chicago_md:n29773	n-s---na-
εἰ	ei)	εἰ	ei)	urn:cite2:hmt:lsj.chicago_md:n30817	c--------
εἰδέναι	ei)de/nai	οἶδα	oi)=da	urn:cite2:hmt:lsj.chicago_md:n72202	v--rna---
εἰδόσιν	ei)do/sin	οἶδα	oi)=da	urn:cite2:hmt:lsj.chicago_md:n72202	v-prpamd-
εἰδόσιν	ei)do/sin	οἶδα	oi)=da	urn:cite2:hmt:lsj.chicago_md:n72202	v-prpand-
εἰδότος	ei)do/tos	οἶδα	oi)=da	urn:cite2:hmt:lsj.chicago_md:n72202	v-srpamg-
εἰδότος	ei)do/tos	οἶδα	oi)=da	urn:cite2:hmt:lsj.chicago_md:n72202	v-srpang-
εἰκός	ei)ko/s	ἔοικα	e)/oika	urn:cite2:hmt:lsj.chicago_md:n37776	v-srpann-
εἰκός	ei)ko/s	ἔοικα	e)/oika	urn:cite2:hmt:lsj.chicago_md:n37776	v-srpanv-
εἰκός	ei)ko/s	ἔοικα	e)/oika	urn:cite2:hmt:lsj.chicago_md:n37776	v-srpana-
εἰκός	ei)ko/s	εἰκός	ei)ko/s	urn:cite2:hmt:lsj.chicago_md:n30962	v-srpann-
εἰκός	ei)ko/s	εἰκός	ei)ko/s	urn:cite2:hmt:lsj.chicago_md:n30962	v-srpanv-
εἰκός	ei)ko/s	εἰκός	ei)ko/s	urn:cite2:hmt:lsj.chicago_md:n30962	v-srpana-
εἰκότως	ei)ko/tws	ἐοικότως	e)oiko/tws	urn:cite2:hmt:lsj.chicago_md:n37777	d--------
εἰκότως	ei)ko/tws	εἰκότως	ei)ko/tws	urn:cite2:hmt:lsj.chicago_md:n31030	d--------
εἰκώ	ei)kw/	εἰκών	ei)kw/n	urn:cite2:hmt:lsj.chicago_md:n31037	n-s---fn-
εἰλατίνας	ei)lati/nas	ἐλάτινος	e)la/tinos	urn:cite2:hmt:lsj.chicago_md:n33443	a-p---fa-
εἰλατίνας	ei)lati/nas	ἐλάτινος	e)la/tinos	urn:cite2:hmt:lsj.chicago_md:n33443	a-s---fg-
εἰμι	ei)mi	εἰμί	ei)mi/	urn:cite2:hmt:lsj.chicago_md:n31130	v1spia---
εἰμ’	ei)m'	εἰμί	ei)mi/	urn:cite2:hmt:lsj.chicago_md:n31130	v1spia---
εἰναλίας	ei)nali/as	ἐνάλιος	e)na/lios	urn:cite2:hmt:lsj.chicago_md:n34798	a-p---fa-
εἰναλίας	ei)nali/as	ἐνάλιος	e)na/lios	urn:cite2:hmt:lsj.chicago_md:n34798	a-s---fg-
εἰναλίας	ei)nali/as	εἰνάλιος	ei)na/lios	urn:cite2:hmt:lsj.chicago_md:n31140	a-p---fa-
εἰναλίας	ei)nali/as	εἰνάλιος	ei)na/lios	urn:cite2:hmt:lsj.chicago_md:n31140	a-s---fg-
εἰπών	ei)pw/n	εἶπον	ei)=pon	urn:cite2:hmt:lsj.chicago_md:n31161	v-sapamn-
εἰς	ei)s	εἰς	ei)s	urn:cite2:hmt:lsj.chicago_md:n31235	r--------
εἰσβήσω	ei)sbh/sw	εἰσβαίνω	ei)sbai/nw	urn:cite2:hmt:lsj.chicago_md:n31305	v1sasa---
εἰσβήσω	ei)sbh/sw	εἰσβαίνω	ei)sbai/nw	urn:cite2:hmt:lsj.chicago_md:n31305	v1sfia---
εἰσβήσω	ei)sbh/sw	εἰσβαίνω	ei)sbai/nw	urn:cite2:hmt:lsj.chicago_md:n31305	v2saim---
εἰσεβάλλομεν	ei)seba/llomen	εἰσβάλλω	ei)sba/llw	urn:cite2:hmt:lsj.chicago_md:n31306	v1piia---
εἰσεπλεύσαμεν	ei)sepleu/samen	εἰσπλέω	ei)sple/w	urn:cite2:hmt:lsj.chicago_md:n31496	v1paia---
εἰσεπράξατο	ei)sepra/cato	εἰσπράσσω	ei)spra/ssw	urn:cite2:hmt:lsj.chicago_md:n31516	v3saim---
εἰσεπράξατο	ei)sepra/cato	εἰσπράσσω	ei)spra/ssw	urn:cite2:hmt:lsj.chicago_md:n31516	v3saim---
εἰσηκούσαμεν	ei)shkou/samen	εἰσακούω	ei)sakou/w	urn:cite2:hmt:lsj.chicago_md:n31263	v1paia---
εἰσιδεῖν	ei)sidei=n	εἰσ-εἶδον	ei)s-ei)=don	urn:cite2:hmt:lsj.chicago_md:n31332	v--ana---
εἰσιδών	ei)sidw/n	εἰσ-εἶδον	ei)s-ei)=don	urn:cite2:hmt:lsj.chicago_md:n31332	v-sapamn-
εἰσιν	ei)sin	εἰμί	ei)mi/	urn:cite2:hmt:lsj.chicago_md:n31130	v3ppia---
εἰσορᾶν	ei)sora=n	εἰσοράω	ei)sora/w	urn:cite2:hmt:lsj.chicago_md:n31474	v-sppamv-
εἰσορᾶν	ei)sora=n	εἰσοράω	ei)sora/w	urn:cite2:hmt:lsj.chicago_md:n31474	v-sppann-
εἰσορᾶν	ei)sora=n	εἰσοράω	ei)sora/w	urn:cite2:hmt:lsj.chicago_md:n31474	v-sppanv-
εἰσορᾶν	ei)sora=n	εἰσοράω	ei)sora/w	urn:cite2:hmt:lsj.chicago_md:n31474	v-sppana-
εἰσορᾶν	ei)sora=n	εἰσοράω	ei)sora/w	urn:cite2:hmt:lsj.chicago_md:n31474	v-sppamn-
εἰσορᾶν	ei)sora=n	εἰσοράω	ei)sora/w	urn:cite2:hmt:lsj.chicago_md:n31474	v--pna---
εἰσορᾶν	ei)sora=n	εἰσοράω	ei)sora/w	urn:cite2:hmt:lsj.chicago_md:n31474	v--pna---
εἰσορᾶν	ei)sora=n	εἰσοράω	ei)sora/w	urn:cite2:hmt:lsj.chicago_md:n31474	v-sppamv-
εἰσορᾶν	ei)sora=n	εἰσοράω	ei)sora/w	urn:cite2:hmt:lsj.chicago_md:n31474	v-sppann-
εἰσορᾶν	ei)sora=n	εἰσοράω	ei)sora/w	urn:cite2:hmt:lsj.chicago_md:n31474	v-sppanv-
εἰσορᾶν	ei)sora=n	εἰσοράω	ei)sora/w	urn:cite2:hmt:lsj.chicago_md:n31474	v-sppana-
εἰσορᾶν	ei)sora=n	εἰσοράω	ei)sora/w	urn:cite2:hmt:lsj.chicago_md:n31474	v-sppamn-
εἰσορᾶν	ei)sora=n	εἰσοράω	ei)sora/w	urn:cite2:hmt:lsj.chicago_md:n31474	v--pna---
εἰσορᾶν	ei)sora=n	εἰσοράω	ei)sora/w	urn:cite2:hmt:lsj.chicago_md:n31474	v--pna---
εἰσί	ei)si/	εἰμί	ei)mi/	urn:cite2:hmt:lsj.chicago_md:n31130	v3ppia---
εἰσίν	ei)si/n	εἰμί	ei)mi/	urn:cite2:hmt:lsj.chicago_md:n31130	v3ppia---
εἰχόμεσθα	ei)xo/mesqa	ἔχω	e)/xw	urn:cite2:hmt:lsj.chicago_md:n45996	v1piie---
εἰχόμεσθα	ei)xo/mesqa	ἔχω	e)/xw	urn:cite2:hmt:lsj.chicago_md:n45997	v1piie---
εἰώθαμεν	ei)w/qamen	ἔθω	e)/qw	urn:cite2:hmt:lsj.chicago_md:n30814	v1pria---
εἱλίσσουσα	ei(li/ssousa	ἑλίσσω	e(li/ssw	urn:cite2:hmt:lsj.chicago_md:n33728	v-sppafn-
εἱλίσσουσα	ei(li/ssousa	ἑλίσσω	e(li/ssw	urn:cite2:hmt:lsj.chicago_md:n33728	v-sppafv-
εἱλίσσουσα	ei(li/ssousa	εἱλίσσω	ei(li/ssw	urn:cite2:hmt:lsj.chicago_md:n31094	v-sppafn-
εἱλίσσουσα	ei(li/ssousa	εἱλίσσω	ei(li/ssw	urn:cite2:hmt:lsj.chicago_md:n31094	v-sppafv-
εἱλίσσουσαν	ei(li/ssousan	ἑλίσσω	e(li/ssw	urn:cite2:hmt:lsj.chicago_md:n33728	v-sppafa-
εἱλίσσουσαν	ei(li/ssousan	εἱλίσσω	ei(li/ssw	urn:cite2:hmt:lsj.chicago_md:n31094	v-sppafa-
εἴ	ei)/	εἰ	ei)	urn:cite2:hmt:lsj.chicago_md:n30817	c--------
εἴδετ’	ei)/det'	εἴδομαι	ei)/domai	urn:cite2:hmt:lsj.chicago_md:n30858a	v3siim---
εἴδετ’	ei)/det'	εἴδομαι	ei)/domai	urn:cite2:hmt:lsj.chicago_md:n30858a	v3spim---
εἴδετ’	ei)/det'	εἴδομαι	ei)/domai	urn:cite2:hmt:lsj.chicago_md:n30858a	v3siim---
εἴδετ’	ei)/det'	εἶδον	ei)=don	urn:cite2:hmt:lsj.chicago_md:n30859a	v3saim---
εἴδετ’	ei)/det'	εἶδον	ei)=don	urn:cite2:hmt:lsj.chicago_md:n30859a	v2paia---
εἴδετ’	ei)/det'	οἶδα	oi)=da	urn:cite2:hmt:lsj.chicago_md:n72202	v2prsa---
εἴδομεν	ei)/domen	εἶδον	ei)=don	urn:cite2:hmt:lsj.chicago_md:n30859a	v1paia---
εἴδομεν	ei)/domen	οἶδα	oi)=da	urn:cite2:hmt:lsj.chicago_md:n72202	v1prsa---
εἴη	ei)/h	ἐάω	e)a/w	urn:cite2:hmt:lsj.chicago_md:n29883	v3siia---
εἴη	ei)/h	ἐάω	e)a/w	urn:cite2:hmt:lsj.chicago_md:n29883	v2spma---
εἴη	ei)/h	ἐάω	e)a/w	urn:cite2:hmt:lsj.chicago_md:n29883	v3siia---
εἴη	ei)/h	ἐάω	e)a/w	urn:cite2:hmt:lsj.chicago_md:n29883	v3siia---
εἴη	ei)/h	εἰμί	ei)mi/	urn:cite2:hmt:lsj.chicago_md:n31130	v3spoa---
εἴην	ei)/hn	εἰμί	ei)mi/	urn:cite2:hmt:lsj.chicago_md:n31130	v1spoa---
εἴης	ei)/hs	ἐάω	e)a/w	urn:cite2:hmt:lsj.chicago_md:n29883	v2siia---
εἴης	ei)/hs	ἐάω	e)a/w	urn:cite2:hmt:lsj.chicago_md:n29883	v2siia---
εἴης	ei)/hs	ἐάω	e)a/w	urn:cite2:hmt:lsj.chicago_md:n29883	v2siia---
εἴης	ei)/hs	εἰμί	ei)mi/	urn:cite2:hmt:lsj.chicago_md:n31130	v2spoa---
εἴληχε	ei)/lhxe	λαγχάνω	lagxa/nw	urn:cite2:hmt:lsj.chicago_md:n61542	v2srma---
εἴληχε	ei)/lhxe	λαγχάνω	lagxa/nw	urn:cite2:hmt:lsj.chicago_md:n61542	v3sria---
εἴπερ	ei)/per	εἴπερ	ei)/per	urn:cite2:hmt:lsj.chicago_md:n31159	c--------
εἴπῃ	ei)/ph|	εἶπον	ei)=pon	urn:cite2:hmt:lsj.chicago_md:n31161	v2sasm---
εἴπῃ	ei)/ph|	εἶπον	ei)=pon	urn:cite2:hmt:lsj.chicago_md:n31161	v3sasa---
εἴπῃ	ei)/ph|	εἶπον	ei)=pon	urn:cite2:hmt:lsj.chicago_md:n31161	v2sase---
εἴπῃ	ei)/ph|	εἶπον	ei)=pon	urn:cite2:hmt:lsj.chicago_md:n31161	v3sasa---
εἴσω	ei)/sw	εἴδομαι	ei)/domai	urn:cite2:hmt:lsj.chicago_md:n30858a	v1sasa---
εἴσω	ei)/sw	εἴσω	ei)/sw	urn:cite2:hmt:lsj.chicago_md:n31555	d--------
εἴσ’	ei)/s'	εἰμί	ei)mi/	urn:cite2:hmt:lsj.chicago_md:n31130	v3ppia---
εἴτε	ei)/te	εἴτε	ei)/te	urn:cite2:hmt:lsj.chicago_md:n31565	d--------
εἴτ’	ei)/t'	εἴτε	ei)/te	urn:cite2:hmt:lsj.chicago_md:n31565	d--------
εἴφ’	ei)/f'	εἶπον	ei)=pon	urn:cite2:hmt:lsj.chicago_md:n31161	v2sama---
εἵλετε	ei(/lete	αἱρέω	ai(re/w	urn:cite2:hmt:lsj.chicago_md:n2654	v2paia---
εἵσατ’	ei(/sat'	ἕζομαι	e(/zomai	urn:cite2:hmt:lsj.chicago_md:n30743	v2paia---
εἵσατ’	ei(/sat'	ἵζω	i(/zw	urn:cite2:hmt:lsj.chicago_md:n50158	v3saim---
εἵσατ’	ei(/sat'	ἵζω	i(/zw	urn:cite2:hmt:lsj.chicago_md:n50158	v2pama---
εἵσατ’	ei(/sat'	ἵζω	i(/zw	urn:cite2:hmt:lsj.chicago_md:n50158	v2paia---
εἵσατ’	ei(/sat'	ἵζω	i(/zw	urn:cite2:hmt:lsj.chicago_md:n50158	v3saim---
εἵσατ’	ei(/sat'	ἵζω	i(/zw	urn:cite2:hmt:lsj.chicago_md:n50158	v2paia---
εἶ	ei)=	εἰ	ei)	urn:cite2:hmt:lsj.chicago_md:n30817	c--------
εἶ	ei)=	εἶμι	ei)=mi	urn:cite2:hmt:lsj.chicago_md:n31131	v2spia---
εἶ	ei)=	εἰμί	ei)mi/	urn:cite2:hmt:lsj.chicago_md:n31130	v2spia---
εἶα	ei)=a	εἶα	ei)=a	urn:cite2:hmt:lsj.chicago_md:n30818	x--------
εἶδον	ei)=don	εἶδον	ei)=don	urn:cite2:hmt:lsj.chicago_md:n30859a	v3paia---
εἶδον	ei)=don	εἶδον	ei)=don	urn:cite2:hmt:lsj.chicago_md:n30859a	v1saia---
εἶδος	ei)=dos	εἶδος	ei)=dos	urn:cite2:hmt:lsj.chicago_md:n30866	n-s---nn-
εἶδος	ei)=dos	εἶδος	ei)=dos	urn:cite2:hmt:lsj.chicago_md:n30866	n-s---nv-
εἶδος	ei)=dos	εἶδος	ei)=dos	urn:cite2:hmt:lsj.chicago_md:n30866	n-s---na-
εἶδέ	ei)=de/	εἶδον	ei)=don	urn:cite2:hmt:lsj.chicago_md:n30859a	v3saia---
εἶμι	ei)=mi	εἶμι	ei)=mi	urn:cite2:hmt:lsj.chicago_md:n31131	v1spia---
εἶναι	ei)=nai	εἰμί	ei)mi/	urn:cite2:hmt:lsj.chicago_md:n31130	v--pna---
εἶπας	ei)=pas	εἶπον	ei)=pon	urn:cite2:hmt:lsj.chicago_md:n31161	v2saia---
εἶπας	ei)=pas	εἶπον	ei)=pon	urn:cite2:hmt:lsj.chicago_md:n31161	v2saia---
εἶπε	ei)=pe	εἶπον	ei)=pon	urn:cite2:hmt:lsj.chicago_md:n31161	v3saia---
εἶπε	ei)=pe	εἶπον	ei)=pon	urn:cite2:hmt:lsj.chicago_md:n31161	v2sama---
εἶπε	ei)=pe	εἶπον	ei)=pon	urn:cite2:hmt:lsj.chicago_md:n31161	v3saia---
εἶπε	ei)=pe	εἶπον	ei)=pon	urn:cite2:hmt:lsj.chicago_md:n31161	v3saia---
εἶπε	ei)=pe	εἶπον	ei)=pon	urn:cite2:hmt:lsj.chicago_md:n31161	v3saia---
εἶπε	ei)=pe	εἶπος	ei)=pos	urn:cite2:hmt:lsj.chicago_md:n31162	n-s---mv-
εἶργον	ei)=rgon	ἔργω1	e)/rgw	urn:cite2:hmt:lsj.chicago_md:n42224	v3piia---
εἶργον	ei)=rgon	ἔργω1	e)/rgw	urn:cite2:hmt:lsj.chicago_md:n42225	v3piia---
εἶργον	ei)=rgon	ἔργω1	e)/rgw	urn:cite2:hmt:lsj.chicago_md:n42224	v1siia---
εἶργον	ei)=rgon	ἔργω1	e)/rgw	urn:cite2:hmt:lsj.chicago_md:n42225	v1siia---
εἶργον	ei)=rgon	ἔργω1	e)/rgw	urn:cite2:hmt:lsj.chicago_md:n42224	v-sppamv-
εἶργον	ei)=rgon	ἔργω1	e)/rgw	urn:cite2:hmt:lsj.chicago_md:n42225	v-sppamv-
εἶργον	ei)=rgon	ἔργω1	e)/rgw	urn:cite2:hmt:lsj.chicago_md:n42224	v-sppann-
εἶργον	ei)=rgon	ἔργω1	e)/rgw	urn:cite2:hmt:lsj.chicago_md:n42225	v-sppann-
εἶργον	ei)=rgon	ἔργω1	e)/rgw	urn:cite2:hmt:lsj.chicago_md:n42224	v-sppanv-
εἶργον	ei)=rgon	ἔργω1	e)/rgw	urn:cite2:hmt:lsj.chicago_md:n42225	v-sppanv-
εἶργον	ei)=rgon	ἔργω1	e)/rgw	urn:cite2:hmt:lsj.chicago_md:n42224	v-sppana-
εἶργον	ei)=rgon	ἔργω1	e)/rgw	urn:cite2:hmt:lsj.chicago_md:n42225	v-sppana-
εἶργον	ei)=rgon	ἔργω1	e)/rgw	urn:cite2:hmt:lsj.chicago_md:n42224	v3piia---
εἶργον	ei)=rgon	ἔργω1	e)/rgw	urn:cite2:hmt:lsj.chicago_md:n42225	v3piia---
εἶργον	ei)=rgon	ἔργω1	e)/rgw	urn:cite2:hmt:lsj.chicago_md:n42224	v1siia---
εἶργον	ei)=rgon	ἔργω1	e)/rgw	urn:cite2:hmt:lsj.chicago_md:n42225	v1siia---
εἶχον	ei)=xon	ἔχω	e)/xw	urn:cite2:hmt:lsj.chicago_md:n45996	v3piia---
εἶχον	ei)=xon	ἔχω	e)/xw	urn:cite2:hmt:lsj.chicago_md:n45997	v3piia---
εἶχον	ei)=xon	ἔχω	e)/xw	urn:cite2:hmt:lsj.chicago_md:n45996	v1siia---
εἶχον	ei)=xon	ἔχω	e)/xw	urn:cite2:hmt:lsj.chicago_md:n45997	v1siia---
εἷς	ei(=s	εἷς	ei(=s	urn:cite2:hmt:lsj.chicago_md:n31236	n-s---mn-
εὐγενοῦς	eu)genou=s	εὐγενής	eu)genh/s	urn:cite2:hmt:lsj.chicago_md:n43540	n-s---mg-
εὐγενοῦς	eu)genou=s	εὐγενής	eu)genh/s	urn:cite2:hmt:lsj.chicago_md:n43540	n-s---fg-
εὐγενοῦς	eu)genou=s	εὐγενής	eu)genh/s	urn:cite2:hmt:lsj.chicago_md:n43540	n-s---ng-
εὐγενῆ	eu)genh=	εὐγενής	eu)genh/s	urn:cite2:hmt:lsj.chicago_md:n43540	n-p---nn-
εὐγενῆ	eu)genh=	εὐγενής	eu)genh/s	urn:cite2:hmt:lsj.chicago_md:n43540	n-p---nv-
εὐγενῆ	eu)genh=	εὐγενής	eu)genh/s	urn:cite2:hmt:lsj.chicago_md:n43540	n-p---na-
εὐγενῆ	eu)genh=	εὐγενής	eu)genh/s	urn:cite2:hmt:lsj.chicago_md:n43540	n-d---mn-
εὐγενῆ	eu)genh=	εὐγενής	eu)genh/s	urn:cite2:hmt:lsj.chicago_md:n43540	n-d---mv-
εὐγενῆ	eu)genh=	εὐγενής	eu)genh/s	urn:cite2:hmt:lsj.chicago_md:n43540	n-d---ma-
εὐγενῆ	eu)genh=	εὐγενής	eu)genh/s	urn:cite2:hmt:lsj.chicago_md:n43540	n-d---fn-
εὐγενῆ	eu)genh=	εὐγενής	eu)genh/s	urn:cite2:hmt:lsj.chicago_md:n43540	n-d---fv-
εὐγενῆ	eu)genh=	εὐγενής	eu)genh/s	urn:cite2:hmt:lsj.chicago_md:n43540	n-d---fa-
εὐγενῆ	eu)genh=	εὐγενής	eu)genh/s	urn:cite2:hmt:lsj.chicago_md:n43540	n-d---nn-
εὐγενῆ	eu)genh=	εὐγενής	eu)genh/s	urn:cite2:hmt:lsj.chicago_md:n43540	n-d---nv-
εὐγενῆ	eu)genh=	εὐγενής	eu)genh/s	urn:cite2:hmt:lsj.chicago_md:n43540	n-d---na-
εὐγενῆ	eu)genh=	εὐγενής	eu)genh/s	urn:cite2:hmt:lsj.chicago_md:n43540	n-s---ma-
εὐγενῆ	eu)genh=	εὐγενής	eu)genh/s	urn:cite2:hmt:lsj.chicago_md:n43540	n-s---fa-
εὐγάθητον	eu)ga/qhton	εὐγήθητος	eu)gh/qhtos	urn:cite2:hmt:lsj.chicago_md:n43549	n-s---ma-
εὐγάθητον	eu)ga/qhton	εὐγήθητος	eu)gh/qhtos	urn:cite2:hmt:lsj.chicago_md:n43549	n-s---fa-
εὐγάθητον	eu)ga/qhton	εὐγήθητος	eu)gh/qhtos	urn:cite2:hmt:lsj.chicago_md:n43549	n-s---nn-
εὐγάθητον	eu)ga/qhton	εὐγήθητος	eu)gh/qhtos	urn:cite2:hmt:lsj.chicago_md:n43549	n-s---nv-
εὐγάθητον	eu)ga/qhton	εὐγήθητος	eu)gh/qhtos	urn:cite2:hmt:lsj.chicago_md:n43549	n-s---na-
εὐγόμφους	eu)go/mfous	εὔγομφος	eu)/gomfos	urn:cite2:hmt:lsj.chicago_md:n43572	n-p---ma-
εὐγόμφους	eu)go/mfous	εὔγομφος	eu)/gomfos	urn:cite2:hmt:lsj.chicago_md:n43572	n-p---fa-
εὐδαιμονεῖν	eu)daimonei=n	εὐδαιμονέω	eu)daimone/w	urn:cite2:hmt:lsj.chicago_md:n43588	v--pna---
εὐδαιμόνων	eu)daimo/nwn	εὐδαίμων	eu)dai/mwn	urn:cite2:hmt:lsj.chicago_md:n43598	n-p----g-
εὐδαίμονα	eu)dai/mona	εὐδαίμων	eu)dai/mwn	urn:cite2:hmt:lsj.chicago_md:n43598	n-p---nn-
