form	token_urn	expanded_form
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1165.1.text.token.2	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1169.1.text.token.9	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1171.1.text.token.5	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1172.1.text.token.2	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1204.1.text.token.6	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1301.1.text.token.2	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1329.1.text.token.8	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1339.1.text.token.9	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1346.1.text.token.2	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1351b.1.text.token.2	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1353.1.text.token.2	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1361.1.text.token.2	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1388.1.text.token.2	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1413.1.text.token.7	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1425.1.text.token.8	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1429.1.text.token.6	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1432.1.text.token.2	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1434.1.text.token.8	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1439.1.text.token.6	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1444.1.text.token.2	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1447.1.text.token.5	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1453.1.text.token.5	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1456.2.text.token.3	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1461.1.text.token.6	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1471.1.text.token.7	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1475.1.text.token.2	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1496.1.text.token.2	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1503.1.text.token.5	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1507.1.text.token.2	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1520.1.text.token.2	
δάκρυα δάκρυά τʼ ἀπʼ ὀμμάτων	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1354.1.text	
δέδοιχʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1260.1.text.token.2	
δέσποθʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:318.1.text.token.5	
δίκαιος ὁ λόγος· χὠπότερόν γʼ ἂν νῷν ἴδῃς	urn:cts:greekLit:tlg0019.tlg009.fu.sp:637.1.text	
δαιμόνιʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:175.1.text.token.3	
δαιμόνιʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:835.1.text.token.2	
δαιμόνιʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1227.1.text.token.2	
δείνʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:279.1.text.token.2	
δείνʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:925.1.text.token.6	
δεινότερα δʼ ἔγωγʼ, ἐλαύνων	urn:cts:greekLit:tlg0019.tlg009.fu.sp:254.1.text	
δεῖν δʼ ἔοικεν, ὡς ἀκούω	urn:cts:greekLit:tlg0019.tlg009.fu.sp:603.1.text	
δεῦρʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:81.1.text.token.3	
δεῦρʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:301.2.text.token.2	
δεῦρʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:503.1.text.token.6	
δεῦρʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:549.1.text.token.3	
δεῦρʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:613.1.text.token.4	
δεῦρʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1518.1.text.token.1	
δεῦρʼ ἀφίκωμαι. τοῦτον γὰρ ἐγὼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1518.1.text	
δεῦρο δεῦρʼ ὦ δέσποτα.	urn:cts:greekLit:tlg0019.tlg009.fu.sp:301.2.text	
δημοκρατικὸν γὰρ αὔτʼ ἔδρων.	urn:cts:greekLit:tlg0019.tlg009.fu.sp:952.1.text	
διʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:61.1.text.token.5	
διʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:260.1.text.token.2	
διʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:265.1.text.token.3	
διʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1412.1.text.token.3	
διαγωνιεῖσθʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:794.1.text.token.1	
διαγωνιεῖσθʼ ἔφασκε πρός γʼ Εὐριπίδην.	urn:cts:greekLit:tlg0019.tlg009.fu.sp:794.1.text	
διασπαράξει, πλευμόνων τʼ ἀνθάψεται	urn:cts:greekLit:tlg0019.tlg009.fu.sp:474.1.text	
δρέπανον λαβοῦσʼ, ᾧ τὰς χόλικας κατέσπασας.	urn:cts:greekLit:tlg0019.tlg009.fu.sp:576.1.text	
δόλοις λαθραίοις, ταῦτʼ “ἐποπτεύειν” ἔφη;	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1143.1.text	
δύʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:140.1.text.token.3	
δύʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:141.2.text.token.6	
δύʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:506.1.text.token.2	
δύʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:515.1.text.token.2	
δύʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1405.1.text.token.1	
δύʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1410.1.text.token.3	
δύʼ ἅρματʼ εἰσέθηκε καὶ νεκρὼ δύο,	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1405.1.text	
δώδεκʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:50.1.text.token.4	
δώδεκʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:924.1.text.token.7	
δῆθʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:11.1.text.token.2	
δῆθʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:28.1.text.token.2	
δῆθʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:167.1.text.token.2	
δῆθʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:784.1.text.token.2	
δῆθʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:914.1.text.token.5	
δῆθʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1089.1.text.token.4	
δῆτʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:12.1.text.token.2	
δῆτʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:52.1.text.token.2	
δῆτʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:56.2.text.token.2	
δῆτʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:194.1.text.token.2	
δῆτʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:200.1.text.token.3	
δῆτʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:296.2.text.token.2	
δῆτʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:625.1.text.token.2	
δῆτʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:635.1.text.token.2	
δῆτʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1144.1.text.token.2	
δῆτʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1183.1.text.token.5	
δῆτʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1188.1.text.token.5	
δῆτʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1230.1.text.token.2	
δῆτʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1457.1.text.token.2	
εἰ δʼ ἐγὼ ὀρθὸς ἰδεῖν βίον ἀνέρος ἢ τρόπον ὅστις ἔτʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:706.1.text	
εἰ δειλὸς ἔσομαι καὶ κατὰ σὲ τὸ λῆμʼ ἔχων.	urn:cts:greekLit:tlg0019.tlg009.fu.sp:500.1.text	
εἰ δὲ ταῦτʼ ὀγκωσόμεσθα κἀποσεμνυνούμεθα,	urn:cts:greekLit:tlg0019.tlg009.fu.sp:703.1.text	
εἰ κἀστρατήγησέν γε μετʼ Ἐρασινίδου.	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1196.1.text	
εἰ ναυμαχοῖεν κᾆτʼ ἔχοντες ὀξίδας	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1440.1.text	
εἰ πρὸς τοῦτον δεῖ μʼ ἀντιλέγειν· ἵνα μὴ φάσκῃ δʼ ἀπορεῖν με,	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1007.1.text	
εἰ πώποτʼ ἦλθον δεῦρʼ, ἐθέλω τεθνηκέναι,	urn:cts:greekLit:tlg0019.tlg009.fu.sp:613.1.text	
εἰκόνʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:538.1.text.token.1	
εἰκόνʼ ἑστάναι, λαβόνθʼ ἓν	urn:cts:greekLit:tlg0019.tlg009.fu.sp:538.1.text	
εἰκότως γʼ ὦ πολλὰ πράττων.	urn:cts:greekLit:tlg0019.tlg009.fu.sp:228.1.text	
εἰμʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:860.1.text.token.2	
εἰρηνικὸς ἔσθʼ, ἵνα μή ποτε κἀποδυθῇ μεθύων ἄνευ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:715.1.text	
εἴμʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:45.1.text.token.5	
εἴσιθʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:512.1.text.token.2	
εἴσιθʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:517.1.text.token.2	
εἶδε, κᾆτʼ ἐκ τῆς γνάθου	urn:cts:greekLit:tlg0019.tlg009.fu.sp:547.1.text	
εἶθʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1192.1.text.token.1	
εἶθʼ ὡς Πόλυβον ἤρρησεν οἰδῶν τὼ πόδε·	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1192.1.text	
εἶμʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:577.1.text.token.2	
εἶμʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:646.1.text.token.2	
εἶνʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:692.1.text.token.6	
εἶπʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:946.1.text.token.8	
εἶτʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:21.1.text.token.1	
εἶτʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:76.1.text.token.1	
εἶτʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:205.1.text.token.2	
εἶτʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:367.1.text.token.8	
εἶτʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:544.1.text.token.2	
εἶτʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:610.1.text.token.1	
εἶτʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:692.1.text.token.1	
εἶτʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:935.1.text.token.1	
εἶτʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:944.1.text.token.1	
εἶτʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:945.1.text.token.1	
εἶτʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1069.1.text.token.1	
εἶτʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1195.1.text.token.1	
εἶτʼ αὖ λαλιὰν ἐπιτηδεῦσαι καὶ στωμυλίαν ἐδίδαξας,	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1069.1.text	
εἶτʼ οὐκ ἐλήρουν ὅ τι τύχοιμʼ οὐδʼ ἐμπεσὼν ἔφυρον,	urn:cts:greekLit:tlg0019.tlg009.fu.sp:945.1.text	
εἶτʼ οὐχ ὕβρις ταῦτʼ ἐστὶ καὶ πολλὴ τρυφή,	urn:cts:greekLit:tlg0019.tlg009.fu.sp:21.1.text	
εἶτʼ οὐχὶ Σοφοκλέα πρότερον Εὐριπίδου	urn:cts:greekLit:tlg0019.tlg009.fu.sp:76.1.text	
εἶτʼ οὐχὶ δεινὰ ταῦτα, τύπτειν τουτονὶ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:610.1.text	
εἶτʼ ἀνέτρεφον μονῳδίαις—	urn:cts:greekLit:tlg0019.tlg009.fu.sp:944.1.text	
εἶτʼ ἄτιμόν φημι χρῆναι μηδένʼ εἶνʼ ἐν τῇ πόλει·	urn:cts:greekLit:tlg0019.tlg009.fu.sp:692.1.text	
εἶτʼ ἐν τραγῳδίαις ἐχρῆν κἀλεκτρυόνα ποιῆσαι;	urn:cts:greekLit:tlg0019.tlg009.fu.sp:935.1.text	
εἶτʼ ἐξετύφλωσεν αὑτόν.	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1195.1.text	
εἶτα διδάξας Πέρσας μετὰ τοῦτʼ ἐπιθυμεῖν ἐξεδίδαξα	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1026.1.text	
εὐδαίμων ἄρʼ ἦν,	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1195.2.text	
εὐθὺς γὰρ ἡμάρτηκεν οὐράνιόν γʼ ὅσον.	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1135.1.text	
εὔλογον, κἄν τι σφαλῆτʼ, ἐξ ἀξίου γοῦν τοῦ ξύλου,	urn:cts:greekLit:tlg0019.tlg009.fu.sp:736.1.text	
εὕρισκε νὴ Δίʼ, εἴπερ ἀναδύσει πάλιν.	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1460.1.text	
εὖ γʼ ὦ Παλάμηδες, ὦ σοφωτάτη φύσις.	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1451.1.text	
εὖ γʼ ὦ Πόσειδον· σὺ δὲ τίνα γνώμην ἔχεις;	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1430.1.text	
εὖ νὴ τὸν Ἑρμῆν· ὅ τι λέγεις δʼ οὐ μανθάνω.	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1169.1.text	
εὖ, πλήν γʼ ὁ δικαστὴς αὐτὰ καταπίνει μόνος.	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1466.1.text	
ζητεῖ τε, ‘ποῦ ʼστιν ἡ χύτρα;	urn:cts:greekLit:tlg0019.tlg009.fu.sp:983.1.text	
θʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:303.1.text.token.2	
θʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:473.1.text.token.2	
θʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:727.1.text.token.3	
θʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:965.1.text.token.4	
θʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1032.1.text.token.5	
θʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1313.1.text.token.2	
θʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1506.1.text.token.2	
θάρρει· πάντʼ ἀγαθὰ πεπράγαμεν,	urn:cts:greekLit:tlg0019.tlg009.fu.sp:302.2.text	
θαρρῶν γε· μόνον ἐκεῖνʼ ὅπως μὴ ʼρεῖς,	urn:cts:greekLit:tlg0019.tlg009.fu.sp:7.1.text	
θαυμάζω γὰρ ἔγωγʼ ὅπῃ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1257.1.text	
θενὼν ὑπʼ ὀργῆς ἐκχέῃ τὸν Τήλεφον·	urn:cts:greekLit:tlg0019.tlg009.fu.sp:855.1.text	
θηρίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:143.1.text.token.5	
θυμοῦμαι μὲν τῇ ξυντυχίᾳ, καὶ μου τὰ σπλάγχνʼ ἀγανακτεῖ,	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1006.1.text	
θός εἰμι καὶ μετʼ αὐτῆς	urn:cts:greekLit:tlg0019.tlg009.fu.sp:418.1.text	
κάθιζʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:197.1.text.token.1	
κάθιζʼ ἐπὶ κώπην. εἴ τις ἔτι πλεῖ, σπευδέτω.	urn:cts:greekLit:tlg0019.tlg009.fu.sp:197.1.text	
κάκιστʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:579.1.text.token.1	
κάκιστʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:588.1.text.token.1	
κάκιστʼ ἀπολοίμην, Ξανθίαν εἰ μὴ φιλῶ.	urn:cts:greekLit:tlg0019.tlg009.fu.sp:579.1.text	
κάκιστʼ ἀπολοίμην, κἀρχέδημος ὁ γλάμων.	urn:cts:greekLit:tlg0019.tlg009.fu.sp:588.1.text	
κάλλιστʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:206.1.text.token.1	
κάλλιστʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:508.1.text.token.1	
κάλλιστʼ, ἐπαινῶ.	urn:cts:greekLit:tlg0019.tlg009.fu.sp:508.1.text	
κάλλιστʼ, ἐπειδὰν ἐμβάλῃς ἅπαξ,	urn:cts:greekLit:tlg0019.tlg009.fu.sp:206.1.text	
κάλπισί τʼ ἐκ ποταμῶν δρόσον ἄρατε, θέρμετε δʼ ὕδωρ,	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1339.1.text	
κάχʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:958.1.text.token.1	
κάχʼ ὑποτοπεῖσθαι, περινοεῖν ἅπαντα—	urn:cts:greekLit:tlg0019.tlg009.fu.sp:958.1.text	
καί μʼ ἀσφαλῶς πανήμερον	urn:cts:greekLit:tlg0019.tlg009.fu.sp:389.1.text	
καίτοι δάκνω γʼ ἐμαυτόν· ἀλλʼ ὅμως γελῶ.	urn:cts:greekLit:tlg0019.tlg009.fu.sp:43.1.text	
καθʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:101.1.text.token.7	
καθʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:463.1.text.token.1	
καθʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1162.1.text.token.7	
καθʼ Ἡρακλέα τὸ σχῆμα καὶ τὸ λῆμʼ ἔχων.	urn:cts:greekLit:tlg0019.tlg009.fu.sp:463.1.text	
κατʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:220.1.text.token.2	
κατʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:626.1.text.token.7	
κατʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:802.1.text.token.1	
κατʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1047.1.text.token.5	
κατʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1198.1.text.token.7	
κατʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1407.1.text.token.4	
κατʼ ἔπος βασανιεῖν φησι τὰς τραγῳδίας.	urn:cts:greekLit:tlg0019.tlg009.fu.sp:802.1.text	
κατέδειξʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1079.1.text.token.3	
κατέκειτʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:489.1.text.token.1	
κατέκειτʼ ἂν ὀσφραινόμενος, εἴπερ δειλὸς ἦν·	urn:cts:greekLit:tlg0019.tlg009.fu.sp:489.1.text	
κατέφαγʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:551.1.text.token.3	
κατήλιφʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:566.1.text.token.3	
καταγέλαστʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:480.1.text.token.2	
κατῆλθʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:771.1.text.token.3	
καὶ Παρνασσῶν ἡμῖν μεγέθη, τοῦτʼ ἐστὶ τὸ χρηστὰ διδάσκειν,	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1057.1.text	
καὶ βλέποντʼ ὀρίγανον.	urn:cts:greekLit:tlg0019.tlg009.fu.sp:602.1.text	
καὶ γάρ τινʼ ἐκφέρουσι τουτονὶ νεκρόν,	urn:cts:greekLit:tlg0019.tlg009.fu.sp:170.1.text	
καὶ δέδοιχʼ ὑπὲρ αὐτοῦ.	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1260.1.text	
καὶ δεινὰ ποιῶν· κᾆθʼ οἱ Κεραμῆς	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1093.1.text	
καὶ διασῴζειν, ἢν ἄρʼ ἐγώ ποτε	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1517.1.text	
καὶ δὴ ʼπάταξα.	urn:cts:greekLit:tlg0019.tlg009.fu.sp:647.1.text	
καὶ δὴ χωρεῖ τουτὶ τὸ κακόν· κρανοποιῶν αὖ μʼ ἐπιτρίψει.	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1018.1.text	
καὶ δῆτʼ ἐπὶ τῆς νεὼς ἀναγιγνώσκοντί μοι	urn:cts:greekLit:tlg0019.tlg009.fu.sp:52.1.text	
καὶ κρέα γε πρὸς τούτοισιν ἀνάβραστʼ εἴκοσιν	urn:cts:greekLit:tlg0019.tlg009.fu.sp:553.1.text	
καὶ λαβομένω τὸ ῥῆμʼ ἑκάτερος εἴπατον,	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1379.1.text	
καὶ μήτε θερμὴν μήτʼ ἄγαν ψυχρὰν φράσῃς.	urn:cts:greekLit:tlg0019.tlg009.fu.sp:119.1.text	
καὶ μηκέτʼ ἔμοιγε κατʼ ἔπος, ἀλλʼ ἐς τὸν σταθμὸν	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1407.1.text	
καὶ μὴν μὰ τὸν Δίʼ οὐ κατʼ ἔπος γέ σου κνίσω	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1198.1.text	
καὶ μὴν ἐπʼ αὐτοὺς τοὺς προλόγους σου τρέψομαι,	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1119.1.text	
καὶ μὴν ἔχω γʼ οἷς αὐτὸν ἀποδείξω κακὸν	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1249.1.text	
καὶ νὴ Δίʼ εἴ τί γʼ ἔστιν ἔτι κατωτέρω.	urn:cts:greekLit:tlg0019.tlg009.fu.sp:70.1.text	
καὶ πολλὰ μὲν γέλοιά μʼ εἰ-	urn:cts:greekLit:tlg0019.tlg009.fu.sp:391.1.text	
καὶ πόριμον αὑτῷ τῇ πόλει δʼ ἀμήχανον.	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1429.1.text	
καὶ σκέψιν, ὥστʼ ἤδη νοεὶν	urn:cts:greekLit:tlg0019.tlg009.fu.sp:974.1.text	
καὶ τί βλάπτουσʼ ὦ σχέτλιʼ ἀνδρῶν τὴν πόλιν ἁμαὶ Σθενέβοιαι;	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1049.1.text	
καὶ τί ποτʼ ἐστὶ ταἴτιον;	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1385.2.text	
καὶ τοῦθʼ ἥδομαι.	urn:cts:greekLit:tlg0019.tlg009.fu.sp:748.2.text	
καὶ τὸ ξίφος γʼ ἐσπᾶτο μαίνεσθαι δοκῶν.	urn:cts:greekLit:tlg0019.tlg009.fu.sp:564.1.text	
καὶ φράζʼ αὐτοῖς ταχέως ἥκειν	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1508.1.text	
καὶ χαῖρε πόλλʼ ὦδελφέ.	urn:cts:greekLit:tlg0019.tlg009.fu.sp:164.1.text	
κελαδεῖ δʼ ἐπίκλαυτον ἀηδόνιον νόμον, ὡς ἀπολεῖται,	urn:cts:greekLit:tlg0019.tlg009.fu.sp:683.1.text	
κλαύμαθʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:813.1.text.token.3	
κλωστῆρα ποιοῦσʼ, ὅπως	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1349b.1.text	
κοὐδείς γέ μʼ ἂν πείσειεν ἀνθρώπων τὸ μὴ οὐκ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:68.1.text	
κοὐδὲ ταῦτʼ ἔγωγʼ ἔχοιμʼ ἂν μὴ οὐ καλῶς φάσκειν ἔχειν,	urn:cts:greekLit:tlg0019.tlg009.fu.sp:695.1.text	
κοὐκ οἶσθʼ ὅ τι λέγεις.	urn:cts:greekLit:tlg0019.tlg009.fu.sp:556.1.text	
κοὐκέτʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1076.1.text.token.4	
κρεῖττον γὰρ ἦν σοι νὴ Δίʼ ἢ τὸ σαυτοῦ.	urn:cts:greekLit:tlg0019.tlg009.fu.sp:947.2.text	
κόπτοιμʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:573.1.text.token.1	
κόπτοιμʼ ἄν, οἷς μου κατέφαγες τὰ φορτία.	urn:cts:greekLit:tlg0019.tlg009.fu.sp:573.1.text	
κύδιστʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1270.1.text.token.1	
κύδιστʼ Ἀχαιῶν Ἀτρέως πολυκοίρανε μάνθανέ μου παῖ.	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1270.1.text	
κύνʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:467.1.text.token.3	
κἀκόπτετʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:429.1.text.token.1	
κἀκόπτετʼ ἐγκεκυφώς,	urn:cts:greekLit:tlg0019.tlg009.fu.sp:429.1.text	
κἀμαυτῷ δοκῶ. τί δὲ ταῦτʼ ἔδρασʼ ὁ δεῖνα;	urn:cts:greekLit:tlg0019.tlg009.fu.sp:918.2.text	
κἀνασκοπεῖν, ‘πῶς τοῦτʼ ἔχει;	urn:cts:greekLit:tlg0019.tlg009.fu.sp:978.1.text	
κἀξηῦρες ὥστʼ ἀζημίους	urn:cts:greekLit:tlg0019.tlg009.fu.sp:408.1.text	
κἀπʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:406.1.text.token.1	
κἀπʼ εὐτελείᾳ τόδε τὸ σανδαλίσκον	urn:cts:greekLit:tlg0019.tlg009.fu.sp:406.1.text	
κἂν δέῃ διʼ ἡμέρας	urn:cts:greekLit:tlg0019.tlg009.fu.sp:265.1.text	
κἂν ξυναποδρᾶναι δεῦρʼ ἐπιχειρήσειέ μοι·	urn:cts:greekLit:tlg0019.tlg009.fu.sp:81.1.text	
κἄλλως ὁ μέν γʼ Εὐριπίδης πανοῦργος ὢν	urn:cts:greekLit:tlg0019.tlg009.fu.sp:80.1.text	
