’	e)\	- no urn found -	ἒ
Θηβαίου	*qhbai=os	- no urn found -	Θηβαῖος
Θηβαίου	*qhbai=os	- no urn found -	Θηβαῖος
Θηβαίους	*qhbai=os	- no urn found -	Θηβαῖος
Θηβαίων	*qhbai=os	- no urn found -	Θηβαῖος
Θηβαίων	*qhbai=os	- no urn found -	Θηβαῖος
Θηβαίων	*qhbai=os	- no urn found -	Θηβαῖος
Θηβαΐδι	*qhbai/s	- no urn found -	Θηβαίς
Θηβαΐδος	*qhbai/s	- no urn found -	Θηβαίς
Θηβαῖοι	*qhbai=os	- no urn found -	Θηβαῖος
Θηβαῖοι	*qhbai=os	- no urn found -	Θηβαῖος
Θηβαῖον	*qhbai=os	- no urn found -	Θηβαῖος
Θηβαῖον	*qhbai=os	- no urn found -	Θηβαῖος
Θηβαῖον	*qhbai=os	- no urn found -	Θηβαῖος
Θηβαῖον	*qhbai=os	- no urn found -	Θηβαῖος
Θηβαῖος	*qhbai=os	- no urn found -	Θηβαῖος
Θηραίοισι	*qh/raion	- no urn found -	Θήραιον
Θηραίοισι	*qhrai=os	- no urn found -	Θηραῖος
Θηραίοισι	*qhrai=os	- no urn found -	Θηραῖος
Θηραίοισι	*qhrai=os	- no urn found -	Θηραῖος
Θηραίων	*qh/raion	- no urn found -	Θήραιον
Θηραίων	*qhrai=os	- no urn found -	Θηραῖος
Θηραίων	*qhrai=os	- no urn found -	Θηραῖος
Θηραίων	*qhrai=os	- no urn found -	Θηραῖος
Θηραίων	*qhrai=os	- no urn found -	Θηραῖος
Θηραῖοι	*qhrai=os	- no urn found -	Θηραῖος
Θηραῖοι	*qhrai=os	- no urn found -	Θηραῖος
Θηραῖος	*qhrai=os	- no urn found -	Θηραῖος
Θηραῖοί	*qhrai=os	- no urn found -	Θηραῖος
Θηραῖοί	*qhrai=os	- no urn found -	Θηραῖος
Θμουΐτης	*qmoui/+th	- no urn found -	Θμουΐτη
Θορικοῦ	*qoriko/s	- no urn found -	Θορικός
Θρασυβούλου	*qrasu/boulos	- no urn found -	Θρασύβουλος
Θρασυβούλῳ	*qrasu/boulos	- no urn found -	Θρασύβουλος
Θρασυδήιον	*qrasudh/ios	- no urn found -	Θρασυδήιος
Θρασυκλέος	*qrasukle/hs	- no urn found -	Θρασυκλέης
Θρασυκλέος	*qrasukle/hs	- no urn found -	Θρασυκλέης
Θρασυκλέος	*qrasuklh/s	- no urn found -	Θρασυκλής
Θρασύβουλον	*qrasu/boulos	- no urn found -	Θρασύβουλος
Θρασύβουλος	*qrasu/boulos	- no urn found -	Θρασύβουλος
Θρηικίου	*qrh/|kios	- no urn found -	Θρῄκιος
Θρηικίου	*qrh/|kios	- no urn found -	Θρῄκιος
Θρηίκη	*qra|ki/a	- no urn found -	Θρᾳκία
Θρηίκη	*qra|ki/a	- no urn found -	Θρᾳκία
Θρηίκην	*qra|ki/a	- no urn found -	Θρᾳκία
Θρηίκης	*qra|ki/a	- no urn found -	Θρᾳκία
Θρηίκιον	*qrh/|kios	- no urn found -	Θρῄκιος
Θρηίκιον	*qrh/|kios	- no urn found -	Θρῄκιος
Θρηίκιον	*qrh/|kios	- no urn found -	Θρῄκιος
Θρηίκιον	*qrh/|kios	- no urn found -	Θρῄκιος
Θρηίκων	*qrh/i+c	- no urn found -	Θρήϊξ
Θρηίκῃ	*qra|ki/a	- no urn found -	Θρᾳκία
Θριασίῳ	*qria/sios	- no urn found -	Θριάσιος
Θριασίῳ	*qria/sios	- no urn found -	Θριάσιος
Θριάσιον	*qria/sios	- no urn found -	Θριάσιος
Θριάσιον	*qria/sios	- no urn found -	Θριάσιος
Θριάσιον	*qria/sios	- no urn found -	Θριάσιος
Θριάσιον	*qria/sios	- no urn found -	Θριάσιος
Θρήικας	*qrh/i+c	- no urn found -	Θρήϊξ
Θρήικες	*qrh/i+c	- no urn found -	Θρήϊξ
Θρήικες	*qrh/i+c	- no urn found -	Θρήϊξ
Θρήικος	*qrh/i+c	- no urn found -	Θρήϊξ
Θρήιξι	*qrh/i+c	- no urn found -	Θρήϊξ
Θρῆιξ	*qrh/i+c	- no urn found -	Θρήϊξ
Θρῆιξ	*qrh/i+c	- no urn found -	Θρήϊξ
Θυνοί	*qunoi/	- no urn found -	Θυνοί
Θυνοί	*qunoi/	- no urn found -	Θυνοί
Θυρέας	*qu/reus	- no urn found -	Θύρευς
Θυρέας	*qure/a	- no urn found -	Θυρέα
Θυρέας	*qure/a	- no urn found -	Θυρέα
Θυρέην	*qure/a	- no urn found -	Θυρέα
Θυρέης	*qure/a	- no urn found -	Θυρέα
Θυρέῃσι	*qure/a	- no urn found -	Θυρέα
Θυσσαγέται	*qussage/tai	- no urn found -	Θυσσαγέται
Θυσσαγέται	*qussage/tai	- no urn found -	Θυσσαγέται
Θυίης	*qui/a	- no urn found -	Θυία
Θυίης	*qui/h	- no urn found -	Θυίη
Θυίῃ	*qui/a	- no urn found -	Θυία
Θυίῃ	*qui/h	- no urn found -	Θυίη
Θωμάζω	qwma/zw	- no urn found -	θωμάζω
Θωμάζω	qwma/zw	- no urn found -	θωμάζω
Θωμάζων	qwma/zw	- no urn found -	θωμάζω
Θωμάσας	qwma/zw	- no urn found -	θωμάζω
Θωμάσας	qwma/zw	- no urn found -	θωμάζω
Θωμάσας	qwma/zw	- no urn found -	θωμάζω
Θωμάσας	qwma/zw	- no urn found -	θωμάζω
Θάσον	*qa/sos	- no urn found -	Θάσος
Θάσον	qa/zw	- no urn found -	θάζω
Θάσον	qa/zw	- no urn found -	θάζω
Θάσον	qa/zw	- no urn found -	θάζω
Θάσον	qa/zw	- no urn found -	θάζω
Θάσον	qa/zw	- no urn found -	θάζω
Θάσου	*qa/sos	- no urn found -	Θάσος
Θάσῳ	*qa/sos	- no urn found -	Θάσος
Θέμιος	*qe/mis	- no urn found -	Θέμις
Θέρσανδρος	*qe/rsandros	- no urn found -	Θέρσανδρος
Θέσπειάν	*qe/speia	- no urn found -	Θέσπεια
Θέστην	*qe/sth	- no urn found -	Θέστη
Θήβας	*qh/bh	- no urn found -	Θήβη
Θήβη	*qh/bh	- no urn found -	Θήβη
Θήβη	*qh/bh	- no urn found -	Θήβη
Θήβης	*qh/bh	- no urn found -	Θήβη
Θήρα	*qh/ras	- no urn found -	Θήρας
Θήρα	*qh/ras	- no urn found -	Θήρας
Θήρα	*qh/ras	- no urn found -	Θήρας
Θήρα	*qh/ras	- no urn found -	Θήρας
Θήρα	*qh/ras	- no urn found -	Θήρας
Θήρα	*qh/rh	- no urn found -	Θήρη
Θήρα	*qh/rh	- no urn found -	Θήρη
Θήρα	*qh/rh	- no urn found -	Θήρη
Θήρα	*qh/rh	- no urn found -	Θήρη
Θήρα	*qh/rh	- no urn found -	Θήρη
Θήραν	*qh/ras	- no urn found -	Θήρας
Θήραν	*qh/rh	- no urn found -	Θήρη
Θήρας	*qh/ras	- no urn found -	Θήρας
Θήρας	*qh/ras	- no urn found -	Θήρας
Θήρας	*qh/rh	- no urn found -	Θήρη
Θήρας	*qh/rh	- no urn found -	Θήρη
Θήρην	*qh/ras	- no urn found -	Θήρας
Θήρην	*qh/rh	- no urn found -	Θήρη
Θήρης	*qh/ras	- no urn found -	Θήρας
Θήρης	*qh/rh	- no urn found -	Θήρη
Θήρωνα	*qh/rwn	- no urn found -	Θήρων
Θήρωνος	*qh/rwn	- no urn found -	Θήρων
Θήρῃ	*qh/ras	- no urn found -	Θήρας
Θήρῃ	*qh/rh	- no urn found -	Θήρη
Θόαντι	*qo/as	- no urn found -	Θόας
Θόρνακι	*qo/rnac	- no urn found -	Θόρναξ
Θύσσος	*qu/ssos	- no urn found -	Θύσσος
Θώρηκα	*qw/rhc	- no urn found -	Θώρηξ
Θώρηξ	*qw/rhc	- no urn found -	Θώρηξ
Θώρηξ	*qw/rhc	- no urn found -	Θώρηξ
Θῶνις	*qw=nis	- no urn found -	Θῶνις
Θῶνος	*qw=n	- no urn found -	Θῶν
Θῶνος	*qw=nos	- no urn found -	Θῶνος
Καβαλέων	*ka/bala	- no urn found -	Κάβαλα
Καβαλέων	*kaba/lhs	- no urn found -	Καβάλης
Καβαλέων	*kabaleu/s	- no urn found -	Καβαλεύς
Καβαλέων	*kabaleu/s	- no urn found -	Καβαλεύς
Καδμείη	*kadmei=os	- no urn found -	Καδμεῖος
Καδμείη	*kadmei=os	- no urn found -	Καδμεῖος
Καδμείη	*kadmei=os	- no urn found -	Καδμεῖος
Καδμείη	*kadmei=os	- no urn found -	Καδμεῖος
Καδμείους	*kadmei=os	- no urn found -	Καδμεῖος
Καδμείους	*kadmei=os	- no urn found -	Καδμεῖος
Καδμείων	*kadmei=os	- no urn found -	Καδμεῖος
Καδμείων	*kadmei=os	- no urn found -	Καδμεῖος
Καδμείων	*kadmei=os	- no urn found -	Καδμεῖος
Καδμείων	*kadmei=os	- no urn found -	Καδμεῖος
Καδμείων	*kadmei=os	- no urn found -	Καδμεῖος
Καδμείων	*kadmei=os	- no urn found -	Καδμεῖος
Καδμείων	*kadmei=os	- no urn found -	Καδμεῖος
Καδμείων	*kadmei=os	- no urn found -	Καδμεῖος
Καδμείων	*kadmei=os	- no urn found -	Καδμεῖος
Καδμείων	*kadmei=os	- no urn found -	Καδμεῖος
Καδμεῖοι	*kadmei=os	- no urn found -	Καδμεῖος
Καδμεῖοι	*kadmei=os	- no urn found -	Καδμεῖος
Καδμεῖος	*kadmei=os	- no urn found -	Καδμεῖος
Καδμήια	*kadmei=os	- no urn found -	Καδμεῖος
Καδμήια	*kadmei=os	- no urn found -	Καδμεῖος
Καδμήια	*kadmei=os	- no urn found -	Καδμεῖος
Καδμήια	*kadmh/ios	- no urn found -	Καδμήιος
Καδμήια	*kadmh/ios	- no urn found -	Καδμήιος
Καδμήια	*kadmh/ios	- no urn found -	Καδμήιος
Καδύτιος	*ka/dutis	- no urn found -	Κάδυτις
Καινείδης	*kainei/+dhs	- no urn found -	Καινεΐδης
Καλασίριες	*kalasiri/as	- no urn found -	Καλασιρίας
Καλασίριές	*kalasiri/as	- no urn found -	Καλασιρίας
Καλλαντίαι	*kallanti/a	- no urn found -	Καλλαντία
Καλλαντίαι	*kallanti/ai	- no urn found -	Καλλαντίαι
Καλλαντίαι	*kallanti/ai	- no urn found -	Καλλαντίαι
Καλλατίας	*kallati/a	- no urn found -	Καλλατία
Καλλατίας	*kallati/a	- no urn found -	Καλλατία
Καλλατίας	*kallati/as	- no urn found -	Καλλατίας
Καλλικράτης	*kallikra/ths	- no urn found -	Καλλικράτης
Καλλικράτης	*kallikra/ths	- no urn found -	Καλλικράτης
Καλλικράτης	*kallikra/ths	- no urn found -	Καλλικράτης
Καλλικράτης	*kallikra/ths	- no urn found -	Καλλικράτης
Καλλιπολίτας	*kallipo/litai	- no urn found -	Καλλιπόλιται
Καλλιπολίτας	*kallipoli=tai	- no urn found -	Καλλιπολῖται
Καλλιφῶντος	*kallifw/n	- no urn found -	Καλλιφών
Καλλιφῶντος	*kallifw=n	- no urn found -	Καλλιφῶν
Καλλιάδεω	*kallia/dhs	- no urn found -	Καλλιάδης
Καλλάτηβον	*kalla/thbos	- no urn found -	Καλλάτηβος
Καλλίεω	*kalli/as	- no urn found -	Καλλίας
Καλλίην	*kalli/as	- no urn found -	Καλλίας
Καλλίην	kalli/a	- no urn found -	καλλία
Καλλίης	*kalli/as	- no urn found -	Καλλίας
Καλλίης	kalli/a	- no urn found -	καλλία
Καλλίμαχον	*kalli/maxos	- no urn found -	Καλλίμαχος
Καλλίμαχος	*kalli/maxos	- no urn found -	Καλλίμαχος
Καλλίμαχέ	*kalli/maxos	- no urn found -	Καλλίμαχος
Καλλίστην	*kalli/sth	- no urn found -	Καλλίστη
Καλλίστῃ	*kalli/sth	- no urn found -	Καλλίστη
Καλλίῃ	*kalli/as	- no urn found -	Καλλίας
Καλλίῃ	kalli/a	- no urn found -	καλλία
Καλυμνίων	*kalu/mnios	- no urn found -	Καλύμνιος
Καλυνδικῆς	*kalundiko/s	- no urn found -	Καλυνδικός
Καλυνδικῶν	*kalundiko/s	- no urn found -	Καλυνδικός
Καλυνδικῶν	*kalundiko/s	- no urn found -	Καλυνδικός
Καλυνδικῶν	*kalundiko/s	- no urn found -	Καλυνδικός
Καλυνδέων	*ka/lunda	- no urn found -	Κάλυνδα
Καλυνδέων	*kalundeu/s	- no urn found -	Καλυνδεύς
Καλυνδέων	*kalundeu/s	- no urn found -	Καλυνδεύς
Καλχηδονίης	*kalxhdo/nios	- no urn found -	Καλχηδόνιος
Καλχηδονίους	*kalxhdo/nios	- no urn found -	Καλχηδόνιος
Καλχηδόνιοι	*kalxhdo/nios	- no urn found -	Καλχηδόνιος
Καλχηδόνιοι	*kalxhdo/nios	- no urn found -	Καλχηδόνιος
Καλάμοισι	*ka/lamos	- no urn found -	Κάλαμος
Καλή	*kalh/	- no urn found -	Καλή
Καλή	*kalh/	- no urn found -	Καλή
Καλήν	*kalh/	- no urn found -	Καλή
Καμαριναίοισι	*kamari/naios	- no urn found -	Καμαρίναιος
Καμαριναίοισι	*kamari/naios	- no urn found -	Καμαρίναιος
Καμαριναίοισι	*kamarinai=os	- no urn found -	Καμαριναῖος
Καμαριναίοισι	*kamarinai=os	- no urn found -	Καμαριναῖος
Καμαριναίοισι	*kamarinai=os	- no urn found -	Καμαριναῖος
Καμαριναίους	*kamari/naios	- no urn found -	Καμαρίναιος
Καμαριναίους	*kamarinai=os	- no urn found -	Καμαριναῖος
Καμαριναίους	*kamarinai=os	- no urn found -	Καμαριναῖος
Καμαρίνης	*kama/rina	- no urn found -	Καμάρινα
Καμαρίνης	*kamari=na	- no urn found -	Καμαρῖνα
Καμβύσεω	*kambu/shs	- no urn found -	Καμβύσης
Καμβύσην	*kambu/shs	- no urn found -	Καμβύσης
Καμβύσην	*kambu/shs	- no urn found -	Καμβύσης
Καμβύσης	*kambu/shs	- no urn found -	Καμβύσης
Καμβύσης	*kambu/shs	- no urn found -	Καμβύσης
Καμβύσης	*kambu/shs	- no urn found -	Καμβύσης
Καμβύσης	*kambu/shs	- no urn found -	Καμβύσης
Καμβύσης	*kambu/shs	- no urn found -	Καμβύσης
Καμβύσῃ	*kambu/shs	- no urn found -	Καμβύσης
Καμικόν	*kamiko/s	- no urn found -	Καμικός
Καμικῷ	*kamiko/s	- no urn found -	Καμικός
Καμάρινα	*kama/rina	- no urn found -	Καμάρινα
Καμάρινα	*kama/rina	- no urn found -	Καμάρινα
Καμάριναν	*kama/rina	- no urn found -	Καμάρινα
Καναστραῖον	*kanastrai=on	- no urn found -	Καναστραῖον
Καναστραῖον	*kanastrai=on	- no urn found -	Καναστραῖον
Καναστραῖον	*kanastrai=on	- no urn found -	Καναστραῖον
Κανωβικόν	*kanwbi/ths	- no urn found -	Κανωβίτης
Κανωβικόν	*kanwbi/ths	- no urn found -	Κανωβίτης
Κανωβικόν	*kanwbi/ths	- no urn found -	Κανωβίτης
Κανωβικόν	*kanwbi/ths	- no urn found -	Κανωβίτης
Κανωβικόν	*kanwbiko/s	- no urn found -	Κανωβικός
Κανωβικόν	*kanwbiko/s	- no urn found -	Κανωβικός
Κανωβικόν	*kanwbiko/s	- no urn found -	Κανωβικός
Κανωβικόν	*kanwbiko/s	- no urn found -	Κανωβικός
Καππαδοκίην	*kappadoki/a	- no urn found -	Καππαδοκία
Καππαδοκίην	*kappadoki/h	- no urn found -	Καππαδοκίη
Καππαδοκίης	*kappadoki/a	- no urn found -	Καππαδοκία
Καππαδοκίης	*kappadoki/h	- no urn found -	Καππαδοκίη
Καππαδοκίῃ	*kappadoki/a	- no urn found -	Καππαδοκία
Καππαδοκίῃ	*kappadoki/h	- no urn found -	Καππαδοκίη
Καππαδόκαι	*kappado/khs	- no urn found -	Καππαδόκης
Καππαδόκαι	*kappado/khs	- no urn found -	Καππαδόκης
Καππαδόκαι	*kappado/khs	- no urn found -	Καππαδόκης
Καππαδόκας	*kappado/khs	- no urn found -	Καππαδόκης
Καππαδόκας	*kappado/khs	- no urn found -	Καππαδόκης
Καρδαμύλῃ	*kardamu/lh	- no urn found -	Καρδαμύλη
Καρδίην	*kardi/h	- no urn found -	Καρδίη
Καρδίης	*kardi/h	- no urn found -	Καρδίη
Καρκινίτιδος	*karki/nitis	- no urn found -	Καρκίνιτις
Καρπάθῳ	*ka/rpaqos	- no urn found -	Κάρπαθος
Καρυανδέα	*karuandeu/s	- no urn found -	Καρυανδεύς
Καρυστίης	*karu/stios	- no urn found -	Καρύστιος
Καρυστίοισι	*karu/stios	- no urn found -	Καρύστιος
Καρυστίοισι	*karu/stios	- no urn found -	Καρύστιος
Καρυστίοισί	*karu/stios	- no urn found -	Καρύστιος
Καρυστίοισί	*karu/stios	- no urn found -	Καρύστιος
Καρυστίους	*karu/stios	- no urn found -	Καρύστιος
Καρυστίων	*karu/stios	- no urn found -	Καρύστιος
Καρυστίων	*karu/stios	- no urn found -	Καρύστιος
Καρυστίων	*karu/stios	- no urn found -	Καρύστιος
Καρχηδονίους	*karxhdo/nios	- no urn found -	Καρχηδόνιος
Καρχηδονίων	*karxhdo/nios	- no urn found -	Καρχηδόνιος
Καρχηδονίων	*karxhdo/nios	- no urn found -	Καρχηδόνιος
Καρχηδονίων	*karxhdo/nios	- no urn found -	Καρχηδόνιος
Καρχηδόνιοι	*karxhdo/nios	- no urn found -	Καρχηδόνιος
Καρχηδόνιοι	*karxhdo/nios	- no urn found -	Καρχηδόνιος
Καρχηδόνιον	*karxhdo/nios	- no urn found -	Καρχηδόνιος
Καρχηδόνιον	*karxhdo/nios	- no urn found -	Καρχηδόνιος
Καρχηδόνιον	*karxhdo/nios	- no urn found -	Καρχηδόνιος
Καρχηδόνιον	*karxhdo/nios	- no urn found -	Καρχηδόνιος
Καρχηδόνιοί	*karxhdo/nios	- no urn found -	Καρχηδόνιος
Καρχηδόνιοί	*karxhdo/nios	- no urn found -	Καρχηδόνιος
Καρήνην	*karh/nh	- no urn found -	Καρήνη
Καρήνου	*ka/rhnos	- no urn found -	Κάρηνος
Καρύστιοι	*karu/stios	- no urn found -	Καρύστιος
Καρύστιοι	*karu/stios	- no urn found -	Καρύστιος
Καρύστιος	*karu/stios	- no urn found -	Καρύστιος
Καρύστου	*ka/rustos	- no urn found -	Κάρυστος
Καρῶν	*ka/rai	- no urn found -	Κάραι
Κασθαναίης	*kasqanai/a	- no urn found -	Κασθαναία
Κασμένης	*ka/smena	- no urn found -	Κάσμενα
Κασμένης	*kasme/nh	- no urn found -	Κασμένη
Κασπατύρου	*kaspa/turos	- no urn found -	Κασπάτυρος
Κασπατύρῳ	*kaspa/turos	- no urn found -	Κασπάτυρος
Κασπίη	*ka/spios	- no urn found -	Κάσπιος
Κασπίη	*ka/spios	- no urn found -	Κάσπιος
Κασπίην	*ka/spios	- no urn found -	Κάσπιος
Κασπίης	*ka/spios	- no urn found -	Κάσπιος
Κασσανδάνη	*kassanda/nh	- no urn found -	Κασσανδάνη
Κασσανδάνη	*kassanda/nh	- no urn found -	Κασσανδάνη
Κασσανδάνης	*kassanda/nh	- no urn found -	Κασσανδάνη
Κασσανδάνῃ	*kassanda/nh	- no urn found -	Κασσανδάνη
Κασίου	*ka/sios	- no urn found -	Κάσιος
Καταρρήκτης	*katarrh/kths	- no urn found -	Καταρρήκτης
Καταρρήκτης	*katarrh/kths	- no urn found -	Καταρρήκτης
Καταρρήκτης	*katarrh/kths	- no urn found -	Καταρρήκτης
Καταρρήκτης	*katarrh/kths	- no urn found -	Καταρρήκτης
Καυκάσιον	*kauka/sios	- no urn found -	Καυκάσιος
Καυκάσιον	*kauka/sios	- no urn found -	Καυκάσιος
Καυκάσιον	*kauka/sios	- no urn found -	Καυκάσιος
Καυκάσιον	*kauka/sios	- no urn found -	Καυκάσιος
Καυκάσιος	*kauka/sios	- no urn found -	Καυκάσιος
Καυκάσιος	*kauka/sios	- no urn found -	Καυκάσιος
Καφηρέα	*kafhreu/s	- no urn found -	Καφηρεύς
Καίτοι	kai/toi	- no urn found -	καίτοι
Καύκασα	*kau/kasa	- no urn found -	Καύκασα
Καύκασα	*kau/kasa	- no urn found -	Καύκασα
Καύκωνας	*kau/kwn	- no urn found -	Καύκων
Καύκωνας	*kau/kwnes	- no urn found -	Καύκωνες
Καΐκου	*ka/i+kos	- no urn found -	Κάϊκος
Καΐκου	*kai=kos	- no urn found -	Καῖκος
Καΰστριον	*ka/u+stros	- no urn found -	Κάϋστρος
Καΰστριον	*ka/u+stros	- no urn found -	Κάϋστρος
Καΰστριον	*ka/u+stros	- no urn found -	Κάϋστρος
Καΰστριον	*ka/u+stros	- no urn found -	Κάϋστρος
Καΰστριον	*kau/strios	- no urn found -	Καύστριος
Καΰστριον	*kau/strios	- no urn found -	Καύστριος
Καΰστριον	*kau/strios	- no urn found -	Καύστριος
Καΰστριον	*kau/strios	- no urn found -	Καύστριος
Καῦνον	*kau=nos	- no urn found -	Καῦνος
Κεκροπίδαι	*kekropi/dai	- no urn found -	Κεκροπίδαι
Κεκροπίδαι	*kekropi/dai	- no urn found -	Κεκροπίδαι
Κελαινάς	*kelainai/	- no urn found -	Κελαιναί
Κελαινέων	*kelai/neus	- no urn found -	Κελαίνευς
Κελαινέων	*kelainai/	- no urn found -	Κελαιναί
Κελαινέων	*kelaineu/s	- no urn found -	Κελαινεύς
Κελαινέων	*kelaineu/s	- no urn found -	Κελαινεύς
Κελτοί	*kelto/s	- no urn found -	Κελτός
Κελτοί	*kelto/s	- no urn found -	Κελτός
Κελτῶν	*kelto/s	- no urn found -	Κελτός
Κελτῶν	*kelto/s	- no urn found -	Κελτός
Κελτῶν	*kelto/s	- no urn found -	Κελτός
Κελέης	*kele/as	- no urn found -	Κελέας
Κεραμεικός	*kerameiko/s	- no urn found -	Κεραμεικός
Κερκασώρου	*kerka/swros	- no urn found -	Κερκάσωρος
Κερκυραίους	*kerukurai=os	- no urn found -	Κερυκυραῖος
Κερκυραίων	*kerukurai=os	- no urn found -	Κερυκυραῖος
Κερκυραίων	*kerukurai=os	- no urn found -	Κερυκυραῖος
Κερκυραίων	*kerukurai=os	- no urn found -	Κερυκυραῖος
Κερκυραῖοι	*kerukurai=os	- no urn found -	Κερυκυραῖος
Κερκυραῖοι	*kerukurai=os	- no urn found -	Κερυκυραῖος
Κερκάσωρον	*kerka/swros	- no urn found -	Κερκάσωρος
Κεφαλληνίης	*kefallh/nios	- no urn found -	Κεφαλλήνιος
Κεφαλληνίης	*kefallhni/a	- no urn found -	Κεφαλληνία
Κεφαλληνίης	*kefallhni/h	- no urn found -	Κεφαλληνίη
Κεφαλάς	*kefalh/	- no urn found -	Κεφαλή
Κηφισοῦ	*khfisso/s	- no urn found -	Κηφισσός
Κηφισόν	*khfisso/s	- no urn found -	Κηφισσός
Κηφῆνες	*khfh/nhs	- no urn found -	Κηφήνης
Κιθαιρωνίδας	*kiqairwni/s	- no urn found -	Κιθαιρωνίς
Κιθαιρῶνα	*kiqairw/n	- no urn found -	Κιθαιρών
Κιθαιρῶνι	*kiqairw/n	- no urn found -	Κιθαιρών
Κιθαιρῶνος	*kiqairw/n	- no urn found -	Κιθαιρών
Κικόνων	*ki/kones	- no urn found -	Κίκονες
Κιλικίην	*kili/kios	- no urn found -	Κιλίκιος
Κιλικίης	*kili/kios	- no urn found -	Κιλίκιος
Κιλικίων	*kili/kion	- no urn found -	Κιλίκιον
Κιλικίων	*kili/kios	- no urn found -	Κιλίκιος
Κιλικίων	*kili/kios	- no urn found -	Κιλίκιος
Κιλικίων	*kili/kios	- no urn found -	Κιλίκιος
Κιλικίῃ	*kili/kios	- no urn found -	Κιλίκιος
Κιλίσσῃσι	*kili/sshs	- no urn found -	Κιλίσσης
Κιλίσσῃσι	*kili/sshs	- no urn found -	Κιλίσσης
Κιμμερίη	*kimme/rios	- no urn found -	Κιμμέριος
Κιμμερίη	*kimme/rios	- no urn found -	Κιμμέριος
Κιμμερίη	*kimmeriko/s	- no urn found -	Κιμμερικός
Κιμμερίη	*kimmeriko/s	- no urn found -	Κιμμερικός
Κιμμερίην	*kimme/rios	- no urn found -	Κιμμέριος
Κιμμερίην	*kimmeriko/s	- no urn found -	Κιμμερικός
Κιμμερίου	*kimme/rios	- no urn found -	Κιμμέριος
Κιμμερίου	*kimme/rios	- no urn found -	Κιμμέριος
Κιμμερίου	*kimmeriko/s	- no urn found -	Κιμμερικός
Κιμμερίου	*kimmeriko/s	- no urn found -	Κιμμερικός
Κιμμερίους	*kimme/rios	- no urn found -	Κιμμέριος
Κιμμερίους	*kimmeriko/s	- no urn found -	Κιμμερικός
Κιμμερίων	*kimme/rios	- no urn found -	Κιμμέριος
Κιμμερίων	*kimme/rios	- no urn found -	Κιμμέριος
Κιμμερίων	*kimme/rios	- no urn found -	Κιμμέριος
Κιμμερίων	*kimmeriko/s	- no urn found -	Κιμμερικός
Κιμμερίων	*kimmeriko/s	- no urn found -	Κιμμερικός
Κιμμερίων	*kimmeriko/s	- no urn found -	Κιμμερικός
Κιμμέρια	*kimme/rios	- no urn found -	Κιμμέριος
Κιμμέρια	*kimme/rios	- no urn found -	Κιμμέριος
Κιμμέρια	*kimme/rios	- no urn found -	Κιμμέριος
Κιμμέρια	*kimmeriko/s	- no urn found -	Κιμμερικός
Κιμμέρια	*kimmeriko/s	- no urn found -	Κιμμερικός
Κιμμέρια	*kimmeriko/s	- no urn found -	Κιμμερικός
Κιμμέριοι	*kimme/rios	- no urn found -	Κιμμέριος
Κιμμέριοι	*kimme/rios	- no urn found -	Κιμμέριος
Κιμμέριοι	*kimmeriko/s	- no urn found -	Κιμμερικός
Κιμμέριοι	*kimmeriko/s	- no urn found -	Κιμμερικός
Κιμμέριος	*kimme/rios	- no urn found -	Κιμμέριος
Κιμμέριος	*kimmeriko/s	- no urn found -	Κιμμερικός
Κινδυέος	*kindueu/s	- no urn found -	Κινδυεύς
Κινέην	*kine/as	- no urn found -	Κινέας
Κλαζομεναί	*klazomenai/	- no urn found -	Κλαζομεναί
Κλαζομεναί	*klazomenai/	- no urn found -	Κλαζομεναί
Κλαζομενάς	*klazomenai/	- no urn found -	Κλαζομεναί
Κλαζομενίων	*klazome/nios	- no urn found -	Κλαζομένιος
Κλαζομενίων	*klazome/nios	- no urn found -	Κλαζομένιος
Κλαζομενίων	*klazome/nios	- no urn found -	Κλαζομένιος
Κλαζομένιος	*klazome/nios	- no urn found -	Κλαζομένιος
Κλεινίης	*kleini/as	- no urn found -	Κλεινίας
Κλεισθένεα	*kleisqe/nhs	- no urn found -	Κλεισθένης
Κλεισθένεος	*kleisqe/nhs	- no urn found -	Κλεισθένης
Κλεισθένεϊ	*kleisqe/nhs	- no urn found -	Κλεισθένης
Κλεισθένεϊ	*kleisqe/nhs	- no urn found -	Κλεισθένης
Κλεισθένεϊ	*kleisqe/nhs	- no urn found -	Κλεισθένης
Κλεισθένεϊ	*kleisqe/nhs	- no urn found -	Κλεισθένης
Κλεισθένεϊ	*kleisqe/nhs	- no urn found -	Κλεισθένης
Κλεισθένης	*kleisqe/nhs	- no urn found -	Κλεισθένης
Κλεισθένης	*kleisqe/nhs	- no urn found -	Κλεισθένης
Κλεισθένης	*kleisqe/nhs	- no urn found -	Κλεισθένης
Κλεισθένης	*kleisqe/nhs	- no urn found -	Κλεισθένης
Κλεοδαίου	*kleo/daios	- no urn found -	Κλεόδαιος
Κλεομβρότου	*kleo/mbrotos	- no urn found -	Κλεόμβροτος
Κλεομένεα	*kleome/nhs	- no urn found -	Κλεομένης
Κλεομένεος	*kleome/nhs	- no urn found -	Κλεομένης
Κλεομένεϊ	*kleome/nhs	- no urn found -	Κλεομένης
Κλεομένεϊ	*kleome/nhs	- no urn found -	Κλεομένης
Κλεομένεϊ	*kleome/nhs	- no urn found -	Κλεομένης
