Αἰγύπτιος	*ai)gu/ptios	Αἰγύπτιος	*ai)gu/ptios	a-s---mn-
ἄρχοντα	a)/rxonta	ἄρχω	a)/rxw	v-pppann-
ἄρχοντα	a)/rxonta	ἄρχω	a)/rxw	v-pppanv-
ἄρχοντα	a)/rxonta	ἄρχω	a)/rxw	v-pppana-
ἄρχοντα	a)/rxonta	ἄρχω	a)/rxw	v-sppama-
ἄρχοντα	a)/rxonta	ἄρχων	a)/rxwn	n-s---ma-
ἄρχοντας	a)/rxontas	ἄρχω	a)/rxw	v-pppama-
ἄρχοντας	a)/rxontas	ἄρχων	a)/rxwn	n-p---ma-
ἄρχου	a)/rxou	ἄρχω	a)/rxw	v2siie---
ἄρχου	a)/rxou	ἄρχω	a)/rxw	v2spme---
ἄρχου	a)/rxou	ἄρχω	a)/rxw	v2siie---
ἄστει	a)/stei	ἄστυ	a)/stu	n-d---nn-
ἄστει	a)/stei	ἄστυ	a)/stu	n-d---nv-
ἄστει	a)/stei	ἄστυ	a)/stu	n-d---na-
ἄστει	a)/stei	ἄστυ	a)/stu	n-s---nd-
ἄστυ	a)/stu	ἄστυ	a)/stu	n-s---nn-
ἄστυ	a)/stu	ἄστυ	a)/stu	n-s---nv-
ἄστυ	a)/stu	ἄστυ	a)/stu	n-s---na-
ἄτιμον	a)/timon	ἄτιμος	a)/timos	n-s---ma-
ἄτιμον	a)/timon	ἄτιμος	a)/timos	n-s---fa-
ἄτιμον	a)/timon	ἄτιμος	a)/timos	n-s---nn-
ἄτιμον	a)/timon	ἄτιμος	a)/timos	n-s---nv-
ἄτιμον	a)/timon	ἄτιμος	a)/timos	n-s---na-
ἄτοπος	a)/topos	ἄτοπος	a)/topos	n-s---mn-
ἄτοπος	a)/topos	ἄτοπος	a)/topos	n-s---fn-
ἄτοπόν	a)/topo/n	ἄτοπος	a)/topos	n-s---ma-
ἄτοπόν	a)/topo/n	ἄτοπος	a)/topos	n-s---fa-
ἄτοπόν	a)/topo/n	ἄτοπος	a)/topos	n-s---nn-
ἄτοπόν	a)/topo/n	ἄτοπος	a)/topos	n-s---nv-
ἄτοπόν	a)/topo/n	ἄτοπος	a)/topos	n-s---na-
ἄττα	a)/tta	ἄττα	a)/tta	x--------
ἄφατον	a)/faton	ἄφατος	a)/fatos	n-s---ma-
ἄφατον	a)/faton	ἄφατος	a)/fatos	n-s---fa-
ἄφατον	a)/faton	ἄφατος	a)/fatos	n-s---nn-
ἄφατον	a)/faton	ἄφατος	a)/fatos	n-s---nv-
ἄφατον	a)/faton	ἄφατος	a)/fatos	n-s---na-
ἄφθιτα	a)/fqita	ἄφθιτος	a)/fqitos	a-p---nn-
ἄφθιτα	a)/fqita	ἄφθιτος	a)/fqitos	a-p---nv-
ἄφθιτα	a)/fqita	ἄφθιτος	a)/fqitos	a-p---na-
ἄφθιτα	a)/fqita	ἄφθιτος	a)/fqitos	n-p---nn-
ἄφθιτα	a)/fqita	ἄφθιτος	a)/fqitos	n-p---nv-
ἄφθιτα	a)/fqita	ἄφθιτος	a)/fqitos	n-p---na-
ἄφθιτον	a)/fqiton	ἄφθιτος	a)/fqitos	a-s---ma-
ἄφθιτον	a)/fqiton	ἄφθιτος	a)/fqitos	a-s---nn-
ἄφθιτον	a)/fqiton	ἄφθιτος	a)/fqitos	a-s---nv-
ἄφθιτον	a)/fqiton	ἄφθιτος	a)/fqitos	a-s---na-
ἄφθιτον	a)/fqiton	ἄφθιτος	a)/fqitos	n-s---ma-
ἄφθιτον	a)/fqiton	ἄφθιτος	a)/fqitos	n-s---fa-
ἄφθιτον	a)/fqiton	ἄφθιτος	a)/fqitos	n-s---nn-
ἄφθιτον	a)/fqiton	ἄφθιτος	a)/fqitos	n-s---nv-
ἄφθιτον	a)/fqiton	ἄφθιτος	a)/fqitos	n-s---na-
ἄχαρις	a)/xaris	ἄχαρις	a)/xaris	n-s---mn-
ἄχαρις	a)/xaris	ἄχαρις	a)/xaris	n-s---fn-
ἅ	a(/	ὁ	o(	l-s---fn-
ἅ	a(/	ὅς	o(/s	p-p---na-
ἅ	a(/	ὅς	o(/s	p-p---nn-
ἅ	a(/	ὅς	o(/s	p-d---fa-
ἅ	a(/	ὅς	o(/s	p-d---fn-
ἅ	a(/	ὅς	o(/s	p-s---fn-
ἅγγελος	a(/ggelos	ἄγγελος	a)/ggelos	n-s---mn-
ἅγγελος	a(/ggelos	ἄγγελος	a)/ggelos	n-s---fn-
ἅμα	a(/ma	ἅμα	a(/ma	d--------
ἅνθρωπος	a(/nqrwpos	ἄνθρωπος	a)/nqrwpos	n-s---mn-
ἅπαντα	a(/panta	ἅπας	a(/pas	a-p---nn-
ἅπαντα	a(/panta	ἅπας	a(/pas	a-p---nv-
ἅπαντα	a(/panta	ἅπας	a(/pas	a-p---na-
ἅπαντα	a(/panta	ἅπας	a(/pas	a-s---ma-
ἅπαντας	a(/pantas	ἅπας	a(/pas	a-p---ma-
ἅπαντες	a(/pantes	ἅπας	a(/pas	a-p---mn-
ἅπαντες	a(/pantes	ἅπας	a(/pas	a-p---mv-
ἅπαντά	a(/panta/	ἅπας	a(/pas	a-p---nn-
ἅπαντά	a(/panta/	ἅπας	a(/pas	a-p---nv-
ἅπαντά	a(/panta/	ἅπας	a(/pas	a-p---na-
ἅπαντά	a(/panta/	ἅπας	a(/pas	a-s---ma-
ἅπαντ’	a(/pant'	ἅπας	a(/pas	a-p---nn-
ἅπαντ’	a(/pant'	ἅπας	a(/pas	a-p---nv-
ἅπαντ’	a(/pant'	ἅπας	a(/pas	a-p---na-
ἅπαντ’	a(/pant'	ἅπας	a(/pas	a-s---ma-
ἅπαντ’	a(/pant'	ἅπας	a(/pas	a-s---md-
ἅπαντ’	a(/pant'	ἅπας	a(/pas	a-s---nd-
ἅπαντ’	a(/pant'	ἅπας	a(/pas	a-d---mn-
ἅπαντ’	a(/pant'	ἅπας	a(/pas	a-d---mv-
ἅπαντ’	a(/pant'	ἅπας	a(/pas	a-d---ma-
ἅπαντ’	a(/pant'	ἅπας	a(/pas	a-d---nn-
ἅπαντ’	a(/pant'	ἅπας	a(/pas	a-d---nv-
ἅπαντ’	a(/pant'	ἅπας	a(/pas	a-d---na-
ἅπαξ	a(/pac	ἅπαξ	a(/pac	d--------
ἅπερ	a(/per	ὁ	o(	l-s---fn-
ἅπερ	a(/per	ὅς	o(/s	p-p---na-
ἅπερ	a(/per	ὅς	o(/s	p-p---nn-
ἅπερ	a(/per	ὅς	o(/s	p-d---fa-
ἅπερ	a(/per	ὅς	o(/s	p-d---fn-
ἅπερ	a(/per	ὅς	o(/s	p-s---fn-
ἅρματε	a(/rmate	ἅρμα	a(/rma	n-d---nn-
ἅρματε	a(/rmate	ἅρμα	a(/rma	n-d---nv-
ἅρματε	a(/rmate	ἅρμα	a(/rma	n-d---na-
ἅρχων	a(/rxwn	ἄρχω	a)/rxw	v-sppamn-
ἅρχων	a(/rxwn	ἄρχων	a)/rxwn	n-s---mn-
ἅτε	a(/te	ἅτε	a(/te	d--------
ἆρα	a)=ra	ἆρα	a)=ra	x--------
ἆρα	a)=ra	αἴρω	ai)/rw	v1saia---
ἆρα	a)=ra	αἴρω	ai)/rw	v1saia---
ἆρά	a)=ra/	ἆρα	a)=ra	x--------
ἆρά	a)=ra/	αἴρω	ai)/rw	v1saia---
ἆρά	a)=ra/	αἴρω	ai)/rw	v1saia---
Ἀγαμέμνων	*)agame/mnwn	Ἀγαμέμνων	*)agame/mnwn	n-s---mn-
Ἀγαμέμνων	*)agame/mnwn	Ἀγαμέμνων	*)agame/mnwn	n-s---mv-
Ἀθηναίαν	*)aqhnai/an	Ἀθηναῖος	*)aqhnai=os	a-s---fa-
Ἀθηναῖοι	*)aqhnai=oi	Ἀθηναῖος	*)aqhnai=os	a-p---mn-
Ἀθηναῖοι	*)aqhnai=oi	Ἀθηναῖος	*)aqhnai=os	a-p---mv-
Ἀθηναῖον	*)aqhnai=on	Ἀθηναῖος	*)aqhnai=os	a-s---ma-
Ἀθηναῖον	*)aqhnai=on	Ἀθηναῖος	*)aqhnai=os	a-s---nn-
Ἀθηναῖον	*)aqhnai=on	Ἀθηναῖος	*)aqhnai=os	a-s---nv-
Ἀθηναῖον	*)aqhnai=on	Ἀθηναῖος	*)aqhnai=os	a-s---na-
Ἀθήναζ’	*)aqh/naz'	Ἀθῆναι	*)aqh=nai	d--------
Ἀκαλανθίδι	*)akalanqi/di	ἀκαλανθίς	a)kalanqi/s	n-s---fd-
Ἀκαλανθίς	*)akalanqi/s	ἀκαλανθίς	a)kalanqi/s	n-s---fn-
Ἀλεξάνδρου	*)aleca/ndrou	Ἀλέξανδρος	*)ale/candros	n-s---mg-
Ἀλεξάνδρου	*)aleca/ndrou	ἀλέξανδρος	a)le/candros	n-s---mg-
Ἀλεξάνδρου	*)aleca/ndrou	ἀλέξανδρος	a)le/candros	n-s---fg-
Ἀλεξάνδρου	*)aleca/ndrou	ἀλέξανδρος	a)le/candros	n-s---ng-
Ἀλκμήνας	*)alkmh/nas	Ἀλκμήνη	*)alkmh/nh	n-s---fg-
Ἀλφειόν	*)alfeio/n	Ἀλφειός	*)alfeio/s	n-s---ma-
Ἀλόπας	*)alo/pas	Ἀλόπη	*)alo/ph	n-s---fg-
Ἀμβροσία	*)ambrosi/a	Ἀμβροσία	*)ambrosi/a	n-d---fn-
Ἀμβροσία	*)ambrosi/a	Ἀμβροσία	*)ambrosi/a	n-d---fv-
Ἀμβροσία	*)ambrosi/a	Ἀμβροσία	*)ambrosi/a	n-d---fa-
Ἀμβροσία	*)ambrosi/a	Ἀμβροσία	*)ambrosi/a	n-s---fn-
Ἀμβροσία	*)ambrosi/a	Ἀμβροσία	*)ambrosi/a	n-s---fv-
Ἀμβροσία	*)ambrosi/a	ἀμβρόσιος	a)mbro/sios	a-d---fn-
Ἀμβροσία	*)ambrosi/a	ἀμβρόσιος	a)mbro/sios	a-d---fv-
Ἀμβροσία	*)ambrosi/a	ἀμβρόσιος	a)mbro/sios	a-d---fa-
Ἀμβροσία	*)ambrosi/a	ἀμβρόσιος	a)mbro/sios	a-s---fn-
Ἀμβροσία	*)ambrosi/a	ἀμβρόσιος	a)mbro/sios	a-s---fv-
Ἀμβροσία	*)ambrosi/a	ἀμβροσία	a)mbrosi/a	n-d---fn-
Ἀμβροσία	*)ambrosi/a	ἀμβροσία	a)mbrosi/a	n-d---fv-
Ἀμβροσία	*)ambrosi/a	ἀμβροσία	a)mbrosi/a	n-d---fa-
Ἀμβροσία	*)ambrosi/a	ἀμβροσία	a)mbrosi/a	n-s---fn-
Ἀμβροσία	*)ambrosi/a	ἀμβροσία	a)mbrosi/a	n-s---fv-
Ἀμβροσία	*)ambrosi/a	ἀμβροσίη	a)mbrosi/h	n-d---fn-
Ἀμβροσία	*)ambrosi/a	ἀμβροσίη	a)mbrosi/h	n-d---fv-
Ἀμβροσία	*)ambrosi/a	ἀμβροσίη	a)mbrosi/h	n-d---fa-
Ἀμβροσία	*)ambrosi/a	ἀμβροσίη	a)mbrosi/h	n-s---fn-
Ἀμβροσία	*)ambrosi/a	ἀμβροσίη	a)mbrosi/h	n-s---fv-
Ἀμφίονος	*)amfi/onos	Ἀμφίων	*)amfi/wn	n-s---mg-
Ἀπόλλω	*)apo/llw	Ἀπόλλων	*)apo/llwn	n-s---mn-
Ἀπόλλω	*)apo/llw	ἀπολούω	a)polou/w	v3siia---
Ἀπόλλων	*)apo/llwn	Ἀπόλλων	*)apo/llwn	n-s---mn-
Ἀπόλλων	*)apo/llwn	Ἀπόλλων	*)apo/llwn	n-s---mv-
Ἀρτέμιδι	*)arte/midi	Ἄρτεμις	*)/artemis	n-s---fd-
Ἀττικῆς	*)attikh=s	Ἀττική	*)attikh/	n-s---fg-
Ἀττικῆς	*)attikh=s	Ἀττικός	*)attiko/s	a-s---fg-
Ἀφροδίτῃ	*)afrodi/th|	Ἀφροδίτη	*)afrodi/th	n-s---fd-
Ἀφροδίτῃ	*)afrodi/th|	Ἀφροδίτη	*)afrodi/th	n-s---fd-
Ἄμμων	*)/ammwn	Ἄμμων	*)/ammwn	n-s---mn-
Ἄμμων	*)/ammwn	Ἄμμων	*)/ammwn	n-s---mv-
Ἄμμων	*)/ammwn	ἁμόσ1	a(mo/s1	a-p---fg-
Ἄμμων	*)/ammwn	ἁμόσ1	a(mo/s1	a-p---mg-
Ἄμμων	*)/ammwn	ἁμόσ1	a(mo/s1	a-p---ng-
Ἄμμων	*)/ammwn	ἄμμος	a)/mmos	n-p---fg-
Ἄμμων’	*)/ammwn'	Ἄμμων	*)/ammwn	n-s---ma-
Ἄμμων’	*)/ammwn'	Ἄμμων	*)/ammwn	n-s---md-
Ἄμμων’	*)/ammwn'	Ἄμμων	*)/ammwn	n-d---mn-
Ἄμμων’	*)/ammwn'	Ἄμμων	*)/ammwn	n-d---mv-
Ἄμμων’	*)/ammwn'	Ἄμμων	*)/ammwn	n-d---ma-
Ἄμμων’	*)/ammwn'	Ἀμμώνας	*)ammw/nas	n-s---mv-
Ἄμμων’	*)/ammwn'	Ἀμμώνας	*)ammw/nas	n-s---mn-
Ἄπολλον	*)/apollon	Ἀπόλλων	*)apo/llwn	n-s---mv-
Ἄρεως	*)/arews	Ἄρευς	*)/areus	n-s---mg-
Ἄρεως	*)/arews	Ἄρης	*)/arhs	n-s---mg-
Ἄρεως	*)/arews	Ἄρης	*)/arhs	n-s---mg-
Ἄρεως	*)/arews	Ἄρις	*)/aris	n-s---fg-
Ἄρτεμις	*)/artemis	Ἄρτεμις	*)/artemis	n-s---fn-
ἐγγλωττογαστόρων	e)gglwttogasto/rwn	ἐγγλωττογάστωρ	e)gglwttoga/stwr	n-p---mg-
ἐγγλωττογαστόρων	e)gglwttogasto/rwn	ἐγγλωττογάστωρ	e)gglwttoga/stwr	n-p---fg-
ἐγγυτάτω	e)gguta/tw	ἐγγύς	e)ggu/s	d--------
ἐγγυτάτω	e)gguta/tw	ἐγγύτατος	e)ggu/tatos	a-d---mn-
ἐγγυτάτω	e)gguta/tw	ἐγγύτατος	e)ggu/tatos	a-d---mv-
ἐγγυτάτω	e)gguta/tw	ἐγγύτατος	e)ggu/tatos	a-d---ma-
ἐγγυτάτω	e)gguta/tw	ἐγγύτατος	e)ggu/tatos	a-d---nn-
ἐγγυτάτω	e)gguta/tw	ἐγγύτατος	e)ggu/tatos	a-d---nv-
ἐγγυτάτω	e)gguta/tw	ἐγγύτατος	e)ggu/tatos	a-d---na-
ἐγγυτάτω	e)gguta/tw	ἐγγύτατος	e)ggu/tatos	a-s---mg-
ἐγγυτάτω	e)gguta/tw	ἐγγύτατος	e)ggu/tatos	a-s---ng-
ἐγγυτάτω	e)gguta/tw	ἐγγύτερος	e)ggu/teros	n-d---mn-
ἐγγυτάτω	e)gguta/tw	ἐγγύτερος	e)ggu/teros	n-d---mv-
ἐγγυτάτω	e)gguta/tw	ἐγγύτερος	e)ggu/teros	n-d---ma-
ἐγγυτάτω	e)gguta/tw	ἐγγύτερος	e)ggu/teros	n-d---fn-
ἐγγυτάτω	e)gguta/tw	ἐγγύτερος	e)ggu/teros	n-d---fv-
ἐγγυτάτω	e)gguta/tw	ἐγγύτερος	e)ggu/teros	n-d---fa-
ἐγγυτάτω	e)gguta/tw	ἐγγύτερος	e)ggu/teros	n-d---nn-
ἐγγυτάτω	e)gguta/tw	ἐγγύτερος	e)ggu/teros	n-d---nv-
ἐγγυτάτω	e)gguta/tw	ἐγγύτερος	e)ggu/teros	n-d---na-
ἐγγυτάτω	e)gguta/tw	ἐγγύτερος	e)ggu/teros	n-s---mg-
ἐγγυτάτω	e)gguta/tw	ἐγγύτερος	e)ggu/teros	n-s---fg-
ἐγγυτάτω	e)gguta/tw	ἐγγύτερος	e)ggu/teros	n-s---ng-
ἐγγύς	e)ggu/s	ἐγγύς	e)ggu/s	d--------
ἐγκατακλινῆναι	e)gkataklinh=nai	ἐγκατακλίνω	e)gkatakli/nw	v--anp---
ἐγκεκληκώς	e)gkeklhkw/s	ἐγκαλέω	e)gkale/w	v-srpamn-
ἐγκεκληκώς	e)gkeklhkw/s	ἐγκαλέω	e)gkale/w	v-srpamv-
ἐγκεκρυμμένοι	e)gkekrumme/noi	ἐγκρύπτω	e)gkru/ptw	v-prpemn-
ἐγκεκρυμμένοι	e)gkekrumme/noi	ἐγκρύπτω	e)gkru/ptw	v-prpemv-
ἐγκονήσεις	e)gkonh/seis	ἐγκονέω	e)gkone/w	v2sasa---
ἐγκονήσεις	e)gkonh/seis	ἐγκονέω	e)gkone/w	v2sfia---
ἐγκονήσεις	e)gkonh/seis	ἐγκονέω	e)gkone/w	v2sasa---
ἐγκονήσεις	e)gkonh/seis	ἐγκονέω	e)gkone/w	v2sfia---
ἐγχειρητής	e)gxeirhth/s	ἐγχειρητής	e)gxeirhth/s	n-s---mn-
ἐγχεῖ	e)gxei=	ἐγχέω	e)gxe/w	v2spie---
ἐγχεῖ	e)gxei=	ἐγχέω	e)gxe/w	v3spia---
ἐγχεῖ	e)gxei=	ἐγχύνω	e)gxu/nw	v2spie---
ἐγχεῖ	e)gxei=	ἐγχύνω	e)gxu/nw	v3spia---
ἐγένεσθε	e)ge/nesqe	γίγνομαι	gi/gnomai	v2paim---
ἐγένετο	e)ge/neto	γίγνομαι	gi/gnomai	v3saim---
ἐγένετ’	e)ge/net'	γίγνομαι	gi/gnomai	v3saim---
ἐγένοντο	e)ge/nonto	γίγνομαι	gi/gnomai	v3paim---
ἐγώ	e)gw/	ἐγώ	e)gw/	p-s---mn-
ἐγώ	e)gw/	ἐγώ	e)gw/	p-s---mv-
ἐγώ	e)gw/	ἐγώ	e)gw/	p-s---fn-
ἐγώ	e)gw/	ἐγώ	e)gw/	p-s---fv-
ἐδεξάμην	e)deca/mhn	δέχομαι	de/xomai	v1saim---
ἐδεξάμην	e)deca/mhn	δείκνυμι	dei/knumi	v1saim---
ἐδεόμην	e)deo/mhn	δέομαι	de/omai	v1siie---
ἐδεόμην	e)deo/mhn	δέω1	de/w1	v1siie---
ἐδεόμην	e)deo/mhn	δέω2	de/w2	v1siie---
ἐδάκρυσά	e)da/krusa/	δακρύω	dakru/w	v1saia---
ἐδίδαξα	e)di/daca	διδάσκω	dida/skw	v1saia---
ἐθαύμαζον	e)qau/mazon	θαυμάζω	qauma/zw	v3piia---
ἐθαύμαζον	e)qau/mazon	θαυμάζω	qauma/zw	v1siia---
ἐθελήσει	e)qelh/sei	ἐθέλω	e)qe/lw	v3sasa---
ἐθελήσει	e)qelh/sei	ἐθέλω	e)qe/lw	v2sfim---
ἐθελήσει	e)qelh/sei	ἐθέλω	e)qe/lw	v3sfia---
ἐθελήσῃ	e)qelh/sh|	ἐθέλω	e)qe/lw	v2sasm---
ἐθελήσῃ	e)qelh/sh|	ἐθέλω	e)qe/lw	v3sasa---
ἐθελήσῃ	e)qelh/sh|	ἐθέλω	e)qe/lw	v2sfim---
ἐθέλητε	e)qe/lhte	ἐθέλω	e)qe/lw	v2ppsa---
ἐθέλομεν	e)qe/lomen	ἐθέλω	e)qe/lw	v1ppia---
ἐθέλομεν	e)qe/lomen	ἐθέλω	e)qe/lw	v1piia---
ἐθέλομεν	e)qe/lomen	ἐθέλω	e)qe/lw	v1piia---
ἐθέριζον	e)qe/rizon	θερίζω	qeri/zw	v3piia---
ἐθέριζον	e)qe/rizon	θερίζω	qeri/zw	v1siia---
ἐκ	e)k	ἐκ	e)k	r--------
ἐκαλεῖτο	e)kalei=to	καλέω	kale/w	v3siie---
ἐκβιβάσας	e)kbiba/sas	ἐκβιβάζω	e)kbiba/zw	v-pfpafa-
ἐκβιβάσας	e)kbiba/sas	ἐκβιβάζω	e)kbiba/zw	v-sfpafg-
ἐκβιβάσας	e)kbiba/sas	ἐκβιβάζω	e)kbiba/zw	v-pfpafa-
ἐκβιβάσας	e)kbiba/sas	ἐκβιβάζω	e)kbiba/zw	v-sfpafg-
ἐκβιβάσας	e)kbiba/sas	ἐκβιβάζω	e)kbiba/zw	v-sapamn-
ἐκβιβάσας	e)kbiba/sas	ἐκβιβάζω	e)kbiba/zw	v-sapamv-
ἐκβιβάσας	e)kbiba/sas	ἐκβιβάζω	e)kbiba/zw	v-sapamn-
ἐκβιβάσας	e)kbiba/sas	ἐκβιβάζω	e)kbiba/zw	v-sapamv-
ἐκβίβασον	e)kbi/bason	ἐκβιβάζω	e)kbiba/zw	v2sama---
ἐκβίβασον	e)kbi/bason	ἐκβιβάζω	e)kbiba/zw	v2sama---
ἐκδοτέον	e)kdote/on	ἐκδοτέον	e)kdote/on	n-s---ma-
ἐκδοτέον	e)kdote/on	ἐκδοτέον	e)kdote/on	n-s---nn-
ἐκδοτέον	e)kdote/on	ἐκδοτέον	e)kdote/on	n-s---nv-
ἐκδοτέον	e)kdote/on	ἐκδοτέον	e)kdote/on	n-s---na-
ἐκδοτέον	e)kdote/on	ἐκδοτέος	e)kdote/os	n-s---ma-
ἐκδοτέον	e)kdote/on	ἐκδοτέος	e)kdote/os	n-s---fa-
ἐκδοτέον	e)kdote/on	ἐκδοτέος	e)kdote/os	n-s---nn-
ἐκδοτέον	e)kdote/on	ἐκδοτέος	e)kdote/os	n-s---nv-
ἐκδοτέον	e)kdote/on	ἐκδοτέος	e)kdote/os	n-s---na-
ἐκεινηί	e)keinhi/	ἐκεῖνος	e)kei=nos	n-s---fd-
ἐκεινοσί	e)keinosi/	ἐκεῖνος	e)kei=nos	n-s---mn-
ἐκείνας	e)kei/nas	ἐκεῖνος	e)kei=nos	n-p---fa-
ἐκείνας	e)kei/nas	ἐκεῖνος	e)kei=nos	n-s---fg-
ἐκείνην	e)kei/nhn	ἐκεῖνος	e)kei=nos	n-s---fa-
ἐκείνης	e)kei/nhs	ἐκεῖνος	e)kei=nos	n-s---fg-
ἐκείνου	e)kei/nou	ἐκεῖνος	e)kei=nos	n-s---ng-
ἐκείνου	e)kei/nou	ἐκεῖνος	e)kei=nos	n-s---mg-
ἐκείνου	e)kei/nou	κενόω	keno/w	v3siia---
ἐκείνων	e)kei/nwn	ἐκεῖνος	e)kei=nos	n-p---ng-
ἐκείνων	e)kei/nwn	ἐκεῖνος	e)kei=nos	n-p---fg-
ἐκείνων	e)kei/nwn	ἐκεῖνος	e)kei=nos	n-p---mg-
ἐκείνων	e)kei/nwn	κενόω	keno/w	v3piia---
ἐκείνων	e)kei/nwn	κενόω	keno/w	v1siia---
ἐκεῖ	e)kei=	ἐκεῖ	e)kei=	d--------
ἐκεῖθεν	e)kei=qen	ἐκεῖθεν	e)kei=qen	d--------
ἐκεῖνα	e)kei=na	ἐκεῖνος	e)kei=nos	n-p---nn-
ἐκεῖνα	e)kei=na	ἐκεῖνος	e)kei=nos	n-p---nv-
ἐκεῖνα	e)kei=na	ἐκεῖνος	e)kei=nos	n-p---na-
ἐκεῖνο	e)kei=no	ἐκεῖνος	e)kei=nos	n-s---nn-
ἐκεῖνο	e)kei=no	ἐκεῖνος	e)kei=nos	n-s---nv-
ἐκεῖνο	e)kei=no	ἐκεῖνος	e)kei=nos	n-s---na-
ἐκεῖνον	e)kei=non	ἐκεῖνος	e)kei=nos	n-s---ma-
ἐκεῖν’	e)kei=n'	ἐκεῖνος	e)kei=nos	n-p---nn-
ἐκεῖν’	e)kei=n'	ἐκεῖνος	e)kei=nos	n-p---nv-
ἐκεῖν’	e)kei=n'	ἐκεῖνος	e)kei=nos	n-p---na-
ἐκεῖν’	e)kei=n'	ἐκεῖνος	e)kei=nos	n-s---nn-
ἐκεῖν’	e)kei=n'	ἐκεῖνος	e)kei=nos	n-s---nv-
ἐκεῖν’	e)kei=n'	ἐκεῖνος	e)kei=nos	n-s---na-
ἐκεῖν’	e)kei=n'	ἐκεῖνος	e)kei=nos	n-s---mv-
ἐκεῖν’	e)kei=n'	ἐκεῖνος	e)kei=nos	n-p---fn-
ἐκεῖν’	e)kei=n'	ἐκεῖνος	e)kei=nos	n-p---fv-
ἐκεῖσε	e)kei=se	ἐκεῖσε	e)kei=se	d--------
ἐκεῖσ’	e)kei=s'	ἐκεῖσε	e)kei=se	d--------
ἐκκεκαλύψομαι	e)kkekalu/yomai	ἐκκαλύπτω	e)kkalu/ptw	v1stie---
ἐκκλησιάσαι	e)kklhsia/sai	ἐκκλησιάζω	e)kklhsia/zw	v-sfpafd-
ἐκκλησιάσαι	e)kklhsia/sai	ἐκκλησιάζω	e)kklhsia/zw	v--ana---
ἐκκλησιάσαι	e)kklhsia/sai	ἐκκλησιάζω	e)kklhsia/zw	v3saoa---
ἐκκλησία	e)kklhsi/a	ἐκκλησία	e)kklhsi/a	n-d---fn-
ἐκκλησία	e)kklhsi/a	ἐκκλησία	e)kklhsi/a	n-d---fv-
ἐκκλησία	e)kklhsi/a	ἐκκλησία	e)kklhsi/a	n-d---fa-
ἐκκλησία	e)kklhsi/a	ἐκκλησία	e)kklhsi/a	n-s---fn-
ἐκκλησία	e)kklhsi/a	ἐκκλησία	e)kklhsi/a	n-s---fv-
ἐκκοψάντων	e)kkoya/ntwn	ἐκκόπτω	e)kko/ptw	v-papamg-
ἐκκοψάντων	e)kkoya/ntwn	ἐκκόπτω	e)kko/ptw	v-papang-
ἐκκοψάντων	e)kkoya/ntwn	ἐκκόπτω	e)kko/ptw	v3pama---
ἐκκόψει	e)kko/yei	ἐκκόπτω	e)kko/ptw	v3sasa---
ἐκκόψει	e)kko/yei	ἐκκόπτω	e)kko/ptw	v2sfim---
ἐκκόψει	e)kko/yei	ἐκκόπτω	e)kko/ptw	v3sfia---
ἐκμιμούμενοι	e)kmimou/menoi	ἐκμιμέομαι	e)kmime/omai	v-pppemn-
ἐκμιμούμενοι	e)kmimou/menoi	ἐκμιμέομαι	e)kmime/omai	v-pppemv-
ἐκμιμούμενοι	e)kmimou/menoi	ἐκμιμέομαι	e)kmime/omai	v-pppemn-
ἐκμιμούμενοι	e)kmimou/menoi	ἐκμιμέομαι	e)kmime/omai	v-pppemv-
ἐκοινώνησεν	e)koinw/nhsen	κοινωνέω	koinwne/w	v3saia---
ἐκπερδικίσαι	e)kperdiki/sai	ἐκπερδικίζω	e)kperdiki/zw	v--ana---
ἐκπερδικίσαι	e)kperdiki/sai	ἐκπερδικίζω	e)kperdiki/zw	v3saoa---
ἐκπερδικίσαι	e)kperdiki/sai	ἐκπερδικίζω	e)kperdiki/zw	v--ana---
ἐκπερδικίσαι	e)kperdiki/sai	ἐκπερδικίζω	e)kperdiki/zw	v3saoa---
ἐκπετησίμους	e)kpethsi/mous	ἐκπετήσιμος	e)kpeth/simos	n-p---ma-
ἐκπετησίμους	e)kpethsi/mous	ἐκπετήσιμος	e)kpeth/simos	n-p---fa-
ἐκπονεῖν	e)kponei=n	ἐκπονέω	e)kpone/w	v--pna---
ἐκπονεῖν	e)kponei=n	ἐκπονέω	e)kpone/w	v--pna---
ἐκπτόμενος	e)kpto/menos	ἐκπέτομαι	e)kpe/tomai	v-sapmmn-
ἐκτετείχισται	e)ktetei/xistai	ἐκτειχίζω	e)kteixi/zw	v3srie---
ἐκτρέχων	e)ktre/xwn	ἐκτρέχω	e)ktre/xw	v-sppamn-
ἐκυλινδούμην	e)kulindou/mhn	κυλινδέω	kulinde/w	v1siie---
ἐκφυγεῖν	e)kfugei=n	ἐκφεύγω	e)kfeu/gw	v--ana---
ἐκάθητ’	e)ka/qht'	κατά-κάθημαι	kata/-ka/qhmai	v3siim---
ἐκάλεσε	e)ka/lese	καλέω	kale/w	v3saia---
ἐκόμων	e)ko/mwn	κομάω	koma/w	v3piia---
ἐκόμων	e)ko/mwn	κομάω	koma/w	v1siia---
ἐλακωνομάνουν	e)lakwnoma/noun	λακωνομανέω	lakwnomane/w	v3piia---
