Αἰγύπτιος	*ai)gu/ptios	Αἰγύπτιος	*ai)gu/ptios	urn:cite2:hmt:lsj.chicago_md:n2219	a-s---mn-
εἰρήνην	ei)rh/nhn	εἰρήνη	ei)rh/nh	urn:cite2:hmt:lsj.chicago_md:n31192	n-s---fa-
εἰς	ei)s	εἰς	ei)s	urn:cite2:hmt:lsj.chicago_md:n31235	r--------
εἰσηγοῦ	ei)shgou=	εἰσηγέομαι	ei)shge/omai	urn:cite2:hmt:lsj.chicago_md:n31356	v2spme---
εἰσηγοῦ	ei)shgou=	εἰσηγέομαι	ei)shge/omai	urn:cite2:hmt:lsj.chicago_md:n31356	v2siim---
εἰσηγοῦ	ei)shgou=	εἰσηγέομαι	ei)shge/omai	urn:cite2:hmt:lsj.chicago_md:n31356	v2spmm---
εἰσηγοῦ	ei)shgou=	εἰσηγέομαι	ei)shge/omai	urn:cite2:hmt:lsj.chicago_md:n31356	v2siim---
εἰσηγοῦ	ei)shgou=	εἰσηγέομαι	ei)shge/omai	urn:cite2:hmt:lsj.chicago_md:n31356	v2siie---
εἰσηγοῦ	ei)shgou=	εἰσηγέομαι	ei)shge/omai	urn:cite2:hmt:lsj.chicago_md:n31356	v2siim---
εἰσι	ei)si	εἰμί	ei)mi/	urn:cite2:hmt:lsj.chicago_md:n31130	v3ppia---
εἰσιν	ei)sin	εἰμί	ei)mi/	urn:cite2:hmt:lsj.chicago_md:n31130	v3ppia---
εἰσάγοιτο	ei)sa/goito	εἰσάγω	ei)sa/gw	urn:cite2:hmt:lsj.chicago_md:n31246	v3spoe---
εἰσέλθετ’	ei)se/lqet'	εἰσέρχομαι	ei)se/rxomai	urn:cite2:hmt:lsj.chicago_md:n31351	v2pasa---
εἰσέλθετ’	ei)se/lqet'	εἰσέρχομαι	ei)se/rxomai	urn:cite2:hmt:lsj.chicago_md:n31351	v2pama---
εἰσέλθετ’	ei)se/lqet'	εἰσέρχομαι	ei)se/rxomai	urn:cite2:hmt:lsj.chicago_md:n31351	v3sasm---
εἰσέλθετ’	ei)se/lqet'	εἰσέρχομαι	ei)se/rxomai	urn:cite2:hmt:lsj.chicago_md:n31351	v2paia---
εἰσέπτετο	ei)se/pteto	εἰσπέτομαι	ei)spe/tomai	urn:cite2:hmt:lsj.chicago_md:n31490	v3saim---
εἰσέπτετ’	ei)se/ptet'	εἰσπέτομαι	ei)spe/tomai	urn:cite2:hmt:lsj.chicago_md:n31490	v3saim---
εἰσήγαγ’	ei)sh/gag'	εἰσάγω	ei)sa/gw	urn:cite2:hmt:lsj.chicago_md:n31246	v3saia---
εἰσί	ei)si/	εἰμί	ei)mi/	urn:cite2:hmt:lsj.chicago_md:n31130	v3ppia---
εἰσίν	ei)si/n	εἰμί	ei)mi/	urn:cite2:hmt:lsj.chicago_md:n31130	v3ppia---
εἰσίωμεν	ei)si/wmen	εἴσειμι	ei)/seimi	urn:cite2:hmt:lsj.chicago_md:n31333	v1ppsa---
εἰσίωμεν	ei)si/wmen	εἰσίημι	ei)si/hmi	urn:cite2:hmt:lsj.chicago_md:n31382	v1ppsa---
εἰσόμεθα	ei)so/meqa	εἶμι	ei)=mi	urn:cite2:hmt:lsj.chicago_md:n31131	v1pfim---
εἰσόμεθα	ei)so/meqa	οἶδα	oi)=da	urn:cite2:hmt:lsj.chicago_md:n72202	v1pfim---
εἰσῆλθες	ei)sh=lqes	εἰσέρχομαι	ei)se/rxomai	urn:cite2:hmt:lsj.chicago_md:n31351	v2saia---
εἱργμένους	ei(rgme/nous	ἔργω1	e)/rgw	urn:cite2:hmt:lsj.chicago_md:n42224	v-prpema-
εἱργμένους	ei(rgme/nous	ἔργω1	e)/rgw	urn:cite2:hmt:lsj.chicago_md:n42225	v-prpema-
εἱστήκει	ei(sth/kei	ἵστημι	i(/sthmi	urn:cite2:hmt:lsj.chicago_md:n51241	v3slia---
εἴ	ei)/	εἰ	ei)	urn:cite2:hmt:lsj.chicago_md:n30817	c--------
εἴδομεν	ei)/domen	εἶδον	ei)=don	urn:cite2:hmt:lsj.chicago_md:n30859a	v1paia---
εἴδομεν	ei)/domen	οἶδα	oi)=da	urn:cite2:hmt:lsj.chicago_md:n72202	v1prsa---
εἴδωλα	ei)/dwla	εἴδωλον	ei)/dwlon	urn:cite2:hmt:lsj.chicago_md:n30885	n-p---nn-
εἴδωλα	ei)/dwla	εἴδωλον	ei)/dwlon	urn:cite2:hmt:lsj.chicago_md:n30885	n-p---nv-
εἴδωλα	ei)/dwla	εἴδωλον	ei)/dwlon	urn:cite2:hmt:lsj.chicago_md:n30885	n-p---na-
εἴη	ei)/h	ἐάω	e)a/w	urn:cite2:hmt:lsj.chicago_md:n29883	v3siia---
εἴη	ei)/h	ἐάω	e)a/w	urn:cite2:hmt:lsj.chicago_md:n29883	v2spma---
εἴη	ei)/h	ἐάω	e)a/w	urn:cite2:hmt:lsj.chicago_md:n29883	v3siia---
εἴη	ei)/h	ἐάω	e)a/w	urn:cite2:hmt:lsj.chicago_md:n29883	v3siia---
εἴη	ei)/h	εἰμί	ei)mi/	urn:cite2:hmt:lsj.chicago_md:n31130	v3spoa---
εἴμι	ei)/mi	εἰμί	ei)mi/	urn:cite2:hmt:lsj.chicago_md:n31130	v1spia---
εἴξασιν	ei)/casin	ἔοικα	e)/oika	urn:cite2:hmt:lsj.chicago_md:n37776	v3pria---
εἴξασιν	ei)/casin	εἴκω	ei)/kw	urn:cite2:hmt:lsj.chicago_md:n31035	v-papamd-
εἴξασιν	ei)/casin	εἴκω	ei)/kw	urn:cite2:hmt:lsj.chicago_md:n31035a	v-papamd-
εἴξασιν	ei)/casin	εἴκω	ei)/kw	urn:cite2:hmt:lsj.chicago_md:n31036	v-papamd-
εἴξασιν	ei)/casin	εἴκω	ei)/kw	urn:cite2:hmt:lsj.chicago_md:n31035	v-papand-
εἴξασιν	ei)/casin	εἴκω	ei)/kw	urn:cite2:hmt:lsj.chicago_md:n31035a	v-papand-
εἴξασιν	ei)/casin	εἴκω	ei)/kw	urn:cite2:hmt:lsj.chicago_md:n31036	v-papand-
εἴπατόν	ei)/pato/n	εἶπον	ei)=pon	urn:cite2:hmt:lsj.chicago_md:n31161	v2dama---
εἴπατόν	ei)/pato/n	εἶπον	ei)=pon	urn:cite2:hmt:lsj.chicago_md:n31161	v2daia---
εἴπατόν	ei)/pato/n	εἶπον	ei)=pon	urn:cite2:hmt:lsj.chicago_md:n31161	v2daia---
εἴπερ	ei)/per	εἴπερ	ei)/per	urn:cite2:hmt:lsj.chicago_md:n31159	c--------
εἴπητε	ei)/phte	εἶπον	ei)=pon	urn:cite2:hmt:lsj.chicago_md:n31161	v2pasa---
εἴπητε	ei)/phte	εἶπον	ei)=pon	urn:cite2:hmt:lsj.chicago_md:n31161	v2pasa---
εἴποι	ei)/poi	εἶπον	ei)=pon	urn:cite2:hmt:lsj.chicago_md:n31161	v3saoa---
εἴπῃ	ei)/ph|	εἶπον	ei)=pon	urn:cite2:hmt:lsj.chicago_md:n31161	v2sasm---
εἴπῃ	ei)/ph|	εἶπον	ei)=pon	urn:cite2:hmt:lsj.chicago_md:n31161	v3sasa---
εἴπῃ	ei)/ph|	εἶπον	ei)=pon	urn:cite2:hmt:lsj.chicago_md:n31161	v2sase---
εἴπῃ	ei)/ph|	εἶπον	ei)=pon	urn:cite2:hmt:lsj.chicago_md:n31161	v3sasa---
εἴσει	ei)/sei	εἴδομαι	ei)/domai	urn:cite2:hmt:lsj.chicago_md:n30858a	v3sasa---
εἴσει	ei)/sei	εἴσειμι	ei)/seimi	urn:cite2:hmt:lsj.chicago_md:n31333	v2spia---
εἴσει	ei)/sei	εἶμι	ei)=mi	urn:cite2:hmt:lsj.chicago_md:n31131	v2sfim---
εἴσει	ei)/sei	οἶδα	oi)=da	urn:cite2:hmt:lsj.chicago_md:n72202	v2sfim---
εἴσιτον	ei)/siton	εἴσειμι	ei)/seimi	urn:cite2:hmt:lsj.chicago_md:n31333	v2dpma---
εἴσιτον	ei)/siton	εἴσειμι	ei)/seimi	urn:cite2:hmt:lsj.chicago_md:n31333	v2dpia---
εἴσιτον	ei)/siton	εἴσειμι	ei)/seimi	urn:cite2:hmt:lsj.chicago_md:n31333	v3dpia---
εἴσοδον	ei)/sodon	εἴσοδος	ei)/sodos	urn:cite2:hmt:lsj.chicago_md:n31447	n-s---fa-
εἴσω	ei)/sw	εἴδομαι	ei)/domai	urn:cite2:hmt:lsj.chicago_md:n30858a	v1sasa---
εἴσω	ei)/sw	εἴσω	ei)/sw	urn:cite2:hmt:lsj.chicago_md:n31555	d--------
εἴχετ’	ei)/xet'	ἔχω	e)/xw	urn:cite2:hmt:lsj.chicago_md:n45996	v3siie---
εἴχετ’	ei)/xet'	ἔχω	e)/xw	urn:cite2:hmt:lsj.chicago_md:n45997	v3siie---
εἴχετ’	ei)/xet'	ἔχω	e)/xw	urn:cite2:hmt:lsj.chicago_md:n45996	v2piia---
εἴχετ’	ei)/xet'	ἔχω	e)/xw	urn:cite2:hmt:lsj.chicago_md:n45997	v2piia---
εἵρξας	ei(/rcas	ἔργω1	e)/rgw	urn:cite2:hmt:lsj.chicago_md:n42224	v-sapamn-
εἵρξας	ei(/rcas	ἔργω1	e)/rgw	urn:cite2:hmt:lsj.chicago_md:n42225	v-sapamn-
εἵρξας	ei(/rcas	ἔργω1	e)/rgw	urn:cite2:hmt:lsj.chicago_md:n42224	v-sapamv-
εἵρξας	ei(/rcas	ἔργω1	e)/rgw	urn:cite2:hmt:lsj.chicago_md:n42225	v-sapamv-
εἶ	ei)=	εἰ	ei)	urn:cite2:hmt:lsj.chicago_md:n30817	c--------
εἶ	ei)=	εἶμι	ei)=mi	urn:cite2:hmt:lsj.chicago_md:n31131	v2spia---
εἶ	ei)=	εἰμί	ei)mi/	urn:cite2:hmt:lsj.chicago_md:n31130	v2spia---
εἶδε	ei)=de	εἶδον	ei)=don	urn:cite2:hmt:lsj.chicago_md:n30859a	v3saia---
εἶδον	ei)=don	εἶδον	ei)=don	urn:cite2:hmt:lsj.chicago_md:n30859a	v3paia---
εἶδον	ei)=don	εἶδον	ei)=don	urn:cite2:hmt:lsj.chicago_md:n30859a	v1saia---
εἶδές	ei)=de/s	εἶδον	ei)=don	urn:cite2:hmt:lsj.chicago_md:n30859a	v2saia---
εἶναι	ei)=nai	εἰμί	ei)mi/	urn:cite2:hmt:lsj.chicago_md:n31130	v--pna---
εἶς	ei)=s	εἶμι	ei)=mi	urn:cite2:hmt:lsj.chicago_md:n31131	v2spia---
εἶς	ei)=s	εἰμί	ei)mi/	urn:cite2:hmt:lsj.chicago_md:n31130	v2spia---
εἶς	ei)=s	εἰς	ei)s	urn:cite2:hmt:lsj.chicago_md:n31235	r--------
εἶτα	ei)=ta	εἶτα	ei)=ta	urn:cite2:hmt:lsj.chicago_md:n31562	d--------
εἶτε	ei)=te	εἰμί	ei)mi/	urn:cite2:hmt:lsj.chicago_md:n31130	v2ppoa---
εἶχε	ei)=xe	ἔχω	e)/xw	urn:cite2:hmt:lsj.chicago_md:n45996	v3siia---
εἶχε	ei)=xe	ἔχω	e)/xw	urn:cite2:hmt:lsj.chicago_md:n45997	v3siia---
εἷλε	ei(=le	αἱρέω	ai(re/w	urn:cite2:hmt:lsj.chicago_md:n2654	v3saia---
εἷλε	ei(=le	αἱρέω	ai(re/w	urn:cite2:hmt:lsj.chicago_md:n2654	v3saia---
εἷς	ei(=s	εἷς	ei(=s	urn:cite2:hmt:lsj.chicago_md:n31236	n-s---mn-
εὐβουλίαν	eu)bouli/an	εὐβουλία	eu)bouli/a	urn:cite2:hmt:lsj.chicago_md:n43518	n-s---fa-
εὐδαιμονίαν	eu)daimoni/an	εὐδαιμονία	eu)daimoni/a	urn:cite2:hmt:lsj.chicago_md:n43591	n-s---fa-
εὐδαίμονα	eu)dai/mona	εὐδαίμων	eu)dai/mwn	urn:cite2:hmt:lsj.chicago_md:n43598	n-p---nn-
εὐδαίμονα	eu)dai/mona	εὐδαίμων	eu)dai/mwn	urn:cite2:hmt:lsj.chicago_md:n43598	n-p---nv-
εὐδαίμονα	eu)dai/mona	εὐδαίμων	eu)dai/mwn	urn:cite2:hmt:lsj.chicago_md:n43598	n-p---na-
εὐδαίμονα	eu)dai/mona	εὐδαίμων	eu)dai/mwn	urn:cite2:hmt:lsj.chicago_md:n43598	n-s---ma-
εὐδαίμονα	eu)dai/mona	εὐδαίμων	eu)dai/mwn	urn:cite2:hmt:lsj.chicago_md:n43598	n-s---fa-
εὐδαίμονος	eu)dai/monos	εὐδαίμων	eu)dai/mwn	urn:cite2:hmt:lsj.chicago_md:n43598	n-s----g-
εὐδαίμων	eu)dai/mwn	εὐδαίμων	eu)dai/mwn	urn:cite2:hmt:lsj.chicago_md:n43598	n-s---mn-
εὐδαίμων	eu)dai/mwn	εὐδαίμων	eu)dai/mwn	urn:cite2:hmt:lsj.chicago_md:n43598	n-s---fn-
εὐδρόσους	eu)dro/sous	εὔδροσος	eu)/drosos	urn:cite2:hmt:lsj.chicago_md:n43706	n-p---ma-
εὐδρόσους	eu)dro/sous	εὔδροσος	eu)/drosos	urn:cite2:hmt:lsj.chicago_md:n43706	n-p---fa-
εὐθαλεῖς	eu)qalei=s	εὐθαλέω	eu)qale/w	urn:cite2:hmt:lsj.chicago_md:n43942	v2spia---
εὐθαλεῖς	eu)qalei=s	εὐθαλής	eu)qalh/s	urn:cite2:hmt:lsj.chicago_md:n43943	n-p---ma-
εὐθαλεῖς	eu)qalei=s	εὐθαλής	eu)qalh/s	urn:cite2:hmt:lsj.chicago_md:n43944	n-p---ma-
εὐθαλεῖς	eu)qalei=s	εὐθαλής	eu)qalh/s	urn:cite2:hmt:lsj.chicago_md:n43943	n-p---fa-
εὐθαλεῖς	eu)qalei=s	εὐθαλής	eu)qalh/s	urn:cite2:hmt:lsj.chicago_md:n43944	n-p---fa-
εὐθαλεῖς	eu)qalei=s	εὐθαλής	eu)qalh/s	urn:cite2:hmt:lsj.chicago_md:n43943	n-p---mn-
εὐθαλεῖς	eu)qalei=s	εὐθαλής	eu)qalh/s	urn:cite2:hmt:lsj.chicago_md:n43944	n-p---mn-
εὐθαλεῖς	eu)qalei=s	εὐθαλής	eu)qalh/s	urn:cite2:hmt:lsj.chicago_md:n43943	n-p---mv-
εὐθαλεῖς	eu)qalei=s	εὐθαλής	eu)qalh/s	urn:cite2:hmt:lsj.chicago_md:n43944	n-p---mv-
εὐθαλεῖς	eu)qalei=s	εὐθαλής	eu)qalh/s	urn:cite2:hmt:lsj.chicago_md:n43943	n-p---fn-
εὐθαλεῖς	eu)qalei=s	εὐθαλής	eu)qalh/s	urn:cite2:hmt:lsj.chicago_md:n43944	n-p---fn-
εὐθαλεῖς	eu)qalei=s	εὐθαλής	eu)qalh/s	urn:cite2:hmt:lsj.chicago_md:n43943	n-p---fv-
εὐθαλεῖς	eu)qalei=s	εὐθαλής	eu)qalh/s	urn:cite2:hmt:lsj.chicago_md:n43944	n-p---fv-
εὐθαλεῖς	eu)qalei=s	εὐθαλής	eu)qalh/s	urn:cite2:hmt:lsj.chicago_md:n43943	n-p---ma-
εὐθαλεῖς	eu)qalei=s	εὐθαλής	eu)qalh/s	urn:cite2:hmt:lsj.chicago_md:n43944	n-p---ma-
εὐθαλεῖς	eu)qalei=s	εὐθαλής	eu)qalh/s	urn:cite2:hmt:lsj.chicago_md:n43943	n-p---fa-
εὐθαλεῖς	eu)qalei=s	εὐθαλής	eu)qalh/s	urn:cite2:hmt:lsj.chicago_md:n43944	n-p---fa-
εὐθαλεῖς	eu)qalei=s	εὐθαλής	eu)qalh/s	urn:cite2:hmt:lsj.chicago_md:n43943	n-p---mn-
εὐθαλεῖς	eu)qalei=s	εὐθαλής	eu)qalh/s	urn:cite2:hmt:lsj.chicago_md:n43944	n-p---mn-
εὐθαλεῖς	eu)qalei=s	εὐθαλής	eu)qalh/s	urn:cite2:hmt:lsj.chicago_md:n43943	n-p---mv-
εὐθαλεῖς	eu)qalei=s	εὐθαλής	eu)qalh/s	urn:cite2:hmt:lsj.chicago_md:n43944	n-p---mv-
εὐθαλεῖς	eu)qalei=s	εὐθαλής	eu)qalh/s	urn:cite2:hmt:lsj.chicago_md:n43943	n-p---fn-
εὐθαλεῖς	eu)qalei=s	εὐθαλής	eu)qalh/s	urn:cite2:hmt:lsj.chicago_md:n43944	n-p---fn-
εὐθαλεῖς	eu)qalei=s	εὐθαλής	eu)qalh/s	urn:cite2:hmt:lsj.chicago_md:n43943	n-p---fv-
εὐθαλεῖς	eu)qalei=s	εὐθαλής	eu)qalh/s	urn:cite2:hmt:lsj.chicago_md:n43944	n-p---fv-
εὐθαλεῖς	eu)qalei=s	εὐθηλής	eu)qhlh/s	urn:cite2:hmt:lsj.chicago_md:n43982	n-p---ma-
εὐθαλεῖς	eu)qalei=s	εὐθηλής	eu)qhlh/s	urn:cite2:hmt:lsj.chicago_md:n43982	n-p---fa-
εὐθαλεῖς	eu)qalei=s	εὐθηλής	eu)qhlh/s	urn:cite2:hmt:lsj.chicago_md:n43982	n-p---mn-
εὐθαλεῖς	eu)qalei=s	εὐθηλής	eu)qhlh/s	urn:cite2:hmt:lsj.chicago_md:n43982	n-p---mv-
εὐθαλεῖς	eu)qalei=s	εὐθηλής	eu)qhlh/s	urn:cite2:hmt:lsj.chicago_md:n43982	n-p---fn-
εὐθαλεῖς	eu)qalei=s	εὐθηλής	eu)qhlh/s	urn:cite2:hmt:lsj.chicago_md:n43982	n-p---fv-
εὐθύ	eu)qu/	εὐθύσ1	eu)qu/s	urn:cite2:hmt:lsj.chicago_md:n44099	a-s---mv-
εὐθύ	eu)qu/	εὐθύσ1	eu)qu/s	urn:cite2:hmt:lsj.chicago_md:n44099	a-s---nn-
εὐθύ	eu)qu/	εὐθύσ1	eu)qu/s	urn:cite2:hmt:lsj.chicago_md:n44099	a-s---nv-
εὐθύ	eu)qu/	εὐθύσ1	eu)qu/s	urn:cite2:hmt:lsj.chicago_md:n44099	a-s---na-
εὐθύ	eu)qu/	εὐθύσ2	eu)qu/s	urn:cite2:hmt:lsj.chicago_md:n44099	d--------
εὐθύς	eu)qu/s	εὐθύσ1	eu)qu/s	urn:cite2:hmt:lsj.chicago_md:n44099	a-s---mn-
εὐθύς	eu)qu/s	εὐθύσ2	eu)qu/s	urn:cite2:hmt:lsj.chicago_md:n44099	d--------
εὐκταίαις	eu)ktai/ais	εὐκταῖος	eu)ktai=os	urn:cite2:hmt:lsj.chicago_md:n44328	a-p---fd-
εὐλάβεια	eu)la/beia	εὐλάβεια	eu)la/beia	urn:cite2:hmt:lsj.chicago_md:n44351	n-s---fn-
εὐλάβεια	eu)la/beia	εὐλάβεια	eu)la/beia	urn:cite2:hmt:lsj.chicago_md:n44351	n-s---fv-
εὐνομίαν	eu)nomi/an	εὐνομία	eu)nomi/a	urn:cite2:hmt:lsj.chicago_md:n44558	n-s---fa-
εὐνῆς	eu)nh=s	εὐνάω	eu)na/w	urn:cite2:hmt:lsj.chicago_md:n44529	v2spia---
εὐνῆς	eu)nh=s	εὐνάω	eu)na/w	urn:cite2:hmt:lsj.chicago_md:n44529	v2spia---
εὐνῆς	eu)nh=s	εὐνάζω	eu)na/zw	urn:cite2:hmt:lsj.chicago_md:n44521	v2sfia---
εὐνῆς	eu)nh=s	εὐνή	eu)nh/	urn:cite2:hmt:lsj.chicago_md:n44534	n-s---fg-
εὐξάμενος	eu)ca/menos	εὔχομαι	eu)/xomai	urn:cite2:hmt:lsj.chicago_md:n45499	v-sapmmn-
εὐξόμεθ’	eu)co/meq'	εὔχομαι	eu)/xomai	urn:cite2:hmt:lsj.chicago_md:n45499	v1pasm---
εὐξόμεθ’	eu)co/meq'	εὔχομαι	eu)/xomai	urn:cite2:hmt:lsj.chicago_md:n45499	v1pfim---
εὐξώμεσθα	eu)cw/mesqa	εὔχομαι	eu)/xomai	urn:cite2:hmt:lsj.chicago_md:n45499	v1pasm---
εὐράξ	eu)ra/c	εὐράξ	eu)ra/c	urn:cite2:hmt:lsj.chicago_md:n44915	d--------
εὐρύν	eu)ru/n	εὐρύς	eu)ru/s	urn:cite2:hmt:lsj.chicago_md:n45036	a-s---ma-
εὐρύς	eu)ru/s	εὐρύς	eu)ru/s	urn:cite2:hmt:lsj.chicago_md:n45036	a-s---mn-
εὐσπόρους	eu)spo/rous	εὔσπορος	eu)/sporos	urn:cite2:hmt:lsj.chicago_md:n45155	n-p---ma-
εὐσπόρους	eu)spo/rous	εὔσπορος	eu)/sporos	urn:cite2:hmt:lsj.chicago_md:n45155	n-p---fa-
εὐτέλειαν	eu)te/leian	εὐτέλεια	eu)te/leia	urn:cite2:hmt:lsj.chicago_md:n45284	n-s---fa-
εὐφημία	eu)fhmi/a	εὐφημία	eu)fhmi/a	urn:cite2:hmt:lsj.chicago_md:n45405	n-d---fn-
εὐφημία	eu)fhmi/a	εὐφημία	eu)fhmi/a	urn:cite2:hmt:lsj.chicago_md:n45405	n-d---fv-
εὐφημία	eu)fhmi/a	εὐφημία	eu)fhmi/a	urn:cite2:hmt:lsj.chicago_md:n45405	n-d---fa-
εὐφημία	eu)fhmi/a	εὐφημία	eu)fhmi/a	urn:cite2:hmt:lsj.chicago_md:n45405	n-s---fn-
εὐφημία	eu)fhmi/a	εὐφημία	eu)fhmi/a	urn:cite2:hmt:lsj.chicago_md:n45405	n-s---fv-
εὐχαῖς	eu)xai=s	εὐχή	eu)xh/	urn:cite2:hmt:lsj.chicago_md:n45492	n-p---fd-
εὐήμερον	eu)h/meron	εὐήμερος	eu)h/meros	urn:cite2:hmt:lsj.chicago_md:n43912	n-s---ma-
εὐήμερον	eu)h/meron	εὐήμερος	eu)h/meros	urn:cite2:hmt:lsj.chicago_md:n43912	n-s---fa-
εὐήμερον	eu)h/meron	εὐήμερος	eu)h/meros	urn:cite2:hmt:lsj.chicago_md:n43912	n-s---nn-
εὐήμερον	eu)h/meron	εὐήμερος	eu)h/meros	urn:cite2:hmt:lsj.chicago_md:n43912	n-s---nv-
εὐήμερον	eu)h/meron	εὐήμερος	eu)h/meros	urn:cite2:hmt:lsj.chicago_md:n43912	n-s---na-
εὐώδεις	eu)w/deis	εὐώδης	eu)w/dhs	urn:cite2:hmt:lsj.chicago_md:n45545	n-p---ma-
εὐώδεις	eu)w/deis	εὐώδης	eu)w/dhs	urn:cite2:hmt:lsj.chicago_md:n45545	n-p---fa-
εὐώδεις	eu)w/deis	εὐώδης	eu)w/dhs	urn:cite2:hmt:lsj.chicago_md:n45545	n-p---mn-
εὐώδεις	eu)w/deis	εὐώδης	eu)w/dhs	urn:cite2:hmt:lsj.chicago_md:n45545	n-p---mv-
εὐώδεις	eu)w/deis	εὐώδης	eu)w/dhs	urn:cite2:hmt:lsj.chicago_md:n45545	n-p---fn-
εὐώδεις	eu)w/deis	εὐώδης	eu)w/dhs	urn:cite2:hmt:lsj.chicago_md:n45545	n-p---fv-
εὐώδεις	eu)w/deis	εὐωδέω	eu)wde/w	urn:cite2:hmt:lsj.chicago_md:n45544	v2siia---
εὑρών	eu(rw/n	εὑρίσκω	eu(ri/skw	urn:cite2:hmt:lsj.chicago_md:n44964	v-sapamn-
εὔδαιμον	eu)/daimon	εὐδαίμων	eu)dai/mwn	urn:cite2:hmt:lsj.chicago_md:n43598	n-s---mv-
εὔδαιμον	eu)/daimon	εὐδαίμων	eu)dai/mwn	urn:cite2:hmt:lsj.chicago_md:n43598	n-s---fv-
εὔδαιμον	eu)/daimon	εὐδαίμων	eu)dai/mwn	urn:cite2:hmt:lsj.chicago_md:n43598	n-s---nn-
εὔδαιμον	eu)/daimon	εὐδαίμων	eu)dai/mwn	urn:cite2:hmt:lsj.chicago_md:n43598	n-s---nv-
εὔδαιμον	eu)/daimon	εὐδαίμων	eu)dai/mwn	urn:cite2:hmt:lsj.chicago_md:n43598	n-s---na-
εὔερον	eu)/eron	εὔειρος	eu)/eiros	urn:cite2:hmt:lsj.chicago_md:n43731	n-s---ma-
εὔερον	eu)/eron	εὔειρος	eu)/eiros	urn:cite2:hmt:lsj.chicago_md:n43731	n-s---fa-
εὔερον	eu)/eron	εὔειρος	eu)/eiros	urn:cite2:hmt:lsj.chicago_md:n43731	n-s---nn-
εὔερον	eu)/eron	εὔειρος	eu)/eiros	urn:cite2:hmt:lsj.chicago_md:n43731	n-s---nv-
εὔερον	eu)/eron	εὔειρος	eu)/eiros	urn:cite2:hmt:lsj.chicago_md:n43731	n-s---na-
εὔτακτος	eu)/taktos	εὔτακτος	eu)/taktos	urn:cite2:hmt:lsj.chicago_md:n45268	n-s---mn-
εὔτακτος	eu)/taktos	εὔτακτος	eu)/taktos	urn:cite2:hmt:lsj.chicago_md:n45268	n-s---fn-
εὔφημον	eu)/fhmon	εὔφημος	eu)/fhmos	urn:cite2:hmt:lsj.chicago_md:n45408	n-s---ma-
εὔφημον	eu)/fhmon	εὔφημος	eu)/fhmos	urn:cite2:hmt:lsj.chicago_md:n45408	n-s---fa-
εὔφημον	eu)/fhmon	εὔφημος	eu)/fhmos	urn:cite2:hmt:lsj.chicago_md:n45408	n-s---nn-
εὔφημον	eu)/fhmon	εὔφημος	eu)/fhmos	urn:cite2:hmt:lsj.chicago_md:n45408	n-s---nv-
εὔφημον	eu)/fhmon	εὔφημος	eu)/fhmos	urn:cite2:hmt:lsj.chicago_md:n45408	n-s---na-
εὔχεσθε	eu)/xesqe	εὔχομαι	eu)/xomai	urn:cite2:hmt:lsj.chicago_md:n45499	v2piie---
εὔχεσθε	eu)/xesqe	εὔχομαι	eu)/xomai	urn:cite2:hmt:lsj.chicago_md:n45499	v2ppme---
εὔχεσθε	eu)/xesqe	εὔχομαι	eu)/xomai	urn:cite2:hmt:lsj.chicago_md:n45499	v2ppie---
εὔχεσθε	eu)/xesqe	εὔχομαι	eu)/xomai	urn:cite2:hmt:lsj.chicago_md:n45499	v2piie---
εὕδει	eu(/dei	εὕδω	eu(/dw	urn:cite2:hmt:lsj.chicago_md:n43711	v2spie---
εὕδει	eu(/dei	εὕδω	eu(/dw	urn:cite2:hmt:lsj.chicago_md:n43711	v3spia---
εὖ	eu)=	εὖ	eu)=	urn:cite2:hmt:lsj.chicago_md:n43309	d--------
ζαθέων	zaqe/wn	ζάθεος	za/qeos	urn:cite2:hmt:lsj.chicago_md:n46068	a-p---fg-
ζαθέων	zaqe/wn	ζάθεος	za/qeos	urn:cite2:hmt:lsj.chicago_md:n46068	a-p---mg-
ζαθέων	zaqe/wn	ζάθεος	za/qeos	urn:cite2:hmt:lsj.chicago_md:n46068	a-p---ng-
ζαθέων	zaqe/wn	ζάθεος	za/qeos	urn:cite2:hmt:lsj.chicago_md:n46068	n-p---mg-
ζαθέων	zaqe/wn	ζάθεος	za/qeos	urn:cite2:hmt:lsj.chicago_md:n46068	n-p---fg-
ζαθέων	zaqe/wn	ζάθεος	za/qeos	urn:cite2:hmt:lsj.chicago_md:n46068	n-p---ng-
ζευγαρίων	zeugari/wn	ζευγάριον	zeuga/rion	urn:cite2:hmt:lsj.chicago_md:n46157	n-p---ng-
ζητεῖς	zhtei=s	ζητέω	zhte/w	urn:cite2:hmt:lsj.chicago_md:n46249	v2spia---
ζητουμένου	zhtoume/nou	ζητέω	zhte/w	urn:cite2:hmt:lsj.chicago_md:n46249	v-sppemg-
ζητουμένου	zhtoume/nou	ζητέω	zhte/w	urn:cite2:hmt:lsj.chicago_md:n46249	v-sppeng-
ζητοῦντε	zhtou=nte	ζητέω	zhte/w	urn:cite2:hmt:lsj.chicago_md:n46249	v-dppamn-
ζητοῦντε	zhtou=nte	ζητέω	zhte/w	urn:cite2:hmt:lsj.chicago_md:n46249	v-dppamv-
